organism	gene	uniprot	is_eukaryote	length	n_pdb	methods	best_resolution_A	max_coverage_frac	exp_mf	exp_bp	exp_cc	exp_total	any_experimental	n_contested_cat_mf	contested_cat_mf
human	DHODH	Q02127	1	395	96	NMR;X-ray	1.23	1.000	3	0	2	5	1	3	GO:0016491|oxidoreductase activity|MARK_AS_OVER_ANNOTATED;GO:0016627|oxidoreductase activity, acting on the CH-CH group of donors|MARK_AS_OVER_ANNOTATED;GO:0004151|dihydroorotase activity|REMOVE
yeast	CYC1	P00044	1	109	92	NMR;X-ray	1.05	0.991	7	2	2	11	1	0	
ECOLI	GroEL	P0A6F5	0	548	89	EM;X-ray	1.50	1.000	73	5	4	82	1	0	
human	ABL1	P00519	1	1130	84	NMR;X-ray	1.03	0.433	129	31	11	171	1	0	
human	PARK7	Q99497	1	189	82	X-ray	1.05	1.000	95	66	40	201	1	0	
rat	Mapk1	P63086	1	358	77	X-ray	1.34	1.000	15	32	17	64	1	5	GO:0004672|protein kinase activity|MARK_AS_OVER_ANNOTATED;GO:0008353|RNA polymerase II CTD heptapeptide repeat kinase activity|MARK_AS_OVER_ANNOTATED;GO:0016301|kinase activity|MARK_AS_OVER_ANNOTATED;GO:0016301|kinase activity|MARK_AS_OVER_ANNOTATED;GO:0004672|protein kinase activity|MARK_AS_OVER_ANNOTATED
human	HSPA1A	P0DMV8	1	641	75	EM;NMR;X-ray	1.34	1.000	76	36	28	140	1	2	GO:0140545|ATP-dependent protein disaggregase activity|MARK_AS_OVER_ANNOTATED;GO:0140545|ATP-dependent protein disaggregase activity|REMOVE
human	APEX1	P27695	1	318	66	EM;NMR;X-ray	1.25	1.000	62	10	13	85	1	3	GO:0033892|deoxyribonuclease (pyrimidine dimer) activity|REMOVE;GO:0033892|deoxyribonuclease (pyrimidine dimer) activity|REMOVE;GO:0004844|uracil DNA N-glycosylase activity|REMOVE
human	YWHAZ	P63104	1	245	65	EM;X-ray	1.50	1.000	607	17	17	641	1	0	
human	FN1	P02751	1	2477	64	EM;NMR;X-ray	1.20	0.185	91	25	25	141	1	1	GO:0016504|peptidase activator activity|REMOVE
ECOLI	DnaK	P0A6Y8	0	638	62	NMR;X-ray	1.40	0.962	57	9	6	72	1	0	
human	GBA1	P04062	1	536	58	EM;X-ray	0.98	1.000	20	25	5	50	1	0	
human	GTF2F2	P13984	1	249	58	EM;NMR;X-ray	1.70	1.000	16	4	5	25	1	0	
human	CFTR	P13569	1	1480	57	EM;NMR;X-ray	1.70	1.000	301	14	23	338	1	1	GO:0016853|isomerase activity|REMOVE
human	ACTB	P60709	1	375	56	EM;X-ray	1.69	1.000	121	15	38	174	1	0	
human	FGFR2	P21802	1	821	56	NMR;X-ray	1.80	0.498	23	31	9	63	1	0	
human	PKM	P14618	1	531	56	EM;X-ray	1.35	1.000	27	2	19	48	1	0	
human	VEGFA	P15692	1	395	56	NMR;X-ray	1.32	0.539	40	95	6	141	1	0	
human	CRBN	Q96SW2	1	442	55	EM;X-ray	1.10	1.000	13	3	3	19	1	0	
human	ANG	P03950	1	147	54	EM;NMR;X-ray	1.04	1.000	44	32	19	95	1	1	GO:0004519|endonuclease activity|MARK_AS_OVER_ANNOTATED
human	JAK1	P23458	1	1154	51	X-ray	1.33	0.474	30	24	6	60	1	1	GO:0016740|transferase activity|REMOVE
PSEAE	ftsI	G3XD46	0	579	50	EM;X-ray	1.19	1.000	0	0	0	0	0	4	GO:0004180|carboxypeptidase activity|REMOVE;GO:0008233|peptidase activity|REMOVE;GO:0008955|peptidoglycan glycosyltransferase activity|REMOVE;GO:0016787|hydrolase activity|REMOVE
human	AGO2	Q9UKV8	1	859	50	EM;X-ray	1.59	1.000	138	27	32	197	1	0	
human	SIRT2	Q8IXJ6	1	389	49	X-ray	1.42	0.915	50	17	23	90	1	2	GO:0016740|transferase activity|MARK_AS_OVER_ANNOTATED;GO:0003950|NAD+ poly-ADP-ribosyltransferase activity|REMOVE
HYPJE	cbh1	P62694	1	513	48	NMR;X-ray	1.05	0.846	0	0	0	0	0	2	GO:0016787|hydrolase activity|REMOVE;GO:0016798|hydrolase activity, acting on glycosyl bonds|REMOVE
yeast	HSP82	P02829	1	709	48	NMR;X-ray	1.50	0.955	177	11	5	193	1	0	
human	BCL2	P10415	1	239	46	NMR;X-ray	1.25	0.866	127	44	18	189	1	0	
human	CSNK1D	P48730	1	415	46	X-ray	1.40	1.000	53	13	10	76	1	0	
human	TARDBP	Q13148	1	414	44	EM;NMR;X-ray	0.75	1.000	243	11	5	259	1	0	
human	AKT1	P31749	1	480	42	X-ray	0.98	0.927	213	84	14	311	1	2	GO:0030291|protein serine/threonine kinase inhibitor activity|REMOVE;GO:0030291|protein serine/threonine kinase inhibitor activity|REMOVE
human	ARNT	P27540	1	789	42	EM;NMR;X-ray	1.17	0.483	41	9	10	60	1	0	
human	TNKS	O95271	1	1327	42	X-ray	1.20	0.359	57	22	5	84	1	0	
human	LRRK2	Q5S007	1	2527	41	EM;X-ray	1.33	1.000	337	66	34	437	1	0	
human	SLC3A2	P08195	1	630	40	EM;X-ray	1.80	1.000	28	35	18	81	1	0	
human	HSPA8	P11142	1	646	38	X-ray	1.63	0.593	160	14	20	194	1	0	
human	PPP2CA	P67775	1	309	38	EM;X-ray	1.80	1.000	143	12	20	175	1	1	GO:0004725|protein tyrosine phosphatase activity|MARK_AS_OVER_ANNOTATED
human	TXN	P10599	1	105	37	NMR;X-ray	0.97	1.000	57	9	8	74	1	2	GO:0004791|thioredoxin-disulfide reductase (NADPH) activity|REMOVE;GO:0047134|protein-disulfide reductase [NAD(P)H] activity|REMOVE
human	PPP2R1A	P30153	1	589	36	EM;X-ray	2.30	1.000	149	6	20	175	1	0	
human	BRCA1	P38398	1	1863	31	EM;NMR;X-ray	1.75	0.115	125	41	30	196	1	0	
human	GLA	P06280	1	429	31	X-ray	1.90	0.928	29	3	6	38	1	0	
mouse	Ndufb1	P0DN34	1	57	31	EM	2.39	1.000	0	0	2	2	1	0	
human	ARF1	P84077	1	181	30	EM;NMR;X-ray	1.75	1.000	18	4	9	31	1	0	
human	BIRC5	O15392	1	142	30	EM;NMR;X-ray	1.40	1.000	59	9	19	87	1	2	GO:0004869|cysteine-type endopeptidase inhibitor activity|MARK_AS_OVER_ANNOTATED;GO:0030414|peptidase inhibitor activity|MARK_AS_OVER_ANNOTATED
yeast	SUI2	P20459	1	304	30	EM;X-ray	2.45	1.000	36	2	8	46	1	0	
human	CD247	P20963	1	164	29	EM;NMR;X-ray	1.90	1.000	34	9	13	56	1	0	
human	IL4	P05112	1	153	29	NMR;X-ray	1.65	0.843	6	26	1	33	1	0	
human	KIF5B	P33176	1	963	29	EM;NMR;X-ray	1.80	1.000	28	7	6	41	1	0	
human	NOTCH1	P46531	1	2555	29	EM;NMR;X-ray	1.50	0.144	50	40	3	93	1	0	
human	CUL3	Q13618	1	768	28	EM;NMR;X-ray	2.30	1.000	223	47	35	305	1	0	
yeast	PNO1	Q99216	1	274	28	EM	2.70	1.000	2	6	4	12	1	0	
human	MAP3K5	Q99683	1	1374	27	EM;X-ray	2.10	0.647	85	16	6	107	1	9	GO:0004672|protein kinase activity|MARK_AS_OVER_ANNOTATED;GO:0004674|protein serine/threonine kinase activity|MARK_AS_OVER_ANNOTATED;GO:0016301|kinase activity|MARK_AS_OVER_ANNOTATED;GO:0016740|transferase activity|MARK_AS_OVER_ANNOTATED;GO:0106310|protein serine kinase activity|MARK_AS_OVER_ANNOTATED;GO:0004674|protein serine/threonine kinase activity|MARK_AS_OVER_ANNOTATED;GO:0004674|protein serine/threonine kinase activity|MARK_AS_OVER_ANNOTATED;GO:0004672|protein kinase activity|MARK_AS_OVER_ANNOTATED;GO:0004672|protein kinase activity|MARK_AS_OVER_ANNOTATED
human	NRAS	P01111	1	189	27	NMR;X-ray	1.20	0.910	29	2	8	39	1	0	
human	UFC1	Q9Y3C8	1	167	27	NMR;X-ray	1.11	1.000	19	14	1	34	1	0	
human	WT1	P19544	1	449	27	NMR;X-ray	1.45	0.272	31	42	11	84	1	0	
human	BAG1	Q99933	1	345	26	NMR;X-ray	1.63	0.328	26	1	5	32	1	0	
human	CALM3	P0DP25	1	149	26	EM;NMR;X-ray	1.95	1.000	29	13	9	51	1	0	
human	HTT	P42858	1	3142	26	EM;NMR;X-ray	2.50	1.000	1061	15	30	1106	1	1	GO:0004721|phosphoprotein phosphatase activity|REMOVE
human	NF1	P21359	1	2839	26	EM;X-ray	2.10	1.000	12	9	5	26	1	0	
human	PIK3C3	Q8NEB9	1	887	26	EM;X-ray	1.26	1.000	65	14	5	84	1	1	GO:0004672|protein kinase activity|REMOVE
yeast	RCO1	Q04779	1	684	25	EM;X-ray	1.62	1.000	34	5	4	43	1	0	
yeast	RPD3	P32561	1	433	25	EM	2.60	1.000	70	56	11	137	1	0	
human	MAD2L2	Q9UI95	1	211	24	EM;X-ray	1.43	1.000	65	18	7	90	1	0	
human	MYC	P01106	1	454	24	EM;NMR;X-ray	1.35	0.198	149	42	18	209	1	0	
human	ANAPC2	Q9UJX6	1	822	23	EM;NMR;X-ray	1.80	1.000	7	5	3	15	1	0	
human	DNMT1	P26358	1	1616	23	EM;NMR;X-ray	1.79	0.783	31	8	2	41	1	0	
human	CAMK2A	Q9UQM7	1	478	22	EM;X-ray	1.85	0.992	105	15	4	124	1	0	
human	CTLA4	P16410	1	223	22	NMR;X-ray	1.10	0.565	21	10	6	37	1	0	
human	EIF2B4	Q9UI10	1	523	22	EM	2.27	1.000	27	7	5	39	1	0	
human	EIF3E	P60228	1	445	22	EM	2.65	1.000	72	3	12	87	1	0	
yeast	ORC1	P54784	1	914	22	EM;X-ray	2.20	1.000	37	8	7	52	1	0	
DESVH	Q72AS3	Q72AS3	0	510	21	X-ray	0.95	0.978	3	0	0	3	1	0	
human	ADRM1	Q16186	1	407	21	NMR;X-ray	1.42	1.000	36	2	6	44	1	0	
human	BECN1	Q14457	1	450	21	EM;NMR;X-ray	1.14	1.000	184	26	7	217	1	0	
human	CDH1	P12830	1	882	21	EM;X-ray	1.60	0.617	91	14	33	138	1	0	
human	CRYAB	P02511	1	175	21	EM;NMR;Other;X-ray	1.37	1.000	61	8	12	81	1	0	
human	GPX4	P36969	1	197	21	X-ray	1.01	0.863	10	4	5	19	1	0	
human	HDAC6	Q9UBN7	1	1215	21	X-ray	1.05	0.294	64	30	16	110	1	1	GO:0004407|histone deacetylase activity|MARK_AS_OVER_ANNOTATED
human	TFRC	P02786	1	760	21	EM;X-ray	1.85	1.000	59	21	24	104	1	0	
human	TSG101	Q99816	1	390	21	NMR;X-ray	1.40	0.372	131	15	24	170	1	0	
BPT4	bgt	P04547	0	351	20	X-ray	1.65	1.000	1	0	0	1	1	0	
human	AP1B1	Q10567	1	949	20	EM;X-ray	2.34	1.000	7	0	1	8	1	0	
human	AXIN1	O15169	1	862	20	X-ray	1.57	0.171	132	6	15	153	1	0	
human	GAPDH	P04406	1	335	20	EM;X-ray	1.52	1.000	47	12	23	82	1	3	GO:0016491|oxidoreductase activity|REMOVE;GO:0016620|oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor|REMOVE;GO:0016740|transferase activity|REMOVE
human	LYRM4	Q9HD34	1	91	20	EM;X-ray	1.57	1.000	11	2	7	20	1	0	
human	NFE2L2	Q16236	1	605	20	NMR;X-ray	1.50	0.180	99	24	11	134	1	0	
human	NFS1	Q9Y697	1	457	20	EM;X-ray	1.57	0.882	25	6	15	46	1	0	
yeast	ASF1	P32447	1	279	20	EM;NMR;Other;X-ray	1.50	1.000	51	12	5	68	1	0	
yeast	CCT2	P39076	1	527	20	EM;X-ray	2.99	1.000	7	2	3	12	1	0	
yeast	CCT3	P39077	1	534	20	EM;X-ray	2.99	1.000	3	2	2	7	1	0	
yeast	CCT4	P39078	1	528	20	EM;X-ray	2.99	1.000	24	2	2	28	1	0	
yeast	CCT6	P39079	1	546	20	EM;X-ray	2.99	1.000	4	2	1	7	1	0	
yeast	CCT7	P42943	1	550	20	EM;X-ray	2.99	1.000	1	2	3	6	1	0	
yeast	CCT8	P47079	1	568	20	EM;X-ray	2.99	1.000	9	2	3	14	1	0	
yeast	TCP1	P12612	1	559	20	EM;X-ray	2.99	1.000	15	2	3	20	1	0	
ACET2	P51584	P51584	0	1077	19	X-ray	1.40	0.483	2	0	1	3	1	0	
ECOLI	surA	P0ABZ6	0	428	19	EM;X-ray	1.30	0.956	7	7	3	17	1	0	
ECOLX	mcr-1	A0A0R6L508	0	541	19	EM;X-ray	1.32	1.000	0	0	1	1	1	0	
human	DDA1	Q9BW61	1	102	19	EM;X-ray	1.90	1.000	10	1	4	15	1	0	
human	HDAC4	P56524	1	1084	19	X-ray	1.57	0.378	101	20	12	133	1	1	GO:0016787|hydrolase activity|MARK_AS_OVER_ANNOTATED
human	PDCD6IP	Q8WUM4	1	868	19	X-ray	1.87	0.804	58	13	15	86	1	0	
human	RB1	P06400	1	928	19	X-ray	1.67	0.792	164	18	11	193	1	0	
yeast	CCT5	P40413	1	562	19	EM;X-ray	2.99	1.000	3	2	2	7	1	0	
yeast	GET3	Q12154	1	354	19	X-ray	1.99	1.000	47	10	4	61	1	0	
BACSU	secA	P28366	0	841	18	EM;X-ray	2.18	1.000	0	0	0	0	0	0	
BPT4	5	P16009	0	575	18	EM;X-ray	1.15	1.000	7	2	2	11	1	0	
human	CBS	P35520	1	551	18	EM;X-ray	1.71	1.000	63	12	3	78	1	0	
human	ISCU	Q9H1K1	1	167	18	EM;X-ray	1.57	0.796	41	8	10	59	1	0	
human	LMAN1	P49257	1	510	18	EM;X-ray	1.60	1.000	16	3	10	29	1	0	
human	MUC1	P15941	1	1255	18	NMR;X-ray	1.56	0.088	13	6	8	27	1	0	
human	PPP3CA	Q08209	1	521	18	EM;NMR;X-ray	1.45	1.000	49	15	14	78	1	0	
CHLRE	psaC	Q00914	1	81	17	EM;X-ray	2.31	1.000	0	0	0	0	0	0	
human	CDC25B	P30305	1	580	17	X-ray	1.50	0.364	39	4	2	45	1	0	
human	PIK3CD	O00329	1	1044	17	X-ray	2.21	1.000	13	9	1	23	1	0	
human	TERT	O14746	1	1132	17	EM;X-ray	1.77	1.000	69	28	23	120	1	3	GO:0016740|transferase activity|MARK_AS_OVER_ANNOTATED;GO:0016779|nucleotidyltransferase activity|MARK_AS_OVER_ANNOTATED;GO:0034061|DNA polymerase activity|MARK_AS_OVER_ANNOTATED
human	TNFAIP3	P21580	1	790	17	NMR;X-ray	1.70	0.468	60	22	2	84	1	0	
mouse	Calm1	P0DP26	1	149	17	EM;X-ray	1.90	1.000	5	7	10	22	1	0	
DROME	Dscam1	Q0E9H9	1	2016	16	X-ray	1.90	0.402	3	30	5	38	1	0	
human	FXN	Q16595	1	210	16	EM;NMR;X-ray	1.15	0.805	29	15	9	53	1	0	
human	STUB1	Q9UNE7	1	303	16	EM;X-ray	1.30	0.455	151	33	13	197	1	0	
human	TOP2B	Q02880	1	1626	16	EM;X-ray	1.90	1.000	12	4	10	26	1	0	
mouse	Ctnnb1	Q02248	1	781	16	X-ray	1.80	0.689	137	243	182	562	1	0	
rat	Aldh1l1	P28037	1	902	16	EM;X-ray	1.70	1.000	8	4	2	14	1	0	
ARATH	BRI1	O22476	1	1196	15	X-ray	1.98	0.659	42	12	7	61	1	0	
MYCTU	clpP2	P9WPC3	0	214	15	EM;X-ray	2.15	1.000	1	0	1	2	1	0	
human	EIF2AK3	Q9NZJ5	1	1116	15	X-ray	1.80	0.466	21	20	3	44	1	3	GO:0004713|protein tyrosine kinase activity|REMOVE;GO:0004713|protein tyrosine kinase activity|REMOVE;GO:0004715|non-membrane spanning protein tyrosine kinase activity|REMOVE
human	RASA1	P20936	1	1047	15	NMR;X-ray	1.50	0.446	37	9	2	48	1	1	GO:0003924|GTPase activity|REMOVE
yeast	ATG7	P38862	1	630	15	NMR;X-ray	1.60	0.973	20	15	7	42	1	0	
yeast	CHD1	P32657	1	1468	15	EM;NMR;X-ray	2.00	1.000	45	24	8	77	1	0	
yeast	ESA1	Q08649	1	445	15	EM;NMR;X-ray	1.90	1.000	67	13	4	84	1	0	
yeast	NMD3	P38861	1	518	15	EM	2.64	1.000	8	2	1	11	1	0	
yeast	SWI2	P22082	1	1703	15	EM;X-ray	2.15	1.000	73	23	8	104	1	0	
ARATH	PYR1	O49686	1	191	14	X-ray	1.52	1.000	45	4	8	57	1	1	GO:0019207|kinase regulator activity|MARK_AS_OVER_ANNOTATED
human	BIRC6	Q9NR09	1	4857	14	EM;X-ray	1.98	1.000	18	3	8	29	1	0	
human	BRCA2	P51587	1	3418	14	EM;X-ray	1.21	0.019	69	11	18	98	1	1	GO:0004402|histone acetyltransferase activity|REMOVE
human	CAND1	Q86VP6	1	1230	14	EM;X-ray	2.70	1.000	35	7	14	56	1	0	
human	CD47	Q08722	1	323	14	X-ray	1.85	1.000	17	10	2	29	1	0	
human	DNAJB1	P25685	1	340	14	EM;NMR;X-ray	1.85	0.559	35	5	6	46	1	0	
human	P4HB	P07237	1	508	14	EM;NMR;X-ray	2.05	1.000	76	9	16	101	1	1	GO:0004656|procollagen-proline 4-dioxygenase activity|MARK_AS_OVER_ANNOTATED
human	PRDX4	Q13162	1	271	14	EM;X-ray	1.80	1.000	12	0	4	16	1	2	GO:0004601|peroxidase activity|MARK_AS_OVER_ANNOTATED;GO:0016491|oxidoreductase activity|MARK_AS_OVER_ANNOTATED
human	PTPN6	P29350	1	595	14	NMR;X-ray	1.37	1.000	80	17	10	107	1	0	
human	RARA	P10276	1	462	14	X-ray	1.58	0.582	100	30	13	143	1	0	
human	SPR	P35270	1	261	14	X-ray	1.43	1.000	0	1	4	5	1	1	GO:0008106|alcohol dehydrogenase (NADP+) activity|REMOVE
human	UCHL1	P09936	1	223	14	NMR;X-ray	1.80	1.000	63	3	4	70	1	0	
human	UFM1	P61960	1	85	14	EM;NMR;X-ray	1.60	1.000	17	13	4	34	1	0	
human	AIMP2	Q13155	1	320	13	EM;X-ray	1.40	0.725	86	0	3	89	1	0	
human	ATP7B	P35670	1	1465	13	EM;NMR;X-ray	1.60	1.000	12	8	10	30	1	0	
human	CYCS	P99999	1	105	13	NMR;X-ray	1.25	0.990	30	0	10	40	1	0	
human	EMC7	Q9NPA0	1	242	13	EM;X-ray	2.00	1.000	12	5	5	22	1	0	
human	IL13	P35225	1	146	13	EM;NMR;X-ray	1.90	0.904	7	11	2	20	1	0	
human	ORMDL3	Q8N138	1	153	13	EM	2.70	1.000	29	6	4	39	1	0	
human	TRAF6	Q9Y4K3	1	522	13	NMR;X-ray	1.80	0.310	170	53	12	235	1	0	
ARATH	COP1	P43254	1	675	12	EM;X-ray	1.11	1.000	56	10	6	72	1	1	GO:0016740|transferase activity|MARK_AS_OVER_ANNOTATED
DESVH	P07598	P07598	0	421	12	NMR;X-ray	1.01	1.000	0	0	0	0	0	0	
ECOLI	sucB	P0AFG6	0	405	12	EM;NMR;X-ray	2.20	0.575	0	0	0	16	1	0	
human	BAIAP2	Q9UQB8	1	552	12	X-ray	1.09	0.453	63	1	7	71	1	0	
human	BTF3	P20290	1	206	12	EM;X-ray	1.90	1.000	7	1	2	10	1	0	
human	CDK1	P06493	1	297	12	EM;X-ray	2.00	1.000	115	22	15	152	1	0	
human	COPS2	P61201	1	443	12	EM;X-ray	2.45	1.000	44	2	6	52	1	0	
human	FKBP4	Q02790	1	459	12	EM;X-ray	1.70	1.000	48	1	5	54	1	0	
human	FZD7	O75084	1	574	12	EM;X-ray	1.30	0.944	44	18	4	66	1	0	
human	HMGB1	P09429	1	215	12	EM;NMR;X-ray	3.15	0.772	49	42	10	101	1	0	
human	MAD2L1	Q13257	1	205	12	EM;NMR;X-ray	1.95	1.000	104	8	13	125	1	0	
human	PTEN	P60484	1	403	12	NMR;X-ray	1.87	1.000	59	31	18	108	1	0	
human	SMAD3	P84022	1	425	12	NMR;X-ray	1.70	0.485	190	54	22	266	1	0	
human	TOMM20	Q15388	1	145	12	EM;X-ray	1.90	1.000	10	1	7	18	1	1	GO:0015450|protein-transporting ATPase activity|REMOVE
human	UBA5	Q9GZZ9	1	404	12	NMR;X-ray	1.85	0.770	43	16	7	66	1	0	
mouse	Notch1	Q01705	1	2531	12	NMR;X-ray	1.47	0.107	41	200	36	277	1	0	
yeast	HSP104	P31539	1	908	12	EM;X-ray	2.54	1.000	34	7	5	46	1	0	
yeast	HST2	P53686	1	357	12	X-ray	1.50	1.000	4	5	2	11	1	0	
METEA	fae	Q9FA38	0	170	11	EM;X-ray	1.90	0.994	0	0	0	0	0	1	GO:0016840|carbon-nitrogen lyase activity|REMOVE
human	APBB1	O00213	1	710	11	NMR;X-ray	1.33	0.197	30	5	8	43	1	0	
human	CDK5R1	Q15078	1	307	11	X-ray	1.95	0.678	36	3	6	45	1	0	
human	CHAF1A	Q13111	1	956	11	EM;X-ray	3.42	1.000	31	3	6	40	1	0	
human	CHAF1B	Q13112	1	559	11	EM;X-ray	3.42	1.000	7	3	8	18	1	0	
human	CHMP1B	Q7LBR1	1	199	11	EM;X-ray	1.00	1.000	42	21	16	79	1	0	
human	COPS8	Q99627	1	209	11	EM;X-ray	3.80	1.000	61	4	8	73	1	0	
human	FOXO1	Q12778	1	655	11	NMR;X-ray	1.60	0.195	39	16	15	70	1	0	
human	GCH1	P30793	1	250	11	EM;X-ray	1.73	0.840	19	21	9	49	1	2	GO:0003824|catalytic activity|MARK_AS_OVER_ANNOTATED;GO:0016787|hydrolase activity|MARK_AS_OVER_ANNOTATED
human	PEX5	P50542	1	639	11	NMR;X-ray	2.20	0.576	63	26	14	103	1	0	
human	THBS1	P07996	1	1170	11	X-ray	1.45	0.288	32	67	24	123	1	0	
human	TNFRSF1A	P19438	1	455	11	EM;NMR;X-ray	1.40	0.400	48	9	5	62	1	0	
human	TOMM22	Q9NS69	1	142	11	EM	2.53	1.000	11	1	7	19	1	0	
human	TOMM40	O96008	1	361	11	EM	2.53	1.000	3	2	10	15	1	0	
human	TOMM5	Q8N4H5	1	51	11	EM	2.53	1.000	0	0	3	3	1	0	
human	TOMM6	Q96B49	1	74	11	EM	2.53	1.000	11	0	2	13	1	0	
human	TOMM7	Q9P0U1	1	55	11	EM	2.53	1.000	3	3	3	9	1	0	
human	TOP2A	P11388	1	1531	11	EM;X-ray	1.15	1.000	36	9	18	63	1	0	
human	UCK2	Q9BZX2	1	261	11	X-ray	1.80	1.000	5	4	0	9	1	2	GO:0016301|kinase activity|MARK_AS_OVER_ANNOTATED;GO:0016740|transferase activity|MARK_AS_OVER_ANNOTATED
human	UPF1	Q92900	1	1129	11	EM;X-ray	2.40	0.718	101	13	9	123	1	1	GO:0016787|hydrolase activity|MARK_AS_OVER_ANNOTATED
mouse	Dnmt1	P13864	1	1620	11	X-ray	2.10	0.821	29	24	13	66	1	0	
yeast	SIR3	P06701	1	978	11	X-ray	1.85	0.390	14	13	9	36	1	0	
ARATH	EDS1	Q9SU72	1	623	10	EM;X-ray	2.29	1.000	15	12	14	41	1	1	GO:0016298|lipase activity|REMOVE
human	ARIH1	Q9Y4X5	1	557	10	EM;NMR;X-ray	3.24	1.000	28	6	12	46	1	0	
human	ATP5MC1	P05496	1	136	10	EM	2.53	0.551	7	2	3	12	1	0	
human	ATP6AP2	O75787	1	350	10	EM;X-ray	2.00	1.000	20	12	11	43	1	0	
human	BAG6	P46379	1	1132	10	EM;NMR;X-ray	1.30	0.114	43	17	17	77	1	0	
human	CALCOCO2	Q13137	1	446	10	NMR;X-ray	1.35	0.296	212	4	7	223	1	0	
human	CALR	P27797	1	417	10	EM;X-ray	1.55	1.000	100	19	25	144	1	0	
human	CASP9	P55211	1	416	10	EM;X-ray	1.50	0.668	56	12	4	72	1	0	
human	CD28	P10747	1	220	10	NMR;X-ray	0.90	0.618	20	14	6	40	1	0	
human	CDK5	Q00535	1	292	10	X-ray	1.90	1.000	78	3	8	89	1	0	
human	CLTC	Q00610	1	1675	10	X-ray	1.40	0.217	35	13	19	67	1	0	
