map	kegg_reaction	model_reaction	fba_flux	gpr	genes
rn00220	R00248	GLUDy	-4.46856	PP_0675	PP_0675
rn00220	R00355	ASPTA	-1.28137	PP_3721 or PP_1972	PP_1972;PP_3721
rn00220	R00258	ALATA_L	-0.382373	PP_1872 or PP_0817	PP_0817;PP_1872
rn00220	R00575	CBPS	0	PP_4723 and PP_4724	PP_4723;PP_4724
rn00250	R00578	ASNS1	0.0931522	PP_1750	PP_1750
rn00250	R00485	ASNN	0	PP_0495 or PP_1160	PP_0495;PP_1160
rn00250	R00357	ASPO1	0	PP_1426	PP_1426
rn00250	R00355	ASPTA	-1.28137	PP_3721 or PP_1972	PP_1972;PP_3721
rn00250	R01954	ARGSS	0.207633	PP_1088	PP_1088
rn00250	R01135	ADSS	0.181545	PP_4889	PP_4889
rn00250	R00490	ASPT	0	PP_5338	PP_5338
rn00250	R01086	ARGSL	0.207633	PP_0184	PP_0184
rn00250	R01083	ADSL1r	0.181545	PP_4016	PP_4016
rn00250	R00258	ALATA_L	-0.382373	PP_1872 or PP_0817	PP_0817;PP_1872
rn00250	R01397	ASPCT	0.194378	PP_4998 and PP_4999	PP_4998;PP_4999
rn00250	R00713	SSALx	0	PP_3151	PP_3151
rn00250	R00714	SSALy	0	PP_0213 or PP_2488 or PP_3151 or PP_4422	PP_0213;PP_2488;PP_3151;PP_4422
rn00250	R00114	GLUSy	0	PP_5075 and PP_5076	PP_5075;PP_5076
rn00250	R00243	GLUDxi	0	PP_2080	PP_2080
rn00250	R00248	GLUDy	-4.46856	PP_0675	PP_0675
rn00250	R01648	ABTA	0	PP_0214 or PP_4108	PP_0214;PP_4108
rn00250	R00253	GLNS			
rn00250	R00256	GLUNpp	0	PP_2453	PP_2453
rn00250	R00575	CBPS	0	PP_4723 and PP_4724	PP_4723;PP_4724
rn00250	R00707	P5CD	0	PP_4947	PP_4947
rn00250	R00768	GF6PTA	0.046383	PP_5409	PP_5409
rn00250	R01072	GLUPRT	0.243195	PP_2000	PP_2000
rn00260	R06977	DABAAT2	-0.000130704	PP_2800 or PP_4223 or PP_4421	PP_2800;PP_4223;PP_4421
rn00260	R02565	BETALDHx	0	PP_5063	PP_5063
rn00260	R02566	BETALDHy	0	PP_5063	PP_5063
rn00260	R01514	GLYCK	0	PP_3178	PP_3178
rn00260	R01513	PGCD	1.09237	PP_5155	PP_5155
rn00260	R01388	HPYRRx	0	PP_0762	PP_0762
rn00260	R01290	CYSTS	0	PP_0658	PP_0658
rn00260	R01001	CYSTGL	0	PP_4594 or PP_0659	PP_0659;PP_4594
rn00260	R00480	ASPK	0.193147	PP_4473	PP_4473
rn00260	R04173	PSERT	1.09237	PP_1768	PP_1768
rn00260	R00610	SARCOX	0	PP_0323 and PP_0324 and PP_0325 and PP_0326	PP_0323;PP_0324;PP_0325;PP_0326
rn00260	R00582	PSP_L	1.09237	PP_4909	PP_4909
rn00260	R00945	GHMT2r	0.641718	PP_0671 or PP_0322	PP_0322;PP_0671
rn00260	R00996	THRD_L	0.143336	PP_3446 or PP_4430 or PP_5149	PP_3446;PP_4430;PP_5149
rn00260	R00751	THRA	-0.293572	PP_0321	PP_0321
rn00260	R00366	GLYO1	0	PP_0612	PP_0612
rn00260	R01466	THRS	0	PP_1471 or PP_0662	PP_0662;PP_1471
rn00260	R02291	ASAD	-0.193147	PP_1989	PP_1989
rn00260	R00220	SERD_L	0	PP_3144 or PP_0297 or PP_0987	PP_0297;PP_0987;PP_3144
rn00260	R01771	HSK	0	PP_0121	PP_0121
rn00260	R01775	HSDy	-0.0717724	PP_0664 or PP_1470	PP_0664;PP_1470
rn00260	R02529	AACTOOR	0		
rn00260	R01392	HPYRRy	0	PP_4300	PP_4300
rn00260	R03759	APPLDHr	0.000130704		
rn00260	R06171	THRA2	-0.000130704	PP_0321	PP_0321
rn00260	R08557	CHOLD	0	PP_5064	PP_5064
rn00260	R01566	CREAT	0	PP_3667	PP_3667
rn00260	R02722	TRPS1			
rn00260	R01518	PGM	-3.97245	PP_5056	PP_5056
rn00260	R10851	ATHRDHr	0.000130704	PP_4862	PP_4862
rn00260	R12967	SARCOX2	0	PP_0323 and PP_0324 and PP_0325 and PP_0326	PP_0323;PP_0324;PP_0325;PP_0326
rn00270	R01288	SHSL2r	0	PP_2528	PP_2528
rn00270	R07396	UNK3	0	PP_3590 or PP_1972	PP_1972;PP_3590
rn00270	R04420	MTRI	0	PP_1766	PP_1766
rn00270	R02025	METSOXR1	0	((PP_0336 or PP_1877) and PP_5069) or ((PP_0336 or PP_1877) and PP_5215) or ((PP_0336 or PP_1877) and PP_0510)	PP_0336;PP_0510;PP_1877;PP_5069;PP_5215
rn00270	R01001	CYSTGL	0	PP_4594 or PP_0659	PP_0659;PP_4594
rn00270	R01290	CYSTS	0	PP_0658	PP_0658
rn00270	R00946	METS	0.0743478	PP_2698 or PP_2375	PP_2375;PP_2698
rn00270	R01286	CYSTL	0		
rn00270	R00177	METAT	0.00322892	PP_4967	PP_4967
rn00270	R00192	AHCi	0.0025754	PP_4976	PP_4976
rn00270	R11063	HCYSMT2	0	PP_0658	PP_0658
rn00270	R00897	CYSS	0.0351776	PP_4571 or PP_1654	PP_1654;PP_4571
rn00270	R00586	SERAT			
rn00270	R03132	SLCYSS	0	PP_1654	PP_1654
rn00270	R00903	DLCYSR	0	PP_3722	PP_3722
rn00270	R00782	CYSDS	0		
rn00270	R01776	HSERTA	0.0717724	PP_5097 and PP_5098	PP_5097;PP_5098
rn00270	R03260	SHSL1	0	PP_0659 or PP_4594	PP_0659;PP_4594
rn00270	R01287	AHSERL2	0.0717724	PP_2528 or PP_2001	PP_2001;PP_2528
rn00270	R01775	HSDy	-0.0717724	PP_0664 or PP_1470	PP_0664;PP_1470
rn00270	R02291	ASAD	-0.193147	PP_1989	PP_1989
rn00270	R00480	ASPK	0.193147	PP_4473	PP_4473
rn00270	R00863	CYSSADS	0	PP_1529	PP_1529
rn00270	R01513	PGCD	1.09237	PP_5155	PP_5155
rn00270	R04173	PSERT	1.09237	PP_1768	PP_1768
rn00270	R00654	METGL	0	PP_1308	PP_1308
rn00270	R01771	HSK	0	PP_0121	PP_0121
rn00290	R00996	THRD_L	0.143336	PP_3446 or PP_4430 or PP_5149	PP_3446;PP_4430;PP_5149
rn00290	R02199	ILETA	-0.143336	PP_3511	PP_3511
rn00290	R01090	LEUTA	0	PP_3511	PP_3511
rn00290	R03968	IPPMIb	-0.368533	PP_1985 and PP_1986	PP_1985;PP_1986
rn00290	R04426	IPMD	0.368533	PP_1988	PP_1988
rn00290	R04001	IPPMIa	-0.368533	PP_1985 and PP_1986	PP_1985;PP_1986
rn00290	R01213	IPPS	0.368533	PP_1025	PP_1025
rn00290	R01214	VALTA	-0.22802	PP_3511	PP_3511
rn00290	R04441	DHAD1			
rn00290	R05070	DHAD2	0.143336	PP_5128	PP_5128
rn00290	R08648	ACHBS	0.143336	PP_4679 and PP_4680	PP_4679;PP_4680
rn00290	R01088	LLEUDr	-0.368533	PP_4617	PP_4617
rn00290	R01434	VALDHr	0	PP_4617	PP_4617
rn00290	R01652	OMCDC	0.368533	PP_s0001	PP_s0001
rn00290	R00226	ACLS	0.596889	(PP_4679 and PP_4680) or PP_1157 or PP_3365	PP_1157;PP_3365;PP_4679;PP_4680
rn00300	R04617	UGMDDS	0.0155462	PP_1333	PP_1333
rn00300	R00480	ASPK	0.193147	PP_4473	PP_4473
rn00300	R02291	ASAD	-0.193147	PP_1989	PP_1989
rn00300	R01775	HSDy	-0.0717724	PP_0664 or PP_1470	PP_0664;PP_1470
rn00300	R04365	THDPS	0.121244	PP_1530	PP_1530
rn00300	R04475	SDPTA	-0.121244	PP_1588 or PP_4481	PP_1588;PP_4481
rn00300	R02734	SDPDS	0.121244	PP_1525	PP_1525
rn00300	R02735	DAPE	0.121244	PP_3790 or PP_5228	PP_3790;PP_5228
rn00300	R00451	DAPDC	0.105698	PP_5227 or PP_2077	PP_2077;PP_5227
rn00300	R01939	AATA	0		
rn00300	R02788	UAAGDS	0.0155462	PP_1332	PP_1332
rn00340	R02286	FORGLUIH2	0	PP_5036	PP_5036
rn00340	R00525	NFORGLUAH2	0	PP_5029	PP_5029
rn00340	R02288	IZPN	0	PP_5030	PP_5030
rn00340	R02914	URCN	0	PP_5033	PP_5033
rn00340	R01168	HISDr	0	PP_5032	PP_5032
rn00340	R01166	NBAHH_ir	0	PP_3844 or PP_0203	PP_0203;PP_3844
rn00340	R01071	ATPPRT	0.0740202	PP_0965 and PP_4890	PP_0965;PP_4890
rn00340	R03013	HISTP	0.0740202	PP_0059	PP_0059
rn00340	R03243	HSTPT	0.0740202	PP_0967	PP_0967
rn00340	R03457	IGPDH	0.0740202	PP_0289	PP_0289
rn00340	R04640	PRMICI			
rn00340	R04037	PRAMPC			
rn00340	R04035	PRATPP	0.0740202	PP_5015	PP_5015
rn00340	R04558	IG3PS	0.0740202	PP_0293 and PP_0290	PP_0290;PP_0293
rn00340	R00894	GLUCYS			
rn00362	R01298	4HBHYOX	0	PP_3537	PP_3537
rn00362	R01631	PCADYOX	0	PP_4655 and PP_4656	PP_4655;PP_4656
rn00362	R03307	MUCCY_kt	0	PP_1379	PP_1379
rn00362	R03470	4CMLCL_kt	0	PP_1381 or PP_3648	PP_1381;PP_3648
rn00362	R03026	ECOAH1	0	PP_2217 or PP_2136	PP_2136;PP_2217
rn00362	R00238	KAT1	0	PP_2137 or PP_2215	PP_2137;PP_2215
rn00362	R00829	3OXCOAT	0	PP_3280 or PP_1377	PP_1377;PP_3280
rn00362	R00813	BZDIOLDH	0	PP_3164 or pWW0_099	PP_3164;pWW0_099
rn00362	R02991	OXOAEL	0	PP_1380	PP_1380
rn00362	R06990	MUCLI	0	PP_3714	PP_3714
rn00362	R06989	MUCCYCI	0	PP_3715	PP_3715
rn00362	R00817	CATDOX	0	PP_3166 or PP_3713	PP_3166;PP_3713
rn00362	R05621	BZ12DOX	0	(pWW0_102 and pWW0_101 and pWW0_100) or (PP_3161 and PP_3162 and PP_3163)	PP_3161;PP_3162;PP_3163;pWW0_100;pWW0_101;pWW0_102
rn00362	R02990	3OADPCOAT	0	PP_3951 and PP_3952	PP_3951;PP_3952
rn00362	R00816	CAT23DOX	0	pWW0_097	pWW0_097
rn00362	R00750	HOPNTAL	0	pWW0_092	pWW0_092
rn00362	R03966	4OT	0	pWW0_090 or PP_2504	PP_2504;pWW0_090
rn00362	R02762	HMSD	0	pWW0_096	pWW0_096
rn00362	R00228	ACALD	-0.293702	pWW0_093	pWW0_093
rn00620	R00345	PPC	0.23855	PP_1505	PP_1505
rn00620	R00341	PPCK	0	PP_0253	PP_0253
rn00620	R00199	PPS	0	PP_2082	PP_2082
rn00620	R00200	PYK	3.23236	PP_4301 or PP_1362	PP_1362;PP_4301
rn00620	R02530	LGTHL	0	PP_3766	PP_3766
rn00620	R00704	LDH_D	0	PP_1649	PP_1649
rn00620	R01736	GLYOX	0	PP_4144	PP_4144
rn00620	R01446	LCADi	0	PP_0545 or PP_2694	PP_0545;PP_2694
rn00620	R00217	OAADC	0	PP_1024	PP_1024
rn00620	R00344	PC	0	PP_5347 and PP_5346	PP_5346;PP_5347
rn00620	R00216	ME2	0	PP_5085	PP_5085
rn00620	R00342	MDH	4.53374	PP_0654	PP_0654
rn00620	R01257	DMALRED	0	PP_0751 or PP_1251 or PP_2925	PP_0751;PP_1251;PP_2925
rn00620	R00472	MALS	1.13704	PP_0356	PP_0356
rn00620	R00230	PTAr	0	PP_0774	PP_0774
rn00620	R00710	ALDD2x	0	PP_2589 or PP_0545 or PP_2694	PP_0545;PP_2589;PP_2694
rn00620	R00228	ACALD	-0.293702	pWW0_093	pWW0_093
rn00620	R00238	KAT1	0	PP_2137 or PP_2215	PP_2137;PP_2215
rn00620	R01213	IPPS	0.368533	PP_1025	PP_1025
rn00620	R00742	ACCOAC	1.13369	PP_1607 and PP_0559 and PP_0558 and PP_1996	PP_0558;PP_0559;PP_1607;PP_1996
rn00620	R01082	FUM	3.3967	PP_0944 or PP_1755 or PP_0897	PP_0897;PP_0944;PP_1755
rn00620	R00711	ALDD2y	0	PP_2492	PP_2492
rn00620	R00754	ALCD2x	0	PP_3839 or PP_1616	PP_1616;PP_3839
rn00630	R01394	HPYRI	0	PP_4298	PP_4298
rn00630	R01900	ACONTb	3.49091	PP_2339 or PP_2112	PP_2112;PP_2339
rn00630	R00479	ICL	1.13651	PP_4116	PP_4116
rn00630	R00525	NFORGLUAH2	0	PP_5029	PP_5029
rn00630	R00944	FTHFD	0	PP_0327 or PP_1367 or PP_1943	PP_0327;PP_1367;PP_1943
rn00630	R01325	ACONTa	3.49091	PP_2112 or PP_2339	PP_2112;PP_2339
rn00630	R00475	GLYCTO1	0.000522817	PP_3745 and PP_3746 and PP_3747	PP_3745;PP_3746;PP_3747
rn00630	R00465	GLYCLTDy	0	PP_4300	PP_4300
rn00630	R00717	GLYCLTDx	0	PP_0762	PP_0762
rn00630	R00466	GLXO3r	0		
rn00630	R00519	FDH	0.00222197	(PP_2183 and PP_2184 and PP_2185 and PP_2186) or (PP_0489 and PP_0490 and PP_0491 and PP_0492)	PP_0489;PP_0490;PP_0491;PP_0492;PP_2183;PP_2184;PP_2185;PP_2186
rn00630	R00351	CS	3.49091	PP_4194	PP_4194
rn00630	R01333	GCALDD	0.000522817	PP_2680 or PP_0545	PP_0545;PP_2680
rn00630	R01388	HPYRRx	0	PP_0762	PP_0762
rn00630	R01392	HPYRRy	0	PP_4300	PP_4300
rn00630	R01745	TRSARr	0	PP_4299	PP_4299
rn00630	R00013	GLXCL	0	PP_4297	PP_4297
rn00630	R00472	MALS	1.13704	PP_0356	PP_0356
rn00630	R00342	MDH	4.53374	PP_0654	PP_0654
rn00630	R01514	GLYCK	0	PP_3178	PP_3178
rn00630	R01334	PGLYCP	0	PP_0416 or PP_1764	PP_0416;PP_1764
rn00630	R00238	KAT1	0	PP_2137 or PP_2215	PP_2137;PP_2215
rn00630	R03027	HBCHLR	0	PP_4817	PP_4817
rn00630	R00945	GHMT2r	0.641718	PP_0671 or PP_0322	PP_0322;PP_0671
rn00630	R01221	GLYCL	0	(PP_5193 and PP_5192 and PP_5194 and PP_4187) or (PP_0989 and PP_0988 and PP_0986 and PP_4187)	PP_0986;PP_0988;PP_0989;PP_4187;PP_5192;PP_5193;PP_5194
rn00630	R00009	CAT	0.000457465	PP_0115 or PP_3668	PP_0115;PP_3668
rn00630	R00253	GLNS			
rn00630	R00235	ACS	0.344669	PP_4487 or PP_4702 or PP_3071	PP_3071;PP_4487;PP_4702
rn00670	R00939	DHFR	0.00688454	PP_5132	PP_5132
rn00670	R07168	MTHFR2	0.0744785	PP_4977	PP_4977
rn00670	R01655	MTHFC	0.56041	PP_2265 or PP_1945	PP_1945;PP_2265
rn00670	R01220	MTHFD	0.56041	PP_1945 or PP_2265	PP_1945;PP_2265
rn00670	R02301	FTHFCL	0	PP_5203	PP_5203
rn00670	R02300	THFAT	0	PP_0671 or PP_0322	PP_0322;PP_0671
rn00670	R00944	FTHFD	0	PP_0327 or PP_1367 or PP_1943	PP_0327;PP_1367;PP_1943
rn00670	R04325	GARFT	0.243195	PP_1664	PP_1664
rn00670	R04560	AICART	0.317084	PP_4822	PP_4822
rn00670	R00946	METS	0.0743478	PP_2698 or PP_2375	PP_2375;PP_2698
rn00670	R00945	GHMT2r	0.641718	PP_0671 or PP_0322	PP_0322;PP_0671
rn00670	R02101	TMDS	0.00636172	PP_5141	PP_5141
rn00670	R01221	GLYCL	0	(PP_5193 and PP_5192 and PP_5194 and PP_4187) or (PP_0989 and PP_0988 and PP_0986 and PP_4187)	PP_0986;PP_0988;PP_0989;PP_4187;PP_5192;PP_5193;PP_5194
rn00670	R11063	HCYSMT2	0	PP_0658	PP_0658
rn00670	R00177	METAT	0.00322892	PP_4967	PP_4967
rn00670	R00192	AHCi	0.0025754	PP_4976	PP_4976
rn00670	R01290	CYSTS	0	PP_0658	PP_0658
rn00670	R01001	CYSTGL	0	PP_4594 or PP_0659	PP_0659;PP_4594
rn00670	R02565	BETALDHx	0	PP_5063	PP_5063
rn00670	R02566	BETALDHy	0	PP_5063	PP_5063
rn00670	R08557	CHOLD	0	PP_5064	PP_5064
rn00770	R00130	DPCOAK	0.000337018	PP_0631	PP_0631
rn00770	R03269	PPCDC	0.000337018	PP_5285	PP_5285
rn00770	R04231	PPNCL2	0.000337018	PP_5285	PP_5285
rn00770	R03018	PNTK	0.000337018	PP_0438	PP_0438
rn00770	R00905	UPPN	0.000337018	PP_0614 or PP_4034	PP_0614;PP_4034
rn00770	R02269	DHPM1	0.000337018	PP_4036	PP_4036
rn00770	R00978	DURAD	-0.000337018	PP_4038 and PP_4037	PP_4037;PP_4038
rn00770	R02473	PANTS	0.000337018	PP_4700	PP_4700
rn00770	R02472	DPR	0.000337018	PP_2998 or PP_1351 or PP_2325	PP_1351;PP_2325;PP_2998
rn00770	R01226	MOHMT	0.000337018	PP_4699	PP_4699
rn00770	R01214	VALTA	-0.22802	PP_3511	PP_3511
rn00770	R04441	DHAD1			
rn00770	R04439	KARA1	-0.596889	PP_4678	PP_4678
rn00770	R00226	ACLS	0.596889	(PP_4679 and PP_4680) or PP_1157 or PP_3365	PP_1157;PP_3365;PP_4679;PP_4680
rn00770	R03035	PTPATi	0	PP_5123	PP_5123
rn00780	R01074	BACCL	0.000130704	PP_0437	PP_0437
rn00780	R03182	DBTS	0.000130704	PP_0366	PP_0366
rn00780	R03231	AMAOTr	0.000130704	PP_4984	PP_4984
rn00780	R09725	PMEACPE	0.000130704	PP_0364	PP_0364
rn00780	R10124	AOXSr2	0.000130704	PP_0363	PP_0363
rn00780	R10117	OGMEACPD	0.000130704	PP_1602	PP_1602
rn00780	R10118	EGMEACPR	0.000130704		
rn00780	R10121	OPMEACPD	0.000130704	PP_1602	PP_1602
rn00780	R10122	EPMEACPR	0.000130704		
