species,gene,term_id,term_label,evidence,reference
mouse,Drd1,GO:0007626,locomotory behavior,IMP,PMID:11251190
mouse,Drd1,GO:0042711,maternal behavior,IMP,PMID:17360497
mouse,Drd1,GO:0042711,maternal behavior,IMP,PMID:7809078
mouse,Drd1,GO:0001662,behavioral fear response,IMP,PMID:11172752
mouse,Drd1,GO:0007625,grooming behavior,IMP,PMID:9749770
mouse,Drd1,GO:0007626,locomotory behavior,IMP,PMID:10222120
mouse,Drd1,GO:0007626,locomotory behavior,IMP,PMID:10661513
mouse,Drd1,GO:0007626,locomotory behavior,IMP,PMID:13679419
mouse,Drd1,GO:0007626,locomotory behavior,IMP,PMID:15684065
mouse,Drd1,GO:0007626,locomotory behavior,IMP,PMID:17360497
mouse,Drd1,GO:0007626,locomotory behavior,IMP,PMID:8001143
mouse,Drd1,GO:0007626,locomotory behavior,IMP,PMID:9261820
mouse,Drd1,GO:0007626,locomotory behavior,IMP,PMID:9692749
mouse,Drd1,GO:0048148,behavioral response to cocaine,IMP,PMID:16014726
mouse,Drd1,GO:0007626,locomotory behavior,IGI,PMID:11150348
mouse,Drd1,GO:0007626,locomotory behavior,IGI,PMID:15272078
mouse,Drd1,GO:0007631,feeding behavior,IGI,PMID:15272078
mouse,Drd1,GO:0007625,grooming behavior,IMP,PMID:9988094
mouse,Drd1,GO:0007628,adult walking behavior,IGI,PMID:12652349
mouse,Drd1,GO:0007628,adult walking behavior,IMP,PMID:7954836
mouse,Drd1,GO:0007628,adult walking behavior,IGI,PMID:9354330
mouse,Drd1,GO:0007628,adult walking behavior,IGI,PMID:9354330
mouse,Drd1,GO:0007617,mating behavior,IDA,PMID:9829800
mouse,Pten,GO:0007626,locomotory behavior,IMP,PMID:16675393
mouse,Pten,GO:0030534,adult behavior,IMP,PMID:16675393
mouse,Pten,GO:0035176,social behavior,IMP,PMID:16675393
mouse,Pten,GO:0035176,social behavior,IMP,PMID:19208814
mouse,Pten,GO:0042711,maternal behavior,IMP,PMID:16675393
mouse,Pten,GO:0060179,male mating behavior,IMP,PMID:16675393
mouse,Mtor,GO:0050795,regulation of behavior,IEA,GO_REF:0000117
mouse,Mtor,GO:0035176,social behavior,ISO,GO_REF:0000096
mouse,Mtor,GO:1904000,positive regulation of eating behavior,ISO,GO_REF:0000096
mouse,Mtor,GO:0048266,behavioral response to pain,IGI,PMID:31874168
mouse,Mtor,GO:0048266,behavioral response to pain,IGI,PMID:31874168
mouse,App,GO:0001967,suckling behavior,IGI,PMID:9461064
mouse,App,GO:0007617,mating behavior,IGI,PMID:9461064
mouse,App,GO:0007626,locomotory behavior,IGI,PMID:9461064
mouse,App,GO:0008344,adult locomotory behavior,IMP,PMID:8001115
mouse,App,GO:0008344,adult locomotory behavior,IMP,PMID:10188929
mouse,App,GO:0008344,adult locomotory behavior,IMP,PMID:7758106
mouse,App,GO:0008344,adult locomotory behavior,IMP,PMID:9754878
mouse,Agtr1a,GO:0042756,drinking behavior,IEA,GO_REF:0000120
mouse,Agtr1a,GO:0042756,drinking behavior,ISO,GO_REF:0000096
mouse,Agtr1a,GO:0042756,drinking behavior,IMP,PMID:12167595
mouse,Agtr1a,GO:0042756,drinking behavior,IMP,PMID:10880053
mouse,Agtr1a,GO:0042756,drinking behavior,IGI,PMID:10880053
DAPPU,DpuGr29,GO:0008049,male courtship behavior,IBA,GO_REF:0000033
DAPPU,DpuGr29,GO:0007635,chemosensory behavior,IBA,GO_REF:0000033
DANRE,tpp1,GO:0007626,locomotory behavior,IMP,PMID:23587805
DANRE,trpm7,GO:0036269,swimming behavior,IMP,PMID:38970357
DANRE,cryaba,GO:0007626,locomotory behavior,IMP,PMID:25866181
DANRE,tomt,GO:0031223,auditory behavior,IMP,PMID:28534737
DANRE,cryabb,GO:0007626,locomotory behavior,IMP,PMID:25866181
DROME,Hsp27,GO:0042595,behavioral response to starvation,IMP,PMID:18229455
DROME,cry,GO:0048512,circadian behavior,IMP,PMID:28489826
DROME,cry,GO:0048512,circadian behavior,IGI,PMID:28489826
