gene_product	gene_label	model_id	model_title	taxon	activity_id	molecular_function	mf_label	biological_process	bp_label	cellular_component	cc_label
MGI:MGI:98797	Tpi1 Mmus	5745387b00001516	Canonical glycolysis 1 (Mouse)	NCBITaxon:10090	gomodel:5745387b00001516/61e0e55600000518	GO:0004807	triose-phosphate isomerase activity	GO:0061621	canonical glycolysis	GO:0005829	cytosol
MGI:MGI:95395	Eno3 Mmus	5745387b00001516	Canonical glycolysis 1 (Mouse)	NCBITaxon:10090	gomodel:5745387b00001516/61e0e55600000526	GO:0004634	phosphopyruvate hydratase activity	GO:0061621	canonical glycolysis	GO:0005829	cytosol
MGI:MGI:1933118	Pgam2 Mmus	5745387b00001516	Canonical glycolysis 1 (Mouse)	NCBITaxon:10090	gomodel:5745387b00001516/61e0e55600000524	GO:0004619	phosphoglycerate mutase activity	GO:0061621	canonical glycolysis	GO:0005829	cytosol
MGI:MGI:95797	Gpi1 Mmus	5745387b00001516	Canonical glycolysis 1 (Mouse)	NCBITaxon:10090	gomodel:5745387b00001516/5745387b00001517	GO:0004347	glucose-6-phosphate isomerase activity	GO:0061621	canonical glycolysis	GO:0005829	cytosol
MGI:MGI:97548	Pfkm Mmus	5745387b00001516	Canonical glycolysis 1 (Mouse)	NCBITaxon:10090	gomodel:5745387b00001516/61e0e55600000514	GO:0003872	6-phosphofructokinase activity	GO:0061621	canonical glycolysis	GO:0005829	cytosol
MGI:MGI:87994	Aldoa Mmus	5745387b00001516	Canonical glycolysis 1 (Mouse)	NCBITaxon:10090	gomodel:5745387b00001516/61e0e55600000516	GO:0004332	fructose-bisphosphate aldolase activity	GO:0061621	canonical glycolysis	GO:0005829	cytosol
MGI:MGI:95640	Gapdh Mmus	5745387b00001516	Canonical glycolysis 1 (Mouse)	NCBITaxon:10090	gomodel:5745387b00001516/61e0e55600000520	GO:0004365	glyceraldehyde-3-phosphate dehydrogenase (NAD+) (phosphorylating) activity	GO:0061621	canonical glycolysis	GO:0005829	cytosol
MGI:MGI:96103	Hk1 Mmus	5745387b00001516	Canonical glycolysis 1 (Mouse)	NCBITaxon:10090	gomodel:5745387b00001516/61e0e55600000511	GO:0004340	glucokinase activity	GO:0061621	canonical glycolysis	GO:0005829	cytosol
MGI:MGI:88379	F13b Mmus	57c82fad00000695	F13a1 and F13b-mouse-blood clotting	NCBITaxon:10090	gomodel:57c82fad00000695/57c82fad00000727	GO:0003674	molecular_function	GO:0008150	biological_process		
MGI:MGI:1921395	F13a1 Mmus	57c82fad00000695	F13a1 and F13b-mouse-blood clotting	NCBITaxon:10090	gomodel:57c82fad00000695/57c82fad00000703	GO:0003810	protein-glutamine gamma-glutamyltransferase activity	GO:0072378	blood coagulation, fibrin clot formation		
MGI:MGI:88380	F2 Mmus	57c82fad00000695	F13a1 and F13b-mouse-blood clotting	NCBITaxon:10090	gomodel:57c82fad00000695/57c82fad00000721	GO:0004252	serine-type endopeptidase activity				
MGI:MGI:88379	F13b Mmus	57c82fad00000695	F13a1 and F13b-mouse-blood clotting	NCBITaxon:10090	gomodel:57c82fad00000695/57c82fad00000708	GO:0005515	protein binding	GO:0007596	blood coagulation		
MGI:MGI:96677	Kit Mmus	5835403200000017	mouse-Ncapg2-transcription	NCBITaxon:10090	gomodel:5835403200000017/5835403200000051	GO:0005020	stem cell factor receptor activity	GO:0038109	Kit signaling pathway		
MGI:MGI:98510	Tcf3 Mmus	5835403200000017	mouse-Ncapg2-transcription	NCBITaxon:10090	gomodel:5835403200000017/5835403200000037	GO:0003700	DNA-binding transcription factor activity				
MGI:MGI:1923294	Ncapg2 Mmus	5835403200000017	mouse-Ncapg2-transcription	NCBITaxon:10090	gomodel:5835403200000017/5835403200000082	GO:0003674	molecular_function	GO:0065007	biological regulation		
MGI:MGI:98480	Tal1 Mmus	5835403200000017	mouse-Ncapg2-transcription	NCBITaxon:10090	gomodel:5835403200000017/5835403200000068	GO:0000981	DNA-binding transcription factor activity, RNA polymerase II-specific				
MGI:MGI:1923294	Ncapg2 Mmus	5835403200000017	mouse-Ncapg2-transcription	NCBITaxon:10090	gomodel:5835403200000017/5835403200000026	GO:0043425	bHLH transcription factor binding			GO:0005634	nucleus
MGI:MGI:1923294	Ncapg2 Mmus	5835403200000017	mouse-Ncapg2-transcription	NCBITaxon:10090	gomodel:5835403200000017/5835403200000062	GO:0003674	molecular_function				
MGI:MGI:1923294	Ncapg2 Mmus	5835403200000017	mouse-Ncapg2-transcription	NCBITaxon:10090	gomodel:5835403200000017/5835403200000019	GO:0043425	bHLH transcription factor binding			GO:0005634	nucleus
UniProtKB:Q9NYG2	ZDHHC3 Hsap	586fc17a00000528	PRCD-human-retinitis pigmentosa	NCBITaxon:9606	gomodel:586fc17a00000528/586fc17a00000530	GO:0016409	palmitoyltransferase activity	GO:0018345	protein palmitoylation	GO:0005794	Golgi apparatus
UniProtKB:Q00LT1	PRCD Hsap	586fc17a00000528	PRCD-human-retinitis pigmentosa	NCBITaxon:9606	gomodel:586fc17a00000528/586fc17a00000544	GO:0003674	molecular_function	GO:0050908	detection of light stimulus involved in visual perception	UBERON:0003926	photoreceptor outer segment layer
ZFIN:ZDB-GENE-070912-124	zeb1a Drer	5966411600000170	Intestinal smooth muscle cell differentiation via foxo1a, mir145, tgfr1b, ltbp3, zeb1a (D. rerio)	NCBITaxon:7955	gomodel:5966411600000170/600ced8500000949	GO:0003674	molecular_function				
ZFIN:ZDB-GENE-061013-59	foxo1a Drer	5966411600000170	Intestinal smooth muscle cell differentiation via foxo1a, mir145, tgfr1b, ltbp3, zeb1a (D. rerio)	NCBITaxon:7955	gomodel:5966411600000170/600ced8500000939	GO:0003674	molecular_function				
ZFIN:ZDB-GENE-060526-130	ltbp3 Drer	5966411600000170	Intestinal smooth muscle cell differentiation via foxo1a, mir145, tgfr1b, ltbp3, zeb1a (D. rerio)	NCBITaxon:7955	gomodel:5966411600000170/600ced8500000931	GO:0003674	molecular_function	GO:0007179	transforming growth factor beta receptor signaling pathway		
ZFIN:ZDB-GENE-060526-130	ltbp3 Drer	5966411600000170	Intestinal smooth muscle cell differentiation via foxo1a, mir145, tgfr1b, ltbp3, zeb1a (D. rerio)	NCBITaxon:7955	gomodel:5966411600000170/5966411600000216	GO:0003674	molecular_function	GO:0007179	transforming growth factor beta receptor signaling pathway		
ZFIN:ZDB-GENE-091027-1	tgfbr1b Drer	5966411600000170	Intestinal smooth muscle cell differentiation via foxo1a, mir145, tgfr1b, ltbp3, zeb1a (D. rerio)	NCBITaxon:7955	gomodel:5966411600000170/5966411600000220	GO:0003674	molecular_function	GO:0007179	transforming growth factor beta receptor signaling pathway		
ZFIN:ZDB-GENE-061013-59	foxo1a Drer	5966411600000170	Intestinal smooth muscle cell differentiation via foxo1a, mir145, tgfr1b, ltbp3, zeb1a (D. rerio)	NCBITaxon:7955	gomodel:5966411600000170/5966411600000195	GO:0003674	molecular_function				
ZFIN:ZDB-MIRNAG-090929-156	mir145 Drer	5966411600000170	Intestinal smooth muscle cell differentiation via foxo1a, mir145, tgfr1b, ltbp3, zeb1a (D. rerio)	NCBITaxon:7955	gomodel:5966411600000170/5966411600000197	GO:0003729	mRNA binding	GO:0035195	miRNA-mediated post-transcriptional gene silencing		
ZFIN:ZDB-GENE-070912-124	zeb1a Drer	5966411600000170	Intestinal smooth muscle cell differentiation via foxo1a, mir145, tgfr1b, ltbp3, zeb1a (D. rerio)	NCBITaxon:7955	gomodel:5966411600000170/5966411600000179	GO:0003674	molecular_function				
ZFIN:ZDB-MIRNAG-090929-156	mir145 Drer	5966411600000170	Intestinal smooth muscle cell differentiation via foxo1a, mir145, tgfr1b, ltbp3, zeb1a (D. rerio)	NCBITaxon:7955	gomodel:5966411600000170/596a6e0600000056	GO:0003729	mRNA binding	GO:0035195	miRNA-mediated post-transcriptional gene silencing		
ZFIN:ZDB-MIRNAG-090929-156	mir145 Drer	5966411600000170	Intestinal smooth muscle cell differentiation via foxo1a, mir145, tgfr1b, ltbp3, zeb1a (D. rerio)	NCBITaxon:7955	gomodel:5966411600000170/596a6e0600000059	GO:0003729	mRNA binding	GO:0035195	miRNA-mediated post-transcriptional gene silencing		
ZFIN:ZDB-GENE-060526-130	ltbp3 Drer	5966411600000170	Intestinal smooth muscle cell differentiation via foxo1a, mir145, tgfr1b, ltbp3, zeb1a (D. rerio)	NCBITaxon:7955	gomodel:5966411600000170/600ced8500000927	GO:0003674	molecular_function	GO:0007179	transforming growth factor beta receptor signaling pathway		
UniProtKB:Q9NWZ3	IRAK4 Hsap	59cc772c00000000	IL1beta-mediated signaling pathway (Human)	NCBITaxon:9606	gomodel:59cc772c00000000/626b20c100002005	GO:0016301	kinase activity	GO:0070498	interleukin-1-mediated signaling pathway	GO:0019897	extrinsic component of plasma membrane
UniProtKB:O43318	MAP3K7 Hsap	59cc772c00000000	IL1beta-mediated signaling pathway (Human)	NCBITaxon:9606	gomodel:59cc772c00000000/59cde02c00000027	GO:0016301	kinase activity			GO:0005737	cytoplasm
UniProtKB:P14778	IL1R1 Hsap	59cc772c00000000	IL1beta-mediated signaling pathway (Human)	NCBITaxon:9606	gomodel:59cc772c00000000/59cc772c00000006	GO:0004908	interleukin-1 receptor activity	GO:0070498	interleukin-1-mediated signaling pathway	GO:0005886	plasma membrane
UniProtKB:P51617	IRAK1 Hsap	59cc772c00000000	IL1beta-mediated signaling pathway (Human)	NCBITaxon:9606	gomodel:59cc772c00000000/59cc772c00000024	GO:0016301	kinase activity	GO:0070498	interleukin-1-mediated signaling pathway	GO:0005737	cytoplasm
UniProtKB:P29466	CASP1 Hsap	59cc772c00000000	IL1beta-mediated signaling pathway (Human)	NCBITaxon:9606	gomodel:59cc772c00000000/626b20c100001883	GO:0004197	cysteine-type endopeptidase activity	GO:0051604	protein maturation	GO:0005829	cytosol
UniProtKB:Q9NPH3	IL1RAP Hsap	59cc772c00000000	IL1beta-mediated signaling pathway (Human)	NCBITaxon:9606	gomodel:59cc772c00000000/626b20c100001910	GO:0015026	coreceptor activity	GO:0070498	interleukin-1-mediated signaling pathway	GO:0005886	plasma membrane
UniProtKB:P01584	IL1B Hsap	59cc772c00000000	IL1beta-mediated signaling pathway (Human)	NCBITaxon:9606	gomodel:59cc772c00000000/59cc772c00000002	GO:0005125	cytokine activity	GO:0070498	interleukin-1-mediated signaling pathway	GO:0005576	extracellular region
UniProtKB:Q99836	MYD88 Hsap	59cc772c00000000	IL1beta-mediated signaling pathway (Human)	NCBITaxon:9606	gomodel:59cc772c00000000/59cc772c00000026	GO:0060090	molecular adaptor activity	GO:0070498	interleukin-1-mediated signaling pathway	GO:0019897	extrinsic component of plasma membrane
UniProtKB:Q9H0E2	TOLLIP Hsap	59cc772c00000000	IL1beta-mediated signaling pathway (Human)	NCBITaxon:9606	gomodel:59cc772c00000000/626b20c100001914	GO:0060090	molecular adaptor activity	GO:0070498	interleukin-1-mediated signaling pathway	GO:0019897	extrinsic component of plasma membrane
UniProtKB:Q5JWF2	GNAS Hsap	59dc728000000351	GPCR - AC activating	NCBITaxon:9606	gomodel:59dc728000000351/59dc728000000359	GO:0010856	adenylate cyclase activator activity	GO:0007189	adenylate cyclase-activating G protein-coupled receptor signaling pathway	GO:0009898	cytoplasmic side of plasma membrane
UniProtKB:Q08828	ADCY1 Hsap	59dc728000000351	GPCR - AC activating	NCBITaxon:9606	gomodel:59dc728000000351/59dc728000000362	GO:0004016	adenylate cyclase activity	GO:0006171	cAMP biosynthetic process	GO:0005886	plasma membrane
UniProtKB:P01225	FSHB Hsap	59dc728000000351	GPCR - AC activating	NCBITaxon:9606	gomodel:59dc728000000351/59dc728000000353	GO:0016913	follicle-stimulating hormone activity	GO:0007189	adenylate cyclase-activating G protein-coupled receptor signaling pathway	GO:0005576	extracellular region
UniProtKB:P23945	FSHR Hsap	59dc728000000351	GPCR - AC activating	NCBITaxon:9606	gomodel:59dc728000000351/59dc728000000356	GO:0004963	follicle-stimulating hormone receptor activity	GO:0007189	adenylate cyclase-activating G protein-coupled receptor signaling pathway	GO:0005886	plasma membrane
ZFIN:ZDB-GENE-990415-47	dld Drer	59dc728000000555	 Wnt-FGF-Notch signaling inregulation of HSC specification via dlc, dld, fgfr4, wnt16 (D. rerio)	NCBITaxon:7955	gomodel:59dc728000000555/59dc728000000577	GO:0003674	molecular_function	GO:0007219	Notch signaling pathway		
ZFIN:ZDB-GENE-040426-2330	wnt16 Drer	59dc728000000555	 Wnt-FGF-Notch signaling inregulation of HSC specification via dlc, dld, fgfr4, wnt16 (D. rerio)	NCBITaxon:7955	gomodel:59dc728000000555/59dc728000000556	GO:0003674	molecular_function			UBERON:0002329	somite
ZFIN:ZDB-GENE-980526-488	fgfr4 Drer	59dc728000000555	 Wnt-FGF-Notch signaling inregulation of HSC specification via dlc, dld, fgfr4, wnt16 (D. rerio)	NCBITaxon:7955	gomodel:59dc728000000555/59dc728000000560	GO:0005007	fibroblast growth factor receptor activity	GO:0008543	fibroblast growth factor receptor signaling pathway		
ZFIN:ZDB-GENE-000125-4	dlc Drer	59dc728000000555	 Wnt-FGF-Notch signaling inregulation of HSC specification via dlc, dld, fgfr4, wnt16 (D. rerio)	NCBITaxon:7955	gomodel:59dc728000000555/59dc728000000573	GO:0003674	molecular_function	GO:0007219	Notch signaling pathway		
ZFIN:ZDB-GENE-040426-2330	wnt16 Drer	59dc728000000555	 Wnt-FGF-Notch signaling inregulation of HSC specification via dlc, dld, fgfr4, wnt16 (D. rerio)	NCBITaxon:7955	gomodel:59dc728000000555/59dc728000000582	GO:0003674	molecular_function			UBERON:0002329	somite
ZFIN:ZDB-GENE-040718-157	egfl6 Drer	5ae3b0f600000435	Regulation of sprouting angiogenesis via dll4, egfl6, itgb1a (D. rerio)	NCBITaxon:7955	gomodel:5ae3b0f600000435/5fce9b7300000196	GO:0048018	receptor ligand activity	GO:0090050	positive regulation of cell migration involved in sprouting angiogenesis	ZFA:0000155	somite
ZFIN:ZDB-GENE-060803-2	itgb1a Drer	5ae3b0f600000435	Regulation of sprouting angiogenesis via dll4, egfl6, itgb1a (D. rerio)	NCBITaxon:7955	gomodel:5ae3b0f600000435/5fce9b7300000179	GO:0038023	signaling receptor activity			ZFA:0009065	endothelial cell
ZFIN:ZDB-GENE-040718-157	egfl6 Drer	5ae3b0f600000435	Regulation of sprouting angiogenesis via dll4, egfl6, itgb1a (D. rerio)	NCBITaxon:7955	gomodel:5ae3b0f600000435/5fce9b7300000187	GO:0005178	integrin binding				
ZFIN:ZDB-GENE-041014-73	dll4 Drer	5ae3b0f600000435	Regulation of sprouting angiogenesis via dll4, egfl6, itgb1a (D. rerio)	NCBITaxon:7955	gomodel:5ae3b0f600000435/5fce9b7300000202	GO:0005112	Notch binding	GO:0007219	Notch signaling pathway		
WB:WBGene00002147	ire-1 Cele	5b528b1100000489	XBP-1 is a cell-nonautonomous regulator of stress resistance and longevity	NCBITaxon:6239	gomodel:5b528b1100000489/5b528b1100000541	GO:0004521	RNA endonuclease activity			WBbt:0005772	intestine
WB:WBGene00006752	unc-13 Cele	5b528b1100000489	XBP-1 is a cell-nonautonomous regulator of stress resistance and longevity	NCBITaxon:6239	gomodel:5b528b1100000489/5b528b1100000525	GO:0017075	syntaxin-1 binding	GO:0016079	synaptic vesicle exocytosis	GO:0048786	presynaptic active zone
WB:WBGene00006959	xbp-1 Cele	5b528b1100000489	XBP-1 is a cell-nonautonomous regulator of stress resistance and longevity	NCBITaxon:6239	gomodel:5b528b1100000489/5b528b1100000498	GO:0000977	RNA polymerase II transcription regulatory region sequence-specific DNA binding	GO:0036498	IRE1-mediated unfolded protein response	WBbt:0003679	neuron
WB:WBGene00002147	ire-1 Cele	5b528b1100000489	XBP-1 is a cell-nonautonomous regulator of stress resistance and longevity	NCBITaxon:6239	gomodel:5b528b1100000489/5b528b1100000518	GO:0004521	RNA endonuclease activity			GO:0043025	neuronal cell body
WB:WBGene00006959	xbp-1 Cele	5b528b1100000489	XBP-1 is a cell-nonautonomous regulator of stress resistance and longevity	NCBITaxon:6239	gomodel:5b528b1100000489/5b528b1100000547	GO:0000977	RNA polymerase II transcription regulatory region sequence-specific DNA binding			WBbt:0005772	intestine
WB:WBGene00004034	pkc-3 Cele	5b91dbd100002057	Antifungal innate immune response in the hypodermis via MAPK cascade (C. elegans)	NCBITaxon:6239	gomodel:5b91dbd100002057/5b91dbd100002074	GO:0004674	protein serine/threonine kinase activity	GO:0061760	antifungal innate immune response		
WB:WBGene00006575	tir-1 Cele	5b91dbd100002057	Antifungal innate immune response in the hypodermis via MAPK cascade (C. elegans)	NCBITaxon:6239	gomodel:5b91dbd100002057/5b91dbd100002084	GO:0035591	signaling adaptor activity				
WB:WBGene00001177	egl-8 Cele	5b91dbd100002057	Antifungal innate immune response in the hypodermis via MAPK cascade (C. elegans)	NCBITaxon:6239	gomodel:5b91dbd100002057/5b91dbd100002132	GO:0004435	phosphatidylinositol-4,5-bisphosphate phospholipase C activity				
WB:WBGene00003822	nsy-1 Cele	5b91dbd100002057	Antifungal innate immune response in the hypodermis via MAPK cascade (C. elegans)	NCBITaxon:6239	gomodel:5b91dbd100002057/5b91dbd100002089	GO:0004709	MAP kinase kinase kinase activity				
WB:WBGene00001674	gpa-12 Cele	5b91dbd100002057	Antifungal innate immune response in the hypodermis via MAPK cascade (C. elegans)	NCBITaxon:6239	gomodel:5b91dbd100002057/5b91dbd100002111	GO:0031683	G-protein beta/gamma-subunit complex binding	GO:0061760	antifungal innate immune response		
WB:WBGene00004055	pmk-1 Cele	5b91dbd100002057	Antifungal innate immune response in the hypodermis via MAPK cascade (C. elegans)	NCBITaxon:6239	gomodel:5b91dbd100002057/5b91dbd100002097	GO:0004707	MAP kinase activity	GO:0061760	antifungal innate immune response		
WB:WBGene00004758	sek-1 Cele	5b91dbd100002057	Antifungal innate immune response in the hypodermis via MAPK cascade (C. elegans)	NCBITaxon:6239	gomodel:5b91dbd100002057/5b91dbd100002093	GO:0004708	MAP kinase kinase activity				
WB:WBGene00004038	plc-3 Cele	5b91dbd100002057	Antifungal innate immune response in the hypodermis via MAPK cascade (C. elegans)	NCBITaxon:6239	gomodel:5b91dbd100002057/5b91dbd100002122	GO:0004435	phosphatidylinositol-4,5-bisphosphate phospholipase C activity				
WB:WBGene00006599	tpa-1 Cele	5b91dbd100002057	Antifungal innate immune response in the hypodermis via MAPK cascade (C. elegans)	NCBITaxon:6239	gomodel:5b91dbd100002057/5b91dbd100002064	GO:0031435	mitogen-activated protein kinase kinase kinase binding				
WB:WBGene00010700	nipi-3 Cele	5b91dbd100002057	Antifungal innate immune response in the hypodermis via MAPK cascade (C. elegans)	NCBITaxon:6239	gomodel:5b91dbd100002057/5b91dbd100002059	GO:0031434	mitogen-activated protein kinase kinase binding	GO:0061760	antifungal innate immune response		
WB:WBGene00010556	rack-1 Cele	5b91dbd100002057	Antifungal innate immune response in the hypodermis via MAPK cascade (C. elegans)	NCBITaxon:6239	gomodel:5b91dbd100002057/5b91dbd100002117	GO:0005080	protein kinase C binding	GO:0061760	antifungal innate immune response		
WB:WBGene00003767	nlp-29 Cele	5b91dbd100002057	Antifungal innate immune response in the hypodermis via MAPK cascade (C. elegans)	NCBITaxon:6239	gomodel:5b91dbd100002057/5c4605cc00004174	GO:0003674	molecular_function	GO:0061760	antifungal innate immune response		
WB:WBGene00000556	cnc-2 Cele	5b91dbd100002241	Antifungal innate immune response in the hypodermis via transforming growth factor beta receptor signaling pathway (C. elegans)	NCBITaxon:6239	gomodel:5b91dbd100002241/5b91dbd100002252	GO:0003674	molecular_function	GO:0050832	defense response to fungus		
WB:WBGene00004857	sma-3 Cele	5b91dbd100002241	Antifungal innate immune response in the hypodermis via transforming growth factor beta receptor signaling pathway (C. elegans)	NCBITaxon:6239	gomodel:5b91dbd100002241/5b91dbd100002504	GO:0000981	DNA-binding transcription factor activity, RNA polymerase II-specific	GO:0045944	positive regulation of transcription by RNA polymerase II		
WB:WBGene00000900	daf-4 Cele	5b91dbd100002241	Antifungal innate immune response in the hypodermis via transforming growth factor beta receptor signaling pathway (C. elegans)	NCBITaxon:6239	gomodel:5b91dbd100002241/5b91dbd100002265	GO:0004675	transmembrane receptor protein serine/threonine kinase activity	GO:0050832	defense response to fungus		
WB:WBGene00000936	dbl-1 Cele	5b91dbd100002241	Antifungal innate immune response in the hypodermis via transforming growth factor beta receptor signaling pathway (C. elegans)	NCBITaxon:6239	gomodel:5b91dbd100002241/5b91dbd100002246	GO:0070700	BMP receptor binding	GO:0050832	defense response to fungus		
WB:WBGene00004860	sma-6 Cele	5b91dbd100002241	Antifungal innate immune response in the hypodermis via transforming growth factor beta receptor signaling pathway (C. elegans)	NCBITaxon:6239	gomodel:5b91dbd100002241/5b91dbd100002257	GO:0004675	transmembrane receptor protein serine/threonine kinase activity	GO:0050832	defense response to fungus		
ZFIN:ZDB-GENE-040426-1512	asah1b Drer	5ce58dde00000246	"ZDB-PUB-181107-14   	asah1b"	NCBITaxon:7955	gomodel:5ce58dde00000246/5ce58dde00000260	GO:0017040	N-acylsphingosine amidohydrolase activity				
ZFIN:ZDB-GENE-040426-1512	asah1b Drer	5ce58dde00000246	"ZDB-PUB-181107-14   	asah1b"	NCBITaxon:7955	gomodel:5ce58dde00000246/5ce58dde00000274	GO:0003674	molecular_function				
ZFIN:ZDB-GENE-040426-1512	asah1b Drer	5ce58dde00000246	"ZDB-PUB-181107-14   	asah1b"	NCBITaxon:7955	gomodel:5ce58dde00000246/5ce58dde00000255	GO:0005515	protein binding				
ZFIN:ZDB-GENE-041008-246	rnf4 Drer	5ce58dde00000937	Granulocyte differentiation via cebpa, rnf4 (D. rerio)	NCBITaxon:7955	gomodel:5ce58dde00000937/5ce58dde00000977	GO:0140082	SUMO-ubiquitin ligase activity				
ZFIN:ZDB-GENE-020111-2	cebpa Drer	5ce58dde00000937	Granulocyte differentiation via cebpa, rnf4 (D. rerio)	NCBITaxon:7955	gomodel:5ce58dde00000937/5ce58dde00000949	GO:0003674	molecular_function				
ZFIN:ZDB-GENE-990714-15	dnmt1 Drer	5ce58dde00000937	Granulocyte differentiation via cebpa, rnf4 (D. rerio)	NCBITaxon:7955	gomodel:5ce58dde00000937/5ce58dde00000939	GO:0051718	DNA (cytosine-5-)-methyltransferase activity, acting on CpG substrates				
MGI:MGI:1328355	Wfs1 Mmus	5ce58dde00001215	Mouse-Aatf-antiapoptosis	NCBITaxon:10090	gomodel:5ce58dde00001215/5ce58dde00001232	GO:0003674	molecular_function	GO:0030968	endoplasmic reticulum unfolded protein response	CL:0000169	type B pancreatic cell
MGI:MGI:1929608	Aatf Mmus	5ce58dde00001215	Mouse-Aatf-antiapoptosis	NCBITaxon:10090	gomodel:5ce58dde00001215/6870555700004739	GO:0003713	transcription coactivator activity	GO:0030968	endoplasmic reticulum unfolded protein response		
MGI:MGI:87986	Akt1 Mmus	5ce58dde00001215	Mouse-Aatf-antiapoptosis	NCBITaxon:10090	gomodel:5ce58dde00001215/5ce58dde00001231	GO:0003674	molecular_function	GO:2001243	negative regulation of intrinsic apoptotic signaling pathway		
MGI:MGI:98970	Xbp1 Mmus	5ce58dde00001215	Mouse-Aatf-antiapoptosis	NCBITaxon:10090	gomodel:5ce58dde00001215/5ce58dde00001298	GO:0003674	molecular_function				
MGI:MGI:103038	Stat3 Mmus	5ce58dde00001215	Mouse-Aatf-antiapoptosis	NCBITaxon:10090	gomodel:5ce58dde00001215/6870555700004734	GO:0000978	RNA polymerase II cis-regulatory region sequence-specific DNA binding			GO:0000785	chromatin
ZFIN:ZDB-GENE-050208-123	mecom Drer	5d29221b00002847	Pronephric distal tubule development via emx1, mecom, tbx2b (D. rerio)	NCBITaxon:7955	gomodel:5d29221b00002847/5d29221b00002863	GO:0003674	molecular_function				
ZFIN:ZDB-GENE-031007-7	emx1 Drer	5d29221b00002847	Pronephric distal tubule development via emx1, mecom, tbx2b (D. rerio)	NCBITaxon:7955	gomodel:5d29221b00002847/5d29221b00002854	GO:0003674	molecular_function				
