#gene_systematic_id	gene_name	aspect	term_id	term_name	reference	evidence	extension	comment
SPAC1002.03c	gls2	molecular_function	GO:0106407	Glc2Man9GlcNAc2 oligosaccharide glucosidase activity	PMID:19605557	IDA		
SPAC1142.07c	vps32	cellular_component	GO:0180028	mitotic spindle pole body attachment site	PMID:37783794	EXP	exists_during(GO:0000080)	(Fig. 1B-D)
SPAC1142.08	fhl1	cellular_component	GO:0005634	nucleus	PMID:38051102	IDA		Fhl1 was constitutively found in the nucleus, without being affected by TORC1 inactivation (Fig. 6D) or the loss of Sfp1 (Fig. 6F).
SPAC11E3.01c	swr1	cellular_component	GO:0000812	Swr1 complex	PMID:19915592	IDA		(Figure 2b)
SPAC11E3.01c	swr1	molecular_function	GO:0140849	ATP-dependent H2AZ histone chaperone activity	PMID:19915592	EXP	has_input(PomBase:SPBC11B10.10c)	p SWR-C required for the efficient acetylation of the histone (Fig. 2b), most likely because of inefficient assembly of the variant into chromatin in each background (Fig. 2c). Thus a pathway first identified in Sc also operates in Sp: SWR-C inserts Pht1 into chromatin, where it is acetylated by Mst1.
SPAC11E3.02c	ync13	cellular_component	GO:0032153	cell division site	PMID:30044717	EXP	exists_during(GO:0000092)	(Figure 1)
SPAC11E3.02c	ync13	cellular_component	GO:0051286	cell tip	PMID:30044717	EXP	exists_during(GO:0051329)	(Fig. 1)
SPAC11E3.02c	ync13	cellular_component	GO:0090689	cleavage furrow leading edge	PMID:30044717	EXP	exists_during(GO:0000092)	(Figure 1)
SPAC11E3.02c	ync13	biological_process	GO:0120207	endocytosis, site selection	PMID:30044717	IMP	happens_during(GO:0000281)	(Figure 7)
SPAC11E3.02c	ync13	molecular_function	GO:0005546	phosphatidylinositol-4,5-bisphosphate binding	PMID:30044717	IDA		(Fig. S3 DE)
SPAC11E3.02c	ync13	molecular_function	GO:0001786	phosphatidylserine binding	PMID:30044717	IDA		(Fig. S3 DE)
SPAC11E3.03	csm1	cellular_component	GO:0000776	kinetochore	PMID:20935472	IDA	exists_during(GO:0000089)	
SPAC11E3.04c	ubc13	molecular_function	GO:0061631	ubiquitin conjugating enzyme activity	PMID:35011726	EXP		(Figure 1A)
SPAC11E3.04c	ubc13	molecular_function	GO:0061630	ubiquitin protein ligase activity	PMID:26365378	IMP	has_input(PomBase:SPBP35G2.11c),part_of(GO:0120113)	
SPAC11E3.05	sea3	cellular_component	GO:1990130	GATOR1 complex	PMID:33534698	IMP		(Figure 1)
SPAC11E3.05	sea3	cellular_component	GO:0061700	GATOR2 complex	PMID:33534698	IPI		(Figure 1)
SPAC11E3.05	sea3	cellular_component	GO:0035859	Seh1-associated complex	PMID:33534698	IMP		(Figure 1)
SPAC11E3.05	sea3	cellular_component	GO:0005774	vacuolar membrane	PMID:33534698	EXP		(Figure 1, Supp 1)
SPAC11E3.05	sea3	molecular_function	GO:0035591	signaling adaptor activity	PMID:33534698	IPI	has_input(PomBase:SPBC26H8.04c)	On the other hand, Iml1 and Sea3 were co-immunoprecipitated even in the absence of Seh1, Sea2, and Sea4 (Figure 3E), implying that Sea3 directly binds to GATOR1 and anchors the other GATOR2 components to GATOR1.
SPAC11E3.06	map1	molecular_function	GO:0000978	RNA polymerase II cis-regulatory region sequence-specific DNA binding	PMID:39747188	EXP	occurs_in(GO:0000791),part_of(GO:0010468)	
SPAC11E3.08c	nse6	molecular_function	GO:0005515	protein binding	PMID:17005570	IPI		(Fig. 1)
SPAC11E3.08c	nse6	molecular_function	GO:0005515	protein binding	PMID:17005570	IPI		(Fig. 1)
SPAC11E3.11c	syt22	cellular_component	GO:0005938	cell cortex	PMID:19431238	IDA		
SPAC11E3.11c	syt22	cellular_component	GO:0051285	cell cortex of cell tip	PMID:19431238	IDA		
SPAC11E3.11c	syt22	biological_process	GO:0010971	positive regulation of G2/M transition of mitotic cell cycle	PMID:34958661	IMP		(Figure 1)
SPAC11E3.11c	syt22	molecular_function	GO:0005085	guanyl-nucleotide exchange factor activity	PMID:34958661	IMP	has_input(PomBase:SPBC1539.08),part_of(GO:0010971)	This is from GIs, phenocopy, PLUS If the Arf6 localization defect in syt22Δ is due to loss of the GTP-bound state, then it should be suppressed by arf6(Q75L). Indeed, arf6(Q75L)-mNG localized to nodes even in syt22Δ cells (Fig. 2 G)
SPAC11E3.15	rpl22	cellular_component	GO:0030684	preribosome	PMID:36423630	IDA		The structure of state 1 shows an early assembly intermediate with 23 ribosomal proteins and 19 biogenesis factors (Figure 2A; Table S2).
SPAC11G7.01	mtl2	cellular_component	GO:0005886	plasma membrane	PMID:23907979	EXP		Mtl2p-GFP showed an even membrane distribution with little intra- cellular signals.
SPAC11G7.02	pub1	biological_process	GO:1905530	negative regulation of uracil import across plasma membrane	PMID:26536126	IMP		
SPAC11G7.02	pub1	molecular_function	GO:0061630	ubiquitin protein ligase activity	PMID:26365378	IMP	has_input(PomBase:SPBP35G2.11c),part_of(GO:0120113)	
SPAC11G7.03	idh1	biological_process	GO:0006099	tricarboxylic acid cycle	PMID:37164017	EXP		inferred from isotope labelling Figure 1A and We assessed the TCA cycle architecture in S. pombe and S. japonicus using stable isotope tracing metabolomics, quantifying the ratios of different TCA-intermediate isotopologs after feeding cells with 13C6-glucose (Figures 2A and 2B).
SPAC11H11.06	arp2	cellular_component	GO:0030479	actin cortical patch	PMID:10588653	IDA		(Figure 4)
SPAC11H11.06	arp2	cellular_component	GO:0005885	Arp2/3 protein complex	PMID:10588653	IDA		(Fig 6)
SPAC11H11.06	arp2	cellular_component	GO:0051285	cell cortex of cell tip	PMID:10588653	IDA	exists_during(GO:0000087)	(Figure 4)
SPAC11H11.06	arp2	cellular_component	GO:0031097	medial cortex	PMID:10588653	IDA	exists_during(GO:0000087)	(Figure 4)
SPAC11H11.06	arp2	biological_process	GO:0090135	actin filament branching	PMID:38448439	EXP		Cryo-EM structures reveal how phosphate release from Arp3 weakens actin filament branches formed by Arp2/3 comple
SPAC11H11.06	arp2	molecular_function	GO:0051015	actin filament binding	PMID:18165685	IDA		
SPAC11H11.06	arp2	molecular_function	GO:0005524	ATP binding	PMID:10588653	IDA		(Fig. 8A) After UV irradiation, we found that both wild-type Arp2p and Arp3p were labeled by 8-azido-[a-32P]ATP, indicating that these actin-related proteins bind ATP as predicted
SPAC1250.01	snf21	molecular_function	GO:0140463	chromatin-protein adaptor activity	PMID:32277274	EXP	has_input(PomBase:SPAC1687.18c),part_of(GO:0007064)	(Fig. 2)
SPAC1250.04c	atl1	molecular_function	GO:0032132	O6-alkylguanine-DNA binding	PMID:23112169	IDA		
SPAC1250.04c	atl1	molecular_function	GO:0032132	O6-alkylguanine-DNA binding	PMID:22658721	EXP	part_of(GO:0070911)	
SPAC1250.04c	atl1	molecular_function	GO:0032132	O6-alkylguanine-DNA binding	PMID:22658721	EXP	part_of(GO:0006283)	
SPAC1250.05	rpl3002	cellular_component	GO:0030684	preribosome	PMID:36423630	IDA		The structure of state 1 shows an early assembly intermediate with 23 ribosomal proteins and 19 biogenesis factors (Figure 2A; Table S2).
SPAC1296.03c	sxa2	biological_process	GO:0043409	negative regulation of MAPK cascade	PMID:8654750	IMP	occurs_in(CL:0002674)	
SPAC1296.03c	sxa2	molecular_function	GO:0004185	serine-type carboxypeptidase activity	PMID:10792724	IMP		
SPAC1296.05c	lcp1	cellular_component	GO:0000307	cyclin-dependent protein kinase holoenzyme complex	PMID:23122962	IDA		A tandem affinity purification (TAP) identified physical partners of Cdk11, including an uncharacterized cyclin (SPAC1296.05c) that was confirmed to bind Cdk11 in independent coimmunoprecipitation experiments (Figure 1C and 1D).
SPAC1296.05c	lcp1	biological_process	GO:2001178	positive regulation of mediator complex assembly	PMID:23122962	IDA		At the contrary, the interaction between the kinase module subunit Cdk8 and the head subunit Med27 was completely abrogated when Cdk11 was inactivated (Figure 4B, middle panel). This role of Cdk11 in Mediator integrity was likely mediated by phosphorylation of Med27 and Med4 on the sites identified above (Figures 3 and 4A), because the interaction between Cdk8 and either the Med27 or Med4 phosphorylation mutants was specifically lost (Figure 4B, right panel). In contrast, the phosphorylation mutants of Med27 and Med4 still interacted with the middle subunit Med7 (Figure 4B, right panel). These data indicate that the association of the kinase submodule and the S-Mediator requires the phosphorylation of Med27 and Med4 by Cdk11.
SPAC12B10.01c	hul6	cellular_component	GO:0005741	mitochondrial outer membrane	PMID:38272226	IDA		These results suggest that Hul6 loosely associates with the outer mitochondrial membrane. (Fig. 6)
SPAC12B10.10	nod1	cellular_component	GO:0071341	medial cortical node	PMID:23349808	IDA	exists_during(GO:0051329)	
SPAC12B10.10	nod1	cellular_component	GO:0110085	mitotic actomyosin contractile ring	PMID:23349808	IDA	exists_during(GO:0000087)	
SPAC12G12.01c	sea4	cellular_component	GO:0061700	GATOR2 complex	PMID:33534698	IPI		(Figure 1)
SPAC12G12.01c	sea4	cellular_component	GO:0005774	vacuolar membrane	PMID:33534698	EXP		(Figure 1, Supp 1)
SPAC12G12.04	mcp60	molecular_function	GO:0044183	protein folding chaperone	PMID:23035257	IPI	has_input(PomBase:SPAC1002.08c)	
SPAC12G12.05c	taf9	cellular_component	GO:0000124	SAGA complex	PMID:29079657	IPI	exists_during(GO:0072690)	(Fig. 2 and supp table)
SPAC12G12.05c	taf9	cellular_component	GO:0000124	SAGA complex	PMID:29079657	IPI	exists_during(GO:0006995)	(Fig. 2 and supp table)
SPAC12G12.07c	cpn1	cellular_component	GO:0010494	cytoplasmic stress granule	PMID:40063661	IDA	exists_during(GO:0034605)	(Fig. 4A)
SPAC12G12.07c	cpn1	cellular_component	GO:0010494	cytoplasmic stress granule	PMID:40063661	IDA	exists_during(GO:0042149)	(Fig. 4A)
SPAC12G12.07c	cpn1	biological_process	GO:0034063	stress granule assembly	PMID:40063661	EXP		(Fig 4D and 4E). Hence like their human orthologs, Cpn1 and Nxt3 are required to promote stress granule formation.
SPAC12G12.09	eti1	cellular_component	GO:0010494	cytoplasmic stress granule	PMID:24755092	IDA		
SPAC12G12.13c	cid14	cellular_component	GO:0031499	TRAMP complex	PMID:17512405	EXP		Cid14 copurified with two proteins that are homologs of Mtr4 and Air1 (Figures 4A and 4B). Thus, like Trf4 in S. cerevisiae, Cid14 is found in a complex together with Air1 and Mtr4, which we refer to as spTRAMP (S. pombe TRAMP).
SPAC12G12.13c	cid14	biological_process	GO:1990431	priRNA 3'-end processing	PMID:20178743	IMP		we provide evidence that siRNAs undergo processing at their 3'ends, which involves the addition of untemplated nucleotides by the Cid12 and Cid14 nucleotidyltransferases
