readout_class	reports_state_of	proximity	convergence	aligned_n	MF	BP	CC	pct_MF	dominant_aspect	licenses	default_core
RNA_BINDING_CLIP	direct RNA binding (CLIP / RIP / RNA-EMSA)	molecular	low	8	8	0	0	100	MF	MF (direct activity)	core-capable
HELICASE_ACTIVITY	helicase unwinding activity (in vitro)	molecular	low	7	7	0	0	100	MF	MF (direct activity)	core-capable
LIPID_TRANSFER_FLIPPASE	lipid transporter / transfer / flippase activity	molecular	low	7	5	1	0	71	MF	MF (direct activity)	core-capable
TRANSPORTER_UPTAKE	transmembrane transporter activity (tracer substrate uptake)	molecular	low	7	7	0	0	100	MF	MF (direct activity)	core-capable
DIRECT_BINDING	direct physical interaction with a specific ligand	molecular	low	0	0	0	0	0	-	MF (direct activity)	core-capable
IN_VITRO_ENZYME	gene product's own catalytic activity	molecular	low	0	0	0	0	0	-	MF (direct activity)	core-capable
RUBIDIUM_FLUX	potassium channel / K+ transporter activity (Rb+ flux)	molecular	low	0	0	0	0	0	-	MF (direct activity)	core-capable
TRANSCRIPTIONAL_REPORTER	pathway transcriptional output	phenotypic	high	216	72	143	1	33	BP	BP	non-core (context)
MITO_MEMBRANE_POTENTIAL	mitochondrial membrane potential / health	phenotypic	high	172	0	28	143	0	CC	BP/CC	non-core (context)
AUTOPHAGY_FLUX	autophagic flux	phenotypic	high	126	0	109	15	0	BP	BP	non-core (context)
VIABILITY_PROLIFERATION	cell viability / proliferation	phenotypic	high	91	0	87	3	0	BP	BP	non-core (context)
APOPTOSIS_CASPASE	caspase activation / apoptosis	phenotypic	high	72	0	72	0	0	BP	BP	non-core (context)
CELL_MIGRATION_INVASION	cell migration / invasion / motility	phenotypic	high	37	0	37	0	0	BP	BP	non-core (context)
DNA_DAMAGE_FOCI	DNA damage / double-strand breaks	phenotypic	high	36	0	32	4	0	BP	BP	non-core (context)
PROTEIN_AGGREGATION	protein aggregation / amyloid formation	phenotypic	high	35	12	22	1	34	BP	BP	non-core (context)
PROTEIN_TURNOVER	protein stability / turnover / half-life	phenotypic	high	29	0	29	0	0	BP	BP	non-core (context)
ANGIOGENESIS_TUBE	angiogenesis / endothelial tube formation	phenotypic	high	22	0	22	0	0	BP	BP	non-core (context)
CALCIUM_FLUX	intracellular calcium	phenotypic	high	22	2	20	0	9	BP	BP	non-core (context)
CELL_DIFFERENTIATION	cell differentiation / lineage commitment	phenotypic	high	19	0	19	0	0	BP	BP	non-core (context)
UPR_ER_STRESS	unfolded protein response / ER stress	phenotypic	high	19	2	17	0	11	BP	BP	non-core (context)
CELL_CYCLE_FLOW	cell cycle phase distribution	phenotypic	high	17	0	16	0	0	BP	BP	non-core (context)
WNT_REPORTER	canonical Wnt / beta-catenin transcriptional output	phenotypic	high	17	1	15	1	6	BP	BP	non-core (context)
INFLAMMASOME_PYROPTOSIS	inflammasome activation / pyroptosis	phenotypic	high	15	0	15	0	0	BP	BP	non-core (context)
MEMBRANE_TRAFFICKING_ENDOCYTOSIS	endocytosis / membrane trafficking / internalization	phenotypic	high	14	0	12	2	0	BP	BP/CC	non-core (context)
TRANSLATION_ASSAY	protein synthesis / translation rate	phenotypic	high	14	1	13	0	7	BP	BP	non-core (context)
HISTONE_MARK	histone modification state (chromatin marks)	phenotypic	high	13	0	13	0	0	BP	BP	non-core (context)
LIPID_PEROXIDATION	lipid peroxidation (oxidative lipid damage / ferroptosis)	phenotypic	high	12	0	12	0	0	BP	BP	non-core (context)
CYCLIC_NUCLEOTIDE_SIGNALING	cAMP / cGMP second-messenger level	phenotypic	high	10	0	10	0	0	BP	BP	non-core (context)
OXIDATIVE_STRESS_ROS	reactive oxygen species / oxidative stress	phenotypic	high	10	0	10	0	0	BP	BP	non-core (context)
EMT_MARKERS	epithelial-mesenchymal transition (marker switch)	phenotypic	high	9	0	9	0	0	BP	BP	non-core (context)
SENESCENCE	cellular senescence	phenotypic	high	9	0	9	0	0	BP	BP	non-core (context)
CYTOKINE_PRODUCTION	cytokine production / secretion (immune)	phenotypic	high	7	0	7	0	0	BP	BP	non-core (context)
NFKB_REPORTER	NF-kappaB transcriptional output	phenotypic	high	7	0	7	0	0	BP	BP	non-core (context)
STEMNESS_SPHERE	stemness / self-renewal (sphere formation)	phenotypic	high	7	0	7	0	0	BP	BP	non-core (context)
PHAGOCYTOSIS	phagocytosis / engulfment / clearance	phenotypic	high	6	0	6	0	0	BP	BP	non-core (context)
BARRIER_PERMEABILITY	epithelial / endothelial barrier integrity	phenotypic	high	5	0	0	5	0	CC	BP/CC	non-core (context)
CELL_ADHESION_SPREADING	cell adhesion / spreading / attachment	phenotypic	high	4	0	4	0	0	BP	BP	non-core (context)
IRON_PROBE	labile iron pool	phenotypic	high	4	0	4	0	0	BP	BP	non-core (context)
CYTOTOXICITY_KILLING	target-cell killing / cytotoxicity (immune)	phenotypic	high	3	0	3	0	0	BP	BP	non-core (context)
METABOLIC_FLUX	glucose uptake / respiration / glycolytic flux	phenotypic	high	3	0	3	0	0	BP	BP	non-core (context)
HYPOXIA_HIF	hypoxia / HIF transcriptional output	phenotypic	high	2	0	2	0	0	BP	BP	non-core (context)
SECRETION_DEGRANULATION	secretion / degranulation / regulated release	phenotypic	high	2	0	2	0	0	BP	BP	non-core (context)
REDOX_BALANCE	cellular redox couple ratio (GSH/GSSG, NAD(P)+/NAD(P)H)	phenotypic	high	1	0	1	0	0	BP	BP	non-core (context)
HIPPO_TEAD_REPORTER	Hippo / YAP-TAZ-TEAD transcriptional output	phenotypic	high	0	0	0	0	0	-	BP	non-core (context)
NOTCH_REPORTER	Notch transcriptional output	phenotypic	high	0	0	0	0	0	-	BP	non-core (context)
pH_PROBE	intracellular / compartment pH	phenotypic	high	0	0	0	0	0	-	BP	non-core (context)
