gene_symbol	gene_name	target_go_id	target_go_label	goa_status	mapping_scopes	mapping_files	mapping_subjects	pn_codes	representative_genes	supporting_goa_terms	projection_count
ARF1		GO:0006890	retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum	more_specific_than_existing_goa	ok_for_propagation_to_go	er_proteostasis.yaml	ER proteostasis|Protein transport|ER-Golgi trafficking|Retrograde transport	ER proteostasis|Protein transport|ER-Golgi trafficking|Retrograde transport|COPI coating and uncoating	COPA;COPB1;COPB2;COPE;COPG1	GO:0016192 vesicle-mediated transport	1
ARF1		GO:0030126	COPI vesicle coat	more_specific_than_existing_goa	ok_for_propagation_to_go	er_proteostasis.yaml	ER proteostasis|Protein transport|ER-Golgi trafficking|Retrograde transport|COPI coating and uncoating	ER proteostasis|Protein transport|ER-Golgi trafficking|Retrograde transport|COPI coating and uncoating	ARF1;GBF1	GO:0005737 cytoplasm;GO:0005794 Golgi apparatus;GO:0012505 endomembrane system;GO:0032991 protein-containing complex	1
ARIH1		GO:0000423	mitophagy	new_to_goa	ok_for_propagation_to_go	autophagy_lysosome_pathway.yaml	Autophagy-Lysosome Pathway|Autophagy substrate selection|Marking substrates for selective autophagy|Mitophagy	Autophagy-Lysosome Pathway|Autophagy substrate selection|Marking substrates for selective autophagy|Mitophagy|PINK/PRKN pathway	ATP5IF1;PARL;PGAM5;PINK1;PRKN		1
ARL8A		GO:0061906	autophagosome localization	new_to_goa	ok_for_propagation_to_go	autophagy_lysosome_pathway.yaml	Autophagy-Lysosome Pathway|Autophagosome closure maturation and lysosome fusion|Localization of the autophagosome;Autophagy-Lysosome Pathway|Autophagosome closure maturation and lysosome fusion|Localization of the autophagosome|Movement of autophagosomes along microtubules;Autophagy-Lysosome Pathway|Autophagosome closure maturation and lysosome fusion|Localization of the autophagosome|Movement of autophagosomes along microtubules|HOPS-BORC complex bridging	Autophagy-Lysosome Pathway|Autophagosome closure maturation and lysosome fusion|Localization of the autophagosome|Movement of autophagosomes along microtubules|HOPS-BORC complex bridging	ARL8A;ARL8B;MAP1LC3B;RILP;RUFY3;RUFY4		3
ARL8B		GO:0061906	autophagosome localization	new_to_goa	ok_for_propagation_to_go	autophagy_lysosome_pathway.yaml	Autophagy-Lysosome Pathway|Autophagosome closure maturation and lysosome fusion|Localization of the autophagosome;Autophagy-Lysosome Pathway|Autophagosome closure maturation and lysosome fusion|Localization of the autophagosome|Movement of autophagosomes along microtubules;Autophagy-Lysosome Pathway|Autophagosome closure maturation and lysosome fusion|Localization of the autophagosome|Movement of autophagosomes along microtubules|HOPS-BORC complex bridging	Autophagy-Lysosome Pathway|Autophagosome closure maturation and lysosome fusion|Localization of the autophagosome|Movement of autophagosomes along microtubules|HOPS-BORC complex bridging	ARL8A;ARL8B;MAP1LC3B;RILP;RUFY3;RUFY4		3
ASCC1		GO:0006515	protein quality control for misfolded or incompletely synthesized proteins	new_to_goa	ok_for_propagation_to_go	translation.yaml	Translation|Cytosolic translation|Ribosome-associated QC	Translation|Cytosolic translation|Ribosome-associated QC|Ribosomal rescue	GTPBP1;GTPBP2;HBS1L;PELO;RACK1		1
ASCC1		GO:0072344	rescue of stalled cytosolic ribosome	new_to_goa	ok_for_propagation_to_go	translation.yaml	Translation|Cytosolic translation|Ribosome-associated QC|Ribosomal rescue	Translation|Cytosolic translation|Ribosome-associated QC|Ribosomal rescue	GTPBP1;GTPBP2;HBS1L;PELO;RACK1		1
ASCC2		GO:0006515	protein quality control for misfolded or incompletely synthesized proteins	new_to_goa	ok_for_propagation_to_go	translation.yaml	Translation|Cytosolic translation|Ribosome-associated QC	Translation|Cytosolic translation|Ribosome-associated QC|Ribosomal rescue	GTPBP1;GTPBP2;HBS1L;PELO;RACK1		1
ASCC3		GO:0006515	protein quality control for misfolded or incompletely synthesized proteins	new_to_goa	ok_for_propagation_to_go	translation.yaml	Translation|Cytosolic translation|Ribosome-associated QC	Translation|Cytosolic translation|Ribosome-associated QC|Ribosomal rescue	GTPBP1;GTPBP2;HBS1L;PELO;RACK1		1
ATAD1		GO:0035694	mitochondrial protein catabolic process	new_to_goa	ok_for_propagation_to_go	mitochondrial_proteostasis.yaml	Mitochondrial proteostasis|Organelle-specific protein degradation	Mitochondrial proteostasis|Organelle-specific protein degradation|mitoCPR pathway	ANKZF1;FAF2;MARCHF5;USP30;VCP		1
ATAD3A		GO:0000423	mitophagy	new_to_goa	ok_for_propagation_to_go	autophagy_lysosome_pathway.yaml	Autophagy-Lysosome Pathway|Autophagy substrate selection|Marking substrates for selective autophagy|Mitophagy	Autophagy-Lysosome Pathway|Autophagy substrate selection|Marking substrates for selective autophagy|Mitophagy|PINK/PRKN pathway	ATP5IF1;PARL;PGAM5;PINK1;PRKN		1
ATF3		GO:0140467	integrated stress response signaling	new_to_goa	ok_for_propagation_to_go	pn_regulation.yaml	PN regulation|Transcription factor|Integrated stress response;PN regulation|Transcription factor|Integrated stress response|Transcription of integrated stress response genes	PN regulation|Transcription factor|Integrated stress response|Transcription of integrated stress response genes	ATF3;ATF4;DDIT3		2
ATG14		GO:0034271	phosphatidylinositol 3-kinase complex, class III, type I	more_specific_than_existing_goa	ok_for_propagation_to_go	autophagy_lysosome_pathway.yaml	Autophagy-Lysosome Pathway|Autophagophore initiation and elongation|Class 3 PI3K complex 1, direct|Class 3 PI3K complex 1 component	Autophagy-Lysosome Pathway|Autophagophore initiation and elongation|Class 3 PI3K complex 1, direct|Class 3 PI3K complex 1 component	ATG14;BECN1;BECN2;PIK3C3;PIK3R4	GO:0032991 protein-containing complex;GO:0035032 phosphatidylinositol 3-kinase complex, class III	1
ATG2A		GO:0062079	ATG2-ATG18 complex	more_specific_than_existing_goa	ok_for_propagation_to_go	autophagy_lysosome_pathway.yaml	Autophagy-Lysosome Pathway|Autophagophore initiation and elongation|Regulation of autophagophore membrane composition|ATG2-WIPI complex component	Autophagy-Lysosome Pathway|Autophagophore initiation and elongation|Regulation of autophagophore membrane composition|ATG2-WIPI complex component	ATG2A;ATG2B;WDR45B;WIPI1;WIPI2	GO:0000407 phagophore assembly site;GO:0034045 phagophore assembly site membrane	1
ATG2B		GO:0062079	ATG2-ATG18 complex	more_specific_than_existing_goa	ok_for_propagation_to_go	autophagy_lysosome_pathway.yaml	Autophagy-Lysosome Pathway|Autophagophore initiation and elongation|Regulation of autophagophore membrane composition|ATG2-WIPI complex component	Autophagy-Lysosome Pathway|Autophagophore initiation and elongation|Regulation of autophagophore membrane composition|ATG2-WIPI complex component	ATG2A;ATG2B;WDR45B;WIPI1;WIPI2	GO:0000407 phagophore assembly site;GO:0034045 phagophore assembly site membrane	1
ATL3		GO:0061709	reticulophagy	new_to_goa	ok_for_propagation_to_go	autophagy_lysosome_pathway.yaml	Autophagy-Lysosome Pathway|Autophagy substrate selection|Selective autophagy receptor|ERphagy	Autophagy-Lysosome Pathway|Autophagy substrate selection|Selective autophagy receptor|ERphagy	RETREG1;RETREG2;RETREG3;RTN3;SEC62		1
ATP13A1		GO:0015031	protein transport	new_to_goa	ok_for_propagation_to_go	er_proteostasis.yaml	ER proteostasis|Protein transport	ER proteostasis|Protein transport|Removal of misinserted transmembrane proteins	SEC61A1;SEC61A2;SEC61B;SEC61G;SEC62		1
ATP23		GO:0005758	mitochondrial intermembrane space	more_specific_than_existing_goa	ok_for_propagation_to_go	mitochondrial_proteostasis.yaml	Mitochondrial proteostasis|Organelle-specific protein degradation|Intermembrane space protease	Mitochondrial proteostasis|Organelle-specific protein degradation|Intermembrane space protease	ATP23;HTRA2;NLN	GO:0005739 mitochondrion	1
ATP23		GO:0035694	mitochondrial protein catabolic process	new_to_goa	ok_for_propagation_to_go	mitochondrial_proteostasis.yaml	Mitochondrial proteostasis|Organelle-specific protein degradation	Mitochondrial proteostasis|Organelle-specific protein degradation|Intermembrane space protease	ANKZF1;FAF2;MARCHF5;USP30;VCP		1
ATP5IF1		GO:0000423	mitophagy	supported_by_goa_regulation	ok_for_propagation_to_go	autophagy_lysosome_pathway.yaml	Autophagy-Lysosome Pathway|Autophagy substrate selection|Marking substrates for selective autophagy|Mitophagy	Autophagy-Lysosome Pathway|Autophagy substrate selection|Marking substrates for selective autophagy|Mitophagy|PINK/PRKN pathway	ATP5IF1;PARL;PGAM5;PINK1;PRKN	GO:1905091 positive regulation of type 2 mitophagy	1
ATP6AP1		GO:0060590	ATPase regulator activity	new_to_goa	ok_for_propagation_to_go	autophagy_lysosome_pathway.yaml	Autophagy-Lysosome Pathway|Lysosomal catabolism|Regulation of lysosomal environment|Lysosomal acidification|Regulator of the lysosomal v-ATPase proton pump;Autophagy-Lysosome Pathway|Pre-initiation autophagy signaling|mTORC1 pathway, upstream|Nutrient sensing|Regulator of the lysosomal v-ATPase proton pump	Autophagy-Lysosome Pathway|Lysosomal catabolism|Regulation of lysosomal environment|Lysosomal acidification|Regulator of the lysosomal v-ATPase proton pump;Autophagy-Lysosome Pathway|Pre-initiation autophagy signaling|mTORC1 pathway, upstream|Nutrient sensing|Regulator of the lysosomal v-ATPase proton pump	ATP6AP1;ATP6AP2;LRRK2		2
ATP6AP2		GO:0060590	ATPase regulator activity	new_to_goa	ok_for_propagation_to_go	autophagy_lysosome_pathway.yaml	Autophagy-Lysosome Pathway|Lysosomal catabolism|Regulation of lysosomal environment|Lysosomal acidification|Regulator of the lysosomal v-ATPase proton pump;Autophagy-Lysosome Pathway|Pre-initiation autophagy signaling|mTORC1 pathway, upstream|Nutrient sensing|Regulator of the lysosomal v-ATPase proton pump	Autophagy-Lysosome Pathway|Lysosomal catabolism|Regulation of lysosomal environment|Lysosomal acidification|Regulator of the lysosomal v-ATPase proton pump;Autophagy-Lysosome Pathway|Pre-initiation autophagy signaling|mTORC1 pathway, upstream|Nutrient sensing|Regulator of the lysosomal v-ATPase proton pump	ATP6AP1;ATP6AP2;LRRK2		2
ATP6V0A1		GO:0046610	lysosomal proton-transporting V-type ATPase, V0 domain	more_specific_than_existing_goa	ok_for_propagation_to_go	autophagy_lysosome_pathway.yaml	Autophagy-Lysosome Pathway|Pre-initiation autophagy signaling|mTORC1 pathway, upstream|Nutrient sensing|V0 lysosomal v-ATPase proton pump component	Autophagy-Lysosome Pathway|Pre-initiation autophagy signaling|mTORC1 pathway, upstream|Nutrient sensing|V0 lysosomal v-ATPase proton pump component	ATP6V0A1;ATP6V0A2;ATP6V0A4;ATP6V0B;TCIRG1	GO:0000220 vacuolar proton-transporting V-type ATPase, V0 domain;GO:0005737 cytoplasm;GO:0005765 lysosomal membrane;GO:0016020 membrane;GO:0016471 vacuolar proton-transporting V-type ATPase complex;GO:0033179 proton-transporting V-type ATPase, V0 domain	1
ATP6V0A2		GO:0007042	lysosomal lumen acidification	more_specific_than_existing_goa	ok_for_propagation_to_go	autophagy_lysosome_pathway.yaml	Autophagy-Lysosome Pathway|Lysosomal catabolism|Regulation of lysosomal environment|Lysosomal acidification	Autophagy-Lysosome Pathway|Lysosomal catabolism|Regulation of lysosomal environment|Lysosomal acidification|V0 lysosomal v-ATPase proton pump component	ATP6V0A1;ATP6V0A2;ATP6V0A4;ATP6V0B;TCIRG1	GO:0007035 vacuolar acidification	1
ATP6V0A2		GO:0046610	lysosomal proton-transporting V-type ATPase, V0 domain	more_specific_than_existing_goa	ok_for_propagation_to_go	autophagy_lysosome_pathway.yaml	Autophagy-Lysosome Pathway|Pre-initiation autophagy signaling|mTORC1 pathway, upstream|Nutrient sensing|V0 lysosomal v-ATPase proton pump component	Autophagy-Lysosome Pathway|Pre-initiation autophagy signaling|mTORC1 pathway, upstream|Nutrient sensing|V0 lysosomal v-ATPase proton pump component	ATP6V0A1;ATP6V0A2;ATP6V0A4;ATP6V0B;TCIRG1	GO:0000220 vacuolar proton-transporting V-type ATPase, V0 domain;GO:0005765 lysosomal membrane;GO:0016471 vacuolar proton-transporting V-type ATPase complex;GO:0033176 proton-transporting V-type ATPase complex;GO:0033179 proton-transporting V-type ATPase, V0 domain	1
ATP6V0A4		GO:0007042	lysosomal lumen acidification	more_specific_than_existing_goa	ok_for_propagation_to_go	autophagy_lysosome_pathway.yaml	Autophagy-Lysosome Pathway|Lysosomal catabolism|Regulation of lysosomal environment|Lysosomal acidification	Autophagy-Lysosome Pathway|Lysosomal catabolism|Regulation of lysosomal environment|Lysosomal acidification|V0 lysosomal v-ATPase proton pump component	ATP6V0A1;ATP6V0A2;ATP6V0A4;ATP6V0B;TCIRG1	GO:0006885 regulation of pH;GO:0007035 vacuolar acidification;GO:0051452 intracellular pH reduction	1
ATP6V0A4		GO:0046610	lysosomal proton-transporting V-type ATPase, V0 domain	more_specific_than_existing_goa	ok_for_propagation_to_go	autophagy_lysosome_pathway.yaml	Autophagy-Lysosome Pathway|Pre-initiation autophagy signaling|mTORC1 pathway, upstream|Nutrient sensing|V0 lysosomal v-ATPase proton pump component	Autophagy-Lysosome Pathway|Pre-initiation autophagy signaling|mTORC1 pathway, upstream|Nutrient sensing|V0 lysosomal v-ATPase proton pump component	ATP6V0A1;ATP6V0A2;ATP6V0A4;ATP6V0B;TCIRG1	GO:0000220 vacuolar proton-transporting V-type ATPase, V0 domain;GO:0005765 lysosomal membrane;GO:0016471 vacuolar proton-transporting V-type ATPase complex;GO:0033179 proton-transporting V-type ATPase, V0 domain	1
ATP6V0B		GO:0046610	lysosomal proton-transporting V-type ATPase, V0 domain	more_specific_than_existing_goa	ok_for_propagation_to_go	autophagy_lysosome_pathway.yaml	Autophagy-Lysosome Pathway|Pre-initiation autophagy signaling|mTORC1 pathway, upstream|Nutrient sensing|V0 lysosomal v-ATPase proton pump component	Autophagy-Lysosome Pathway|Pre-initiation autophagy signaling|mTORC1 pathway, upstream|Nutrient sensing|V0 lysosomal v-ATPase proton pump component	ATP6V0A1;ATP6V0A2;ATP6V0A4;ATP6V0B;TCIRG1	GO:0000220 vacuolar proton-transporting V-type ATPase, V0 domain;GO:0005765 lysosomal membrane;GO:0016020 membrane;GO:0033176 proton-transporting V-type ATPase complex;GO:0033177 proton-transporting two-sector ATPase complex, proton-transporting domain;GO:0033179 proton-transporting V-type ATPase, V0 domain	1
ATP6V0C		GO:0046610	lysosomal proton-transporting V-type ATPase, V0 domain	more_specific_than_existing_goa	ok_for_propagation_to_go	autophagy_lysosome_pathway.yaml	Autophagy-Lysosome Pathway|Pre-initiation autophagy signaling|mTORC1 pathway, upstream|Nutrient sensing|V0 lysosomal v-ATPase proton pump component	Autophagy-Lysosome Pathway|Pre-initiation autophagy signaling|mTORC1 pathway, upstream|Nutrient sensing|V0 lysosomal v-ATPase proton pump component	ATP6V0A1;ATP6V0A2;ATP6V0A4;ATP6V0B;TCIRG1	GO:0000220 vacuolar proton-transporting V-type ATPase, V0 domain;GO:0005765 lysosomal membrane;GO:0016020 membrane;GO:0033176 proton-transporting V-type ATPase complex;GO:0033177 proton-transporting two-sector ATPase complex, proton-transporting domain;GO:0033179 proton-transporting V-type ATPase, V0 domain;GO:0046611 lysosomal proton-transporting V-type ATPase complex;GO:0098588 bounding membrane of organelle	1
ATP6V0D1		GO:0007042	lysosomal lumen acidification	more_specific_than_existing_goa	ok_for_propagation_to_go	autophagy_lysosome_pathway.yaml	Autophagy-Lysosome Pathway|Lysosomal catabolism|Regulation of lysosomal environment|Lysosomal acidification	Autophagy-Lysosome Pathway|Lysosomal catabolism|Regulation of lysosomal environment|Lysosomal acidification|V0 lysosomal v-ATPase proton pump component	ATP6V0A1;ATP6V0A2;ATP6V0A4;ATP6V0B;TCIRG1	GO:0007035 vacuolar acidification;GO:0042592 homeostatic process	1
ATP6V0D1		GO:0046610	lysosomal proton-transporting V-type ATPase, V0 domain	more_specific_than_existing_goa	ok_for_propagation_to_go	autophagy_lysosome_pathway.yaml	Autophagy-Lysosome Pathway|Pre-initiation autophagy signaling|mTORC1 pathway, upstream|Nutrient sensing|V0 lysosomal v-ATPase proton pump component	Autophagy-Lysosome Pathway|Pre-initiation autophagy signaling|mTORC1 pathway, upstream|Nutrient sensing|V0 lysosomal v-ATPase proton pump component	ATP6V0A1;ATP6V0A2;ATP6V0A4;ATP6V0B;TCIRG1	GO:0000220 vacuolar proton-transporting V-type ATPase, V0 domain;GO:0005765 lysosomal membrane;GO:0016020 membrane;GO:0016471 vacuolar proton-transporting V-type ATPase complex;GO:0032991 protein-containing complex;GO:0033176 proton-transporting V-type ATPase complex;GO:0033179 proton-transporting V-type ATPase, V0 domain;GO:0046611 lysosomal proton-transporting V-type ATPase complex	1
ATP6V0D2		GO:0007042	lysosomal lumen acidification	more_specific_than_existing_goa	ok_for_propagation_to_go	autophagy_lysosome_pathway.yaml	Autophagy-Lysosome Pathway|Lysosomal catabolism|Regulation of lysosomal environment|Lysosomal acidification	Autophagy-Lysosome Pathway|Lysosomal catabolism|Regulation of lysosomal environment|Lysosomal acidification|V0 lysosomal v-ATPase proton pump component	ATP6V0A1;ATP6V0A2;ATP6V0A4;ATP6V0B;TCIRG1	GO:0007035 vacuolar acidification	1
ATP6V0D2		GO:0046610	lysosomal proton-transporting V-type ATPase, V0 domain	more_specific_than_existing_goa	ok_for_propagation_to_go	autophagy_lysosome_pathway.yaml	Autophagy-Lysosome Pathway|Pre-initiation autophagy signaling|mTORC1 pathway, upstream|Nutrient sensing|V0 lysosomal v-ATPase proton pump component	Autophagy-Lysosome Pathway|Pre-initiation autophagy signaling|mTORC1 pathway, upstream|Nutrient sensing|V0 lysosomal v-ATPase proton pump component	ATP6V0A1;ATP6V0A2;ATP6V0A4;ATP6V0B;TCIRG1	GO:0005765 lysosomal membrane;GO:0016020 membrane;GO:0016471 vacuolar proton-transporting V-type ATPase complex;GO:0033179 proton-transporting V-type ATPase, V0 domain	1
ATP6V0E1		GO:0007042	lysosomal lumen acidification	more_specific_than_existing_goa	ok_for_propagation_to_go	autophagy_lysosome_pathway.yaml	Autophagy-Lysosome Pathway|Lysosomal catabolism|Regulation of lysosomal environment|Lysosomal acidification	Autophagy-Lysosome Pathway|Lysosomal catabolism|Regulation of lysosomal environment|Lysosomal acidification|V0 lysosomal v-ATPase proton pump component	ATP6V0A1;ATP6V0A2;ATP6V0A4;ATP6V0B;TCIRG1	GO:0007035 vacuolar acidification	1
ATP6V0E1		GO:0046610	lysosomal proton-transporting V-type ATPase, V0 domain	more_specific_than_existing_goa	ok_for_propagation_to_go	autophagy_lysosome_pathway.yaml	Autophagy-Lysosome Pathway|Pre-initiation autophagy signaling|mTORC1 pathway, upstream|Nutrient sensing|V0 lysosomal v-ATPase proton pump component	Autophagy-Lysosome Pathway|Pre-initiation autophagy signaling|mTORC1 pathway, upstream|Nutrient sensing|V0 lysosomal v-ATPase proton pump component	ATP6V0A1;ATP6V0A2;ATP6V0A4;ATP6V0B;TCIRG1	GO:0000220 vacuolar proton-transporting V-type ATPase, V0 domain;GO:0005765 lysosomal membrane;GO:0016020 membrane;GO:0033179 proton-transporting V-type ATPase, V0 domain	1
ATP6V0E2		GO:0007042	lysosomal lumen acidification	more_specific_than_existing_goa	ok_for_propagation_to_go	autophagy_lysosome_pathway.yaml	Autophagy-Lysosome Pathway|Lysosomal catabolism|Regulation of lysosomal environment|Lysosomal acidification	Autophagy-Lysosome Pathway|Lysosomal catabolism|Regulation of lysosomal environment|Lysosomal acidification|V0 lysosomal v-ATPase proton pump component	ATP6V0A1;ATP6V0A2;ATP6V0A4;ATP6V0B;TCIRG1	GO:0007035 vacuolar acidification	1
ATP6V0E2		GO:0046610	lysosomal proton-transporting V-type ATPase, V0 domain	more_specific_than_existing_goa	ok_for_propagation_to_go	autophagy_lysosome_pathway.yaml	Autophagy-Lysosome Pathway|Pre-initiation autophagy signaling|mTORC1 pathway, upstream|Nutrient sensing|V0 lysosomal v-ATPase proton pump component	Autophagy-Lysosome Pathway|Pre-initiation autophagy signaling|mTORC1 pathway, upstream|Nutrient sensing|V0 lysosomal v-ATPase proton pump component	ATP6V0A1;ATP6V0A2;ATP6V0A4;ATP6V0B;TCIRG1	GO:0000220 vacuolar proton-transporting V-type ATPase, V0 domain;GO:0005765 lysosomal membrane;GO:0016020 membrane;GO:0033179 proton-transporting V-type ATPase, V0 domain	1
ATP6V1A		GO:0046612	lysosomal proton-transporting V-type ATPase, V1 domain	more_specific_than_existing_goa	ok_for_propagation_to_go	autophagy_lysosome_pathway.yaml	Autophagy-Lysosome Pathway|Pre-initiation autophagy signaling|mTORC1 pathway, upstream|Nutrient sensing|V1 lysosomal v-ATPase proton pump component	Autophagy-Lysosome Pathway|Pre-initiation autophagy signaling|mTORC1 pathway, upstream|Nutrient sensing|V1 lysosomal v-ATPase proton pump component	ATP6V1A;ATP6V1B1;ATP6V1B2;ATP6V1C1;ATP6V1C2	GO:0000221 vacuolar proton-transporting V-type ATPase, V1 domain;GO:0005737 cytoplasm;GO:0005764 lysosome;GO:0005765 lysosomal membrane;GO:0005774 vacuolar membrane;GO:0016020 membrane;GO:0016469 proton-transporting two-sector ATPase complex;GO:0033176 proton-transporting V-type ATPase complex;GO:0033180 proton-transporting V-type ATPase, V1 domain;GO:0046611 lysosomal proton-transporting V-type ATPase complex	1
