organism	gene_symbol	gene_id	reference_id	title	relevance	correctness	is_invalid	review_notes	source_file
AQUCT	A0A2G9RZF1	A0A2G9RZF1	PMID:21954942	Structure and properties of the Ca(2+)-binding CUB domain, a widespread ligand-recognition unit involved in major biological functions	HIGH	VERIFIED		Authoritative review of CUB domain biology. Establishes CUB domains as protein-protein interaction modules with beta-sandwich fold, not structural ECM components. Cited by OpenScientist report.	genes/AQUCT/A0A2G9RZF1/A0A2G9RZF1-ai-review.yaml
AQUCT	A0A2G9RZF1	A0A2G9RZF1	PMID:29127278	The North American bullfrog draft genome provides insight into hormonal regulation of long noncoding RNA	LOW	VERIFIED		This is the bullfrog genome paper cited by UniProt for the nucleotide sequence. It provides the genomic context but no functional characterization of this specific gene.	genes/AQUCT/A0A2G9RZF1/A0A2G9RZF1-ai-review.yaml
AQUCT	A0A2G9RZF1	A0A2G9RZF1	file:AQUCT/A0A2G9RZF1/A0A2G9RZF1-deep-research-falcon.md	Deep research report for A0A2G9RZF1	MEDIUM	UNVERIFIED		The falcon deep research correctly identifies the protein as a CUB domain-containing protein and provides a thorough domain-based functional inference from recent literature on CUB domain proteins. No direct literature exists for this specific protein, so all functional inferences are based on domain architecture and family membership comparisons.	genes/AQUCT/A0A2G9RZF1/A0A2G9RZF1-ai-review.yaml
AQUCT	A0A2G9RZF1	A0A2G9RZF1	file:AQUCT/A0A2G9RZF1/A0A2G9RZF1-hypotheses/core-function-1-go-0005201/openscientist.md	OpenScientist deep research: GO:0005201 as core function of A0A2G9RZF1	HIGH	VERIFIED		OpenScientist autonomous investigation refuted GO:0005201 assignment on three independent grounds: (1) semantic mismatch -- GO:0005201 describes structural ECM proteins, not CUB-domain interaction modules; (2) PCPE-1 FunFam evidence chain failure -- PCPE-1 real function is peptidase activator activity (GO:0016504), and single CUB domains cannot perform PCPE-1 function (requires cooperative CUB1+CUB2 per PMID:19801683); (3) A0A2G9RZF1 is a gene prediction fragment from a poorly assembled genome -- a 2024 chromosome-level assembly (GCF_042186555.1) encodes complete BMP-1 (1,020 aa) and TLL1 (1,005 aa).	genes/AQUCT/A0A2G9RZF1/A0A2G9RZF1-ai-review.yaml
ARATH	AP3	P35632	PMID:11118137	Arabidopsis transcription factors: genome-wide comparative analysis among eukaryotes.	LOW	VERIFIED		PubMed-verified genome-wide Arabidopsis transcription factor census; supports classification of AP3 as a transcription factor (ISS) but is generic and not AP3-specific.	genes/ARATH/AP3/AP3-ai-review.yaml
ARATH	AP3	P35632	PMID:12837945	Molecular and phylogenetic analyses of the complete MADS-box transcription factor family in Arabidopsis: new openings to the MADS world.	MEDIUM	VERIFIED		PubMed-verified family-wide MADS-box analysis; supports AP3's identity as a MADS-box (MIKC) DNA-binding transcription factor by sequence/ phylogeny (basis of ISS GO:0003700). Not an AP3-specific functional study.	genes/ARATH/AP3/AP3-ai-review.yaml
ARATH	AP3	P35632	PMID:2535466	Genes directing flower development in Arabidopsis.	HIGH	VERIFIED		PubMed-verified; cached abstract explicitly reports ap3 homeotic transformations (petals to sepals, stamens to carpels), directly supporting the IMP annotation to specification of floral organ identity. Abstract-only in cache.	genes/ARATH/AP3/AP3-ai-review.yaml
ARATH	AP3	P35632	PMID:8698240	Nuclear localization of the Arabidopsis APETALA3 and PISTILLATA homeotic gene products depends on their simultaneous expression.	HIGH	VERIFIED		PubMed-verified; cached abstract shows AP3 and PI are cytoplasmic alone but nuclear when co-expressed, supporting both the IDA nucleus annotation and the obligate-heterodimer (dimerization) core function. Abstract-only in cache.	genes/ARATH/AP3/AP3-ai-review.yaml
ARATH	AP3	P35632	file:ARATH/AP3/AP3-deep-research-falcon.md	Falcon/Edison deep research report: AP3	HIGH	VERIFIED		AI-generated (Falcon/Edison) deep-research synthesis used as supporting context; trace individual claims to primary literature before treating as definitive.	genes/ARATH/AP3/AP3-ai-review.yaml
ARATH	BIK1	O48814	DOI:10.1038/s41586-020-2210-3	Ligand-induced monoubiquitination of BIK1 regulates plant immunity.	HIGH	VERIFIED		DOI resolves to Ma et al. 2020 Nature (= PMID:32404997, also in this reference list). Establishes flg22-induced monoubiquitination of BIK1 by ATL44/RHA3A and ATL45/RHA3B, dissociation from FLS2 complex, internalization into endosomes, and requirement for ROS and antibacterial immunity.	genes/ARATH/BIK1/BIK1-ai-review.yaml
ARATH	BIK1	O48814	PMID:15610358	High-throughput protein localization in Arabidopsis using Agrobacterium-mediated transient expression of GFP-ORF fusions.	LOW	VERIFIED		PubMed-verified high-throughput GFP-ORF transient-expression localization screen of 155 fusion proteins (cytoplasmic/nuclear/nucleolar/ organellar/endomembrane categories). Generic overexpression assay that bypasses native N-myristoylation/palmitoylation membrane targeting; source of the cytoplasm/nucleus/nucleolus HDA annotations. The nucleolus call is not substantiated by any focused BIK1 study and is biologically implausible for a membrane-anchored kinase.	genes/ARATH/BIK1/BIK1-ai-review.yaml
ARATH	BIK1	O48814	PMID:16339855	The membrane-anchored BOTRYTIS-INDUCED KINASE1 plays distinct roles in Arabidopsis resistance to necrotrophic and biotrophic pathogens.	HIGH	VERIFIED		Full text available and PubMed-verified. Founding BIK1 paper: identifies BIK1 as a membrane-anchored RLCK required for resistance to necrotrophic fungi, negative regulator of basal resistance to Pst, SA modulation, and root hair growth. Source of the membrane, response to fungus, kinase activity, autophosphorylation and defense response to fungus annotations.	genes/ARATH/BIK1/BIK1-ai-review.yaml
ARATH	BIK1	O48814	PMID:20018686	A receptor-like cytoplasmic kinase, BIK1, associates with a flagellin receptor complex to initiate plant innate immunity.	HIGH	VERIFIED		PubMed-verified (abstract-only in cache). Establishes BIK1 as the RLCK that associates with FLS2/BAK1 and is rapidly phosphorylated upon flagellin perception, then trans-phosphorylates FLS2/BAK1 to propagate immune signaling. Anchors the core PRR-signaling and bacterial-response annotations.	genes/ARATH/BIK1/BIK1-ai-review.yaml
ARATH	BIK1	O48814	PMID:24629339	The FLS2-associated kinase BIK1 directly phosphorylates the NADPH oxidase RbohD to control plant immunity.	HIGH	VERIFIED		PubMed-verified (abstract-only in cache). Establishes the core BIK1->RBOHD->ROS axis: BIK1 directly phosphorylates RBOHD at specific sites in a calcium-independent manner to enhance the ROS burst and control stomatal defense.	genes/ARATH/BIK1/BIK1-ai-review.yaml
ARATH	BIK1	O48814	PMID:28887381	Global Analysis of Membrane-associated Protein Oligomerization Using Protein Correlation Profiling.	LOW	VERIFIED		PubMed-verified high-throughput membrane-protein correlation-profiling proteomics survey, not a focused BIK1 study. Source of the Golgi HDA annotation, which is not corroborated by any dedicated BIK1 localization work; treated as over-annotation.	genes/ARATH/BIK1/BIK1-ai-review.yaml
ARATH	BIK1	O48814	PMID:29649442	The Receptor-like Cytoplasmic Kinase BIK1 Localizes to the Nucleus and Regulates Defense Hormone Expression during Plant Innate Immunity.	HIGH	VERIFIED		Full text available and PubMed-verified. Crystal structure (PDB 5TOS) plus demonstration that EFR phosphorylates BIK1 and that activated BIK1 relocates to the nucleus to phosphorylate WRKY TFs regulating JA/SA. Supports nucleus localization and the JA/SA regulation annotations via the PRR-BIK1-WRKY axis.	genes/ARATH/BIK1/BIK1-ai-review.yaml
ARATH	BIK1	O48814	PMID:32846426	The calcium-permeable channel OSCA1.3 regulates plant stomatal immunity.	HIGH	VERIFIED		Full text available and PubMed-verified. Establishes BIK1->OSCA1.3 Ca2+ channel axis: BIK1 directly phosphorylates OSCA1.3 (S54) in a kinase-activity-dependent manner to promote Ca2+ influx and stomatal closure during immunity. Supports the kinase-activity, protein phosphorylation, and stomatal movement annotations.	genes/ARATH/BIK1/BIK1-ai-review.yaml
ARATH	BIK1	O48814	file:ARATH/BIK1/BIK1-deep-research-falcon.md	Falcon/Edison deep research report: BIK1	HIGH	VERIFIED		AI-generated (Falcon/Edison) deep-research synthesis used as supporting context; trace individual claims to primary literature before treating as definitive.	genes/ARATH/BIK1/BIK1-ai-review.yaml
ARATH	CASPL1B1	Q9FI10	PMID:21798944	Evidence for network evolution in an Arabidopsis interactome map.	MEDIUM	VERIFIED		PubMed-verified. Large-scale interactome; the single Y2H interaction (NAC089) is real but functionally uninformative on its own.	genes/ARATH/CASPL1B1/CASPL1B1-ai-review.yaml
ARATH	CASPL1B1	Q9FI10	PMID:24920445	Functional and evolutionary analysis of the CASPARIAN STRIP MEMBRANE DOMAIN PROTEIN family.	HIGH	VERIFIED		PubMed-verified family-defining paper.	genes/ARATH/CASPL1B1/CASPL1B1-ai-review.yaml
ARATH	CASPL1B1	Q9FI10	PMID:30767240	Regulation of a plant aquaporin by a Casparian strip membrane domain protein-like.	HIGH	VERIFIED		PubMed-verified (abstract cached). Primary functional study of the CASPL1B/1D clade including CASPL1B1.	genes/ARATH/CASPL1B1/CASPL1B1-ai-review.yaml
ARATH	CASPL1B1	Q9FI10	PMID:36959183	Directed growth and fusion of membrane-wall microdomains requires CASP-mediated inhibition and displacement of secretory foci.	HIGH	VERIFIED		DOI-verified via Crossref (10.1038/s41467-023-37265-7); full text cached.	genes/ARATH/CASPL1B1/CASPL1B1-ai-review.yaml
ARATH	CASPL1B2	Q9SUP0	PMID:24920445	Functional and evolutionary analysis of the CASPARIAN STRIP MEMBRANE DOMAIN PROTEIN family.	HIGH	VERIFIED		PubMed-verified family-defining paper.	genes/ARATH/CASPL1B2/CASPL1B2-ai-review.yaml
ARATH	CASPL1B2	Q9SUP0	PMID:30767240	Regulation of a plant aquaporin by a Casparian strip membrane domain protein-like.	HIGH	VERIFIED		PubMed-verified (abstract cached). Primary functional study of the CASPL1B/1D clade.	genes/ARATH/CASPL1B2/CASPL1B2-ai-review.yaml
ARATH	CASPL1D1	Q9FE29	PMID:22430844	Isolation and proteomic characterization of the Arabidopsis Golgi defines functional and novel components involved in plant cell wall biosynthesis.	LOW	UNVERIFIED		High-throughput organellar proteomics; localization is secondary to the established plasma-membrane location.	genes/ARATH/CASPL1D1/CASPL1D1-ai-review.yaml
ARATH	CASPL1D1	Q9FE29	PMID:22923678	Putative glycosyltransferases and other plant Golgi apparatus proteins are revealed by LOPIT proteomics.	LOW	UNVERIFIED		High-throughput endomembrane proteomics; trafficking intermediates of a PM protein.	genes/ARATH/CASPL1D1/CASPL1D1-ai-review.yaml
ARATH	CASPL1D1	Q9FE29	PMID:24920445	Functional and evolutionary analysis of the CASPARIAN STRIP MEMBRANE DOMAIN PROTEIN family.	HIGH	VERIFIED		PubMed-verified family-defining paper.	genes/ARATH/CASPL1D1/CASPL1D1-ai-review.yaml
ARATH	CASPL1D1	Q9FE29	PMID:25122472	Label-free protein quantification for plant Golgi protein localization and abundance.	LOW	UNVERIFIED		High-throughput organellar proteomics.	genes/ARATH/CASPL1D1/CASPL1D1-ai-review.yaml
ARATH	CASPL1D1	Q9FE29	PMID:30767240	Regulation of a plant aquaporin by a Casparian strip membrane domain protein-like.	HIGH	VERIFIED		PubMed-verified (abstract cached). Primary functional study of the CASPL1B/1D clade.	genes/ARATH/CASPL1D1/CASPL1D1-ai-review.yaml
ARATH	CASPL1D1	Q9FE29	PMID:36959183	Directed growth and fusion of membrane-wall microdomains requires CASP-mediated inhibition and displacement of secretory foci.	MEDIUM	VERIFIED		DOI-verified via Crossref (10.1038/s41467-023-37265-7); full text cached.	genes/ARATH/CASPL1D1/CASPL1D1-ai-review.yaml
ARATH	CASPL1D2	Q9SQU2	PMID:24920445	Functional and evolutionary analysis of the CASPARIAN STRIP MEMBRANE DOMAIN PROTEIN family.	HIGH	VERIFIED		PubMed-verified family-defining paper.	genes/ARATH/CASPL1D2/CASPL1D2-ai-review.yaml
ARATH	CASPL1D2	Q9SQU2	PMID:30767240	Regulation of a plant aquaporin by a Casparian strip membrane domain protein-like.	HIGH	VERIFIED		PubMed-verified (abstract cached). Primary functional study of the CASPL1B/1D clade.	genes/ARATH/CASPL1D2/CASPL1D2-ai-review.yaml
ARATH	CASPL4C1	Q9M2U0	PMID:24920445	Functional and evolutionary analysis of the CASPARIAN STRIP MEMBRANE DOMAIN PROTEIN family.	HIGH	VERIFIED		PubMed-verified family-defining paper.	genes/ARATH/CASPL4C1/CASPL4C1-ai-review.yaml
ARATH	CASPL4C1	Q9M2U0	PMID:26399665	A Casparian strip domain-like gene, CASPL, negatively alters growth and cold tolerance.	HIGH	VERIFIED		PubMed-verified (full text cached). Primary functional study of AtCASPL4C1 / ClCASPL.	genes/ARATH/CASPL4C1/CASPL4C1-ai-review.yaml
ARATH	CIPK24	Q9LDI3	PMID:10725350	The Arabidopsis SOS2 protein kinase physically interacts with and is activated by the calcium-binding protein SOS3.	HIGH	VERIFIED		Full text available and PubMed-consistent. Establishes Ca2+-dependent activation of SOS2 by SOS3 via the C-terminal regulatory domain and sos2/sos3 pathway epistasis.	genes/ARATH/CIPK24/CIPK24-ai-review.yaml
ARATH	CIPK24	Q9LDI3	PMID:10725382	The Arabidopsis thaliana SOS2 gene encodes a protein kinase that is required for salt tolerance.	HIGH	VERIFIED		Full text available. Cloning of SOS2; autophosphorylation shows it is an active Ser/Thr kinase; kinase-dead mutants abolish activity. Basis for IDA kinase annotation.	genes/ARATH/CIPK24/CIPK24-ai-review.yaml
ARATH	CIPK24	Q9LDI3	PMID:11006339	SOS3 function in plant salt tolerance requires N-myristoylation and calcium binding.	MEDIUM	VERIFIED		Primarily about SOS3 myristoylation/Ca2+ binding; contributes the SOS2-SOS3 IntAct binding pair. Supporting, not a direct SOS2-function paper.	genes/ARATH/CIPK24/CIPK24-ai-review.yaml
ARATH	CIPK24	Q9LDI3	PMID:11402167	Molecular characterization of functional domains in the protein kinase SOS2 that is required for plant salt tolerance.	HIGH	VERIFIED		Full text available. Defines the NAF/SOS3-binding autoinhibitory motif and activation-loop control; mechanistic core of CIPK24 regulation.	genes/ARATH/CIPK24/CIPK24-ai-review.yaml
ARATH	CIPK24	Q9LDI3	PMID:14504388	A novel domain in the protein kinase SOS2 mediates interaction with the protein phosphatase 2C ABI2.	HIGH	VERIFIED		Full text available. Defines the PPI motif mediating ABI2 (PP2C) binding, a negative-regulatory input to the SOS pathway.	genes/ARATH/CIPK24/CIPK24-ai-review.yaml
ARATH	CIPK24	Q9LDI3	PMID:14730064	Calcium sensors and their interacting protein kinases: genomics of the Arabidopsis and rice CBL-CIPK signaling networks.	MEDIUM	DISPUTED		CBL-CIPK network genomics; source of CBL1/CBL9 IntAct pairs for CIPK24. Cached record notes an Expression of Concern (2024) and an Erratum (2025); used only for family/interaction context.	genes/ARATH/CIPK24/CIPK24-ai-review.yaml
ARATH	CIPK24	Q9LDI3	PMID:17360592	Differential binding of calmodulin-related proteins to their targets revealed through high-density Arabidopsis protein microarrays.	LOW	VERIFIED		High-throughput protein microarray; calmodulin-related (CAM7/CML9) binding hits of uncertain physiological relevance to the salt pathway.	genes/ARATH/CIPK24/CIPK24-ai-review.yaml
ARATH	CIPK24	Q9LDI3	PMID:17449811	SCABP8/CBL10, a putative calcium sensor, interacts with the protein kinase SOS2 to protect Arabidopsis shoots from salt stress.	HIGH	VERIFIED		Abstract-only in cache but PubMed-consistent. Shows CBL10/SCABP8 recruits and activates SOS2 (shoot branch), complementing the SOS3 root branch.	genes/ARATH/CIPK24/CIPK24-ai-review.yaml
ARATH	CIPK24	Q9LDI3	PMID:17785451	Interaction of SOS2 with nucleoside diphosphate kinase 2 and catalases reveals a point of connection between salt stress and H2O2 signaling in Arabidopsis thaliana.	MEDIUM	VERIFIED		Full text available. Links SOS2 to NDPK2 and reactive-oxygen signaling; a secondary branch of SOS2 interactions.	genes/ARATH/CIPK24/CIPK24-ai-review.yaml
ARATH	CIPK24	Q9LDI3	PMID:17825054	The calcium sensor CBL10 mediates salt tolerance by regulating ion homeostasis in Arabidopsis.	HIGH	VERIFIED		Abstract-only in cache but PubMed-consistent. CBL10-CIPK24 complex at vacuolar membranes; basis for the IDA plant-type vacuole membrane localization.	genes/ARATH/CIPK24/CIPK24-ai-review.yaml
ARATH	CIPK24	Q9LDI3	PMID:19448033	Phosphorylation of SOS3-LIKE CALCIUM BINDING PROTEIN8 by SOS2 protein kinase stabilizes their protein complex and regulates salt tolerance in Arabidopsis.	HIGH	VERIFIED		Full text available. SOS2 phosphorylates SCaBP8/CBL10 at Ser-237 (not SOS3), stabilizing the complex and enhancing PM Na+/H+ exchange.	genes/ARATH/CIPK24/CIPK24-ai-review.yaml
ARATH	CIPK24	Q9LDI3	PMID:21262798	Activation of the plasma membrane Na/H antiporter Salt-Overly-Sensitive 1 (SOS1) by phosphorylation of an auto-inhibitory C-terminal domain.	HIGH	VERIFIED		Full text available. Mechanistic demonstration that SOS2-SOS3 activates SOS1 by phosphorylating its autoinhibitory C-terminus; key downstream output of CIPK24.	genes/ARATH/CIPK24/CIPK24-ai-review.yaml
ARATH	CIPK24	Q9LDI3	PMID:21798944	Evidence for network evolution in an Arabidopsis interactome map.	LOW	VERIFIED		Large-scale interactome map; source of a high-throughput CBL1 binding pair for CIPK24. Background interaction data only.	genes/ARATH/CIPK24/CIPK24-ai-review.yaml
ARATH	CIPK24	Q9LDI3	PMID:32612234	Extensive signal integration by the phytohormone protein network.	LOW	VERIFIED		Phytohormone interactome; source of high-throughput CBL1/CBL9 binding pairs. Background interaction data only.	genes/ARATH/CIPK24/CIPK24-ai-review.yaml
ARATH	CIPK24	Q9LDI3	PMID:40726285	Salt-responsive SSN1 condensation in nucleus facilitates PIF4 degradation to regulate Arabidopsis salt tolerance.	MEDIUM	VERIFIED		Abstract-only in cache but PubMed-consistent. Describes a nuclear SOS2-PIF4 salt-body branch; supports a nuclear pool/role for SOS2.	genes/ARATH/CIPK24/CIPK24-ai-review.yaml
ARATH	CIPK24	Q9LDI3	PMID:9668136	Genetic analysis of salt tolerance in arabidopsis. Evidence for a critical role of potassium nutrition.	HIGH	VERIFIED		Abstract-only in cache but PubMed-consistent. Founding genetic screen defining the SOS2 locus and its specific Na+/Li+ hypersensitivity; basis for IMP salt-stress annotation.	genes/ARATH/CIPK24/CIPK24-ai-review.yaml
ARATH	CIPK24	Q9LDI3	file:ARATH/CIPK24/CIPK24-deep-research-falcon.md	Falcon/Edison deep research report: CIPK24	HIGH	VERIFIED		AI-generated (Falcon/Edison) deep-research synthesis used as supporting context; trace individual claims to primary literature before treating as definitive.	genes/ARATH/CIPK24/CIPK24-ai-review.yaml
ARATH	CLV3	Q9XF04	PMID:12034890	CLV3 is localized to the extracellular space, where it activates the Arabidopsis CLAVATA stem cell signaling pathway.	HIGH	VERIFIED		Full text available; directly establishes apoplastic/extracellular localization of CLV3 and that secretion is required for activating the CLV1/CLV2 receptor complex. Supports GO:0048046 and GO:0005576.	genes/ARATH/CLV3/CLV3-ai-review.yaml
ARATH	CLV3	Q9XF04	PMID:16603652	Dynamic and compensatory responses of Arabidopsis shoot and floral meristems to CLV3 signaling.	HIGH	VERIFIED		Full text available; inducible-expression experiments show CLV3 signaling from stem cells rapidly represses WUS and restricts meristem growth, supporting the core cell-cell signaling and meristem-regulation annotations.	genes/ARATH/CLV3/CLV3-ai-review.yaml
ARATH	CLV3	Q9XF04	PMID:19525968	A glycopeptide regulating stem cell fate in Arabidopsis thaliana.	HIGH	VERIFIED		Cached entry is abstract-only, but PubMed-verified; establishes the mature CLV3 as a 13-aa arabinosylated glycopeptide and that arabinosylation is critical for high-affinity CLV1 binding. UniProt cites this PMID for CLV1 interaction, glycosylation at Pro-76, and subcellular location.	genes/ARATH/CLV3/CLV3-ai-review.yaml
ARATH	CLV3	Q9XF04	PMID:20626648	CLAVATA2 forms a distinct CLE-binding receptor complex regulating Arabidopsis stem cell specification.	HIGH	VERIFIED		Full text available; direct binding assays show the CLV3-derived CLE peptide binds CLV1, CLV2, BAM1 and BAM2 with similar nanomolar Kd (~26-36 nM). Supports GO:0033612 and GO:0005102. Note CLV2 is a receptor-like protein lacking a kinase domain.	genes/ARATH/CLV3/CLV3-ai-review.yaml
ARATH	CLV3	Q9XF04	PMID:21499263	Stem-cell-triggered immunity through CLV3p-FLS2 signalling.	MEDIUM	DISPUTED		Full text available; reports CLV3p triggers FLS2/BAK1 immune signaling and binds FLS2 directly. The central claim was contradicted by Segonzac et al. 2012 (PMID:22923673), who could not reproduce CLV3p recognition by FLS2. Citation is correct but the immunity function is contested.	genes/ARATH/CLV3/CLV3-ai-review.yaml
ARATH	CLV3	Q9XF04	PMID:22923673	The shoot apical meristem regulatory peptide CLV3 does not activate innate immunity.	HIGH	VERIFIED		Cached entry abstract-only; PubMed-verified. Provides the experimental basis for the NOT annotation against GO:0002221, showing FLS2 does not recognize CLV3 and SAM bacterial immunity is independent of CLV3 perception.	genes/ARATH/CLV3/CLV3-ai-review.yaml
ARATH	CLV3	Q9XF04	file:ARATH/CLV3/CLV3-deep-research-falcon.md	Falcon/Edison deep research report: CLV3	HIGH	VERIFIED		AI-generated (Falcon/Edison) deep-research synthesis used as supporting context; trace individual claims to primary literature before treating as definitive.	genes/ARATH/CLV3/CLV3-ai-review.yaml
ARATH	COI1	O04197	PMID:20927106	Jasmonate perception by inositol-phosphate-potentiated COI1-JAZ co-receptor.	HIGH	VERIFIED		PubMed-verified crystal structure (PDB 3OGL) of the COI1-JAZ jasmonate co-receptor with JA-Ile and inositol pentakisphosphate, establishing COI1 as the hormone-binding receptor subunit.	genes/ARATH/COI1/COI1-ai-review.yaml
ARATH	CRY1	Q43125	file:ARATH/CRY1/CRY1-hypotheses/function-hypothesis-go-0003904/openscientist.md	OpenScientist hypothesis report for CRY1 photolyase activity	HIGH	VERIFIED		The focused verdict agrees with local GOA source tracing to PANTHER:PTN000155848 and cached PTHR11455 context that places Q43125 in the CRYPTOCHROME-1 subfamily rather than a photolyase subfamily.	genes/ARATH/CRY1/CRY1-ai-review.yaml
ARATH	CRY2	Q96524	PMID:32398826	Structural insights into BIC-mediated inactivation of Arabidopsis cryptochrome 2.	HIGH	VERIFIED		PubMed-verified crystal structure (PDB 6K8I) of FAD-bound Arabidopsis CRY2 and its BIC complex.	genes/ARATH/CRY2/CRY2-ai-review.yaml
ARATH	DGAT1	Q9SLD2	PMID:10386579	Cloning of a cDNA encoding diacylglycerol acyltransferase from Arabidopsis thaliana and its functional expression.	HIGH	VERIFIED		Title corrected from the cached PubMed record (was fabricated). Genuine Arabidopsis DGAT1 paper supporting the IDA DGAT activity annotation.	genes/ARATH/DGAT1/DGAT1-ai-review.yaml
ARATH	DGAT1	Q9SLD2	PMID:10571850	The Arabidopsis thaliana TAG1 mutant has a mutation in a diacylglycerol acyltransferase gene.	HIGH	VERIFIED		Title corrected from the cached PubMed record (previously swapped with PMID:10601854). Genuine DGAT1/TAG1 paper supporting the IDA/ISS DGAT activity annotations.	genes/ARATH/DGAT1/DGAT1-ai-review.yaml
ARATH	DGAT1	Q9SLD2	PMID:10580283	The TAG1 locus of Arabidopsis encodes for a diacylglycerol acyltransferase.	MEDIUM	VERIFIED		Title corrected from the cached PubMed record (was fabricated). Genuine DGAT1/TAG1 paper; underlies the (non-core) seed-germination annotations, whose specific evidence was curator-assigned (TAIR).	genes/ARATH/DGAT1/DGAT1-ai-review.yaml
