accession	source_db	name	type	description
PF10923	pfam	BREX system ATP-binding protein BrxC/D	domain	This is the ATP-binding domain found in proteins that are associated with Bacteriophage Exclusion (BREX) system, a defense system that allows bacteriophage adsorption but blocks phage DNA replication [[cite:PUB00093365]]. This domain is found in the ATP-binding proteins BrxC/pglY (due to its homology with pglY from Pgl system) and BrxD [[cite:PUB00093365]].
PF12773	pfam	Double zinc ribbon	family	This family consists of a pair of zinc ribbon domains.
PF13240	pfam	zinc-ribbon domain	domain	This family consists of a single zinc ribbon domain, ie half of a pair as in family DZR. [pfam:PF12773].
PF13250	pfam	SNIPE associated domain	domain	This entry represents the SNIPE associated domain a small largely alpha helical domain found in the SNIPE protein family. SNIPE proteins cleave phage DNA during genome injection. This domain may help SNIPE bind to phage DNA.
PF13455	pfam	Meiotically up-regulated gene 113	family	This is a family of fungal proteins found to be up-regulated in meiosis.
PF14470	pfam	Bacterial PH domain	domain	Proteins in this family are distantly related to PH domains.
PF14471	pfam	Domain of unknown function (DUF4428)	domain	This putative zinc finger domain is found in uncharacterised bacterial proteins.
PF14472	pfam	Domain of unknown function (DUF4429)	domain	This presumed domain is functionally uncharacterised. This domain family is found in bacteria, archaea and viruses, and is approximately 90 amino acids in length.  This domain is often found in two tandem copies.
PF17866	pfam	AAA lid domain	domain	This entry represents the alpha helical AAA+ lid domain that is found to the C-terminus of AAA domains.
PF23428	pfam	Domain of unknown function (DUF7115)	domain	This domain is found at the N-terminal of HVO_2519 from Haloferax volcanii ([swissprot:D4GTV1]) and similar proteins mainly found in halobacteria. It has several conserved motifs RTxxYR, Y/FxHxxxR an RRK. It is predicted to show an alpha-beta configuration.
PF26438	pfam	Domain of unknown function (DUF8108) N-terminal domain	domain	This entry represents the N-terminal domain from a family of uncharacterised proteins from halophilic archaea. The family is predominantly found in the class Halobacteria, which includes members from the families Natrialbaceae and Haloferacaceae. Proteins in this family are typically between 150 and 350 amino acids in length. They are predicted to be membrane-associated, as suggested by the presence of two transmembrane helices in the central domain.
