interpro	type	n_pfam_members	min_go_depth	go_terms	pfam_members
IPR006011	Domain	2	2	GO:0016020 membrane	PF00804,PF14523
IPR006594	Conserved_site	2	2	GO:0005515 protein binding	PF08513,PF16045
IPR006680	Domain	2	2	GO:0016787 hydrolase activity	PF01979,PF04909
IPR006963	Domain	2	2	GO:0016491 oxidoreductase activity	PF04879,PF22151
IPR010502	Domain	2	2	GO:0004553 hydrolase activity, hydrolyzing O-glycosyl compounds|GO:0016052 carbohydrate catabolic process|GO:0030246 carbohydrate binding	PF06452,PF16011
IPR013525	Domain	2	2	GO:0016020 membrane|GO:0140359 ABC-type transporter activity	PF01061,PF12698
IPR018060	Domain	2	2	GO:0003700 DNA-binding transcription factor activity|GO:0006355 regulation of DNA-templated transcription|GO:0043565 sequence-specific DNA binding	PF00165,PF12833
IPR000297	Domain	2	3	GO:0003755 peptidyl-prolyl cis-trans isomerase activity	PF00639,PF13145
IPR000551	Domain	2	3	GO:0003677 DNA binding|GO:0006355 regulation of DNA-templated transcription	PF00376,PF13411
IPR001313	Repeat	2	3	GO:0003723 RNA binding	PF00806,PF22493
IPR002078	Domain	2	3	GO:0005524 ATP binding|GO:0006355 regulation of DNA-templated transcription|GO:0008134 transcription factor binding	PF00158,PF14532
IPR003656	Domain	2	3	GO:0003677 DNA binding	PF02892,PF26664
IPR004088	Domain	2	3	GO:0003723 RNA binding	PF00013,PF15985
IPR007889	Domain	2	3	GO:0003677 DNA binding	PF04218,PF05225
IPR012318	Domain	2	3	GO:0003677 DNA binding|GO:0006355 regulation of DNA-templated transcription	PF00325,PF13545
IPR000490	Domain	2	4	GO:0004553 hydrolase activity, hydrolyzing O-glycosyl compounds|GO:0005975 carbohydrate metabolic process	PF00332,PF29664
IPR000999	Domain	2	4	GO:0004525 ribonuclease III activity|GO:0006396 RNA processing	PF00636,PF14622
IPR001041	Domain	2	4	GO:0051536 iron-sulfur cluster binding	PF00111,PF13510
IPR001162	Domain	2	4	GO:0009381 excinuclease ABC activity	PF08459,PF22920
IPR001547	Domain	2	4	GO:0000272 polysaccharide catabolic process|GO:0004553 hydrolase activity, hydrolyzing O-glycosyl compounds	PF00150,PF26410
IPR005085	Domain	2	4	GO:2001070 starch binding	PF03423,PF16760
IPR008215	Domain	2	4	GO:0007217 tachykinin receptor signaling pathway	PF02202,PF30908
IPR000571	Domain	2	5	GO:0046872 metal ion binding	PF00642,PF25542
IPR006628	Family	2	5	GO:0000977 RNA polymerase II transcription regulatory region sequence-specific DNA binding|GO:0032422 purine-rich negative regulatory element binding	PF04845,PF11680
IPR009875	Domain	2	5	GO:0035438 cyclic-di-GMP binding	PF07238,PF22006
IPR016090	Domain	2	5	GO:0004623 A2-type glycerophospholipase activity|GO:0006644 phospholipid metabolic process|GO:0050482 arachidonate secretion	PF00068,PF05826
IPR000010	Domain	2	6	GO:0004869 cysteine-type endopeptidase inhibitor activity	PF00031,PF16845
IPR049912	Domain	2	6	GO:0006260 DNA replication	PF00799,PF02407
IPR000433	Domain	2	7	GO:0008270 zinc ion binding	PF00569,PF25299
IPR001293	Domain	2	7	GO:0008270 zinc ion binding	PF02176,PF15965
IPR002494	Family	2	7	GO:0045095 keratin filament	PF01500,PF13885
IPR003126	Domain	2	7	GO:0008270 zinc ion binding	PF02207,PF30802
IPR003148	Domain	2	7	GO:0006813 potassium ion transport	PF02254,PF22614
IPR004181	Domain	2	7	GO:0008270 zinc ion binding	PF02891,PF11789
