suggested_review_name	review_name_collision	uniprot_accession	entry_name	primary_gene	ordered_locus	all_gene_names	protein_name	reviewed	annotation_score	length	ec_numbers	go_ids	interpro_ids	pfam_ids	panther_ids	kegg_ids	biocyc_ids	unipathway_ids	refseq_ids	keywords	gene_key	primary_bucket_id	primary_bucket_label	primary_bucket_type	primary_bucket_source	primary_module_area	assignment_reason	specific_kegg_pathway_ids	specific_kegg_pathway_names	overview_kegg_pathway_ids
PP_0086	false	Q88RP3	Q88RP3_PSEPK	PP_0086	PP_0086	PP_0086	Dodecin flavoprotein	unreviewed	1.0	71			IPR009923;IPR025543;IPR036694;IPR050049;	PF07311;	PTHR39324;PTHR39324:SF1;	ppu:PP_0086;	PPUT160488:G1G01-90-MONOMER;		WP_003253076.1;	Calcium;Metal-binding;Reference proteome	ppu:PP_0086	orphan:domain_only_no_pathway	Domain-family orphans without pathway assignment	orphan	InterPro/Pfam/PANTHER metadata	domain_family_orphan	no pathway or functional-module assignment; domain xref present			
PP_0088	false	Q88RP1	Q88RP1_PSEPK	PP_0088	PP_0088	PP_0088	Luciferase-like monooxygenase	unreviewed	1.0	334		GO:0004497; GO:0005829; GO:0016705	IPR050766;IPR019949;IPR011251;IPR036661;	PF00296;	PTHR30137;PTHR30137:SF6;	ppu:PP_0088;	PPUT160488:G1G01-92-MONOMER;		WP_010951493.1;	Monooxygenase;Oxidoreductase;Reference proteome	ppu:PP_0088	orphan:domain_only_no_pathway	Domain-family orphans without pathway assignment	orphan	InterPro/Pfam/PANTHER metadata	domain_family_orphan	no pathway or functional-module assignment; domain xref present			
yrdA	false	Q88RN4	Q88RN4_PSEPK	yrdA	PP_0095	yrdA PP_0095	Gamma carbonic anhydrase family protein	unreviewed	1.0	182			IPR047324;IPR050484;IPR011004;		PTHR13061;PTHR13061:SF56;	ppu:PP_0095;	PPUT160488:G1G01-99-MONOMER;		WP_004575263.1;	Reference proteome	ppu:PP_0095	orphan:domain_only_no_pathway	Domain-family orphans without pathway assignment	orphan	InterPro/Pfam/PANTHER metadata	domain_family_orphan	no pathway or functional-module assignment; domain xref present			
PP_0097	false	Q88RN2	Q88RN2_PSEPK	PP_0097	PP_0097	PP_0097	DNA-binding protein	unreviewed	1.0	93			IPR012658;	PF09526;		ppu:PP_0097;	PPUT160488:G1G01-101-MONOMER;		WP_010951500.1;	Reference proteome	ppu:PP_0097	orphan:domain_only_no_pathway	Domain-family orphans without pathway assignment	orphan	InterPro/Pfam/PANTHER metadata	domain_family_orphan	no pathway or functional-module assignment; domain xref present			
PP_0099	false	Q88RN0	Q88RN0_PSEPK	PP_0099	PP_0099	PP_0099	Radical SAM core domain-containing protein	unreviewed	1.0	352		GO:0003824; GO:0046872; GO:0051536	IPR006638;IPR040086;IPR007197;IPR058240;	PF04055;	PTHR43432;PTHR43432:SF3;	ppu:PP_0099;	PPUT160488:G1G01-103-MONOMER;		WP_010951502.1;	Iron;Iron-sulfur;Metal-binding;Reference proteome	ppu:PP_0099	orphan:domain_only_no_pathway	Domain-family orphans without pathway assignment	orphan	InterPro/Pfam/PANTHER metadata	domain_family_orphan	no pathway or functional-module assignment; domain xref present			
PP_0128	false	Q88RK1	Q88RK1_PSEPK	PP_0128	PP_0128	PP_0128	Endonuclease/exonuclease/phosphatase domain-containing protein	unreviewed	1.0	284		GO:0003824; GO:0006506; GO:0016020	IPR036691;IPR005135;IPR051916;	PF03372;	PTHR14859;PTHR14859:SF15;	ppu:PP_0128;	PPUT160488:G1G01-134-MONOMER;		WP_003252985.1;	Reference proteome	ppu:PP_0128	orphan:domain_only_no_pathway	Domain-family orphans without pathway assignment	orphan	InterPro/Pfam/PANTHER metadata	domain_family_orphan	no pathway or functional-module assignment; domain xref present			
PP_0129	false	Q88RK0	Q88RK0_PSEPK	PP_0129	PP_0129	PP_0129	diguanylate cyclase (EC 2.7.7.65)	unreviewed	2.0	645	2.7.7.65	GO:0005886; GO:0043709; GO:0052621; GO:1902201	IPR048516;IPR050469;IPR000160;IPR029787;IPR043128;	PF20975;PF00990;	PTHR45138:SF9;PTHR45138;	ppu:PP_0129;	PPUT160488:G1G01-135-MONOMER;		WP_010951524.1;	Coiled coil;Reference proteome	ppu:PP_0129	orphan:enzyme_with_ec	Orphan enzymes with EC numbers	orphan	UniProt EC metadata	orphan_enzyme	no pathway assignment but EC number is present			
PP_0134	false	Q88RJ5	Q88RJ5_PSEPK	PP_0134	PP_0134	PP_0134	BON domain-containing protein	unreviewed	1.0	273			IPR007055;IPR051686;IPR014004;	PF04972;	PTHR34606;PTHR34606:SF15;	ppu:PP_0134;	PPUT160488:G1G01-140-MONOMER;		WP_010951529.1;	Reference proteome;Signal	ppu:PP_0134	orphan:domain_only_no_pathway	Domain-family orphans without pathway assignment	orphan	InterPro/Pfam/PANTHER metadata	domain_family_orphan	no pathway or functional-module assignment; domain xref present			
PP_0136	false	Q88RJ3	Q88RJ3_PSEPK	PP_0136	PP_0136	PP_0136	Inhibitor of vertebrate lysozyme (Ivy)-like domain-containing protein	unreviewed	1.0	156		GO:0042597	IPR036501;IPR014453;IPR061272;	PF08816;		ppu:PP_0136;	PPUT160488:G1G01-143-MONOMER;		WP_010951530.1;	Disulfide bond;Periplasm;Reference proteome;Signal	ppu:PP_0136	orphan:domain_only_no_pathway	Domain-family orphans without pathway assignment	orphan	InterPro/Pfam/PANTHER metadata	domain_family_orphan	no pathway or functional-module assignment; domain xref present			
PP_0148	false	Q88RI1	Q88RI1_PSEPK	PP_0148	PP_0148	PP_0148	CENP-V/GFA domain-containing protein	unreviewed	1.0	134		GO:0016846; GO:0046872	IPR006913;IPR011057;	PF04828;	PTHR33337:SF40;PTHR33337;	ppu:PP_0148;	PPUT160488:G1G01-155-MONOMER;			Lyase;Metal-binding;Reference proteome;Zinc	ppu:PP_0148	orphan:domain_only_no_pathway	Domain-family orphans without pathway assignment	orphan	InterPro/Pfam/PANTHER metadata	domain_family_orphan	no pathway or functional-module assignment; domain xref present			
PP_0151	false	Q88RH8	Q88RH8_PSEPK	PP_0151	PP_0151	PP_0151	Holliday junction resolvase	unreviewed	1.0	97			IPR012661;	PF09498;		ppu:PP_0151;	PPUT160488:G1G01-158-MONOMER;		WP_010951544.1;	Reference proteome;Signal	ppu:PP_0151	orphan:domain_only_no_pathway	Domain-family orphans without pathway assignment	orphan	InterPro/Pfam/PANTHER metadata	domain_family_orphan	no pathway or functional-module assignment; domain xref present			
PP_0153	false	Q88RH6	Q88RH6_PSEPK	PP_0153	PP_0153	PP_0153	YjiS-like domain-containing protein	unreviewed	1.0	71			IPR009506;	PF06568;		ppu:PP_0153;	PPUT160488:G1G01-160-MONOMER;		WP_003252924.1;	Reference proteome	ppu:PP_0153	orphan:domain_only_no_pathway	Domain-family orphans without pathway assignment	orphan	InterPro/Pfam/PANTHER metadata	domain_family_orphan	no pathway or functional-module assignment; domain xref present			
PP_0164	false	Q88RG6	Q88RG6_PSEPK	PP_0164	PP_0164	PP_0164	Transglutaminase-like cysteine proteinase BTLCP	unreviewed	1.0	230			IPR038765;IPR010319;	PF06035;	PTHR39327;PTHR39327:SF1;	ppu:PP_0164;	PPUT160488:G1G01-179-MONOMER;			Reference proteome	ppu:PP_0164	orphan:domain_only_no_pathway	Domain-family orphans without pathway assignment	orphan	InterPro/Pfam/PANTHER metadata	domain_family_orphan	no pathway or functional-module assignment; domain xref present			
PP_0168	false	Q88RG2	Q88RG2_PSEPK	PP_0168	PP_0168	PP_0168	Surface adhesion protein	unreviewed	1.0	8682		GO:0005509	IPR038081;IPR018511;IPR001343;IPR046779;IPR037524;IPR018391;IPR011049;IPR019960;IPR002035;IPR036465;	PF00353;PF20579;PF00092;		ppu:PP_0168;	PPUT160488:G1G01-185-MONOMER;		WP_010951556.1;	Calcium;Reference proteome	ppu:PP_0168	orphan:domain_only_no_pathway	Domain-family orphans without pathway assignment	orphan	InterPro/Pfam/PANTHER metadata	domain_family_orphan	no pathway or functional-module assignment; domain xref present			
PP_0169	false	Q88RG1	Q88RG1_PSEPK	PP_0169	PP_0169	PP_0169	Dioxygenase, TauD/TfdA family	unreviewed	1.0	299		GO:0000908; GO:0005737; GO:0006790; GO:0046872	IPR051323;IPR042098;IPR003819;	PF02668;	PTHR30468;PTHR30468:SF1;	ppu:PP_0169;	PPUT160488:G1G01-187-MONOMER;		WP_010951557.1;	Dioxygenase;Iron;Metal-binding;Oxidoreductase;Reference proteome	ppu:PP_0169	orphan:domain_only_no_pathway	Domain-family orphans without pathway assignment	orphan	InterPro/Pfam/PANTHER metadata	domain_family_orphan	no pathway or functional-module assignment; domain xref present			
PP_0173	false	Q88RF7	Q88RF7_PSEPK	PP_0173	PP_0173	PP_0173	Transcriptional factor-related protein	unreviewed	1.0	209			IPR057727;IPR036390;	PF25583;		ppu:PP_0173;	PPUT160488:G1G01-191-MONOMER;			Reference proteome	ppu:PP_0173	orphan:domain_only_no_pathway	Domain-family orphans without pathway assignment	orphan	InterPro/Pfam/PANTHER metadata	domain_family_orphan	no pathway or functional-module assignment; domain xref present			
PP_0174	false	Q88RF6	Q88RF6_PSEPK	PP_0174	PP_0174	PP_0174	Sel1 repeat family protein	unreviewed	1.0	272			IPR006597;IPR050767;IPR011990;	PF08238;	PTHR11102:SF160;PTHR11102;	ppu:PP_0174;	PPUT160488:G1G01-192-MONOMER;			Reference proteome	ppu:PP_0174	orphan:domain_only_no_pathway	Domain-family orphans without pathway assignment	orphan	InterPro/Pfam/PANTHER metadata	domain_family_orphan	no pathway or functional-module assignment; domain xref present			
PP_0181	false	Q88RE9	Q88RE9_PSEPK	PP_0181	PP_0181	PP_0181	TIGR02647 family protein	unreviewed	1.0	81			IPR013468;	PF18918;		ppu:PP_0181;	PPUT160488:G1G01-199-MONOMER;		WP_003255900.1;	Reference proteome	ppu:PP_0181	orphan:domain_only_no_pathway	Domain-family orphans without pathway assignment	orphan	InterPro/Pfam/PANTHER metadata	domain_family_orphan	no pathway or functional-module assignment; domain xref present			
algQ	false	Q88RE1	Q88RE1_PSEPK	algQ	PP_0191	algQ PP_0191	Transcriptional regulatory protein AlgQ	unreviewed	1.0	156		GO:0006351; GO:0006355	IPR038309;IPR007448;	PF04353;		ppu:PP_0191;	PPUT160488:G1G01-209-MONOMER;		WP_003255887.1;	Reference proteome;Transcription;Transcription regulation	ppu:PP_0191	orphan:domain_only_no_pathway	Domain-family orphans without pathway assignment	orphan	InterPro/Pfam/PANTHER metadata	domain_family_orphan	no pathway or functional-module assignment; domain xref present			
fkl	false	Q88RE0	Q88RE0_PSEPK	fkl	PP_0192	fkl PP_0192	Peptidyl-prolyl cis-trans isomerase (EC 5.2.1.8)	unreviewed	2.0	220	5.2.1.8	GO:0003755; GO:0006457	IPR046357;IPR001179;IPR000774;IPR036944;	PF00254;PF01346;	PTHR43811:SF23;PTHR43811;	ppu:PP_0192;	PPUT160488:G1G01-210-MONOMER;			Isomerase;Reference proteome;Rotamase;Signal	ppu:PP_0192	orphan:enzyme_with_ec	Orphan enzymes with EC numbers	orphan	UniProt EC metadata	orphan_enzyme	no pathway assignment but EC number is present			
algP	false	Q88RD8	Q88RD8_PSEPK	algP	PP_0194	algP PP_0194	Transcriptional regulatory protein AlgP	unreviewed	1.0	329			IPR047725;	PF27285;		ppu:PP_0194;	PPUT160488:G1G01-211-MONOMER;		WP_010951578.1;	Coiled coil;Reference proteome	ppu:PP_0194	orphan:domain_only_no_pathway	Domain-family orphans without pathway assignment	orphan	InterPro/Pfam/PANTHER metadata	domain_family_orphan	no pathway or functional-module assignment; domain xref present			
PP_0195	false	Q88RD7	Q88RD7_PSEPK	PP_0195	PP_0195	PP_0195	TIGR02444 family protein	unreviewed	1.0	159			IPR012659;	PF09523;		ppu:PP_0195;	PPUT160488:G1G01-212-MONOMER;		WP_010951579.1;	Reference proteome	ppu:PP_0195	orphan:domain_only_no_pathway	Domain-family orphans without pathway assignment	orphan	InterPro/Pfam/PANTHER metadata	domain_family_orphan	no pathway or functional-module assignment; domain xref present			
yheS	false	Q88RD6	Q88RD6_PSEPK	yheS	PP_0196	yheS PP_0196	Probable ATP-binding protein YheS	unreviewed	1.0	636		GO:0005524; GO:0016887	IPR003593;IPR032781;IPR003439;IPR017871;IPR050611;IPR027417;	PF00005;PF12848;	PTHR19211:SF14;PTHR19211;	ppu:PP_0196;	PPUT160488:G1G01-213-MONOMER;		WP_010951580.1;	ATP-binding;Coiled coil;Nucleotide-binding;Reference proteome;Repeat	ppu:PP_0196	orphan:domain_only_no_pathway	Domain-family orphans without pathway assignment	orphan	InterPro/Pfam/PANTHER metadata	domain_family_orphan	no pathway or functional-module assignment; domain xref present			
PP_0202	false	Q88RD0	Q88RD0_PSEPK	PP_0202	PP_0202	PP_0202	CBS domain-containing protein	unreviewed	1.0	145			IPR000644;IPR046342;IPR044725;IPR051257;	PF00571;	PTHR43080:SF2;PTHR43080;	ppu:PP_0202;	PPUT160488:G1G01-221-MONOMER;		WP_010951586.1;	CBS domain;Reference proteome	ppu:PP_0202	orphan:domain_only_no_pathway	Domain-family orphans without pathway assignment	orphan	InterPro/Pfam/PANTHER metadata	domain_family_orphan	no pathway or functional-module assignment; domain xref present			
PP_0205	false	Q88RC7	Q88RC7_PSEPK	PP_0205	PP_0205	PP_0205	Oxidoreductase	unreviewed	1.0	574		GO:0000104; GO:0005886; GO:0009055; GO:0009061; GO:0050660	IPR003953;IPR036188;IPR037099;IPR015939;IPR030664;	PF00890;PF02910;	PTHR11632:SF73;PTHR11632;	ppu:PP_0205;	PPUT160488:G1G01-225-MONOMER;		WP_010951589.1;	Flavoprotein;Oxidoreductase;Reference proteome	ppu:PP_0205	orphan:domain_only_no_pathway	Domain-family orphans without pathway assignment	orphan	InterPro/Pfam/PANTHER metadata	domain_family_orphan	no pathway or functional-module assignment; domain xref present			
PP_0206	false	Q88RC6	Q88RC6_PSEPK	PP_0206	PP_0206	PP_0206	Ferredoxin, 4Fe-4S	unreviewed	1.0	81		GO:0005737; GO:0046872; GO:0051539	IPR017896;IPR017900;IPR050157;	PF12838;	PTHR24960:SF71;PTHR24960;	ppu:PP_0206;	PPUT160488:G1G01-226-MONOMER;		WP_010951590.1;	4Fe-4S;Iron;Iron-sulfur;Metal-binding;Reference proteome	ppu:PP_0206	orphan:domain_only_no_pathway	Domain-family orphans without pathway assignment	orphan	InterPro/Pfam/PANTHER metadata	domain_family_orphan	no pathway or functional-module assignment; domain xref present			
PP_0210	false	Q88RC2	Q88RC2_PSEPK	PP_0210	PP_0210	PP_0210	Phycobiliprotein	unreviewed	1.0	321		GO:0016491	IPR011989;IPR016024;IPR021133;IPR004155;	PF13646;PF03130;	PTHR12697:SF5;PTHR12697;	ppu:PP_0210;	PPUT160488:G1G01-230-MONOMER;		WP_010951594.1;	Reference proteome	ppu:PP_0210	orphan:domain_only_no_pathway	Domain-family orphans without pathway assignment	orphan	InterPro/Pfam/PANTHER metadata	domain_family_orphan	no pathway or functional-module assignment; domain xref present			
PP_0211	false	Q88RC1	Q88RC1_PSEPK	PP_0211	PP_0211	PP_0211	Gamma-butyrobetaine hydroxylase-like N-terminal domain-containing protein	unreviewed	1.0	93		GO:0046872	IPR010376;IPR038492;	PF06155;	PTHR35303:SF8;PTHR35303;	ppu:PP_0211;	PPUT160488:G1G01-231-MONOMER;		WP_010951595.1;	Iron;Metal-binding;Reference proteome	ppu:PP_0211	orphan:domain_only_no_pathway	Domain-family orphans without pathway assignment	orphan	InterPro/Pfam/PANTHER metadata	domain_family_orphan	no pathway or functional-module assignment; domain xref present			
PP_0216	false	Q88RB7	Q88RB7_PSEPK	PP_0216	PP_0216	PP_0216	diguanylate cyclase (EC 2.7.7.65)	unreviewed	2.0	342	2.7.7.65	GO:0005886; GO:0043709; GO:0052621; GO:1902201	IPR050469;IPR000160;IPR029787;IPR000014;IPR000700;IPR035965;IPR013655;IPR043128;	PF00990;PF08447;	PTHR45138:SF9;PTHR45138;	ppu:PP_0216;	PPUT160488:G1G01-238-MONOMER;		WP_049588052.1;	Reference proteome	ppu:PP_0216	orphan:enzyme_with_ec	Orphan enzymes with EC numbers	orphan	UniProt EC metadata	orphan_enzyme	no pathway assignment but EC number is present			
PP_0222	false	Q88RB1	Q88RB1_PSEPK	PP_0222	PP_0222	PP_0222	Monooxygenase, DszA family	unreviewed	1.0	461		GO:0004497; GO:0016705	IPR051260;IPR011251;IPR036661;IPR016215;	PF00296;	PTHR30011;PTHR30011:SF16;	ppu:PP_0222;	PPUT160488:G1G01-244-MONOMER;		WP_010951604.1;	Flavoprotein;FMN;Monooxygenase;Oxidoreductase;Reference proteome	ppu:PP_0222	orphan:domain_only_no_pathway	Domain-family orphans without pathway assignment	orphan	InterPro/Pfam/PANTHER metadata	domain_family_orphan	no pathway or functional-module assignment; domain xref present			
PP_0223	false	Q88RB0	Q88RB0_PSEPK	PP_0223	PP_0223	PP_0223	Monooxygenase, DszC family	unreviewed	1.0	406		GO:0003995; GO:0005737; GO:0016712; GO:0033539; GO:0050660	IPR050741;IPR013107;IPR006091;IPR046373;IPR036250;IPR013786;IPR037069;IPR009100;IPR023922;	PF08028;PF02770;PF02771;	PTHR48083:SF19;PTHR48083;	ppu:PP_0223;	PPUT160488:G1G01-245-MONOMER;			Flavoprotein;Monooxygenase;Oxidoreductase;Reference proteome	ppu:PP_0223	orphan:domain_only_no_pathway	Domain-family orphans without pathway assignment	orphan	InterPro/Pfam/PANTHER metadata	domain_family_orphan	no pathway or functional-module assignment; domain xref present			
PP_0224	false	Q88RA9	Q88RA9_PSEPK	PP_0224	PP_0224	PP_0224	Monooxygenase, DszC family	unreviewed	2.0	413		GO:0003995; GO:0005737; GO:0016712; GO:0033539; GO:0050660	IPR050741;IPR013107;IPR046373;IPR036250;IPR013786;IPR037069;IPR009100;IPR023922;	PF08028;PF02771;	PTHR48083:SF19;PTHR48083;	ppu:PP_0224;	PPUT160488:G1G01-246-MONOMER;		WP_010951606.1;	Coiled coil;Monooxygenase;Oxidoreductase;Reference proteome	ppu:PP_0224	orphan:domain_only_no_pathway	Domain-family orphans without pathway assignment	orphan	InterPro/Pfam/PANTHER metadata	domain_family_orphan	no pathway or functional-module assignment; domain xref present			
PP_0244	false	Q88R89	Q88R89_PSEPK	PP_0244	PP_0244	PP_0244	Thioesterase domain-containing protein	unreviewed	1.0	127		GO:0016289	IPR052723;IPR029069;IPR003736;IPR006683;	PF03061;	PTHR42856;PTHR42856:SF1;	ppu:PP_0244;	PPUT160488:G1G01-266-MONOMER;		WP_010951620.1;	Hydrolase;Reference proteome	ppu:PP_0244	orphan:domain_only_no_pathway	Domain-family orphans without pathway assignment	orphan	InterPro/Pfam/PANTHER metadata	domain_family_orphan	no pathway or functional-module assignment; domain xref present			
yhgF	false	Q88R88	Q88R88_PSEPK	yhgF	PP_0245	yhgF PP_0245	Transcriptional accessory protein	unreviewed	1.0	861		GO:0003729; GO:0003735; GO:0005829; GO:0006139; GO:0006412	IPR060575;IPR041692;IPR012340;IPR050437;IPR012337;IPR010994;IPR003029;IPR044146;IPR055179;IPR023323;IPR023319;IPR018974;IPR032639;IPR006641;IPR037027;	PF12836;PF17674;PF00575;PF22706;PF09371;PF16921;	PTHR10724;PTHR10724:SF10;	ppu:PP_0245;	PPUT160488:G1G01-267-MONOMER;			Reference proteome	ppu:PP_0245	orphan:domain_only_no_pathway	Domain-family orphans without pathway assignment	orphan	InterPro/Pfam/PANTHER metadata	domain_family_orphan	no pathway or functional-module assignment; domain xref present			
rimK	false	Q88R85	RIMK_PSEPK	rimK	PP_0248	rimK PP_0248	Probable alpha-L-glutamate ligase (EC 6.3.2.-)	reviewed	2.0	301	6.3.2.-	GO:0005524; GO:0005737; GO:0006412; GO:0009432; GO:0018169; GO:0046872	IPR011761;IPR013651;IPR013815;IPR023533;IPR041107;IPR004666;	PF08443;PF18030;	PTHR21621:SF7;PTHR21621;	ppu:PP_0248;	PPUT160488:G1G01-270-MONOMER;		WP_003255817.1;	ATP-binding;Ligase;Magnesium;Manganese;Metal-binding;Nucleotide-binding;Protein biosynthesis;Reference proteome	ppu:PP_0248	orphan:enzyme_with_ec	Orphan enzymes with EC numbers	orphan	UniProt EC metadata	orphan_enzyme	no pathway assignment but EC number is present			
PP_0249	false	Q88R84	Q88R84_PSEPK	PP_0249	PP_0249	PP_0249	Retropepsin-like aspartic endopeptidase RimB domain-containing protein	unreviewed	1.0	206			IPR008503;IPR021109;	PF05618;	PTHR38037:SF1;PTHR38037;	ppu:PP_0249;	PPUT160488:G1G01-271-MONOMER;			Reference proteome	ppu:PP_0249	orphan:domain_only_no_pathway	Domain-family orphans without pathway assignment	orphan	InterPro/Pfam/PANTHER metadata	domain_family_orphan	no pathway or functional-module assignment; domain xref present			
PP_0254	false	Q88R80	Q88R80_PSEPK	PP_0254	PP_0254	PP_0254	Thioesterase	unreviewed	1.0	146		GO:0047617	IPR050563;IPR029069;	PF13279;	PTHR31793;PTHR31793:SF27;	ppu:PP_0254;	PPUT160488:G1G01-276-MONOMER;		WP_010951625.1;	Hydrolase;Reference proteome	ppu:PP_0254	orphan:domain_only_no_pathway	Domain-family orphans without pathway assignment	orphan	InterPro/Pfam/PANTHER metadata	domain_family_orphan	no pathway or functional-module assignment; domain xref present			
