suggested_review_name	ordered_locus	uniprot_accession	membership_source	pathway_id	pathway_name	pathway_scope	module_area	is_primary_partition
fmt	PP_0067	Q88RR2	KEGG	ppu00970	Aminoacyl-tRNA biosynthesis	specific	other_kegg_pathway	true
fmt	PP_0067	Q88RR2	KEGG	ppu01100	Metabolic pathways	overview	overview	false
hemF	PP_0073	Q88RQ6	KEGG	ppu00860	Porphyrin metabolism	specific	cofactors_vitamins_redox	true
hemF	PP_0073	Q88RQ6	KEGG	ppu01100	Metabolic pathways	overview	overview	false
hemF	PP_0073	Q88RQ6	KEGG	ppu01110	Biosynthesis of secondary metabolites	overview	overview	false
hemF	PP_0073	Q88RQ6	KEGG	ppu01240	Biosynthesis of cofactors	overview	overview	false
hemF	PP_0073	Q88RQ6	UniPathway	UPA00251	UniPathway UPA00251	specific	unipathway	false
aroE__Q88RQ5	PP_0074	Q88RQ5	KEGG	ppu00400	Phenylalanine, tyrosine and tryptophan biosynthesis	specific	amino_acid_metabolism	false
aroE__Q88RQ5	PP_0074	Q88RQ5	KEGG	ppu00999	Biosynthesis of various plant secondary metabolites	specific	other_kegg_pathway	true
aroE__Q88RQ5	PP_0074	Q88RQ5	KEGG	ppu01100	Metabolic pathways	overview	overview	false
aroE__Q88RQ5	PP_0074	Q88RQ5	KEGG	ppu01110	Biosynthesis of secondary metabolites	overview	overview	false
aroE__Q88RQ5	PP_0074	Q88RQ5	KEGG	ppu01230	Biosynthesis of amino acids	overview	overview	false
aroE__Q88RQ5	PP_0074	Q88RQ5	UniPathway	UPA00053	UniPathway UPA00053	specific	unipathway	false
PP_0076	PP_0076	Q88RQ3	KEGG	ppu02010	ABC transporters	specific	transport_motility_signaling	true
trpA	PP_0082	Q88RP7	KEGG	ppu00260	Glycine, serine and threonine metabolism	specific	amino_acid_metabolism	false
trpA	PP_0082	Q88RP7	KEGG	ppu00400	Phenylalanine, tyrosine and tryptophan biosynthesis	specific	amino_acid_metabolism	true
trpA	PP_0082	Q88RP7	KEGG	ppu01100	Metabolic pathways	overview	overview	false
trpA	PP_0082	Q88RP7	KEGG	ppu01110	Biosynthesis of secondary metabolites	overview	overview	false
trpA	PP_0082	Q88RP7	KEGG	ppu01230	Biosynthesis of amino acids	overview	overview	false
trpA	PP_0082	Q88RP7	UniPathway	UPA00035	UniPathway UPA00035	specific	unipathway	false
trpB	PP_0083	Q88RP6	KEGG	ppu00260	Glycine, serine and threonine metabolism	specific	amino_acid_metabolism	false
trpB	PP_0083	Q88RP6	KEGG	ppu00400	Phenylalanine, tyrosine and tryptophan biosynthesis	specific	amino_acid_metabolism	true
trpB	PP_0083	Q88RP6	KEGG	ppu01100	Metabolic pathways	overview	overview	false
trpB	PP_0083	Q88RP6	KEGG	ppu01110	Biosynthesis of secondary metabolites	overview	overview	false
trpB	PP_0083	Q88RP6	KEGG	ppu01230	Biosynthesis of amino acids	overview	overview	false
trpB	PP_0083	Q88RP6	UniPathway	UPA00035	UniPathway UPA00035	specific	unipathway	false
PP_0094	PP_0094	Q88RN5	KEGG	ppu00630	Glyoxylate and dicarboxylate metabolism	specific	central_carbon	true
PP_0094	PP_0094	Q88RN5	KEGG	ppu01100	Metabolic pathways	overview	overview	false
PP_0094	PP_0094	Q88RN5	KEGG	ppu01110	Biosynthesis of secondary metabolites	overview	overview	false
cynT	PP_0100	Q88RM9	KEGG	ppu00910	Nitrogen metabolism	specific	energy_respiration_inorganic_metabolism	true
cynT	PP_0100	Q88RM9	KEGG	ppu01100	Metabolic pathways	overview	overview	false
PP_0103	PP_0103	Q88RM6	KEGG	ppu00190	Oxidative phosphorylation	specific	energy_respiration_inorganic_metabolism	true
PP_0103	PP_0103	Q88RM6	KEGG	ppu01100	Metabolic pathways	overview	overview	false
ctaD	PP_0104	Q88RM5	KEGG	ppu00190	Oxidative phosphorylation	specific	energy_respiration_inorganic_metabolism	true
ctaD	PP_0104	Q88RM5	KEGG	ppu01100	Metabolic pathways	overview	overview	false
ctaD	PP_0104	Q88RM5	UniPathway	UPA00705	UniPathway UPA00705	specific	unipathway	false
PP_0105	PP_0105	Q88RM4	KEGG	ppu00190	Oxidative phosphorylation	specific	energy_respiration_inorganic_metabolism	true
PP_0105	PP_0105	Q88RM4	KEGG	ppu01100	Metabolic pathways	overview	overview	false
PP_0106	PP_0106	Q88RM3	KEGG	ppu00190	Oxidative phosphorylation	specific	energy_respiration_inorganic_metabolism	true
PP_0106	PP_0106	Q88RM3	KEGG	ppu01100	Metabolic pathways	overview	overview	false
PP_0109	PP_0109	Q88RM0	KEGG	ppu00190	Oxidative phosphorylation	specific	energy_respiration_inorganic_metabolism	false
PP_0109	PP_0109	Q88RM0	KEGG	ppu00860	Porphyrin metabolism	specific	cofactors_vitamins_redox	true
PP_0109	PP_0109	Q88RM0	KEGG	ppu02020	Two-component system	specific	transport_motility_signaling	false
PP_0109	PP_0109	Q88RM0	KEGG	ppu01100	Metabolic pathways	overview	overview	false
PP_0109	PP_0109	Q88RM0	KEGG	ppu01110	Biosynthesis of secondary metabolites	overview	overview	false
PP_0109	PP_0109	Q88RM0	KEGG	ppu01240	Biosynthesis of cofactors	overview	overview	false
cyoE1	PP_0110	Q88RL9	KEGG	ppu00190	Oxidative phosphorylation	specific	energy_respiration_inorganic_metabolism	false
cyoE1	PP_0110	Q88RL9	KEGG	ppu00860	Porphyrin metabolism	specific	cofactors_vitamins_redox	true
cyoE1	PP_0110	Q88RL9	KEGG	ppu01100	Metabolic pathways	overview	overview	false
cyoE1	PP_0110	Q88RL9	KEGG	ppu01110	Biosynthesis of secondary metabolites	overview	overview	false
cyoE1	PP_0110	Q88RL9	KEGG	ppu01240	Biosynthesis of cofactors	overview	overview	false
cyoE1	PP_0110	Q88RL9	UniPathway	UPA00834	UniPathway UPA00834	specific	unipathway	false
metQ	PP_0112	Q88RL7	KEGG	ppu02010	ABC transporters	specific	transport_motility_signaling	true
metI	PP_0113	Q88RL6	KEGG	ppu02010	ABC transporters	specific	transport_motility_signaling	true
metN1	PP_0114	Q88RL5	KEGG	ppu02010	ABC transporters	specific	transport_motility_signaling	true
katE	PP_0115	Q88RL4	KEGG	ppu00380	Tryptophan metabolism	specific	amino_acid_metabolism	false
katE	PP_0115	Q88RL4	KEGG	ppu00630	Glyoxylate and dicarboxylate metabolism	specific	central_carbon	false
katE	PP_0115	Q88RL4	KEGG	ppu04146	Peroxisome	specific	other_kegg_pathway	true
katE	PP_0115	Q88RL4	KEGG	ppu01100	Metabolic pathways	overview	overview	false
katE	PP_0115	Q88RL4	KEGG	ppu01110	Biosynthesis of secondary metabolites	overview	overview	false
katE	PP_0115	Q88RL4	KEGG	ppu01200	Carbon metabolism	overview	overview	false
znuB	PP_0117	Q88RL2	KEGG	ppu02010	ABC transporters	specific	transport_motility_signaling	true
znuC	PP_0118	Q88RL1	KEGG	ppu02010	ABC transporters	specific	transport_motility_signaling	true
fur__Q88RL0	PP_0119	Q88RL0	KEGG	ppu02024	Quorum sensing	specific	transport_motility_signaling	true
PP_0120	PP_0120	Q88RK9	KEGG	ppu02010	ABC transporters	specific	transport_motility_signaling	true
thrB	PP_0121	Q88RK8	KEGG	ppu00260	Glycine, serine and threonine metabolism	specific	amino_acid_metabolism	true
thrB	PP_0121	Q88RK8	KEGG	ppu01100	Metabolic pathways	overview	overview	false
thrB	PP_0121	Q88RK8	KEGG	ppu01110	Biosynthesis of secondary metabolites	overview	overview	false
thrB	PP_0121	Q88RK8	KEGG	ppu01120	Microbial metabolism in diverse environments	overview	overview	false
thrB	PP_0121	Q88RK8	KEGG	ppu01230	Biosynthesis of amino acids	overview	overview	false
thrB	PP_0121	Q88RK8	UniPathway	UPA00050	UniPathway UPA00050	specific	unipathway	false
polA	PP_0123	Q88RK6	KEGG	ppu03030	DNA replication	specific	other_kegg_pathway	false
polA	PP_0123	Q88RK6	KEGG	ppu03410	Base excision repair	specific	other_kegg_pathway	false
polA	PP_0123	Q88RK6	KEGG	ppu03420	Nucleotide excision repair	specific	nucleotide_metabolism	true
polA	PP_0123	Q88RK6	KEGG	ppu03440	Homologous recombination	specific	other_kegg_pathway	false
dsbA	PP_0127	Q88RK2	KEGG	ppu01503	Cationic antimicrobial peptide (CAMP) resistance	specific	other_kegg_pathway	true
kinB	PP_0132	Q88RJ7	KEGG	ppu02020	Two-component system	specific	transport_motility_signaling	true
algB	PP_0133	Q88RJ6	KEGG	ppu02020	Two-component system	specific	transport_motility_signaling	true
algB	PP_0133	Q88RJ6	UniPathway	UPA00286	UniPathway UPA00286	specific	unipathway	false
PP_0140	PP_0140	Q88RI9	KEGG	ppu02010	ABC transporters	specific	transport_motility_signaling	true
PP_0141	PP_0141	Q88RI8	KEGG	ppu02010	ABC transporters	specific	transport_motility_signaling	true
PP_0142	PP_0142	Q88RI7	KEGG	ppu02010	ABC transporters	specific	transport_motility_signaling	true
scpC	PP_0154	Q88RH5	KEGG	ppu00020	Citrate cycle (TCA cycle)	specific	central_carbon	true
scpC	PP_0154	Q88RH5	KEGG	ppu00620	Pyruvate metabolism	specific	central_carbon	false
scpC	PP_0154	Q88RH5	KEGG	ppu00650	Butanoate metabolism	specific	central_carbon	false
scpC	PP_0154	Q88RH5	KEGG	ppu01100	Metabolic pathways	overview	overview	false
scpC	PP_0154	Q88RH5	KEGG	ppu01110	Biosynthesis of secondary metabolites	overview	overview	false
scpC	PP_0154	Q88RH5	KEGG	ppu01120	Microbial metabolism in diverse environments	overview	overview	false
scpC	PP_0154	Q88RH5	KEGG	ppu01200	Carbon metabolism	overview	overview	false
pntB	PP_0155	Q88RH4	KEGG	ppu00760	Nicotinate and nicotinamide metabolism	specific	cofactors_vitamins_redox	true
pntB	PP_0155	Q88RH4	KEGG	ppu01100	Metabolic pathways	overview	overview	false
pntAA	PP_0156	A0A140FVX4	KEGG	ppu00760	Nicotinate and nicotinamide metabolism	specific	cofactors_vitamins_redox	true
pntAA	PP_0156	A0A140FVX4	KEGG	ppu01100	Metabolic pathways	overview	overview	false
gcdH	PP_0158	Q88RH2	KEGG	ppu00071	Fatty acid degradation	specific	lipid_cell_envelope_metabolism	false
gcdH	PP_0158	Q88RH2	KEGG	ppu00310	Lysine degradation	specific	amino_acid_metabolism	false
gcdH	PP_0158	Q88RH2	KEGG	ppu00362	Benzoate degradation	specific	aromatic_and_xenobiotic_catabolism	false
gcdH	PP_0158	Q88RH2	KEGG	ppu00380	Tryptophan metabolism	specific	amino_acid_metabolism	true
gcdH	PP_0158	Q88RH2	KEGG	ppu01100	Metabolic pathways	overview	overview	false
gcdH	PP_0158	Q88RH2	KEGG	ppu01110	Biosynthesis of secondary metabolites	overview	overview	false
gcdH	PP_0158	Q88RH2	KEGG	ppu01120	Microbial metabolism in diverse environments	overview	overview	false
PP_0159	PP_0159	Q88RH1	KEGG	ppu00310	Lysine degradation	specific	amino_acid_metabolism	true
PP_0159	PP_0159	Q88RH1	KEGG	ppu01100	Metabolic pathways	overview	overview	false
PP_0159	PP_0159	Q88RH1	KEGG	ppu01120	Microbial metabolism in diverse environments	overview	overview	false
PP_0161	PP_0161	Q88RG9	KEGG	ppu02020	Two-component system	specific	transport_motility_signaling	true
PP_0162	PP_0162	Q88RG8	KEGG	ppu02020	Two-component system	specific	transport_motility_signaling	true
paxB	PP_0167	Q88RG3	KEGG	ppu02010	ABC transporters	specific	transport_motility_signaling	true
PP_0170	PP_0170	Q88RG0	KEGG	ppu00920	Sulfur metabolism	specific	energy_respiration_inorganic_metabolism	true
PP_0170	PP_0170	Q88RG0	KEGG	ppu02010	ABC transporters	specific	transport_motility_signaling	false
PP_0171	PP_0171	Q88RF9	KEGG	ppu00920	Sulfur metabolism	specific	energy_respiration_inorganic_metabolism	true
PP_0171	PP_0171	Q88RF9	KEGG	ppu02010	ABC transporters	specific	transport_motility_signaling	false
PP_0172	PP_0172	Q88RF8	KEGG	ppu00920	Sulfur metabolism	specific	energy_respiration_inorganic_metabolism	true
PP_0172	PP_0172	Q88RF8	KEGG	ppu02010	ABC transporters	specific	transport_motility_signaling	false
PP_0183	PP_0183	Q88RE7	KEGG	ppu00480	Glutathione metabolism	specific	other_kegg_pathway	true
PP_0183	PP_0183	Q88RE7	KEGG	ppu01100	Metabolic pathways	overview	overview	false
argH	PP_0184	P59618	KEGG	ppu00220	Arginine biosynthesis	specific	amino_acid_metabolism	true
argH	PP_0184	P59618	KEGG	ppu00250	Alanine, aspartate and glutamate metabolism	specific	amino_acid_metabolism	false
argH	PP_0184	P59618	KEGG	ppu01100	Metabolic pathways	overview	overview	false
argH	PP_0184	P59618	KEGG	ppu01110	Biosynthesis of secondary metabolites	overview	overview	false
argH	PP_0184	P59618	KEGG	ppu01230	Biosynthesis of amino acids	overview	overview	false
argH	PP_0184	P59618	UniPathway	UPA00068	UniPathway UPA00068	specific	unipathway	false
algR	PP_0185	Q88RE6	KEGG	ppu02020	Two-component system	specific	transport_motility_signaling	true
hemC	PP_0186	Q88RE5	KEGG	ppu00860	Porphyrin metabolism	specific	cofactors_vitamins_redox	true
hemC	PP_0186	Q88RE5	KEGG	ppu01100	Metabolic pathways	overview	overview	false
hemC	PP_0186	Q88RE5	KEGG	ppu01110	Biosynthesis of secondary metabolites	overview	overview	false
hemC	PP_0186	Q88RE5	KEGG	ppu01120	Microbial metabolism in diverse environments	overview	overview	false
hemC	PP_0186	Q88RE5	KEGG	ppu01240	Biosynthesis of cofactors	overview	overview	false
hemC	PP_0186	Q88RE5	UniPathway	UPA00251	UniPathway UPA00251	specific	unipathway	false
hemD	PP_0187	Q88RE4	KEGG	ppu00860	Porphyrin metabolism	specific	cofactors_vitamins_redox	true
hemD	PP_0187	Q88RE4	KEGG	ppu01100	Metabolic pathways	overview	overview	false
hemD	PP_0187	Q88RE4	KEGG	ppu01110	Biosynthesis of secondary metabolites	overview	overview	false
hemD	PP_0187	Q88RE4	KEGG	ppu01120	Microbial metabolism in diverse environments	overview	overview	false
hemD	PP_0187	Q88RE4	KEGG	ppu01240	Biosynthesis of cofactors	overview	overview	false
hemD	PP_0187	Q88RE4	UniPathway	UPA00251	UniPathway UPA00251	specific	unipathway	false
PP_0188	PP_0188	Q88RE3	KEGG	ppu00860	Porphyrin metabolism	specific	cofactors_vitamins_redox	true
PP_0188	PP_0188	Q88RE3	KEGG	ppu01100	Metabolic pathways	overview	overview	false
PP_0188	PP_0188	Q88RE3	KEGG	ppu01110	Biosynthesis of secondary metabolites	overview	overview	false
PP_0188	PP_0188	Q88RE3	KEGG	ppu01120	Microbial metabolism in diverse environments	overview	overview	false
PP_0188	PP_0188	Q88RE3	KEGG	ppu01240	Biosynthesis of cofactors	overview	overview	false
PP_0189	PP_0189	Q88RE2	UniPathway	UPA00252	UniPathway UPA00252	specific	unipathway	false
PP_0207	PP_0207	Q88RC5	KEGG	ppu00920	Sulfur metabolism	specific	energy_respiration_inorganic_metabolism	true
PP_0207	PP_0207	Q88RC5	KEGG	ppu02010	ABC transporters	specific	transport_motility_signaling	false
PP_0208	PP_0208	Q88RC4	KEGG	ppu00920	Sulfur metabolism	specific	energy_respiration_inorganic_metabolism	true
PP_0208	PP_0208	Q88RC4	KEGG	ppu02010	ABC transporters	specific	transport_motility_signaling	false
tauB-I	PP_0209	Q88RC3	KEGG	ppu00920	Sulfur metabolism	specific	energy_respiration_inorganic_metabolism	true
tauB-I	PP_0209	Q88RC3	KEGG	ppu02010	ABC transporters	specific	transport_motility_signaling	false
davD	PP_0213	Q88RC0	KEGG	ppu00250	Alanine, aspartate and glutamate metabolism	specific	amino_acid_metabolism	false
davD	PP_0213	Q88RC0	KEGG	ppu00310	Lysine degradation	specific	amino_acid_metabolism	false
davD	PP_0213	Q88RC0	KEGG	ppu00350	Tyrosine metabolism	specific	amino_acid_metabolism	true
davD	PP_0213	Q88RC0	KEGG	ppu00650	Butanoate metabolism	specific	central_carbon	false
davD	PP_0213	Q88RC0	KEGG	ppu00760	Nicotinate and nicotinamide metabolism	specific	cofactors_vitamins_redox	false
davD	PP_0213	Q88RC0	KEGG	ppu01100	Metabolic pathways	overview	overview	false
davD	PP_0213	Q88RC0	KEGG	ppu01120	Microbial metabolism in diverse environments	overview	overview	false
davT	PP_0214	Q88RB9	KEGG	ppu00250	Alanine, aspartate and glutamate metabolism	specific	amino_acid_metabolism	false
davT	PP_0214	Q88RB9	KEGG	ppu00310	Lysine degradation	specific	amino_acid_metabolism	true
davT	PP_0214	Q88RB9	KEGG	ppu00650	Butanoate metabolism	specific	central_carbon	false
davT	PP_0214	Q88RB9	KEGG	ppu01100	Metabolic pathways	overview	overview	false
davT	PP_0214	Q88RB9	KEGG	ppu01120	Microbial metabolism in diverse environments	overview	overview	false
metP	PP_0219	Q88RB4	KEGG	ppu02010	ABC transporters	specific	transport_motility_signaling	true
metN2	PP_0220	Q88RB3	KEGG	ppu02010	ABC transporters	specific	transport_motility_signaling	true
PP_0221	PP_0221	Q88RB2	KEGG	ppu02010	ABC transporters	specific	transport_motility_signaling	true
sctC	PP_0225	Q88RA8	KEGG	ppu02010	ABC transporters	specific	transport_motility_signaling	true
sctS	PP_0226	Q88RA7	KEGG	ppu02010	ABC transporters	specific	transport_motility_signaling	true
fliY	PP_0227	Q88RA6	KEGG	ppu02010	ABC transporters	specific	transport_motility_signaling	false
fliY	PP_0227	Q88RA6	KEGG	ppu02040	Flagellar assembly	specific	transport_motility_signaling	true
PP_0228	PP_0228	Q88RA5	KEGG	ppu00270	Cysteine and methionine metabolism	specific	amino_acid_metabolism	false
PP_0228	PP_0228	Q88RA5	KEGG	ppu00543	Exopolysaccharide biosynthesis	specific	other_kegg_pathway	true
PP_0228	PP_0228	Q88RA5	KEGG	ppu00920	Sulfur metabolism	specific	energy_respiration_inorganic_metabolism	false
PP_0228	PP_0228	Q88RA5	KEGG	ppu01100	Metabolic pathways	overview	overview	false
PP_0228	PP_0228	Q88RA5	KEGG	ppu01110	Biosynthesis of secondary metabolites	overview	overview	false
PP_0228	PP_0228	Q88RA5	KEGG	ppu01120	Microbial metabolism in diverse environments	overview	overview	false
PP_0228	PP_0228	Q88RA5	KEGG	ppu01200	Carbon metabolism	overview	overview	false
PP_0228	PP_0228	Q88RA5	KEGG	ppu01230	Biosynthesis of amino acids	overview	overview	false
tauD	PP_0230	Q88RA3	KEGG	ppu00430	Taurine and hypotaurine metabolism	specific	amino_acid_metabolism	true
tauD	PP_0230	Q88RA3	KEGG	ppu00920	Sulfur metabolism	specific	energy_respiration_inorganic_metabolism	false
tauC	PP_0231	Q88RA2	KEGG	ppu00920	Sulfur metabolism	specific	energy_respiration_inorganic_metabolism	true
tauC	PP_0231	Q88RA2	KEGG	ppu02010	ABC transporters	specific	transport_motility_signaling	false
tauB	PP_0232	Q88RA1	KEGG	ppu00920	Sulfur metabolism	specific	energy_respiration_inorganic_metabolism	true
tauB	PP_0232	Q88RA1	KEGG	ppu02010	ABC transporters	specific	transport_motility_signaling	false
tauA	PP_0233	Q88RA0	KEGG	ppu00920	Sulfur metabolism	specific	energy_respiration_inorganic_metabolism	true
tauA	PP_0233	Q88RA0	KEGG	ppu02010	ABC transporters	specific	transport_motility_signaling	false
ssuE	PP_0236	Q88R97	KEGG	ppu00740	Riboflavin metabolism	specific	cofactors_vitamins_redox	true
ssuE	PP_0236	Q88R97	KEGG	ppu00920	Sulfur metabolism	specific	energy_respiration_inorganic_metabolism	false
ssuE	PP_0236	Q88R97	KEGG	ppu01100	Metabolic pathways	overview	overview	false
ssuE	PP_0236	Q88R97	KEGG	ppu01120	Microbial metabolism in diverse environments	overview	overview	false
ssuA	PP_0237	Q88R96	KEGG	ppu00920	Sulfur metabolism	specific	energy_respiration_inorganic_metabolism	true
ssuA	PP_0237	Q88R96	KEGG	ppu02010	ABC transporters	specific	transport_motility_signaling	false
ssuD	PP_0238	Q88R95	KEGG	ppu00920	Sulfur metabolism	specific	energy_respiration_inorganic_metabolism	true
ssuD	PP_0238	Q88R95	KEGG	ppu01100	Metabolic pathways	overview	overview	false
ssuD	PP_0238	Q88R95	KEGG	ppu01120	Microbial metabolism in diverse environments	overview	overview	false
ssuC	PP_0239	Q88R94	KEGG	ppu00920	Sulfur metabolism	specific	energy_respiration_inorganic_metabolism	true
ssuC	PP_0239	Q88R94	KEGG	ppu02010	ABC transporters	specific	transport_motility_signaling	false
ssuB	PP_0240	Q88R93	KEGG	ppu00920	Sulfur metabolism	specific	energy_respiration_inorganic_metabolism	true
ssuB	PP_0240	Q88R93	KEGG	ppu02010	ABC transporters	specific	transport_motility_signaling	false
gshA	PP_0243	Q88R90	KEGG	ppu00270	Cysteine and methionine metabolism	specific	amino_acid_metabolism	false
gshA	PP_0243	Q88R90	KEGG	ppu00340	Histidine metabolism	specific	amino_acid_metabolism	true
gshA	PP_0243	Q88R90	KEGG	ppu00480	Glutathione metabolism	specific	other_kegg_pathway	false
gshA	PP_0243	Q88R90	KEGG	ppu01100	Metabolic pathways	overview	overview	false
gshA	PP_0243	Q88R90	KEGG	ppu01110	Biosynthesis of secondary metabolites	overview	overview	false
gshA	PP_0243	Q88R90	KEGG	ppu01240	Biosynthesis of cofactors	overview	overview	false
gshA	PP_0243	Q88R90	UniPathway	UPA00142	UniPathway UPA00142	specific	unipathway	false
ompR	PP_0246	Q88R87	KEGG	ppu02020	Two-component system	specific	transport_motility_signaling	true
envZ	PP_0247	Q88R86	KEGG	ppu02020	Two-component system	specific	transport_motility_signaling	true
yrfG	PP_0259	Q88R75	KEGG	ppu00230	Purine metabolism	specific	nucleotide_metabolism	true
yrfG	PP_0259	Q88R75	KEGG	ppu01100	Metabolic pathways	overview	overview	false
yrfG	PP_0259	Q88R75	KEGG	ppu01232	Nucleotide metabolism	overview	overview	false
nudE	PP_0260	Q88R74	KEGG	ppu00230	Purine metabolism	specific	nucleotide_metabolism	true
nudE	PP_0260	Q88R74	KEGG	ppu01100	Metabolic pathways	overview	overview	false
cysQ	PP_0261	Q88R73	KEGG	ppu00920	Sulfur metabolism	specific	energy_respiration_inorganic_metabolism	true
cysQ	PP_0261	Q88R73	KEGG	ppu01100	Metabolic pathways	overview	overview	false
cysQ	PP_0261	Q88R73	KEGG	ppu01120	Microbial metabolism in diverse environments	overview	overview	false
dctD-I	PP_0263	Q88R71	KEGG	ppu02020	Two-component system	specific	transport_motility_signaling	true
PP_0264	PP_0264	Q88R70	KEGG	ppu02020	Two-component system	specific	transport_motility_signaling	true
rmlC	PP_0265	Q88R69	KEGG	ppu00521	Streptomycin biosynthesis	specific	other_kegg_pathway	false
rmlC	PP_0265	Q88R69	KEGG	ppu00523	Polyketide sugar unit biosynthesis	specific	other_kegg_pathway	true
rmlC	PP_0265	Q88R69	KEGG	ppu00541	Biosynthesis of various nucleotide sugars	specific	nucleotide_metabolism	false
rmlC	PP_0265	Q88R69	KEGG	ppu01100	Metabolic pathways	overview	overview	false
rmlC	PP_0265	Q88R69	KEGG	ppu01110	Biosynthesis of secondary metabolites	overview	overview	false
rmlC	PP_0265	Q88R69	KEGG	ppu01250	Biosynthesis of nucleotide sugars	overview	overview	false
rmlC	PP_0265	Q88R69	UniPathway	UPA00124	UniPathway UPA00124	specific	unipathway	false
aguA	PP_0266	Q88R68	KEGG	ppu00330	Arginine and proline metabolism	specific	amino_acid_metabolism	true
aguA	PP_0266	Q88R68	KEGG	ppu01100	Metabolic pathways	overview	overview	false
aguA	PP_0266	Q88R68	KEGG	ppu01110	Biosynthesis of secondary metabolites	overview	overview	false
aguA	PP_0266	Q88R68	UniPathway	UPA00534	UniPathway UPA00534	specific	unipathway	false
PP_0280	PP_0280	Q88R54	KEGG	ppu02010	ABC transporters	specific	transport_motility_signaling	true
PP_0281	PP_0281	Q88R53	KEGG	ppu02010	ABC transporters	specific	transport_motility_signaling	true
artJ	PP_0282	Q88R52	KEGG	ppu02010	ABC transporters	specific	transport_motility_signaling	true
aotP	PP_0283	Q88R51	KEGG	ppu02010	ABC transporters	specific	transport_motility_signaling	true
mutY	PP_0286	Q88R48	KEGG	ppu03410	Base excision repair	specific	other_kegg_pathway	true
hisB	PP_0289	Q88R45	KEGG	ppu00340	Histidine metabolism	specific	amino_acid_metabolism	true
hisB	PP_0289	Q88R45	KEGG	ppu01100	Metabolic pathways	overview	overview	false
hisB	PP_0289	Q88R45	KEGG	ppu01110	Biosynthesis of secondary metabolites	overview	overview	false
