suggested_review_name	review_name_collision	uniprot_accession	entry_name	primary_gene	ordered_locus	all_gene_names	protein_name	reviewed	annotation_score	length	ec_numbers	go_ids	interpro_ids	pfam_ids	panther_ids	kegg_ids	biocyc_ids	unipathway_ids	refseq_ids	keywords
dnaN	false	P0A120	DPO3B_PSEPK	dnaN	PP_0011	dnaN PP_0011	Beta sliding clamp (Beta clamp) (Sliding clamp) (Beta-clamp processivity factor) (DNA polymerase III beta sliding clamp subunit) (DNA polymerase III subunit beta)	reviewed	3.0	367		GO:0003677; GO:0003887; GO:0005737; GO:0006271; GO:0008408; GO:0009360; GO:0042802	IPR046938;IPR001001;IPR022635;IPR022637;IPR022634;	PF00712;PF02767;PF02768;	PTHR30478:SF0;PTHR30478;	ppu:PP_0011;	PPUT160488:G1G01-11-MONOMER;		WP_003253156.1;	Cytoplasm;DNA replication;DNA-binding;DNA-directed DNA polymerase;Nucleotidyltransferase;Reference proteome;Transferase
recF	false	Q88RW7	RECF_PSEPK	recF	PP_0012	recF PP_0012	DNA replication and repair protein RecF	reviewed	2.0	367		GO:0000731; GO:0003697; GO:0005524; GO:0005737; GO:0006260; GO:0006302; GO:0009432	IPR001238;IPR018078;IPR027417;IPR003395;IPR042174;	PF02463;	PTHR32182;PTHR32182:SF0;	ppu:PP_0012;	PPUT160488:G1G01-12-MONOMER;		WP_003253154.1;	ATP-binding;Cytoplasm;DNA damage;DNA repair;DNA replication;DNA-binding;Nucleotide-binding;Reference proteome;SOS response
gyrB	false	Q88RW6	Q88RW6_PSEPK	gyrB	PP_0013	gyrB PP_0013	DNA gyrase subunit B (EC 5.6.2.2)	unreviewed	3.0	806	5.6.2.2	GO:0003677; GO:0003918; GO:0005524; GO:0005694; GO:0005737; GO:0006261; GO:0006265; GO:0046872	IPR002288;IPR011557;IPR049353;IPR041423;IPR036890;IPR003594;IPR020568;IPR014721;IPR001241;IPR013760;IPR000565;IPR013759;IPR013506;IPR018522;IPR006171;IPR034160;	PF00204;PF00986;PF21249;PF18053;PF02518;PF01751;	PTHR45866:SF1;PTHR45866;	ppu:PP_0013;	PPUT160488:G1G01-13-MONOMER;		WP_003253152.1;	ATP-binding;Cytoplasm;DNA-binding;Isomerase;Magnesium;Metal-binding;Nucleotide-binding;Reference proteome;Topoisomerase
PP_0014	false	Q88RW5	Q88RW5_PSEPK	PP_0014	PP_0014	PP_0014	Transposase	unreviewed	1.0	652		GO:0003676; GO:0015074	IPR001584;IPR012337;IPR036397;			ppu:PP_0014;	PPUT160488:G1G01-15-MONOMER;		WP_016497347.1;	Reference proteome
PP_0015	false	Q88RW4	Q88RW4_PSEPK	PP_0015	PP_0015	PP_0015	Transposon protein	unreviewed	1.0	319			IPR003593;IPR052026;IPR027417;IPR008868;	PF05621;	PTHR35894;PTHR35894:SF5;	ppu:PP_0015;	PPUT160488:G1G01-16-MONOMER;		WP_010951429.1;	Reference proteome
PP_0016	false	Q88RW3	Q88RW3_PSEPK	PP_0016	PP_0016	PP_0016	TniQ domain-containing protein	unreviewed	1.0	638			IPR009492;	PF06527;		ppu:PP_0016;	PPUT160488:G1G01-17-MONOMER;		WP_010951430.1;	Reference proteome
PP_0017	false	Q88RW2	Q88RW2_PSEPK	PP_0017	PP_0017	PP_0017	Transcriptional regulator	unreviewed	1.0	119			IPR035616;	PF22055;		ppu:PP_0017;	PPUT160488:G1G01-18-MONOMER;		WP_010951431.1;	Reference proteome
PP_0018	false	Q88RW1	Q88RW1_PSEPK	PP_0018	PP_0018	PP_0018	TIGR04255 family protein	unreviewed	1.0	280			IPR026349;			ppu:PP_0018;	PPUT160488:G1G01-19-MONOMER;		WP_010951432.1;	Reference proteome
PP_0019	false	Q88RW0	Q88RW0_PSEPK	PP_0019	PP_0019	PP_0019	Uncharacterized protein	unreviewed	1.0	232		GO:0003677	IPR001387;IPR010982;			ppu:PP_0019;	PPUT160488:G1G01-20-MONOMER;			Reference proteome
PP_0020	false	Q88RV9	Q88RV9_PSEPK	PP_0020	PP_0020	PP_0020	Uncharacterized protein	unreviewed	1.0	291						ppu:PP_0020;	PPUT160488:G1G01-21-MONOMER;			Reference proteome
PP_0021	false	Q88RV8	Q88RV8_PSEPK	PP_0021	PP_0021	PP_0021	Uncharacterized protein	unreviewed	1.0	307						ppu:PP_0021;	PPUT160488:G1G01-22-MONOMER;		WP_010951435.1;	Reference proteome
PP_0022	false	Q88RV7	Q88RV7_PSEPK	PP_0022	PP_0022	PP_0022	Uncharacterized protein	unreviewed	1.0	54						ppu:PP_0022;	PPUT160488:G1G01-23-MONOMER;			Reference proteome
PP_0023	false	Q88RV6	Q88RV6_PSEPK	PP_0023	PP_0023	PP_0023	Uncharacterized protein	unreviewed	1.0	42						ppu:PP_0023;	PPUT160488:G1G01-24-MONOMER;		WP_003253468.1;	Reference proteome
PP_0024	false	Q88RV5	Q88RV5_PSEPK	PP_0024	PP_0024	PP_0024	Membrane-associated metal-dependent hydrolase	unreviewed	1.0	565		GO:0005886; GO:0009244; GO:0016776; GO:0016787	IPR017850;IPR012549;IPR058130;IPR040423;IPR000917;	PF08019;PF00884;	PTHR30443;PTHR30443:SF0;	ppu:PP_0024;	PPUT160488:G1G01-25-MONOMER;		WP_003298414.1;	Cell inner membrane;Cell membrane;Hydrolase;Membrane;Reference proteome;Transferase;Transmembrane;Transmembrane helix
PP_0025	false	Q88RV4	Q88RV4_PSEPK	PP_0025	PP_0025	PP_0025	Uncharacterized protein	unreviewed	1.0	50						ppu:PP_0025;	PPUT160488:G1G01-26-MONOMER;			Reference proteome;Signal
PP_0026	false	Q88RV3	Q88RV3_PSEPK	PP_0026	PP_0026	PP_0026	Cobalt/cadmium/zinc exporter	unreviewed	1.0	301		GO:0005385; GO:0005886	IPR002524;IPR027470;IPR036837;IPR058533;IPR027469;IPR050681;	PF01545;PF16916;	PTHR11562;PTHR11562:SF17;	ppu:PP_0026;	PPUT160488:G1G01-27-MONOMER;		WP_010951438.1;	Ion transport;Membrane;Reference proteome;Transmembrane;Transmembrane helix;Transport;Zinc;Zinc transport
PP_0027	false	Q88RV2	Q88RV2_PSEPK	PP_0027	PP_0027	PP_0027	BV97-02767-like domain-containing protein	unreviewed	1.0	146			IPR060701;	PF28289;		ppu:PP_0027;	PPUT160488:G1G01-28-MONOMER;			Membrane;Reference proteome;Transmembrane;Transmembrane helix
PP_0028	false	Q88RV1	Q88RV1_PSEPK	PP_0028	PP_0028	PP_0028	DUF2790 domain-containing protein	unreviewed	1.0	108			IPR021245;	PF10976;		ppu:PP_0028;	PPUT160488:G1G01-29-MONOMER;		WP_010951440.1;	Reference proteome;Signal
czcR-I	false	Q88RV0	Q88RV0_PSEPK	czcR-I	PP_0029	czcR-I PP_0029	Two component heavy metal response regulator	unreviewed	2.0	224		GO:0000156; GO:0000976; GO:0005829; GO:0006351; GO:0006355; GO:0032993	IPR011006;IPR006291;IPR001867;IPR001789;IPR039420;IPR036388;	PF00072;PF00486;	PTHR48111;PTHR48111:SF41;	ppu:PP_0029;	PPUT160488:G1G01-31-MONOMER;		WP_003253457.1;	DNA-binding;Phosphoprotein;Reference proteome;Transcription;Transcription regulation;Two-component regulatory system
czrSA	false	Q88RU9	Q88RU9_PSEPK	czrSA	PP_0030	czrSA PP_0030	Sensor protein (EC 2.7.13.3)	unreviewed	2.0	472	2.7.13.3	GO:0000155; GO:0005524; GO:0005886	IPR006290;IPR003660;IPR036890;IPR003594;IPR005467;IPR003661;IPR036097;IPR004358;IPR050428;	PF00672;PF02518;PF00512;	PTHR45436:SF15;PTHR45436;	ppu:PP_0030;	PPUT160488:G1G01-32-MONOMER;		WP_010951441.1;	ATP-binding;Cell inner membrane;Cell membrane;Kinase;Membrane;Nucleotide-binding;Phosphoprotein;Reference proteome;Transferase;Transmembrane;Transmembrane helix;Two-component regulatory system
PP_0031	false	Q88RU8	Q88RU8_PSEPK	PP_0031	PP_0031	PP_0031	Uncharacterized protein	unreviewed	1.0	195						ppu:PP_0031;	PPUT160488:G1G01-33-MONOMER;		WP_010951442.1;	Membrane;Reference proteome;Transmembrane;Transmembrane helix
PP_0032	false	Q88RU7	Q88RU7_PSEPK	PP_0032	PP_0032	PP_0032	Secreted protein	unreviewed	1.0	73						ppu:PP_0032;	PPUT160488:G1G01-34-MONOMER;		WP_010951443.1;	Reference proteome;Signal
PP_0033	false	Q88RU6	Q88RU6_PSEPK	PP_0033	PP_0033	PP_0033	Undecaprenyl-glycosyl transferase	unreviewed	1.0	484		GO:0000030; GO:0005886; GO:0006493; GO:0009103; GO:0010041; GO:0016763	IPR003342;IPR050297;	PF02366;	PTHR33908;PTHR33908:SF3;	ppu:PP_0033;	PPUT160488:G1G01-35-MONOMER;		WP_010951444.1;	Cell membrane;Glycosyltransferase;Membrane;Reference proteome;Transferase;Transmembrane;Transmembrane helix
PP_0034	false	Q88RU5	Q88RU5_PSEPK	PP_0034	PP_0034	PP_0034	Bactoprenol glycosyl-transferase from phage origin	unreviewed	1.0	327		GO:0005886; GO:0016757	IPR001173;IPR050256;IPR029044;	PF00535;	PTHR48090:SF1;PTHR48090;	ppu:PP_0034;	PPUT160488:G1G01-36-MONOMER;		WP_010951445.1;	Glycosyltransferase;Membrane;Reference proteome;Transferase;Transmembrane;Transmembrane helix
PP_0035	false	Q88RU4	Q88RU4_PSEPK	PP_0035	PP_0035	PP_0035	Bactoprenol-linked glycose transferase	unreviewed	1.0	139		GO:0000271; GO:0005886; GO:0016740	IPR051401;IPR007267;	PF04138;	PTHR38459;PTHR38459:SF1;	ppu:PP_0035;	PPUT160488:G1G01-37-MONOMER;		WP_010951446.1;	Membrane;Reference proteome;Transferase;Transmembrane;Transmembrane helix
PP_0036	false	Q88RU3	Q88RU3_PSEPK	PP_0036	PP_0036	PP_0036	Transcriptional regulator	unreviewed	1.0	322		GO:0000976; GO:0003700; GO:0006351	IPR000847;IPR005119;IPR036388;IPR036390;	PF00126;PF03466;	PTHR30126;PTHR30126:SF91;	ppu:PP_0036;	PPUT160488:G1G01-38-MONOMER;		WP_010951447.1;	DNA-binding;Reference proteome;Transcription;Transcription regulation
oprP	false	Q88RU2	Q88RU2_PSEPK	oprP	PP_0037	oprP PP_0037	Porin P	unreviewed	1.0	429			IPR023614;IPR010870;	PF07396;		ppu:PP_0037;	PPUT160488:G1G01-39-MONOMER;			Reference proteome
PP_0039	false	Q88RU0	Q88RU0_PSEPK	PP_0039	PP_0039	PP_0039	Uncharacterized protein	unreviewed	1.0	341						ppu:PP_0039;	PPUT160488:G1G01-40-MONOMER;		WP_010951450.1;	Reference proteome
PP_0040	false	Q88RT9	Q88RT9_PSEPK	PP_0040	PP_0040	PP_0040	Uncharacterized protein	unreviewed	1.0	74						ppu:PP_0040;	PPUT160488:G1G01-41-MONOMER;		WP_010951451.1;	Reference proteome
cadA-I	false	Q88RT8	Q88RT8_PSEPK	cadA-I	PP_0041	cadA-I PP_0041	P-type Zn(2+) transporter (EC 7.2.2.12)	unreviewed	2.0	665	7.2.2.12	GO:0005524; GO:0005886; GO:0016463; GO:0016887; GO:0046872	IPR023299;IPR018303;IPR023298;IPR008250;IPR059000;IPR051014;IPR036412;IPR023214;IPR027256;IPR001757;IPR044492;	PF00122;PF00702;	PTHR48085;PTHR48085:SF5;	ppu:PP_0041;	PPUT160488:G1G01-42-MONOMER;		WP_010951452.1;	ATP-binding;Cell membrane;Hydrolase;Membrane;Metal-binding;Nucleotide-binding;Reference proteome;Translocase;Transmembrane;Transmembrane helix
PP_0042	false	Q88RT7	Q88RT7_PSEPK	PP_0042	PP_0042	PP_0042	DUF2790 domain-containing protein	unreviewed	1.0	107			IPR021245;	PF10976;		ppu:PP_0042;	PPUT160488:G1G01-43-MONOMER;		WP_003253432.1;	Reference proteome;Signal
czcA-I	false	Q88RT6	Q88RT6_PSEPK	czcA-I	PP_0043	czcA-I PP_0043	Cation efflux system protein	unreviewed	1.0	1053		GO:0005886; GO:0008324; GO:0042910	IPR027463;IPR001036;IPR004763;	PF00873;	PTHR32063;PTHR32063:SF24;	ppu:PP_0043;	MetaCyc:G1G01-44-MONOMER;PPUT160488:G1G01-44-MONOMER;		WP_010951454.1;	Cell membrane;Membrane;Reference proteome;Transmembrane;Transmembrane helix;Transport
czcB-I	false	Q88RT5	Q88RT5_PSEPK	czcB-I	PP_0044	czcB-I PP_0044	Cobalt-zinc-cadmium resistance protein	unreviewed	2.0	416		GO:0015679; GO:0016020; GO:0022857; GO:0030288; GO:0046686; GO:0046914; GO:0060003	IPR058792;IPR058647;IPR058649;IPR058648;IPR051909;IPR006143;	PF25954;PF25973;PF25975;PF25893;	PTHR30097;PTHR30097:SF4;	ppu:PP_0044;	MetaCyc:G1G01-45-MONOMER;PPUT160488:G1G01-45-MONOMER;		WP_010951455.1;	Cadmium resistance;Coiled coil;Reference proteome;Signal;Transport;Zinc
czcC-I	false	Q88RT4	Q88RT4_PSEPK	czcC-I	PP_0045	czcC-I PP_0045	Cobalt-zinc-cadmium resistance protein	unreviewed	1.0	423		GO:0009279; GO:0015562	IPR010131;IPR003423;	PF02321;	PTHR30203:SF24;PTHR30203;	ppu:PP_0045;	MetaCyc:G1G01-46-MONOMER;PPUT160488:G1G01-46-MONOMER;		WP_010951456.1;	Cell outer membrane;Coiled coil;Lipoprotein;Membrane;Palmitate;Reference proteome;Signal;Transmembrane;Transmembrane beta strand
opdT-I	false	Q88RT3	Q88RT3_PSEPK	opdT-I	PP_0046	opdT-I PP_0046	Tyrosine-specific outer membrane porin D (EC 3.4.21.-)	unreviewed	1.0	447	3.4.21.-	GO:0015288; GO:0016020; GO:0016787	IPR005318;IPR023614;	PF03573;	PTHR34596;PTHR34596:SF2;	ppu:PP_0046;	PPUT160488:G1G01-47-MONOMER;		WP_003253422.1;	Hydrolase;Reference proteome;Signal;Transport
czcR-II	false	Q88RT2	Q88RT2_PSEPK	czcR-II	PP_0047	czcR-II PP_0047	Response regulator	unreviewed	2.0	224		GO:0000156; GO:0000976; GO:0005829; GO:0006351; GO:0006355; GO:0032993	IPR011006;IPR006291;IPR001867;IPR001789;IPR039420;IPR036388;	PF00072;PF00486;	PTHR48111;PTHR48111:SF41;	ppu:PP_0047;	PPUT160488:G1G01-48-MONOMER;		WP_003253420.1;	DNA-binding;Phosphoprotein;Reference proteome;Transcription;Transcription regulation;Two-component regulatory system
PP_0048	false	Q88RT1	Q88RT1_PSEPK	PP_0048	PP_0048	PP_0048	Uncharacterized protein	unreviewed	1.0	107						ppu:PP_0048;	PPUT160488:G1G01-49-MONOMER;		WP_010951457.1;	Reference proteome
PP_0049	false	Q88RT0	Q88RT0_PSEPK	PP_0049	PP_0049	PP_0049	Glycosaminoglycan attachment site	unreviewed	1.0	488						ppu:PP_0049;	PPUT160488:G1G01-51-MONOMER;			Reference proteome
PP_0050	false	Q88RS9	Q88RS9_PSEPK	PP_0050	PP_0050	PP_0050	Integral membrane-like protein	unreviewed	1.0	135			IPR024572;	PF11776;		ppu:PP_0050;	PPUT160488:G1G01-53-MONOMER;		WP_010951459.1;	Reference proteome;Signal
PP_0051	false	Q88RS8	Q88RS8_PSEPK	PP_0051	PP_0051	PP_0051	Sigma-54 dependent transcriptional regulator	unreviewed	1.0	430		GO:0005524; GO:0006351; GO:0006355; GO:0016301; GO:0043565	IPR003593;IPR058031;IPR009057;IPR002197;IPR027417;IPR000014;IPR035965;IPR013656;IPR002078;IPR025662;IPR025943;IPR025944;	PF25601;PF02954;PF08448;PF00158;	PTHR32071;	ppu:PP_0051;	PPUT160488:G1G01-54-MONOMER;		WP_010951460.1;	ATP-binding;DNA-binding;Kinase;Nucleotide-binding;Reference proteome;Transcription;Transcription regulation;Transferase
PP_0052	false	Q88RS7	Q88RS7_PSEPK	PP_0052	PP_0052	PP_0052	Beta-lactamase domain protein, putative hydrolase	unreviewed	1.0	294		GO:0006749; GO:0016787; GO:0046872; GO:0050313; GO:0070813	IPR001279;IPR051682;IPR044528;IPR036866;	PF00753;	PTHR43084;PTHR43084:SF1;	ppu:PP_0052;	PPUT160488:G1G01-55-MONOMER;		WP_010951461.1;	Hydrolase;Metal-binding;Reference proteome
PP_0053	false	Q88RS6	Q88RS6_PSEPK	PP_0053	PP_0053	PP_0053	Sulfide:quinone oxidoreductase	unreviewed	1.0	422		GO:0048038; GO:0070221; GO:0070224; GO:0071949	IPR036188;IPR023753;IPR015904;	PF07992;	PTHR10632;PTHR10632:SF2;	ppu:PP_0053;	MetaCyc:G1G01-56-MONOMER;PPUT160488:G1G01-56-MONOMER;		WP_010951462.1;	FAD;Flavoprotein;Oxidoreductase;Quinone;Reference proteome;Transit peptide
PP_0054	false	Q88RS5	Q88RS5_PSEPK	PP_0054	PP_0054	PP_0054	Probable membrane transporter protein	unreviewed	1.0	285		GO:0005886	IPR002781;IPR051598;	PF01925;	PTHR43701;PTHR43701:SF2;	ppu:PP_0054;	PPUT160488:G1G01-57-MONOMER;			Cell membrane;Membrane;Reference proteome;Transmembrane;Transmembrane helix
PP_0055	false	Q88RS4	Q88RS4_PSEPK	PP_0055	PP_0055	PP_0055	Transcriptional regulator	unreviewed	1.0	295		GO:0003700; GO:0006351; GO:0043565	IPR058163;IPR000847;IPR005119;IPR036388;IPR036390;	PF00126;PF03466;	PTHR30537;PTHR30537:SF3;	ppu:PP_0055;	PPUT160488:G1G01-58-MONOMER;		WP_010951464.1;	DNA-binding;Reference proteome;Transcription;Transcription regulation
betA-I	false	Q88RS3	Q88RS3_PSEPK	betA-I	PP_0056	betA-I PP_0056	Choline dehydrogenase (EC 1.1.99.1)	unreviewed	1.0	550	1.1.99.1	GO:0008812; GO:0050660	IPR036188;IPR012132;IPR000172;IPR007867;	PF05199;PF00732;	PTHR11552:SF147;PTHR11552;	ppu:PP_0056;	PPUT160488:G1G01-59-MONOMER;			FAD;Flavoprotein;Oxidoreductase;Reference proteome
PP_0057	false	Q88RS2	Q88RS2_PSEPK	PP_0057	PP_0057	PP_0057	Major facilitator family transporter	unreviewed	1.0	539		GO:0005886; GO:0022857	IPR020846;IPR005828;IPR036259;IPR005829;	PF00083;	PTHR43045:SF7;PTHR43045;	ppu:PP_0057;	PPUT160488:G1G01-60-MONOMER;		WP_010951466.1;	Cell membrane;Membrane;Reference proteome;Transmembrane;Transmembrane helix;Transport
PP_0058	false	Q88RS1	Q88RS1_PSEPK	PP_0058	PP_0058	PP_0058	1-acyl-sn-glycerol-3-phosphate acyltransferase	unreviewed	1.0	261		GO:0003841; GO:0006654	IPR002123;	PF01553;	PTHR10434;PTHR10434:SF40;	ppu:PP_0058;	PPUT160488:G1G01-61-MONOMER;		WP_010951467.1;	Acyltransferase;Membrane;Reference proteome;Transferase;Transmembrane;Transmembrane helix
gmhB	false	Q88RS0	GMHBB_PSEPK	gmhB	PP_0059	gmhB PP_0059	D-glycero-beta-D-manno-heptose-1,7-bisphosphate 7-phosphatase (EC 3.1.3.82) (D,D-heptose 1,7-bisphosphate phosphatase) (HBP phosphatase)	reviewed	4.0	175	3.1.3.82	GO:0005737; GO:0009244; GO:0034200; GO:0046872; GO:0097171	IPR036412;IPR006549;IPR023214;IPR004446;IPR006543;	PF13242;	PTHR42891;PTHR42891:SF1;	ppu:PP_0059;	PPUT160488:G1G01-62-MONOMER;	UPA00356;UPA00958;	WP_003253129.1;	Carbohydrate metabolism;Cytoplasm;Hydrolase;Lipopolysaccharide biosynthesis;Magnesium;Metal-binding;Reference proteome;Zinc
glyS	false	Q88RR9	SYGB_PSEPK	glyS	PP_0060	glyS PP_0060	Glycine--tRNA ligase beta subunit (EC 6.1.1.14) (Glycyl-tRNA synthetase beta subunit) (GlyRS)	reviewed	2.0	684	6.1.1.14	GO:0004814; GO:0004820; GO:0005524; GO:0005829; GO:0006420; GO:0006426	IPR008909;IPR015944;IPR006194;	PF05746;PF02092;	PTHR30075:SF2;PTHR30075;	ppu:PP_0060;	PPUT160488:G1G01-63-MONOMER;		WP_010951468.1;	Aminoacyl-tRNA synthetase;ATP-binding;Cytoplasm;Ligase;Nucleotide-binding;Protein biosynthesis;Reference proteome
glyQ	false	Q88RR8	SYGA_PSEPK	glyQ	PP_0061	glyQ PP_0061	Glycine--tRNA ligase alpha subunit (EC 6.1.1.14) (Glycyl-tRNA synthetase alpha subunit) (GlyRS)	reviewed	2.0	315	6.1.1.14	GO:0004820; GO:0005524; GO:0005829; GO:0006426	IPR045864;IPR006194;IPR002310;	PF02091;	PTHR30075:SF2;PTHR30075;	ppu:PP_0061;	PPUT160488:G1G01-64-MONOMER;		WP_003253126.1;	Aminoacyl-tRNA synthetase;ATP-binding;Cytoplasm;Ligase;Nucleotide-binding;Protein biosynthesis;Reference proteome
tag	false	Q88RR7	Q88RR7_PSEPK	tag	PP_0062	tag PP_0062	DNA-3-methyladenine glycosylase I (EC 3.2.2.20)	unreviewed	2.0	183	3.2.2.20	GO:0006284; GO:0008725; GO:0046872	IPR005019;IPR052891;IPR011257;IPR004597;	PF03352;	PTHR30037;PTHR30037:SF4;	ppu:PP_0062;	PPUT160488:G1G01-65-MONOMER;		WP_010951469.1;	DNA damage;DNA repair;Glycosidase;Hydrolase;Membrane;Metal-binding;Reference proteome;Transmembrane;Transmembrane helix;Zinc
PP_0063	false	Q88RR6	Q88RR6_PSEPK	PP_0063	PP_0063	PP_0063	Lipid A biosynthesis lauroyl acyltransferase	unreviewed	1.0	295		GO:0005886; GO:0009247; GO:0016746	IPR004960;	PF03279;	PTHR30606;PTHR30606:SF10;	ppu:PP_0063;	PPUT160488:G1G01-66-MONOMER;		WP_010951470.1;	Acyltransferase;Cell inner membrane;Cell membrane;Membrane;Reference proteome;Transferase
PP_0064	false	Q88RR5	Q88RR5_PSEPK	PP_0064	PP_0064	PP_0064	Uncharacterized protein	unreviewed	1.0	104			IPR011990;IPR019734;	PF14559;		ppu:PP_0064;	PPUT160488:G1G01-67-MONOMER;		WP_010951471.1;	Reference proteome
trkA	false	Q88RR4	Q88RR4_PSEPK	trkA	PP_0065	trkA PP_0065	Trk system potassium uptake protein TrkA	unreviewed	1.0	457		GO:0005886; GO:0015079	IPR006036;IPR036291;IPR006037;IPR036721;IPR003148;IPR050721;	PF02080;PF02254;	PTHR43833;PTHR43833:SF5;	ppu:PP_0065;	PPUT160488:G1G01-68-MONOMER;		WP_010951472.1;	Ion transport;NAD;Potassium;Potassium transport;Reference proteome;Repeat;Transport
