gene,category,family
ENSMUSG00000074486,Core matrisome,ECM Glycoproteins
Bglap3,Core matrisome,ECM Glycoproteins
AI461847,Core matrisome,ECM Glycoproteins
MGC123552,Core matrisome,ECM Glycoproteins
ORG,Core matrisome,ECM Glycoproteins
mOC-X,Core matrisome,ECM Glycoproteins
Bglap-rs1,Core matrisome,ECM Glycoproteins
MGI,Core matrisome,ECM Glycoproteins
88155,Core matrisome,ECM Glycoproteins
P54615,Core matrisome,ECM Glycoproteins
Q78H72,Core matrisome,ECM Glycoproteins
NP_112736.3,Core matrisome,ECM Glycoproteins
XP_006501001.1,Core matrisome,ECM Glycoproteins
ENSMUSG00000074489,Core matrisome,ECM Glycoproteins
Bmper,Core matrisome,ECM Glycoproteins
3110056H04Rik,Core matrisome,ECM Glycoproteins
CV-2,Core matrisome,ECM Glycoproteins
Crim3,Core matrisome,ECM Glycoproteins
Cv2,Core matrisome,ECM Glycoproteins
MGI,Core matrisome,ECM Glycoproteins
1920480,Core matrisome,ECM Glycoproteins
Q8CJ69,Core matrisome,ECM Glycoproteins
NP_082748.1,Core matrisome,ECM Glycoproteins
ENSMUSG00000031963,Core matrisome,ECM Glycoproteins
Bsph1,Core matrisome,ECM Glycoproteins
Gm767,Core matrisome,ECM Glycoproteins
MGI,Core matrisome,ECM Glycoproteins
2685613,Core matrisome,ECM Glycoproteins
B7ZWD1,Core matrisome,ECM Glycoproteins
Q3UW26,Core matrisome,ECM Glycoproteins
XP_006540164.1,Core matrisome,ECM Glycoproteins
NP_001028590.1,Core matrisome,ECM Glycoproteins
ENSMUSG00000074378,Core matrisome,ECM Glycoproteins
Bsph2,Core matrisome,ECM Glycoproteins
Bsph2a,Core matrisome,ECM Glycoproteins
9230107M04Rik,Core matrisome,ECM Glycoproteins
MGI,Core matrisome,ECM Glycoproteins
1924934,Core matrisome,ECM Glycoproteins
Q0Q236,Core matrisome,ECM Glycoproteins
NP_001074411.1,Core matrisome,ECM Glycoproteins
ENSMUSG00000078800,Core matrisome,ECM Glycoproteins
Cdcp2,Core matrisome,ECM Glycoproteins
D030010E02Rik,Core matrisome,ECM Glycoproteins
MGI,Core matrisome,ECM Glycoproteins
3045328,Core matrisome,ECM Glycoproteins
Q8BQH6,Core matrisome,ECM Glycoproteins
NP_766461.1,Core matrisome,ECM Glycoproteins
XP_006503150.1,Core matrisome,ECM Glycoproteins
ENSMUSG00000047636,Core matrisome,ECM Glycoproteins
Cilp,Core matrisome,ECM Glycoproteins
9830114D16,Core matrisome,ECM Glycoproteins
C130036G17Rik,Core matrisome,ECM Glycoproteins
MGI,Core matrisome,ECM Glycoproteins
2444507,Core matrisome,ECM Glycoproteins
D6RD06,Core matrisome,ECM Glycoproteins
Q66K08,Core matrisome,ECM Glycoproteins
NP_775561.1,Core matrisome,ECM Glycoproteins
ENSMUSG00000042254,Core matrisome,ECM Glycoproteins
Cilp2,Core matrisome,ECM Glycoproteins
1110031K21Rik,Core matrisome,ECM Glycoproteins
AA407300,Core matrisome,ECM Glycoproteins
CLIP-2,Core matrisome,ECM Glycoproteins
MGI,Core matrisome,ECM Glycoproteins
1915959,Core matrisome,ECM Glycoproteins
D3Z7H8,Core matrisome,ECM Glycoproteins
Q3V4C8,Core matrisome,ECM Glycoproteins
NP_081094.2,Core matrisome,ECM Glycoproteins
ENSMUSG00000044006,Core matrisome,ECM Glycoproteins
Coch,Core matrisome,ECM Glycoproteins
AW122937,Core matrisome,ECM Glycoproteins
Coch-5B2,Core matrisome,ECM Glycoproteins
D12H14S564E,Core matrisome,ECM Glycoproteins
MGI,Core matrisome,ECM Glycoproteins
1278313,Core matrisome,ECM Glycoproteins
Q3U0Z1,Core matrisome,ECM Glycoproteins
Q62507,Core matrisome,ECM Glycoproteins
NP_001185764.1,Core matrisome,ECM Glycoproteins
NP_031754.1,Core matrisome,ECM Glycoproteins
ENSMUSG00000020953,Core matrisome,ECM Glycoproteins
Colq,Core matrisome,ECM Glycoproteins
MGC130387,Core matrisome,ECM Glycoproteins
MGI,Core matrisome,ECM Glycoproteins
1338761,Core matrisome,ECM Glycoproteins
D3Z1C2,Core matrisome,ECM Glycoproteins
E9PVR3,Core matrisome,ECM Glycoproteins
O35348,Core matrisome,ECM Glycoproteins
Q3KNA4,Core matrisome,ECM Glycoproteins
XP_006519256.1,Core matrisome,ECM Glycoproteins
NP_034067.2,Core matrisome,ECM Glycoproteins
ENSMUSG00000057606,Core matrisome,ECM Glycoproteins
Comp,Core matrisome,ECM Glycoproteins
TSP5,Core matrisome,ECM Glycoproteins
MGI,Core matrisome,ECM Glycoproteins
88469,Core matrisome,ECM Glycoproteins
A1A557,Core matrisome,ECM Glycoproteins
A2VCQ0,Core matrisome,ECM Glycoproteins
Q9R0G6,Core matrisome,ECM Glycoproteins
NP_057894.2,Core matrisome,ECM Glycoproteins
ENSMUSG00000031849,Core matrisome,ECM Glycoproteins
Creld1,Core matrisome,ECM Glycoproteins
AI843811,Core matrisome,ECM Glycoproteins
MGI,Core matrisome,ECM Glycoproteins
2152539,Core matrisome,ECM Glycoproteins
A8C1T7,Core matrisome,ECM Glycoproteins
Q91XD7,Core matrisome,ECM Glycoproteins
NP_598691.1,Core matrisome,ECM Glycoproteins
ENSMUSG00000030284,Core matrisome,ECM Glycoproteins
Creld2,Core matrisome,ECM Glycoproteins
5730592L21Rik,Core matrisome,ECM Glycoproteins
C85758,Core matrisome,ECM Glycoproteins
MGI,Core matrisome,ECM Glycoproteins
1923987,Core matrisome,ECM Glycoproteins
Q9CYA0,Core matrisome,ECM Glycoproteins
NP_083996.1,Core matrisome,ECM Glycoproteins
ENSMUSG00000023272,Core matrisome,ECM Glycoproteins
Crim1,Core matrisome,ECM Glycoproteins
AU015004,Core matrisome,ECM Glycoproteins
MGI,Core matrisome,ECM Glycoproteins
1354756,Core matrisome,ECM Glycoproteins
Q3TWP4,Core matrisome,ECM Glycoproteins
Q8BS96,Core matrisome,ECM Glycoproteins
Q9JLL0,Core matrisome,ECM Glycoproteins
NP_056615.1,Core matrisome,ECM Glycoproteins
ENSMUSG00000024074,Core matrisome,ECM Glycoproteins
Crispld1,Core matrisome,ECM Glycoproteins
Cocoacrisp,Core matrisome,ECM Glycoproteins
Lcrisp1,Core matrisome,ECM Glycoproteins
MGI,Core matrisome,ECM Glycoproteins
1934666,Core matrisome,ECM Glycoproteins
E0CYY0,Core matrisome,ECM Glycoproteins
Q8CGD2,Core matrisome,ECM Glycoproteins
NP_113579.2,Core matrisome,ECM Glycoproteins
XP_006495655.1,Core matrisome,ECM Glycoproteins
XP_006495656.1,Core matrisome,ECM Glycoproteins
ENSMUSG00000025776,Core matrisome,ECM Glycoproteins
Crispld2,Core matrisome,ECM Glycoproteins
1810049K24Rik,Core matrisome,ECM Glycoproteins
Lcrisp2,Core matrisome,ECM Glycoproteins
Lgl1,Core matrisome,ECM Glycoproteins
MGC116029,Core matrisome,ECM Glycoproteins
coffeecrisp,Core matrisome,ECM Glycoproteins
MGI,Core matrisome,ECM Glycoproteins
1926142,Core matrisome,ECM Glycoproteins
Q8BZQ2,Core matrisome,ECM Glycoproteins
NP_084485.1,Core matrisome,ECM Glycoproteins
XP_006531570.1,Core matrisome,ECM Glycoproteins
XP_006531571.1,Core matrisome,ECM Glycoproteins
XP_006531572.1,Core matrisome,ECM Glycoproteins
ENSMUSG00000031825,Core matrisome,ECM Glycoproteins
Ctgf,Core matrisome,ECM Glycoproteins
Ccn2,Core matrisome,ECM Glycoproteins
Fisp12,Core matrisome,ECM Glycoproteins
Hcs24,Core matrisome,ECM Glycoproteins
fisp-12,Core matrisome,ECM Glycoproteins
MGI,Core matrisome,ECM Glycoproteins
95537,Core matrisome,ECM Glycoproteins
H3BJW0,Core matrisome,ECM Glycoproteins
H3BK14,Core matrisome,ECM Glycoproteins
P29268,Core matrisome,ECM Glycoproteins
NP_034347.2,Core matrisome,ECM Glycoproteins
Cthrc1,Core matrisome,ECM Glycoproteins
1110014B07Rik,Core matrisome,ECM Glycoproteins
MGI,Core matrisome,ECM Glycoproteins
1915838,Core matrisome,ECM Glycoproteins
A2RRY6,Core matrisome,ECM Glycoproteins
B7ZMQ8,Core matrisome,ECM Glycoproteins
Q9D1D6,Core matrisome,ECM Glycoproteins
NP_081054.1,Core matrisome,ECM Glycoproteins
ENSMUSG00000054196,Core matrisome,ECM Glycoproteins
Cyr61,Core matrisome,ECM Glycoproteins
AI325051,Core matrisome,ECM Glycoproteins
CCN1,Core matrisome,ECM Glycoproteins
Igfbp10,Core matrisome,ECM Glycoproteins
MGI,Core matrisome,ECM Glycoproteins
88613,Core matrisome,ECM Glycoproteins
P18406,Core matrisome,ECM Glycoproteins
Q3TX21,Core matrisome,ECM Glycoproteins
NP_034646.1,Core matrisome,ECM Glycoproteins
Ddx26b,Core matrisome,ECM Glycoproteins
4930535D10Rik,Core matrisome,ECM Glycoproteins
6330505F04Rik,Core matrisome,ECM Glycoproteins
D130066O12,Core matrisome,ECM Glycoproteins
MGI,Core matrisome,ECM Glycoproteins
2442593,Core matrisome,ECM Glycoproteins
E9PXU1,Core matrisome,ECM Glycoproteins
F6RIR5,Core matrisome,ECM Glycoproteins
F6WNG1,Core matrisome,ECM Glycoproteins
Q8BND4,Core matrisome,ECM Glycoproteins
Q8CCX8,Core matrisome,ECM Glycoproteins
Q8VE44,Core matrisome,ECM Glycoproteins
NP_766367.1,Core matrisome,ECM Glycoproteins
Dmbt1,Core matrisome,ECM Glycoproteins
CRP,Core matrisome,ECM Glycoproteins
CRP-[a],Core matrisome,ECM Glycoproteins
CRP-[b],Core matrisome,ECM Glycoproteins
Crpd,Core matrisome,ECM Glycoproteins
DBMT1,Core matrisome,ECM Glycoproteins
gp300,Core matrisome,ECM Glycoproteins
MGI,Core matrisome,ECM Glycoproteins
106210,Core matrisome,ECM Glycoproteins
B6V683,Core matrisome,ECM Glycoproteins
E9QPG8,Core matrisome,ECM Glycoproteins
Q60997,Core matrisome,ECM Glycoproteins
NP_031795.2,Core matrisome,ECM Glycoproteins
ENSMUSG00000047517,Core matrisome,ECM Glycoproteins
Dmp1,Core matrisome,ECM Glycoproteins
AV020965,Core matrisome,ECM Glycoproteins
Dmp,Core matrisome,ECM Glycoproteins
MGC130441,Core matrisome,ECM Glycoproteins
PP,Core matrisome,ECM Glycoproteins
MGI,Core matrisome,ECM Glycoproteins
94910,Core matrisome,ECM Glycoproteins
O55188,Core matrisome,ECM Glycoproteins
Q2HJ09,Core matrisome,ECM Glycoproteins
NP_058059.2,Core matrisome,ECM Glycoproteins
XP_006534829.1,Core matrisome,ECM Glycoproteins
ENSMUSG00000029307,Core matrisome,ECM Glycoproteins
Dpt,Core matrisome,ECM Glycoproteins
1810032B19Rik,Core matrisome,ECM Glycoproteins
5033416F05Rik,Core matrisome,ECM Glycoproteins
EQ-1,Core matrisome,ECM Glycoproteins
Eq1,Core matrisome,ECM Glycoproteins
MGI,Core matrisome,ECM Glycoproteins
1928392,Core matrisome,ECM Glycoproteins
Q9QZZ6,Core matrisome,ECM Glycoproteins
NP_062733.1,Core matrisome,ECM Glycoproteins
ENSMUSG00000026574,Core matrisome,ECM Glycoproteins
Dspp,Core matrisome,ECM Glycoproteins
Dmp2,Core matrisome,ECM Glycoproteins
Dmp3,Core matrisome,ECM Glycoproteins
Dpp,Core matrisome,ECM Glycoproteins
Dsp,Core matrisome,ECM Glycoproteins
MGC124498,Core matrisome,ECM Glycoproteins
MGI,Core matrisome,ECM Glycoproteins
109172,Core matrisome,ECM Glycoproteins
A1L2Z1,Core matrisome,ECM Glycoproteins
E9Q9Z9,Core matrisome,ECM Glycoproteins
P97399,Core matrisome,ECM Glycoproteins
Q1JQ89,Core matrisome,ECM Glycoproteins
NP_034210.2,Core matrisome,ECM Glycoproteins
ENSMUSG00000053268,Core matrisome,ECM Glycoproteins
Ecm1,Core matrisome,ECM Glycoproteins
AI663821,Core matrisome,ECM Glycoproteins
p85,Core matrisome,ECM Glycoproteins
MGI,Core matrisome,ECM Glycoproteins
103060,Core matrisome,ECM Glycoproteins
B7ZNR0,Core matrisome,ECM Glycoproteins
D3YV22,Core matrisome,ECM Glycoproteins
D3YV64,Core matrisome,ECM Glycoproteins
D3YZV0,Core matrisome,ECM Glycoproteins
D3Z038,Core matrisome,ECM Glycoproteins
D3Z0U9,Core matrisome,ECM Glycoproteins
D3Z772,Core matrisome,ECM Glycoproteins
F8WI14,Core matrisome,ECM Glycoproteins
Q3TDX7,Core matrisome,ECM Glycoproteins
Q3TXB7,Core matrisome,ECM Glycoproteins
Q61508,Core matrisome,ECM Glycoproteins
NP_001239582.1,Core matrisome,ECM Glycoproteins
NP_031925.2,Core matrisome,ECM Glycoproteins
ENSMUSG00000028108,Core matrisome,ECM Glycoproteins
Ecm2,Core matrisome,ECM Glycoproteins
9030618O22Rik,Core matrisome,ECM Glycoproteins
BC065151,Core matrisome,ECM Glycoproteins
MGC107322,Core matrisome,ECM Glycoproteins
tenonectin,Core matrisome,ECM Glycoproteins
MGI,Core matrisome,ECM Glycoproteins
3039578,Core matrisome,ECM Glycoproteins
Q5FW85,Core matrisome,ECM Glycoproteins
Q9D314,Core matrisome,ECM Glycoproteins
NP_001012324.1,Core matrisome,ECM Glycoproteins
ENSMUSG00000043631,Core matrisome,ECM Glycoproteins
Edil3,Core matrisome,ECM Glycoproteins
Del-1,Core matrisome,ECM Glycoproteins
Del1,Core matrisome,ECM Glycoproteins
MGI,Core matrisome,ECM Glycoproteins
1329025,Core matrisome,ECM Glycoproteins
O35474,Core matrisome,ECM Glycoproteins
Q8C4U8,Core matrisome,ECM Glycoproteins
Q8C8K0,Core matrisome,ECM Glycoproteins
NP_001033076.1,Core matrisome,ECM Glycoproteins
NP_034233.1,Core matrisome,ECM Glycoproteins
ENSMUSG00000034488,Core matrisome,ECM Glycoproteins
Efemp1,Core matrisome,ECM Glycoproteins
MGC37612,Core matrisome,ECM Glycoproteins
MGI,Core matrisome,ECM Glycoproteins
1339998,Core matrisome,ECM Glycoproteins
F6ZFS0,Core matrisome,ECM Glycoproteins
Q3TRR8,Core matrisome,ECM Glycoproteins
Q8BPB5,Core matrisome,ECM Glycoproteins
Q8K0J4,Core matrisome,ECM Glycoproteins
Q8R1U8,Core matrisome,ECM Glycoproteins
NP_666127.2,Core matrisome,ECM Glycoproteins
XP_006514723.1,Core matrisome,ECM Glycoproteins
ENSMUSG00000020467,Core matrisome,ECM Glycoproteins
Efemp2,Core matrisome,ECM Glycoproteins
0610011K11Rik,Core matrisome,ECM Glycoproteins
MBP1,Core matrisome,ECM Glycoproteins
MGI,Core matrisome,ECM Glycoproteins
1891209,Core matrisome,ECM Glycoproteins
E9PYW6,Core matrisome,ECM Glycoproteins
E9Q1U0,Core matrisome,ECM Glycoproteins
E9Q2A0,Core matrisome,ECM Glycoproteins
E9Q2T8,Core matrisome,ECM Glycoproteins
E9Q3F3,Core matrisome,ECM Glycoproteins
E9Q3N9,Core matrisome,ECM Glycoproteins
E9Q8E0,Core matrisome,ECM Glycoproteins
F6R0V7,Core matrisome,ECM Glycoproteins
F6Z1C2,Core matrisome,ECM Glycoproteins
F7AYH6,Core matrisome,ECM Glycoproteins
G5E8D6,Core matrisome,ECM Glycoproteins
Q542X5,Core matrisome,ECM Glycoproteins
Q9JM06,Core matrisome,ECM Glycoproteins
Q9WVJ9,Core matrisome,ECM Glycoproteins
NP_001157824.1,Core matrisome,ECM Glycoproteins
NP_067449.3,Core matrisome,ECM Glycoproteins
XP_006531871.1,Core matrisome,ECM Glycoproteins
ENSMUSG00000024909,Core matrisome,ECM Glycoproteins
Egfem1,Core matrisome,ECM Glycoproteins
6130401L20Rik,Core matrisome,ECM Glycoproteins
MGI,Core matrisome,ECM Glycoproteins
1922990,Core matrisome,ECM Glycoproteins
B7ZCE7,Core matrisome,ECM Glycoproteins
B7ZCE9,Core matrisome,ECM Glycoproteins
D3YVN3,Core matrisome,ECM Glycoproteins
D3YYS1,Core matrisome,ECM Glycoproteins
F6ZMV2,Core matrisome,ECM Glycoproteins
Q8C088,Core matrisome,ECM Glycoproteins
Q9CXD8,Core matrisome,ECM Glycoproteins
NP_083688.1,Core matrisome,ECM Glycoproteins
NP_001161220.1,Core matrisome,ECM Glycoproteins
ENSMUSG00000063600,Core matrisome,ECM Glycoproteins
Egflam,Core matrisome,ECM Glycoproteins
5930412K08,Core matrisome,ECM Glycoproteins
AU040377,Core matrisome,ECM Glycoproteins
MGI,Core matrisome,ECM Glycoproteins
2146149,Core matrisome,ECM Glycoproteins
E0CXM4,Core matrisome,ECM Glycoproteins
Q4VBE4,Core matrisome,ECM Glycoproteins
NP_001276425.1,Core matrisome,ECM Glycoproteins
NP_848863.1,Core matrisome,ECM Glycoproteins
XP_006520053.1,Core matrisome,ECM Glycoproteins
ENSMUSG00000042961,Core matrisome,ECM Glycoproteins
Eln,Core matrisome,ECM Glycoproteins
AI385707,Core matrisome,ECM Glycoproteins
AI480567,Core matrisome,ECM Glycoproteins
E030024M20Rik,Core matrisome,ECM Glycoproteins
MGI,Core matrisome,ECM Glycoproteins
95317,Core matrisome,ECM Glycoproteins
P54320,Core matrisome,ECM Glycoproteins
NP_031951.2,Core matrisome,ECM Glycoproteins
ENSMUSG00000029675,Core matrisome,ECM Glycoproteins
Emid1,Core matrisome,ECM Glycoproteins
AW122071,Core matrisome,ECM Glycoproteins
CO-5,Core matrisome,ECM Glycoproteins
Emu1,Core matrisome,ECM Glycoproteins
MGI,Core matrisome,ECM Glycoproteins
2155091,Core matrisome,ECM Glycoproteins
E0CY77,Core matrisome,ECM Glycoproteins
F6U7K9,Core matrisome,ECM Glycoproteins
F6YMU2,Core matrisome,ECM Glycoproteins
F7BCQ7,Core matrisome,ECM Glycoproteins
Q5SUT2,Core matrisome,ECM Glycoproteins
Q8VDH3,Core matrisome,ECM Glycoproteins
Q91VF5,Core matrisome,ECM Glycoproteins
NP_542162.1,Core matrisome,ECM Glycoproteins
ENSMUSG00000034164,Core matrisome,ECM Glycoproteins
Emilin1,Core matrisome,ECM Glycoproteins
5830419M17Rik,Core matrisome,ECM Glycoproteins
AW229038,Core matrisome,ECM Glycoproteins
BB105748,Core matrisome,ECM Glycoproteins
EMILIN-1,Core matrisome,ECM Glycoproteins
gp115,Core matrisome,ECM Glycoproteins
MGI,Core matrisome,ECM Glycoproteins
1926189,Core matrisome,ECM Glycoproteins
Q3U254,Core matrisome,ECM Glycoproteins
Q3USG5,Core matrisome,ECM Glycoproteins
Q3UUU0,Core matrisome,ECM Glycoproteins
Q99K41,Core matrisome,ECM Glycoproteins
NP_598679.1,Core matrisome,ECM Glycoproteins
ENSMUSG00000029163,Core matrisome,ECM Glycoproteins
Emilin2,Core matrisome,ECM Glycoproteins
FOAP-10,Core matrisome,ECM Glycoproteins
MGI,Core matrisome,ECM Glycoproteins
2389136,Core matrisome,ECM Glycoproteins
D0ESZ4,Core matrisome,ECM Glycoproteins
Q3TBC8,Core matrisome,ECM Glycoproteins
Q3TBD3,Core matrisome,ECM Glycoproteins
Q3TCC1,Core matrisome,ECM Glycoproteins
Q3TDB5,Core matrisome,ECM Glycoproteins
Q3TDP9,Core matrisome,ECM Glycoproteins
Q3U1J9,Core matrisome,ECM Glycoproteins
Q8K482,Core matrisome,ECM Glycoproteins
XP_006524348.1,Core matrisome,ECM Glycoproteins
NP_660140.1,Core matrisome,ECM Glycoproteins
ENSMUSG00000024053,Core matrisome,ECM Glycoproteins
Emilin3,Core matrisome,ECM Glycoproteins
1110013O17Rik,Core matrisome,ECM Glycoproteins
EMILIN-T,Core matrisome,ECM Glycoproteins
Emilin5,Core matrisome,ECM Glycoproteins
MGI,Core matrisome,ECM Glycoproteins
2389142,Core matrisome,ECM Glycoproteins
A2A4B4,Core matrisome,ECM Glycoproteins
P59900,Core matrisome,ECM Glycoproteins
NP_001278074.1,Core matrisome,ECM Glycoproteins
NP_878260.1,Core matrisome,ECM Glycoproteins
ENSMUSG00000050700,Core matrisome,ECM Glycoproteins
Fbln1,Core matrisome,ECM Glycoproteins
MGI,Core matrisome,ECM Glycoproteins
95487,Core matrisome,ECM Glycoproteins
B2CQD6,Core matrisome,ECM Glycoproteins
Q08879,Core matrisome,ECM Glycoproteins
Q3TW70,Core matrisome,ECM Glycoproteins
Q3TWK8,Core matrisome,ECM Glycoproteins
NP_034310.2,Core matrisome,ECM Glycoproteins
XP_006520500.1,Core matrisome,ECM Glycoproteins
ENSMUSG00000006369,Core matrisome,ECM Glycoproteins
Fbln2,Core matrisome,ECM Glycoproteins
5730577E14Rik,Core matrisome,ECM Glycoproteins
MGI,Core matrisome,ECM Glycoproteins
95488,Core matrisome,ECM Glycoproteins
D3Z5B0,Core matrisome,ECM Glycoproteins
D3Z5S2,Core matrisome,ECM Glycoproteins
P37889,Core matrisome,ECM Glycoproteins
Q3TGL4,Core matrisome,ECM Glycoproteins
Q99K58,Core matrisome,ECM Glycoproteins
NP_032018.2,Core matrisome,ECM Glycoproteins
XP_006505593.1,Core matrisome,ECM Glycoproteins
NP_001074906.1,Core matrisome,ECM Glycoproteins
ENSMUSG00000064080,Core matrisome,ECM Glycoproteins
Fbln5,Core matrisome,ECM Glycoproteins
A55,Core matrisome,ECM Glycoproteins
DANCE,Core matrisome,ECM Glycoproteins
EVEC,Core matrisome,ECM Glycoproteins
MGI,Core matrisome,ECM Glycoproteins
1346091,Core matrisome,ECM Glycoproteins
Q9WVH9,Core matrisome,ECM Glycoproteins
NP_035942.1,Core matrisome,ECM Glycoproteins
ENSMUSG00000021186,Core matrisome,ECM Glycoproteins
Fbln7,Core matrisome,ECM Glycoproteins
1600015H20Rik,Core matrisome,ECM Glycoproteins
AI464334,Core matrisome,ECM Glycoproteins
TM14,Core matrisome,ECM Glycoproteins
MGI,Core matrisome,ECM Glycoproteins
