gene,category,family
CG14499,Homologs/Orthologs to Mammalian Matrisome-Associated Genes,ECM-affiliated
FBgn0034317,Homologs/Orthologs to Mammalian Matrisome-Associated Genes,ECM-affiliated
A0A0B4KEZ3,Homologs/Orthologs to Mammalian Matrisome-Associated Genes,ECM-affiliated
CG14500,Homologs/Orthologs to Mammalian Matrisome-Associated Genes,ECM-affiliated
FBgn0034318,Homologs/Orthologs to Mammalian Matrisome-Associated Genes,ECM-affiliated
A1ZB48;Q5BIF1,Homologs/Orthologs to Mammalian Matrisome-Associated Genes,ECM-affiliated
CG14866,Homologs/Orthologs to Mammalian Matrisome-Associated Genes,ECM-affiliated
FBgn0038315,Homologs/Orthologs to Mammalian Matrisome-Associated Genes,ECM-affiliated
B7Z0K3;Q9VF94,Homologs/Orthologs to Mammalian Matrisome-Associated Genes,ECM-affiliated
CG15358,Homologs/Orthologs to Mammalian Matrisome-Associated Genes,ECM-affiliated
FBgn0031373,Homologs/Orthologs to Mammalian Matrisome-Associated Genes,ECM-affiliated
Q9VQ53,Homologs/Orthologs to Mammalian Matrisome-Associated Genes,ECM-affiliated
CG15765,Homologs/Orthologs to Mammalian Matrisome-Associated Genes,ECM-affiliated
FBgn0029814,Homologs/Orthologs to Mammalian Matrisome-Associated Genes,ECM-affiliated
Q9W468,Homologs/Orthologs to Mammalian Matrisome-Associated Genes,ECM-affiliated
CG15818,Homologs/Orthologs to Mammalian Matrisome-Associated Genes,ECM-affiliated
FBgn0031910,Homologs/Orthologs to Mammalian Matrisome-Associated Genes,ECM-affiliated
Q9VM16,Homologs/Orthologs to Mammalian Matrisome-Associated Genes,ECM-affiliated
CG2839,Homologs/Orthologs to Mammalian Matrisome-Associated Genes,ECM-affiliated
FBgn0031273,Homologs/Orthologs to Mammalian Matrisome-Associated Genes,ECM-affiliated
Q9VPS3,Homologs/Orthologs to Mammalian Matrisome-Associated Genes,ECM-affiliated
CG34033,Homologs/Orthologs to Mammalian Matrisome-Associated Genes,ECM-affiliated
FBgn0054033,Homologs/Orthologs to Mammalian Matrisome-Associated Genes,ECM-affiliated
Q6IGS3,Homologs/Orthologs to Mammalian Matrisome-Associated Genes,ECM-affiliated
CG4115,Homologs/Orthologs to Mammalian Matrisome-Associated Genes,ECM-affiliated
FBgn0038017,Homologs/Orthologs to Mammalian Matrisome-Associated Genes,ECM-affiliated
Q9VGA3,Homologs/Orthologs to Mammalian Matrisome-Associated Genes,ECM-affiliated
CG43055,Homologs/Orthologs to Mammalian Matrisome-Associated Genes,ECM-affiliated
FBgn0262357,Homologs/Orthologs to Mammalian Matrisome-Associated Genes,ECM-affiliated
M9NE79,Homologs/Orthologs to Mammalian Matrisome-Associated Genes,ECM-affiliated
CG43797,Homologs/Orthologs to Mammalian Matrisome-Associated Genes,ECM-affiliated
FBgn0264341,Homologs/Orthologs to Mammalian Matrisome-Associated Genes,ECM-affiliated
M9PB26,Homologs/Orthologs to Mammalian Matrisome-Associated Genes,ECM-affiliated
CG6055,Homologs/Orthologs to Mammalian Matrisome-Associated Genes,ECM-affiliated
FBgn0031918,Homologs/Orthologs to Mammalian Matrisome-Associated Genes,ECM-affiliated
Q9VM07,Homologs/Orthologs to Mammalian Matrisome-Associated Genes,ECM-affiliated
CG7763,Homologs/Orthologs to Mammalian Matrisome-Associated Genes,ECM-affiliated
FBgn0040503,Homologs/Orthologs to Mammalian Matrisome-Associated Genes,ECM-affiliated
A1Z8L7,Homologs/Orthologs to Mammalian Matrisome-Associated Genes,ECM-affiliated
CG8343,Homologs/Orthologs to Mammalian Matrisome-Associated Genes,ECM-affiliated
FBgn0040502,Homologs/Orthologs to Mammalian Matrisome-Associated Genes,ECM-affiliated
Q2XYE0;Q6NMY2;Q95SN4,Homologs/Orthologs to Mammalian Matrisome-Associated Genes,ECM-affiliated
Clect27,Homologs/Orthologs to Mammalian Matrisome-Associated Genes,ECM-affiliated
FBgn0031629,Homologs/Orthologs to Mammalian Matrisome-Associated Genes,ECM-affiliated
Q8SZK9,Homologs/Orthologs to Mammalian Matrisome-Associated Genes,ECM-affiliated
lectin-21Ca,Homologs/Orthologs to Mammalian Matrisome-Associated Genes,ECM-affiliated
FBgn0040107,Homologs/Orthologs to Mammalian Matrisome-Associated Genes,ECM-affiliated
Q9VPS2,Homologs/Orthologs to Mammalian Matrisome-Associated Genes,ECM-affiliated
lectin-21Cb,Homologs/Orthologs to Mammalian Matrisome-Associated Genes,ECM-affiliated
FBgn0040106,Homologs/Orthologs to Mammalian Matrisome-Associated Genes,ECM-affiliated
Q9VPS1,Homologs/Orthologs to Mammalian Matrisome-Associated Genes,ECM-affiliated
lectin-22C,Homologs/Orthologs to Mammalian Matrisome-Associated Genes,ECM-affiliated
FBgn0259230,Homologs/Orthologs to Mammalian Matrisome-Associated Genes,ECM-affiliated
B7YZU7,Homologs/Orthologs to Mammalian Matrisome-Associated Genes,ECM-affiliated
lectin-24A,Homologs/Orthologs to Mammalian Matrisome-Associated Genes,ECM-affiliated
FBgn0040104,Homologs/Orthologs to Mammalian Matrisome-Associated Genes,ECM-affiliated
Q9VQU4,Homologs/Orthologs to Mammalian Matrisome-Associated Genes,ECM-affiliated
lectin-24Db,Homologs/Orthologs to Mammalian Matrisome-Associated Genes,ECM-affiliated
FBgn0040102,Homologs/Orthologs to Mammalian Matrisome-Associated Genes,ECM-affiliated
Q9VQX3,Homologs/Orthologs to Mammalian Matrisome-Associated Genes,ECM-affiliated
lectin-28C,Homologs/Orthologs to Mammalian Matrisome-Associated Genes,ECM-affiliated
FBgn0040099,Homologs/Orthologs to Mammalian Matrisome-Associated Genes,ECM-affiliated
Q9VLW1,Homologs/Orthologs to Mammalian Matrisome-Associated Genes,ECM-affiliated
lectin-29Ca,Homologs/Orthologs to Mammalian Matrisome-Associated Genes,ECM-affiliated
FBgn0040098,Homologs/Orthologs to Mammalian Matrisome-Associated Genes,ECM-affiliated
Q6GUW9;Q6GUX1;Q6GUX2;Q6GUX3;Q6GUX4;Q6GUX5;Q6GUX9;Q9VLM0,Homologs/Orthologs to Mammalian Matrisome-Associated Genes,ECM-affiliated
lectin-30A,Homologs/Orthologs to Mammalian Matrisome-Associated Genes,ECM-affiliated
FBgn0040097,Homologs/Orthologs to Mammalian Matrisome-Associated Genes,ECM-affiliated
Q6GV01;Q6GV06,Homologs/Orthologs to Mammalian Matrisome-Associated Genes,ECM-affiliated
lectin-33A,Homologs/Orthologs to Mammalian Matrisome-Associated Genes,ECM-affiliated
FBgn0040096,Homologs/Orthologs to Mammalian Matrisome-Associated Genes,ECM-affiliated
Q9VKL8,Homologs/Orthologs to Mammalian Matrisome-Associated Genes,ECM-affiliated
lectin-37Da,Homologs/Orthologs to Mammalian Matrisome-Associated Genes,ECM-affiliated
FBgn0053532,Homologs/Orthologs to Mammalian Matrisome-Associated Genes,ECM-affiliated
Q59DY6,Homologs/Orthologs to Mammalian Matrisome-Associated Genes,ECM-affiliated
lectin-37Db,Homologs/Orthologs to Mammalian Matrisome-Associated Genes,ECM-affiliated
FBgn0053533,Homologs/Orthologs to Mammalian Matrisome-Associated Genes,ECM-affiliated
Q59DY5,Homologs/Orthologs to Mammalian Matrisome-Associated Genes,ECM-affiliated
lectin-46Ca,Homologs/Orthologs to Mammalian Matrisome-Associated Genes,ECM-affiliated
FBgn0040093,Homologs/Orthologs to Mammalian Matrisome-Associated Genes,ECM-affiliated
A1Z7Z6;Q8MR48,Homologs/Orthologs to Mammalian Matrisome-Associated Genes,ECM-affiliated
lectin-46Cb,Homologs/Orthologs to Mammalian Matrisome-Associated Genes,ECM-affiliated
FBgn0040092,Homologs/Orthologs to Mammalian Matrisome-Associated Genes,ECM-affiliated
Q7JY62,Homologs/Orthologs to Mammalian Matrisome-Associated Genes,ECM-affiliated
Lectin-galC1,Homologs/Orthologs to Mammalian Matrisome-Associated Genes,ECM-affiliated
FBgn0016675,Homologs/Orthologs to Mammalian Matrisome-Associated Genes,ECM-affiliated
Q94881;Q9VIX1,Homologs/Orthologs to Mammalian Matrisome-Associated Genes,ECM-affiliated
nw,Homologs/Orthologs to Mammalian Matrisome-Associated Genes,ECM-affiliated
FBgn0283508,Homologs/Orthologs to Mammalian Matrisome-Associated Genes,ECM-affiliated
A0A0B4JCT4;A1ZAU2;A1ZAU3;C3KGN2;O16054;Q7K140,Homologs/Orthologs to Mammalian Matrisome-Associated Genes,ECM-affiliated
rgn,Homologs/Orthologs to Mammalian Matrisome-Associated Genes,ECM-affiliated
FBgn0261258,Homologs/Orthologs to Mammalian Matrisome-Associated Genes,ECM-affiliated
M9PFV8;Q9Y102,Homologs/Orthologs to Mammalian Matrisome-Associated Genes,ECM-affiliated
tfc,Homologs/Orthologs to Mammalian Matrisome-Associated Genes,ECM-affiliated
FBgn0035199,Homologs/Orthologs to Mammalian Matrisome-Associated Genes,ECM-affiliated
Q8IRH8;Q9W0I2,Homologs/Orthologs to Mammalian Matrisome-Associated Genes,ECM-affiliated
CG11374,Homologs/Orthologs to Mammalian Matrisome-Associated Genes,ECM-affiliated
FBgn0031214,Homologs/Orthologs to Mammalian Matrisome-Associated Genes,ECM-affiliated
Q9VPI7,Homologs/Orthologs to Mammalian Matrisome-Associated Genes,ECM-affiliated
CG13950,Homologs/Orthologs to Mammalian Matrisome-Associated Genes,ECM-affiliated
FBgn0031289,Homologs/Orthologs to Mammalian Matrisome-Associated Genes,ECM-affiliated
Q9VPU6,Homologs/Orthologs to Mammalian Matrisome-Associated Genes,ECM-affiliated
CG14879,Homologs/Orthologs to Mammalian Matrisome-Associated Genes,ECM-affiliated
FBgn0038419,Homologs/Orthologs to Mammalian Matrisome-Associated Genes,ECM-affiliated
Q8SXU5;Q9VEW5,Homologs/Orthologs to Mammalian Matrisome-Associated Genes,ECM-affiliated
CG5335,Homologs/Orthologs to Mammalian Matrisome-Associated Genes,ECM-affiliated
FBgn0034365,Homologs/Orthologs to Mammalian Matrisome-Associated Genes,ECM-affiliated
A1ZBB1;Q95SA3,Homologs/Orthologs to Mammalian Matrisome-Associated Genes,ECM-affiliated
galectin,Homologs/Orthologs to Mammalian Matrisome-Associated Genes,ECM-affiliated
FBgn0031213,Homologs/Orthologs to Mammalian Matrisome-Associated Genes,ECM-affiliated
C0PUZ0;E1JHP9;E1JHQ0;M9NCX9;Q9VPI6,Homologs/Orthologs to Mammalian Matrisome-Associated Genes,ECM-affiliated
Pex23,Homologs/Orthologs to Mammalian Matrisome-Associated Genes,ECM-affiliated
FBgn0052226,Homologs/Orthologs to Mammalian Matrisome-Associated Genes,ECM-affiliated
Q9VWB0,Homologs/Orthologs to Mammalian Matrisome-Associated Genes,ECM-affiliated
dally,Homologs/Orthologs to Mammalian Matrisome-Associated Genes,ECM-affiliated
FBgn0263930,Homologs/Orthologs to Mammalian Matrisome-Associated Genes,ECM-affiliated
Q24114;Q53XG2;Q966V5,Homologs/Orthologs to Mammalian Matrisome-Associated Genes,ECM-affiliated
dlp,Homologs/Orthologs to Mammalian Matrisome-Associated Genes,ECM-affiliated
FBgn0041604,Homologs/Orthologs to Mammalian Matrisome-Associated Genes,ECM-affiliated
Q7KUL1;Q9GPL5;Q9VUG1,Homologs/Orthologs to Mammalian Matrisome-Associated Genes,ECM-affiliated
Muc12Ea,Homologs/Orthologs to Mammalian Matrisome-Associated Genes,ECM-affiliated
FBgn0052602,Homologs/Orthologs to Mammalian Matrisome-Associated Genes,ECM-affiliated
Q8IR52,Homologs/Orthologs to Mammalian Matrisome-Associated Genes,ECM-affiliated
Muc14A,Homologs/Orthologs to Mammalian Matrisome-Associated Genes,ECM-affiliated
FBgn0052580,Homologs/Orthologs to Mammalian Matrisome-Associated Genes,ECM-affiliated
Q8IR22,Homologs/Orthologs to Mammalian Matrisome-Associated Genes,ECM-affiliated
Muc30E,Homologs/Orthologs to Mammalian Matrisome-Associated Genes,ECM-affiliated
FBgn0053300,Homologs/Orthologs to Mammalian Matrisome-Associated Genes,ECM-affiliated
Q7KTF6,Homologs/Orthologs to Mammalian Matrisome-Associated Genes,ECM-affiliated
Muc4B,Homologs/Orthologs to Mammalian Matrisome-Associated Genes,ECM-affiliated
FBgn0052774,Homologs/Orthologs to Mammalian Matrisome-Associated Genes,ECM-affiliated
Q9W4M2,Homologs/Orthologs to Mammalian Matrisome-Associated Genes,ECM-affiliated
Muc55B,Homologs/Orthologs to Mammalian Matrisome-Associated Genes,ECM-affiliated
FBgn0034294,Homologs/Orthologs to Mammalian Matrisome-Associated Genes,ECM-affiliated
A1ZB24;Q8SXS5,Homologs/Orthologs to Mammalian Matrisome-Associated Genes,ECM-affiliated
Muc68Ca,Homologs/Orthologs to Mammalian Matrisome-Associated Genes,ECM-affiliated
FBgn0036181,Homologs/Orthologs to Mammalian Matrisome-Associated Genes,ECM-affiliated
Q7KUH2;Q86NZ8,Homologs/Orthologs to Mammalian Matrisome-Associated Genes,ECM-affiliated
Muc91C,Homologs/Orthologs to Mammalian Matrisome-Associated Genes,ECM-affiliated
FBgn0038642,Homologs/Orthologs to Mammalian Matrisome-Associated Genes,ECM-affiliated
A0A0B4LID0;Q9VE45,Homologs/Orthologs to Mammalian Matrisome-Associated Genes,ECM-affiliated
Mur11Da,Homologs/Orthologs to Mammalian Matrisome-Associated Genes,ECM-affiliated
FBgn0052644,Homologs/Orthologs to Mammalian Matrisome-Associated Genes,ECM-affiliated
Q8IR74,Homologs/Orthologs to Mammalian Matrisome-Associated Genes,ECM-affiliated
Mur29B,Homologs/Orthologs to Mammalian Matrisome-Associated Genes,ECM-affiliated
FBgn0051901,Homologs/Orthologs to Mammalian Matrisome-Associated Genes,ECM-affiliated
Q8IPF8;Q8MS63,Homologs/Orthologs to Mammalian Matrisome-Associated Genes,ECM-affiliated
Mur82C,Homologs/Orthologs to Mammalian Matrisome-Associated Genes,ECM-affiliated
FBgn0037260,Homologs/Orthologs to Mammalian Matrisome-Associated Genes,ECM-affiliated
Q9VN36,Homologs/Orthologs to Mammalian Matrisome-Associated Genes,ECM-affiliated
PlexA,Homologs/Orthologs to Mammalian Matrisome-Associated Genes,ECM-affiliated
FBgn0025741,Homologs/Orthologs to Mammalian Matrisome-Associated Genes,ECM-affiliated
H9XVP3;O96681;Q0KIF1;Q7YU07;Q86M56;Q8STG6;Q8T3N4;Q9V491,Homologs/Orthologs to Mammalian Matrisome-Associated Genes,ECM-affiliated
PlexB,Homologs/Orthologs to Mammalian Matrisome-Associated Genes,ECM-affiliated
FBgn0025740,Homologs/Orthologs to Mammalian Matrisome-Associated Genes,ECM-affiliated
H9XVL5;Q9V4A7,Homologs/Orthologs to Mammalian Matrisome-Associated Genes,ECM-affiliated
Sema1a,Homologs/Orthologs to Mammalian Matrisome-Associated Genes,ECM-affiliated
FBgn0011259,Homologs/Orthologs to Mammalian Matrisome-Associated Genes,ECM-affiliated
M9MRI2;M9PB77;M9PCL7;M9PFA5;Q0E8S4;Q24322,Homologs/Orthologs to Mammalian Matrisome-Associated Genes,ECM-affiliated
Sema1b,Homologs/Orthologs to Mammalian Matrisome-Associated Genes,ECM-affiliated
FBgn0016059,Homologs/Orthologs to Mammalian Matrisome-Associated Genes,ECM-affiliated
O44253;Q7KK54,Homologs/Orthologs to Mammalian Matrisome-Associated Genes,ECM-affiliated
Sema2a,Homologs/Orthologs to Mammalian Matrisome-Associated Genes,ECM-affiliated
FBgn0011260,Homologs/Orthologs to Mammalian Matrisome-Associated Genes,ECM-affiliated
Q24323,Homologs/Orthologs to Mammalian Matrisome-Associated Genes,ECM-affiliated
Sema2b,Homologs/Orthologs to Mammalian Matrisome-Associated Genes,ECM-affiliated
FBgn0264273,Homologs/Orthologs to Mammalian Matrisome-Associated Genes,ECM-affiliated
A0A0B4KG38;A1ZAF5;Q29QV5,Homologs/Orthologs to Mammalian Matrisome-Associated Genes,ECM-affiliated
Sema5c,Homologs/Orthologs to Mammalian Matrisome-Associated Genes,ECM-affiliated
FBgn0284221,Homologs/Orthologs to Mammalian Matrisome-Associated Genes,ECM-affiliated
Q7YU67;Q9U631;Q9VTT0,Homologs/Orthologs to Mammalian Matrisome-Associated Genes,ECM-affiliated
Sdc,Homologs/Orthologs to Mammalian Matrisome-Associated Genes,ECM-affiliated
FBgn0010415,Homologs/Orthologs to Mammalian Matrisome-Associated Genes,ECM-affiliated
A0A0B4K862;A0A0B4LG79;B7YZM9;B7YZN0;E1JGQ9;P49415,Homologs/Orthologs to Mammalian Matrisome-Associated Genes,ECM-affiliated
Ten-a,Homologs/Orthologs to Mammalian Matrisome-Associated Genes,ECM-affiliated
FBgn0267001,Homologs/Orthologs to Mammalian Matrisome-Associated Genes,ECM-affiliated
B7Z145;E1JJM6;I6LEU4;I6LEU5;I6LEU6;I6LEU7;I6LEU8;M9NF26;M9PJK5;Q8MQJ6;Q9VYN8,Homologs/Orthologs to Mammalian Matrisome-Associated Genes,ECM-affiliated
Ten-m,Homologs/Orthologs to Mammalian Matrisome-Associated Genes,ECM-affiliated
FBgn0004449,Homologs/Orthologs to Mammalian Matrisome-Associated Genes,ECM-affiliated
M9PGF7;O61307;Q8T962,Homologs/Orthologs to Mammalian Matrisome-Associated Genes,ECM-affiliated
c12.2,Homologs/Orthologs to Mammalian Matrisome-Associated Genes,ECM-affiliated
FBgn0040234,Homologs/Orthologs to Mammalian Matrisome-Associated Genes,ECM-affiliated
M9PHH0;Q9NHX8;Q9W347,Homologs/Orthologs to Mammalian Matrisome-Associated Genes,ECM-affiliated
C901,Homologs/Orthologs to Mammalian Matrisome-Associated Genes,ECM-affiliated
FBgn0021742,Homologs/Orthologs to Mammalian Matrisome-Associated Genes,ECM-affiliated
O18375;Q9VZ44,Homologs/Orthologs to Mammalian Matrisome-Associated Genes,ECM-affiliated
Ccn,Homologs/Orthologs to Mammalian Matrisome-Associated Genes,ECM-affiliated
