gene	ordered_locus	uniprot_accession	protein_name	partition_bucket	partition_label	proposed_module	recommended_action	bucket_status	notes	review_status	curation_status	asta_research_status
PP_0352	PP_0352	Q88QY2	RNA polymerase sigma-70 factor, ECF subfamily	ecf_sigma_anti_sigma	ECF sigma/anti-sigma systems	ecf_sigma_anti_sigma_boundary	NEW_SUBMODULE	CURATED	ECF sigma factors and transmembrane anti-sigma/sensor proteins; not canonical His-Asp TCS.	PRESENT	CURATED	PRESENT
uhpA	PP_0410	Q88QS8	DNA-binding response regulator UhpA	dicarboxylate_tricarboxylate_transport_regulation	Dicarboxylate/tricarboxylate transport regulation	dicarboxylate_tricarboxylate_transport_regulation_boundary	NEW_SUBMODULE	CURATED	Dct/Tct/Uhp transport regulators and transporter context; keep transporters with their regulated import systems.	PRESENT	CURATED	PRESENT
pfeS-I	PP_0533	Q88QG1	histidine kinase (EC 2.7.13.3)	iron_uptake_regulation	Iron uptake regulation	iron_uptake_regulation_boundary	NEW_SUBMODULE	CURATED	Pfe/Fec/Fep iron-uptake regulatory and receptor context; separate from generic TCS.	PRESENT	CURATED	PRESENT
PP_0534	PP_0534	Q88QG0	Transcriptional regulator PfeR	iron_uptake_regulation	Iron uptake regulation	iron_uptake_regulation_boundary	NEW_SUBMODULE	CURATED	Pfe/Fec/Fep iron-uptake regulatory and receptor context; separate from generic TCS.	PRESENT	CURATED	PRESENT
PP_0574	PP_0574	Q88QC0	DNA-binding response regulator, LuxR family	orphan_generic_tcs	Orphan or generic two-component regulators	orphan_two_component_regulators_boundary	NEW_SUBMODULE	CURATED	Predicted response regulators, sensor kinases, and one FecR-like anti-sigma sensor without resolved input signals or target regulons.	PRESENT	CURATED	PRESENT
pilA	PP_0634	Q88Q62	Pilin	pili_surface_adhesion	Pili, adhesion, and surface structures	pili_surface_adhesion_boundary	NEW_SUBMODULE	CURATED	Pilin, fimbrial usher/chaperone, and Csu-like surface-adhesion context.	PRESENT	CURATED	PRESENT
PP_0667	PP_0667	Q88Q31	RNA polymerase sigma-70 factor, ECF subfamily	ecf_sigma_anti_sigma	ECF sigma/anti-sigma systems	ecf_sigma_anti_sigma_boundary	NEW_SUBMODULE	CURATED	ECF sigma factors and transmembrane anti-sigma/sensor proteins; not canonical His-Asp TCS.	PRESENT	CURATED	PRESENT
PP_0703	PP_0703	Q88PZ5	Transmembrane sensor	ecf_sigma_anti_sigma	ECF sigma/anti-sigma systems	ecf_sigma_anti_sigma_boundary	NEW_SUBMODULE	CURATED	ECF sigma factors and transmembrane anti-sigma/sensor proteins; not canonical His-Asp TCS.	PRESENT	CURATED	PRESENT
PP_0704	PP_0704	Q88PZ4	RNA polymerase sigma-70 factor, ECF subfamily	ecf_sigma_anti_sigma	ECF sigma/anti-sigma systems	ecf_sigma_anti_sigma_boundary	NEW_SUBMODULE	CURATED	ECF sigma factors and transmembrane anti-sigma/sensor proteins; not canonical His-Asp TCS.	PRESENT	CURATED	PRESENT
PP_0866	PP_0866	Q88PI4	Transmembrane sensor	ecf_sigma_anti_sigma	ECF sigma/anti-sigma systems	ecf_sigma_anti_sigma_boundary	NEW_SUBMODULE	CURATED	ECF sigma factors and transmembrane anti-sigma/sensor proteins; not canonical His-Asp TCS.	PRESENT	CURATED	PRESENT
PP_0887	PP_0887	Q88PG3	histidine kinase (EC 2.7.13.3)	orphan_generic_tcs	Orphan or generic two-component regulators	orphan_two_component_regulators_boundary	NEW_SUBMODULE	CURATED	Predicted response regulators, sensor kinases, and one FecR-like anti-sigma sensor without resolved input signals or target regulons.	PRESENT	CURATED	PRESENT
regA	PP_0888	Q88PG2	Photosynthetic apparatus regulatory protein RegA	orphan_generic_tcs	Orphan or generic two-component regulators	orphan_two_component_regulators_boundary	NEW_SUBMODULE	CURATED	Predicted response regulators, sensor kinases, and one FecR-like anti-sigma sensor without resolved input signals or target regulons.	PRESENT	CURATED	PRESENT
PP_1007	PP_1007	Q88P46	Transmembrane sensor	orphan_generic_tcs	Orphan or generic two-component regulators	orphan_two_component_regulators_boundary	NEW_SUBMODULE	CURATED	Predicted response regulators, sensor kinases, and one FecR-like anti-sigma sensor without resolved input signals or target regulons.	PRESENT	CURATED	PRESENT
dctD-II	PP_1066	Q88NY7	C4-dicarboxylate transport transcriptional regulatory protein	dicarboxylate_tricarboxylate_transport_regulation	Dicarboxylate/tricarboxylate transport regulation	dicarboxylate_tricarboxylate_transport_regulation_boundary	NEW_SUBMODULE	CURATED	Dct/Tct/Uhp transport regulators and transporter context; keep transporters with their regulated import systems.	PRESENT	CURATED	PRESENT
PP_1067	PP_1067	Q88NY6	C4-dicarboxylate transport sensor protein DctB (EC 2.7.13.3)	dicarboxylate_tricarboxylate_transport_regulation	Dicarboxylate/tricarboxylate transport regulation	dicarboxylate_tricarboxylate_transport_regulation_boundary	NEW_SUBMODULE	CURATED	Dct/Tct/Uhp transport regulators and transporter context; keep transporters with their regulated import systems.	PRESENT	CURATED	PRESENT
bvgA	PP_1090	Q88NW4	Virulence factors positive transcription regulator BvgA	orphan_generic_tcs	Orphan or generic two-component regulators	orphan_two_component_regulators_boundary	NEW_SUBMODULE	CURATED	Predicted response regulators, sensor kinases, and one FecR-like anti-sigma sensor without resolved input signals or target regulons.	PRESENT	CURATED	PRESENT
PP_1167	PP_1167	Q88NP0	TRAP transporter large permease protein	dicarboxylate_tricarboxylate_transport_regulation	Dicarboxylate/tricarboxylate transport regulation	dicarboxylate_tricarboxylate_transport_regulation_boundary	NEW_SUBMODULE	CURATED	Dct/Tct/Uhp transport regulators and transporter context; keep transporters with their regulated import systems.	PRESENT	CURATED	PRESENT
PP_1168	PP_1168	Q88NN9	TRAP transporter small permease protein	dicarboxylate_tricarboxylate_transport_regulation	Dicarboxylate/tricarboxylate transport regulation	dicarboxylate_tricarboxylate_transport_regulation_boundary	NEW_SUBMODULE	CURATED	Dct/Tct/Uhp transport regulators and transporter context; keep transporters with their regulated import systems.	PRESENT	CURATED	PRESENT
dctP	PP_1169	Q88NN8	TRAP dicarboxylate transporter, DctP subunit	dicarboxylate_tricarboxylate_transport_regulation	Dicarboxylate/tricarboxylate transport regulation	dicarboxylate_tricarboxylate_transport_regulation_boundary	NEW_SUBMODULE	CURATED	Dct/Tct/Uhp transport regulators and transporter context; keep transporters with their regulated import systems.	PRESENT	CURATED	PRESENT
PP_1181	PP_1181	Q88NM6	DNA-binding response regulator	orphan_generic_tcs	Orphan or generic two-component regulators	orphan_two_component_regulators_boundary	NEW_SUBMODULE	CURATED	Predicted response regulators, sensor kinases, and one FecR-like anti-sigma sensor without resolved input signals or target regulons.	PRESENT	CURATED	PRESENT
PP_1182	PP_1182	Q88NM5	histidine kinase (EC 2.7.13.3)	orphan_generic_tcs	Orphan or generic two-component regulators	orphan_two_component_regulators_boundary	NEW_SUBMODULE	CURATED	Predicted response regulators, sensor kinases, and one FecR-like anti-sigma sensor without resolved input signals or target regulons.	PRESENT	CURATED	PRESENT
dctA	PP_1188	Q88NL9	C4-dicarboxylate transport protein	dicarboxylate_tricarboxylate_transport_regulation	Dicarboxylate/tricarboxylate transport regulation	dicarboxylate_tricarboxylate_transport_regulation_boundary	NEW_SUBMODULE	CURATED	Dct/Tct/Uhp transport regulators and transporter context; keep transporters with their regulated import systems.	PRESENT	CURATED	PRESENT
dctD-III	PP_1401	Q88N15	C4-dicarboxylate transport transcriptional regulatory protein	dicarboxylate_tricarboxylate_transport_regulation	Dicarboxylate/tricarboxylate transport regulation	dicarboxylate_tricarboxylate_transport_regulation_boundary	NEW_SUBMODULE	CURATED	Dct/Tct/Uhp transport regulators and transporter context; keep transporters with their regulated import systems.	PRESENT	CURATED	PRESENT
dctB	PP_1402	Q88N14	histidine kinase (EC 2.7.13.3)	dicarboxylate_tricarboxylate_transport_regulation	Dicarboxylate/tricarboxylate transport regulation	dicarboxylate_tricarboxylate_transport_regulation_boundary	NEW_SUBMODULE	CURATED	Dct/Tct/Uhp transport regulators and transporter context; keep transporters with their regulated import systems.	PRESENT	CURATED	PRESENT
PP_1416	PP_1416	Q88N02	Tricarboxylate transport protein TctA	dicarboxylate_tricarboxylate_transport_regulation	Dicarboxylate/tricarboxylate transport regulation	dicarboxylate_tricarboxylate_transport_regulation_boundary	NEW_SUBMODULE	CURATED	Dct/Tct/Uhp transport regulators and transporter context; keep transporters with their regulated import systems.	PRESENT	CURATED	PRESENT
PP_1417	PP_1417	Q88N01	Tricarboxylate transport protein TctB	dicarboxylate_tricarboxylate_transport_regulation	Dicarboxylate/tricarboxylate transport regulation	dicarboxylate_tricarboxylate_transport_regulation_boundary	NEW_SUBMODULE	CURATED	Dct/Tct/Uhp transport regulators and transporter context; keep transporters with their regulated import systems.	PRESENT	CURATED	PRESENT
PP_1418	PP_1418	Q88N00	Tricarboxylate transport protein TctC	dicarboxylate_tricarboxylate_transport_regulation	Dicarboxylate/tricarboxylate transport regulation	dicarboxylate_tricarboxylate_transport_regulation_boundary	NEW_SUBMODULE	CURATED	Dct/Tct/Uhp transport regulators and transporter context; keep transporters with their regulated import systems.	PRESENT	CURATED	PRESENT
tctD	PP_1420	Q88MZ8	Transcriptional regulatory protein tctD	dicarboxylate_tricarboxylate_transport_regulation	Dicarboxylate/tricarboxylate transport regulation	dicarboxylate_tricarboxylate_transport_regulation_boundary	NEW_SUBMODULE	CURATED	Dct/Tct/Uhp transport regulators and transporter context; keep transporters with their regulated import systems.	PRESENT	CURATED	PRESENT
PP_1421	PP_1421	Q88MZ7	histidine kinase (EC 2.7.13.3)	dicarboxylate_tricarboxylate_transport_regulation	Dicarboxylate/tricarboxylate transport regulation	dicarboxylate_tricarboxylate_transport_regulation_boundary	NEW_SUBMODULE	CURATED	Dct/Tct/Uhp transport regulators and transporter context; keep transporters with their regulated import systems.	PRESENT	CURATED	PRESENT
PP_1437	PP_1437	Q88MY1	Sensor protein (EC 2.7.13.3)	heavy_metal_copper_zinc_response	Heavy-metal/copper/zinc response and efflux	metal_cation_response_efflux_boundary	NEW_SUBMODULE	CURATED	Czc/Cop/Cus regulatory and efflux context; likely needs a metal-response boundary module.	PRESENT	CURATED	PRESENT
czcR-III	PP_1438	Q88MY0	Response regulator	heavy_metal_copper_zinc_response	Heavy-metal/copper/zinc response and efflux	metal_cation_response_efflux_boundary	NEW_SUBMODULE	CURATED	Czc/Cop/Cus regulatory and efflux context; likely needs a metal-response boundary module.	PRESENT	CURATED	PRESENT
wspC	PP_1490	Q88MS8	Probable biofilm formation methyltransferase WspC (EC 2.1.1.-)	alginate_biofilm_regulation	Alginate, c-di-GMP, and biofilm regulation	alginate_biofilm_regulation_boundary	NEW_SUBMODULE	CURATED	Alg/Kin/Wsp/Cbr/Fle-like regulatory context for biofilm or surface behavior.	PRESENT	CURATED	PRESENT
glnD	PP_1589	Q88MI2	Bifunctional uridylyltransferase/uridylyl-removing enzyme (UTase/UR) (Bifunctional [protein-PII] modification enzyme) (Bifunctional nitrogen sensor protein) [Includes: [Protein-PII] uridylyltransferase (PII uridylyltransferase) (UTase) (EC 2.7.7.59); [Protein-PII]-UMP uridylyl-removing enzyme (UR) (EC 3.1.4.-)]	nitrogen_phosphate_potassium_homeostasis	Nitrogen, phosphate, and potassium homeostasis	inorganic_nutrient_homeostasis_regulation_boundary	NEW_SUBMODULE	CURATED	NtrBC/GlnD, PhoBR, and Kdp potassium-transport/regulation context.	PRESENT	CURATED	PRESENT
PP_1651	PP_1651	Q88MC2	Two-component response regulator	iron_uptake_regulation	Iron uptake regulation	iron_uptake_regulation_boundary	NEW_SUBMODULE	CURATED	Pfe/Fec/Fep iron-uptake regulatory and receptor context; separate from generic TCS.	PRESENT	CURATED	PRESENT
pfeS-II	PP_1652	Q88MC1	histidine kinase (EC 2.7.13.3)	iron_uptake_regulation	Iron uptake regulation	iron_uptake_regulation_boundary	NEW_SUBMODULE	CURATED	Pfe/Fec/Fep iron-uptake regulatory and receptor context; separate from generic TCS.	PRESENT	CURATED	PRESENT
fimD	PP_1889	Q88LP0	Type 1 pili subunit FimD	pili_surface_adhesion	Pili, adhesion, and surface structures	pili_surface_adhesion_boundary	NEW_SUBMODULE	CURATED	Pilin, fimbrial usher/chaperone, and Csu-like surface-adhesion context.	PRESENT	CURATED	PRESENT
PP_1890	PP_1890	Q88LN9	Type 1 pili chaperone protein FimC	pili_surface_adhesion	Pili, adhesion, and surface structures	pili_surface_adhesion_boundary	NEW_SUBMODULE	CURATED	Pilin, fimbrial usher/chaperone, and Csu-like surface-adhesion context.	PRESENT	CURATED	PRESENT
etp	PP_1903	Q88LM6	protein-tyrosine-phosphatase (EC 3.1.3.48)	protein_phosphatase_spillover	Protein-phosphatase spillover	protein_phosphorylation_boundary	SIDE_CONTEXT	CURATED	Etp is a tyrosine phosphatase side node, not a His-Asp two-component relay member.	PRESENT	CURATED	PRESENT
dctA-II	PP_2056	Q88L79	C4-dicarboxylate transport protein	dicarboxylate_tricarboxylate_transport_regulation	Dicarboxylate/tricarboxylate transport regulation	dicarboxylate_tricarboxylate_transport_regulation_boundary	NEW_SUBMODULE	CURATED	Dct/Tct/Uhp transport regulators and transporter context; keep transporters with their regulated import systems.	PRESENT	CURATED	PRESENT
PP_2100	PP_2100	Q88L35	histidine kinase (EC 2.7.13.3)	osmotic_envelope_efflux_regulation	Osmotic, envelope, and multidrug-efflux regulation	osmotic_envelope_efflux_regulation_boundary	NEW_SUBMODULE	CURATED	OmpR/EnvZ, Evg-like, and Mdt efflux context; likely an envelope-stress/efflux boundary.	PRESENT	CURATED	PRESENT
evgA	PP_2101	Q88L34	DNA-binding response regulator in two-component regulatory system with EvgS	osmotic_envelope_efflux_regulation	Osmotic, envelope, and multidrug-efflux regulation	osmotic_envelope_efflux_regulation_boundary	NEW_SUBMODULE	CURATED	OmpR/EnvZ, Evg-like, and Mdt efflux context; likely an envelope-stress/efflux boundary.	PRESENT	CURATED	PRESENT
PP_2157	PP_2157	Q88KY2	Sensor protein (EC 2.7.13.3)	heavy_metal_copper_zinc_response	Heavy-metal/copper/zinc response and efflux	metal_cation_response_efflux_boundary	NEW_SUBMODULE	CURATED	Czc/Cop/Cus regulatory and efflux context; likely needs a metal-response boundary module.	PRESENT	CURATED	PRESENT
copR-I	PP_2158	Q88KY1	Transcriptional activator protein	heavy_metal_copper_zinc_response	Heavy-metal/copper/zinc response and efflux	metal_cation_response_efflux_boundary	NEW_SUBMODULE	CURATED	Czc/Cop/Cus regulatory and efflux context; likely needs a metal-response boundary module.	PRESENT	CURATED	PRESENT
fepA	PP_2242	Q88KP8	Ferric enterobactin transport system outer membrane subunit	iron_uptake_regulation	Iron uptake regulation	iron_uptake_regulation_boundary	NEW_SUBMODULE	CURATED	Pfe/Fec/Fep iron-uptake regulatory and receptor context; separate from generic TCS.	PRESENT	CURATED	PRESENT
dctA-III	PP_2255	Q88KN5	C4-dicarboxylate transport protein	dicarboxylate_tricarboxylate_transport_regulation	Dicarboxylate/tricarboxylate transport regulation	dicarboxylate_tricarboxylate_transport_regulation_boundary	NEW_SUBMODULE	CURATED	Dct/Tct/Uhp transport regulators and transporter context; keep transporters with their regulated import systems.	PRESENT	CURATED	PRESENT
PP_2356	PP_2356	Q88KD4	histidine kinase (EC 2.7.13.3)	pili_surface_adhesion	Pili, adhesion, and surface structures	pili_surface_adhesion_boundary	NEW_SUBMODULE	CURATED	Pilin, fimbrial usher/chaperone, and Csu-like surface-adhesion context.	PRESENT	CURATED	PRESENT
PP_2357	PP_2357	Q88KD3	Type 1 pili protein CsuB	pili_surface_adhesion	Pili, adhesion, and surface structures	pili_surface_adhesion_boundary	NEW_SUBMODULE	CURATED	Pilin, fimbrial usher/chaperone, and Csu-like surface-adhesion context.	PRESENT	CURATED	PRESENT
PP_2358	PP_2358	Q88KD2	Type 1 pili subunit CsuA/B protein	pili_surface_adhesion	Pili, adhesion, and surface structures	pili_surface_adhesion_boundary	NEW_SUBMODULE	CURATED	Pilin, fimbrial usher/chaperone, and Csu-like surface-adhesion context.	PRESENT	CURATED	PRESENT
PP_2359	PP_2359	Q88KD1	Type 1 pili subunit CsuA/B protein	pili_surface_adhesion	Pili, adhesion, and surface structures	pili_surface_adhesion_boundary	NEW_SUBMODULE	CURATED	Pilin, fimbrial usher/chaperone, and Csu-like surface-adhesion context.	PRESENT	CURATED	PRESENT
PP_2360	PP_2360	Q88KD0	Type 1 pili subunit CsuA/B protein	pili_surface_adhesion	Pili, adhesion, and surface structures	pili_surface_adhesion_boundary	NEW_SUBMODULE	CURATED	Pilin, fimbrial usher/chaperone, and Csu-like surface-adhesion context.	PRESENT	CURATED	PRESENT
PP_2361	PP_2361	Q88KC9	Chaperone protein	pili_surface_adhesion	Pili, adhesion, and surface structures	pili_surface_adhesion_boundary	NEW_SUBMODULE	CURATED	Pilin, fimbrial usher/chaperone, and Csu-like surface-adhesion context.	PRESENT	CURATED	PRESENT
PP_2362	PP_2362	Q88KC8	Usher protein	pili_surface_adhesion	Pili, adhesion, and surface structures	pili_surface_adhesion_boundary	NEW_SUBMODULE	CURATED	Pilin, fimbrial usher/chaperone, and Csu-like surface-adhesion context.	PRESENT	CURATED	PRESENT
PP_2363	PP_2363	Q88KC7	Spore coat protein U/FanG domain-containing protein	pili_surface_adhesion	Pili, adhesion, and surface structures	pili_surface_adhesion_boundary	NEW_SUBMODULE	CURATED	Pilin, fimbrial usher/chaperone, and Csu-like surface-adhesion context.	PRESENT	CURATED	PRESENT
PP_2671	PP_2671	Q88JH8	histidine kinase (EC 2.7.13.3)	orphan_generic_tcs	Orphan or generic two-component regulators	orphan_two_component_regulators_boundary	NEW_SUBMODULE	CURATED	Predicted response regulators, sensor kinases, and one FecR-like anti-sigma sensor without resolved input signals or target regulons.	PRESENT	CURATED	PRESENT
PP_3085	PP_3085	Q88IB4	Transmembrane sensor	ecf_sigma_anti_sigma	ECF sigma/anti-sigma systems	ecf_sigma_anti_sigma_boundary	NEW_SUBMODULE	CURATED	ECF sigma factors and transmembrane anti-sigma/sensor proteins; not canonical His-Asp TCS.	PRESENT	CURATED	PRESENT
PP_3086	PP_3086	Q88IB3	RNA polymerase sigma-70 factor	ecf_sigma_anti_sigma	ECF sigma/anti-sigma systems	ecf_sigma_anti_sigma_boundary	NEW_SUBMODULE	CURATED	ECF sigma factors and transmembrane anti-sigma/sensor proteins; not canonical His-Asp TCS.	PRESENT	CURATED	PRESENT
PP_3124	PP_3124	Q88I77	Short chain fatty acid transporter	dicarboxylate_tricarboxylate_transport_regulation	Dicarboxylate/tricarboxylate transport regulation	dicarboxylate_tricarboxylate_transport_regulation_boundary	NEW_SUBMODULE	CURATED	Dct/Tct/Uhp transport regulators and transporter context; keep transporters with their regulated import systems.	PRESENT	CURATED	PRESENT
PP_3126	PP_3126	Q88I75	Polysaccharide exported protein	pili_surface_adhesion	Pili, adhesion, and surface structures	pili_surface_adhesion_boundary	NEW_SUBMODULE	CURATED	Pilin, fimbrial usher/chaperone, and Csu-like surface-adhesion context.	PRESENT	CURATED	PRESENT
PP_3412	PP_3412	Q88HE8	DNA-binding response regulator, LuxR family	orphan_generic_tcs	Orphan or generic two-component regulators	orphan_two_component_regulators_boundary	NEW_SUBMODULE	CURATED	Predicted response regulators, sensor kinases, and one FecR-like anti-sigma sensor without resolved input signals or target regulons.	PRESENT	CURATED	PRESENT
PP_3413	PP_3413	Q88HE7	histidine kinase (EC 2.7.13.3)	orphan_generic_tcs	Orphan or generic two-component regulators	orphan_two_component_regulators_boundary	NEW_SUBMODULE	CURATED	Predicted response regulators, sensor kinases, and one FecR-like anti-sigma sensor without resolved input signals or target regulons.	PRESENT	CURATED	PRESENT
PP_3576	PP_3576	Q88GY9	Transmembrane sensor	iron_uptake_regulation	Iron uptake regulation	iron_uptake_regulation_boundary	NEW_SUBMODULE	CURATED	Pfe/Fec/Fep iron-uptake regulatory and receptor context; separate from generic TCS.	PRESENT	CURATED	PRESENT
fecI	PP_3577	Q88GY8	RNA polymerase, sigma 19 factor	iron_uptake_regulation	Iron uptake regulation	iron_uptake_regulation_boundary	NEW_SUBMODULE	CURATED	Pfe/Fec/Fep iron-uptake regulatory and receptor context; separate from generic TCS.	PRESENT	CURATED	PRESENT
mdtC	PP_3583	Q88GY2	Multidrug efflux transport system-membrane subunit	osmotic_envelope_efflux_regulation	Osmotic, envelope, and multidrug-efflux regulation	osmotic_envelope_efflux_regulation_boundary	NEW_SUBMODULE	CURATED	OmpR/EnvZ, Evg-like, and Mdt efflux context; likely an envelope-stress/efflux boundary.	PRESENT	CURATED	PRESENT
mdtB	PP_3584	A0A140FWF8	Multidrug efflux transport system-membrane subunit	osmotic_envelope_efflux_regulation	Osmotic, envelope, and multidrug-efflux regulation	osmotic_envelope_efflux_regulation_boundary	NEW_SUBMODULE	CURATED	OmpR/EnvZ, Evg-like, and Mdt efflux context; likely an envelope-stress/efflux boundary.	PRESENT	CURATED	PRESENT
mdtA	PP_3585	Q88GY1	Multidrug efflux transport system-putative membrane fusion protein	osmotic_envelope_efflux_regulation	Osmotic, envelope, and multidrug-efflux regulation	osmotic_envelope_efflux_regulation_boundary	NEW_SUBMODULE	CURATED	OmpR/EnvZ, Evg-like, and Mdt efflux context; likely an envelope-stress/efflux boundary.	PRESENT	CURATED	PRESENT
kdpD	PP_4158	Q88FD9	histidine kinase (EC 2.7.13.3)	nitrogen_phosphate_potassium_homeostasis	Nitrogen, phosphate, and potassium homeostasis	inorganic_nutrient_homeostasis_regulation_boundary	NEW_SUBMODULE	CURATED	NtrBC/GlnD, PhoBR, and Kdp potassium-transport/regulation context.	PRESENT	CURATED	PRESENT
kdpC	PP_4159	Q88FD8	Potassium-transporting ATPase KdpC subunit (ATP phosphohydrolase [potassium-transporting] C chain) (Potassium-binding and translocating subunit C) (Potassium-translocating ATPase C chain)	nitrogen_phosphate_potassium_homeostasis	Nitrogen, phosphate, and potassium homeostasis	inorganic_nutrient_homeostasis_regulation_boundary	NEW_SUBMODULE	CURATED	NtrBC/GlnD, PhoBR, and Kdp potassium-transport/regulation context.	PRESENT	CURATED	PRESENT
kdpB	PP_4160	A0A140FWL1	Potassium-transporting ATPase ATP-binding subunit (EC 7.2.2.6) (ATP phosphohydrolase [potassium-transporting] B chain) (Potassium-binding and translocating subunit B) (Potassium-translocating ATPase B chain)	nitrogen_phosphate_potassium_homeostasis	Nitrogen, phosphate, and potassium homeostasis	inorganic_nutrient_homeostasis_regulation_boundary	NEW_SUBMODULE	CURATED	NtrBC/GlnD, PhoBR, and Kdp potassium-transport/regulation context.	PRESENT	CURATED	PRESENT
kdpA	PP_4161	Q88FD7	Potassium-transporting ATPase potassium-binding subunit (ATP phosphohydrolase [potassium-transporting] A chain) (Potassium-binding and translocating subunit A) (Potassium-translocating ATPase A chain)	nitrogen_phosphate_potassium_homeostasis	Nitrogen, phosphate, and potassium homeostasis	inorganic_nutrient_homeostasis_regulation_boundary	NEW_SUBMODULE	CURATED	NtrBC/GlnD, PhoBR, and Kdp potassium-transport/regulation context.	PRESENT	CURATED	PRESENT
