gene	ordered_locus	uniprot_accession	protein_name	partition_bucket	partition_label	proposed_module	recommended_action	bucket_status	notes	review_status	curation_status	asta_research_status
PP_2599	PP_2599	Q88JQ0	Chemotaxis sensory transducer family protein	sensory_c_di_gmp_pde_spillover	Sensory c-di-GMP phosphodiesterase spillover	c_di_gmp_turnover_boundary	EXISTING_OR_REUSE	CURATED	PP_2599 entered via a chemotaxis sensory-transducer product name, but GAF/HAMP/HD/PDEase/HD-GYP and cyclic-di-GMP phosphodiesterase-family evidence route it to the c-di-GMP turnover boundary.	PRESENT	CURATED	PRESENT
PP_3350	PP_3350	Q88HK6	Alginate export domain-containing protein	alginate_envelope_and_lyase_context	Alginate envelope/export and lyase context	alginate_biosynthesis_boundary	EXISTING_OR_REUSE	CURATED	Alginate-biosynthesis efficiency, export-domain, and alginate-lyase-domain side candidates curated into the existing alginate biosynthesis boundary as context rather than generic motility genes.	PRESENT	CURATED	PRESENT
PP_3464	PP_3464	Q88H96	Alginate export domain-containing protein	alginate_envelope_and_lyase_context	Alginate envelope/export and lyase context	alginate_biosynthesis_boundary	EXISTING_OR_REUSE	CURATED	Alginate-biosynthesis efficiency, export-domain, and alginate-lyase-domain side candidates curated into the existing alginate biosynthesis boundary as context rather than generic motility genes.	PRESENT	CURATED	PRESENT
PP_3480	PP_3480	Q88H81	Pilus assembly protein PilO	type_iv_pilus_biogenesis_boundary	Type IV pilus biogenesis and assembly	type_iv_pilus_biogenesis_boundary	NEW_SUBMODULE	CURATED	Type IV pilus assembly, alignment, outer-membrane secretin, and envelope platform candidates curated as a dedicated T4P biogenesis boundary rather than as generic motility.	PRESENT	CURATED	PRESENT
PP_3481	PP_3481	Q88H80	Pilus assembly protein	type_iv_pilus_biogenesis_boundary	Type IV pilus biogenesis and assembly	type_iv_pilus_biogenesis_boundary	NEW_SUBMODULE	CURATED	Type IV pilus assembly, alignment, outer-membrane secretin, and envelope platform candidates curated as a dedicated T4P biogenesis boundary rather than as generic motility.	PRESENT	CURATED	PRESENT
PP_3757	PP_3757	Q88GG7	Chemotaxis protein CheY	chey_like_membrane_accessory_spillovers	CheY-like and membrane accessory spillovers	chemotaxis_adaptation_accessory_boundary	EXISTING_OR_REUSE	CURATED	PP_3757 is a compact CheY-like receiver-domain candidate; PP_3771 and PP_4331 are low-confidence membrane accessory candidates retained without process-level chemotaxis assertions.	PRESENT	CURATED	PRESENT
PP_3771	PP_3771	Q88GF3	Chemotaxis protein	chey_like_membrane_accessory_spillovers	CheY-like and membrane accessory spillovers	chemotaxis_adaptation_accessory_boundary	EXISTING_OR_REUSE	CURATED	PP_3757 is a compact CheY-like receiver-domain candidate; PP_3771 and PP_4331 are low-confidence membrane accessory candidates retained without process-level chemotaxis assertions.	PRESENT	CURATED	PRESENT
PP_3774	PP_3774	Q88GF0	Alginate lyase 2 domain-containing protein	alginate_envelope_and_lyase_context	Alginate envelope/export and lyase context	alginate_biosynthesis_boundary	EXISTING_OR_REUSE	CURATED	Alginate-biosynthesis efficiency, export-domain, and alginate-lyase-domain side candidates curated into the existing alginate biosynthesis boundary as context rather than generic motility genes.	PRESENT	CURATED	PRESENT
PP_3950	PP_3950	Q88FX6	Methyl-accepting chemotaxis transducer	orphan_mcp_chemotaxis_receptor_candidates	Orphan MCP chemotaxis receptor candidates	orphan_mcp_aerotaxis_receptors_boundary	EXISTING_OR_REUSE	CURATED	Methyl-accepting chemotaxis transducer candidates with unresolved ligand specificity; curated into the orphan MCP/aerotaxis receptor boundary.	PRESENT	CURATED	PRESENT
PP_4328	PP_4328	Q88EX4	Flagellar hook-length control protein-like C-terminal domain-containing protein	flagellar_export_localization_accessory_spillovers	Flagellar export/localization/accessory spillovers	flagellar_export_assembly_boundary	EXISTING_OR_REUSE	CURATED	PP_4328, PP_4329, PP_4342, flhF, and PP_4377 are flagellar hook-control, short FlhB-family exporter, FlhG/FleN-family ATPase, FlhF GTPase, and FlaG accessory spillovers routed into the export/assembly boundary.	PRESENT	CURATED	PRESENT
PP_4329	PP_4329	Q88EX3	Flagellar biosynthetic protein FlhB	flagellar_export_localization_accessory_spillovers	Flagellar export/localization/accessory spillovers	flagellar_export_assembly_boundary	EXISTING_OR_REUSE	CURATED	PP_4328, PP_4329, PP_4342, flhF, and PP_4377 are flagellar hook-control, short FlhB-family exporter, FlhG/FleN-family ATPase, FlhF GTPase, and FlaG accessory spillovers routed into the export/assembly boundary.	PRESENT	CURATED	PRESENT
PP_4331	PP_4331	Q88EX1	Chemotaxis protein	chey_like_membrane_accessory_spillovers	CheY-like and membrane accessory spillovers	chemotaxis_adaptation_accessory_boundary	EXISTING_OR_REUSE	CURATED	PP_3757 is a compact CheY-like receiver-domain candidate; PP_3771 and PP_4331 are low-confidence membrane accessory candidates retained without process-level chemotaxis assertions.	PRESENT	CURATED	PRESENT
PP_4342	PP_4342	Q88EW0	Flagellar synthesis regulator, putative ATPase	flagellar_export_localization_accessory_spillovers	Flagellar export/localization/accessory spillovers	flagellar_export_assembly_boundary	EXISTING_OR_REUSE	CURATED	PP_4328, PP_4329, PP_4342, flhF, and PP_4377 are flagellar hook-control, short FlhB-family exporter, FlhG/FleN-family ATPase, FlhF GTPase, and FlaG accessory spillovers routed into the export/assembly boundary.	PRESENT	CURATED	PRESENT
flhF	PP_4343	Q88EV9	Flagellar biosynthesis protein FlhF	flagellar_export_localization_accessory_spillovers	Flagellar export/localization/accessory spillovers	flagellar_export_assembly_boundary	EXISTING_OR_REUSE	CURATED	PP_4328, PP_4329, PP_4342, flhF, and PP_4377 are flagellar hook-control, short FlhB-family exporter, FlhG/FleN-family ATPase, FlhF GTPase, and FlaG accessory spillovers routed into the export/assembly boundary.	PRESENT	CURATED	PRESENT
PP_4377	PP_4377	Q88ES6	Flagellin FlaG	flagellar_export_localization_accessory_spillovers	Flagellar export/localization/accessory spillovers	flagellar_export_assembly_boundary	EXISTING_OR_REUSE	CURATED	PP_4328, PP_4329, PP_4342, flhF, and PP_4377 are flagellar hook-control, short FlhB-family exporter, FlhG/FleN-family ATPase, FlhF GTPase, and FlaG accessory spillovers routed into the export/assembly boundary.	PRESENT	CURATED	PRESENT
ycgR	PP_4397	Q88EQ6	Flagellar brake protein YcgR (Cyclic di-GMP binding protein YcgR)	c_di_gmp_flagellar_brake_spillover	c-di-GMP flagellar brake spillover	flagellar_motor_switch_stator_boundary	EXISTING_OR_REUSE	CURATED	ycgR is a PilZ-domain c-di-GMP-binding flagellar brake routed to the motor/switch/stator boundary rather than c-di-GMP turnover.	PRESENT	CURATED	PRESENT
PP_4888	PP_4888	Q88DD9	Methyl-accepting chemotaxis transducer	orphan_mcp_chemotaxis_receptor_candidates	Orphan MCP chemotaxis receptor candidates	orphan_mcp_aerotaxis_receptors_boundary	EXISTING_OR_REUSE	CURATED	Methyl-accepting chemotaxis transducer candidates with unresolved ligand specificity; curated into the orphan MCP/aerotaxis receptor boundary.	PRESENT	CURATED	PRESENT
pilQ	PP_5080	Q88CV0	Type 4 pili biogenesis protein	type_iv_pilus_biogenesis_boundary	Type IV pilus biogenesis and assembly	type_iv_pilus_biogenesis_boundary	NEW_SUBMODULE	CURATED	Type IV pilus assembly, alignment, outer-membrane secretin, and envelope platform candidates curated as a dedicated T4P biogenesis boundary rather than as generic motility.	PRESENT	CURATED	PRESENT
PP_5081	PP_5081	Q88CU9	Type IV pili biogenesis protein	type_iv_pilus_biogenesis_boundary	Type IV pilus biogenesis and assembly	type_iv_pilus_biogenesis_boundary	NEW_SUBMODULE	CURATED	Type IV pilus assembly, alignment, outer-membrane secretin, and envelope platform candidates curated as a dedicated T4P biogenesis boundary rather than as generic motility.	PRESENT	CURATED	PRESENT
pilN	PP_5082	Q88CU8	Type IV pili biogenesis protein PilN	type_iv_pilus_biogenesis_boundary	Type IV pilus biogenesis and assembly	type_iv_pilus_biogenesis_boundary	NEW_SUBMODULE	CURATED	Type IV pilus assembly, alignment, outer-membrane secretin, and envelope platform candidates curated as a dedicated T4P biogenesis boundary rather than as generic motility.	PRESENT	CURATED	PRESENT
PP_5083	PP_5083	Q88CU7	Type IV pili biogenesis protein PilM	type_iv_pilus_biogenesis_boundary	Type IV pilus biogenesis and assembly	type_iv_pilus_biogenesis_boundary	NEW_SUBMODULE	CURATED	Type IV pilus assembly, alignment, outer-membrane secretin, and envelope platform candidates curated as a dedicated T4P biogenesis boundary rather than as generic motility.	PRESENT	CURATED	PRESENT
