scope_decision	gene	ordered_locus	uniprot_accession	kegg_ko	module_role	review_status	openscientist_status	review_file	research_file	rationale
COVERED_VARIANT	mobA	PP_3457	Q88HA3	K03752	MGD synthesis	CURATED	RUNNING	genes/PSEPK/mobA/mobA-ai-review.yaml	genes/PSEPK/mobA/mobA-deep-research-openscientist.md	Reviewed optional Mo-MPT guanylyltransferase branch
OUT_OF_SCOPE_RIBOFLAVIN	ribAB-II	PP_3813	Q88GB1	-	riboflavin biosynthesis	NOT_SELECTED	NOT_RUN	-	-	Riboflavin branch, not MoCo biosynthesis
COVERED_VARIANT	PP_4230	PP_4230	Q88F68	K07141	predicted MCD synthesis	CURATED	COMPLETE	genes/PSEPK/PP_4230/PP_4230-ai-review.yaml	genes/PSEPK/PP_4230/PP_4230-deep-research-openscientist.md	Predicted MocA supported by K07141, PANTHER, and locus context; client dedication remains inferential
OUT_OF_SCOPE_PTERIN_USE	phhA	PP_4490	Q88EH3	-	phenylalanine hydroxylation	NOT_SELECTED	NOT_RUN	-	-	Mature pterin-dependent enzyme, not MoCo biosynthesis
OUT_OF_SCOPE_PTERIN_USE	phhB	PP_4491	Q88EH2	-	pterin recycling	NOT_SELECTED	NOT_RUN	-	-	Pterin recycling, not MoCo biosynthesis
COVERED_CORE	moaA	PP_4597	Q88E69	K03639	GTP 3',8'-cyclization	CURATED	RUNNING	genes/PSEPK/moaA/moaA-ai-review.yaml	genes/PSEPK/moaA/moaA-deep-research-openscientist.md	Canonical reviewed MoaA
CANDIDATE_UNCERTAIN	moaB-II	PP_4600	Q88E67	K03638	possible MPT activation or accessory role	CURATED	RUNNING	genes/PSEPK/moaB-II/moaB-II-ai-review.yaml	genes/PSEPK/moaB-II/moaB-II-deep-research-openscientist.md	No direct evidence that this paralog is a catalytically active MogA equivalent
OUT_OF_SCOPE_FOLATE	folM	PP_4632	Q88E36	-	folate and monapterin reduction	NOT_SELECTED	NOT_RUN	-	-	Folate/monapterin branch, not MoCo biosynthesis
OUT_OF_SCOPE_FOLATE	folK	PP_4698	Q88DX0	-	folate biosynthesis	NOT_SELECTED	NOT_RUN	-	-	Folate branch, not MoCo biosynthesis
OUT_OF_SCOPE_FOLATE	folP	PP_4717	Q88DV2	-	folate biosynthesis	NOT_SELECTED	NOT_RUN	-	-	Folate branch, not MoCo biosynthesis
OUT_OF_SCOPE_FOLATE	folA	PP_5132	Q88CP8	-	folate reduction	NOT_SELECTED	NOT_RUN	-	-	Folate branch, not MoCo biosynthesis
