gene	ordered_locus	uniprot_accession	protein_name	partition_bucket	partition_label	proposed_module	recommended_action	notes	review_status	curation_status	asta_research_status
mcpG	PP_1371	Q88N45	Methyl-accepting chemotaxis protein McpG	known_named_mcp_receptor_panel	Known or named MCP receptor panel	chemotaxis_receptor_panel_boundary	NEW_SUBMODULE	Reviewed or named methyl-accepting chemotaxis receptors; ligand specificity should be checked gene-by-gene.	PRESENT	CURATED	PRESENT
PP_1819	PP_1819	Q88LV8	Methyl-accepting chemotaxis transducer	orphan_mcp_aerotaxis_receptors	Orphan MCP/aerotaxis receptors	orphan_mcp_aerotaxis_receptors_boundary	NEW_SUBMODULE	Predicted MCP, sensory-box, or aerotaxis receptors curated as a first-pass boundary module while ligand specificity remains unresolved.	PRESENT	CURATED	PRESENT
PP_1940	PP_1940	Q88LJ2	Methyl-accepting chemotaxis transducer	orphan_mcp_aerotaxis_receptors	Orphan MCP/aerotaxis receptors	orphan_mcp_aerotaxis_receptors_boundary	NEW_SUBMODULE	Predicted MCP, sensory-box, or aerotaxis receptors curated as a first-pass boundary module while ligand specificity remains unresolved.	PRESENT	CURATED	PRESENT
PP_2111	PP_2111	Q88L25	Aerotaxis receptor	orphan_mcp_aerotaxis_receptors	Orphan MCP/aerotaxis receptors	orphan_mcp_aerotaxis_receptors_boundary	NEW_SUBMODULE	Predicted MCP, sensory-box, or aerotaxis receptors curated as a first-pass boundary module while ligand specificity remains unresolved.	PRESENT	CURATED	PRESENT
ctpH	PP_2120	Q88L17	Methyl-accepting chemotaxis protein CtpH	orphan_mcp_aerotaxis_receptors	Orphan MCP/aerotaxis receptors	orphan_mcp_aerotaxis_receptors_boundary	NEW_SUBMODULE	Predicted MCP, sensory-box, or aerotaxis receptors curated as a first-pass boundary module while ligand specificity remains unresolved.	PRESENT	CURATED	PRESENT
PP_2128	PP_2128	Q88L09	CheV-like chemotaxis protein	chemotaxis_adaptation_accessory	Chemotaxis adaptation/accessory proteins	chemotaxis_adaptation_accessory_boundary	NEW_SUBMODULE	CheV-like proteins, methylesterase/methyltransferase entries, and accessory response-regulator-like chemotaxis proteins outside the core cluster.	PRESENT	CURATED	PRESENT
mcpA	PP_2249	Q88KP1	Methyl-accepting chemotaxis protein McpA	known_named_mcp_receptor_panel	Known or named MCP receptor panel	chemotaxis_receptor_panel_boundary	NEW_SUBMODULE	Reviewed or named methyl-accepting chemotaxis receptors; ligand specificity should be checked gene-by-gene.	PRESENT	CURATED	PRESENT
PP_2257	PP_2257	Q88KN3	Aerotaxis receptor	orphan_mcp_aerotaxis_receptors	Orphan MCP/aerotaxis receptors	orphan_mcp_aerotaxis_receptors_boundary	NEW_SUBMODULE	Predicted MCP, sensory-box, or aerotaxis receptors curated as a first-pass boundary module while ligand specificity remains unresolved.	PRESENT	CURATED	PRESENT
rbsB	PP_2454	Q88K38	Ribose ABC transporter, periplasmic ribose-binding subunit	periplasmic_binding_transport_spillovers	Periplasmic binding/transport spillovers	dipeptide_ribose_binding_transport_boundary	EXISTING_OR_REUSE	Dipeptide, ribose, and sugar-binding proteins that enter the chemotaxis map through ligand-binding/transport context.	PRESENT	CURATED	PRESENT
pcaY	PP_2643	Q88JK6	Methyl-accepting chemotaxis protein PcaY (PcaY_PP)	known_named_mcp_receptor_panel	Known or named MCP receptor panel	chemotaxis_receptor_panel_boundary	NEW_SUBMODULE	Reviewed or named methyl-accepting chemotaxis receptors; ligand specificity should be checked gene-by-gene.	PRESENT	CURATED	PRESENT
PP_2757	PP_2757	Q88J92	Sugar-binding protein	periplasmic_binding_transport_spillovers	Periplasmic binding/transport spillovers	dipeptide_ribose_binding_transport_boundary	EXISTING_OR_REUSE	Dipeptide, ribose, and sugar-binding proteins that enter the chemotaxis map through ligand-binding/transport context.	PRESENT	CURATED	PRESENT
PP_2758	PP_2758	Q88J91	Ribose ABC transporter, periplasmic ribose-binding protein	periplasmic_binding_transport_spillovers	Periplasmic binding/transport spillovers	dipeptide_ribose_binding_transport_boundary	EXISTING_OR_REUSE	Dipeptide, ribose, and sugar-binding proteins that enter the chemotaxis map through ligand-binding/transport context.	PRESENT	CURATED	PRESENT
PP_2823	PP_2823	Q88J26	Methyl-accepting chemotaxis transducer	orphan_mcp_aerotaxis_receptors	Orphan MCP/aerotaxis receptors	orphan_mcp_aerotaxis_receptors_boundary	NEW_SUBMODULE	Predicted MCP, sensory-box, or aerotaxis receptors curated as a first-pass boundary module while ligand specificity remains unresolved.	PRESENT	CURATED	PRESENT
mcpP	PP_2861	Q88IY8	Methyl-accepting chemotaxis protein McpP	known_named_mcp_receptor_panel	Known or named MCP receptor panel	chemotaxis_receptor_panel_boundary	NEW_SUBMODULE	Reviewed or named methyl-accepting chemotaxis receptors; ligand specificity should be checked gene-by-gene.	PRESENT	CURATED	PRESENT
PP_3414	PP_3414	Q88HE6	Methyl-accepting chemotaxis transducer/sensory box protein	orphan_mcp_aerotaxis_receptors	Orphan MCP/aerotaxis receptors	orphan_mcp_aerotaxis_receptors_boundary	NEW_SUBMODULE	Predicted MCP, sensory-box, or aerotaxis receptors curated as a first-pass boundary module while ligand specificity remains unresolved.	PRESENT	CURATED	PRESENT
PP_3557	PP_3557	Q88H08	Methyl-accepting chemotaxis transducer	orphan_mcp_aerotaxis_receptors	Orphan MCP/aerotaxis receptors	orphan_mcp_aerotaxis_receptors_boundary	NEW_SUBMODULE	Predicted MCP, sensory-box, or aerotaxis receptors curated as a first-pass boundary module while ligand specificity remains unresolved.	PRESENT	CURATED	PRESENT
PP_3759	PP_3759	Q88GG5	protein-glutamate methylesterase (EC 3.1.1.61)	chemotaxis_adaptation_accessory	Chemotaxis adaptation/accessory proteins	chemotaxis_adaptation_accessory_boundary	NEW_SUBMODULE	CheV-like proteins, methylesterase/methyltransferase entries, and accessory response-regulator-like chemotaxis proteins outside the core cluster.	PRESENT	CURATED	PRESENT
cheR3	PP_3760	Q88GG4	Putative methyltransferase Cher3 (EC 2.1.1.-)	chemotaxis_adaptation_accessory	Chemotaxis adaptation/accessory proteins	chemotaxis_adaptation_accessory_boundary	NEW_SUBMODULE	CheV-like proteins, methylesterase/methyltransferase entries, and accessory response-regulator-like chemotaxis proteins outside the core cluster.	PRESENT	CURATED	PRESENT
PP_4332	PP_4332	Q88EX0	Chemotaxis protein CheW	chemotaxis_core_che_cluster	Core Che signal-transduction cluster	bacterial_chemotaxis_core_boundary	NEW_SUBMODULE	CheW/CheA/CheY/CheZ/CheB core signal transduction and adaptation cluster.	PRESENT	CURATED	PRESENT
PP_4333	PP_4333	Q88EW9	CheW domain protein	chemotaxis_core_che_cluster	Core Che signal-transduction cluster	bacterial_chemotaxis_core_boundary	NEW_SUBMODULE	CheW/CheA/CheY/CheZ/CheB core signal transduction and adaptation cluster.	PRESENT	CURATED	PRESENT
cheB1	PP_4337	Q88EW5	Protein-glutamate methylesterase/protein-glutamine glutaminase of group 1 operon (EC 3.1.1.61) (EC 3.5.1.44)	chemotaxis_core_che_cluster	Core Che signal-transduction cluster	bacterial_chemotaxis_core_boundary	NEW_SUBMODULE	CheW/CheA/CheY/CheZ/CheB core signal transduction and adaptation cluster.	PRESENT	CURATED	PRESENT
cheA	PP_4338	Q88EW4	Chemotaxis protein CheA (EC 2.7.13.3)	chemotaxis_core_che_cluster	Core Che signal-transduction cluster	bacterial_chemotaxis_core_boundary	NEW_SUBMODULE	CheW/CheA/CheY/CheZ/CheB core signal transduction and adaptation cluster.	PRESENT	CURATED	PRESENT
cheZ	PP_4339	Q88EW3	Protein phosphatase CheZ (EC 3.1.3.-) (Chemotaxis protein CheZ)	chemotaxis_core_che_cluster	Core Che signal-transduction cluster	bacterial_chemotaxis_core_boundary	NEW_SUBMODULE	CheW/CheA/CheY/CheZ/CheB core signal transduction and adaptation cluster.	PRESENT	CURATED	PRESENT
cheY	PP_4340	Q88EW2	Response regulator for chemotactic signal transduction	chemotaxis_core_che_cluster	Core Che signal-transduction cluster	bacterial_chemotaxis_core_boundary	NEW_SUBMODULE	CheW/CheA/CheY/CheZ/CheB core signal transduction and adaptation cluster.	PRESENT	CURATED	PRESENT
cheR2	PP_4392	Q88ER1	Chemotaxis protein methyltransferase Cher2 (EC 2.1.1.80)	chemotaxis_adaptation_accessory	Chemotaxis adaptation/accessory proteins	chemotaxis_adaptation_accessory_boundary	NEW_SUBMODULE	CheV-like proteins, methylesterase/methyltransferase entries, and accessory response-regulator-like chemotaxis proteins outside the core cluster.	PRESENT	CURATED	PRESENT
PP_4393	PP_4393	Q88ER0	Chemotaxis protein	chemotaxis_adaptation_accessory	Chemotaxis adaptation/accessory proteins	chemotaxis_adaptation_accessory_boundary	NEW_SUBMODULE	CheV-like proteins, methylesterase/methyltransferase entries, and accessory response-regulator-like chemotaxis proteins outside the core cluster.	PRESENT	CURATED	PRESENT
PP_4521	PP_4521	Q88EE4	Aerotaxis receptor	orphan_mcp_aerotaxis_receptors	Orphan MCP/aerotaxis receptors	orphan_mcp_aerotaxis_receptors_boundary	NEW_SUBMODULE	Predicted MCP, sensory-box, or aerotaxis receptors curated as a first-pass boundary module while ligand specificity remains unresolved.	PRESENT	CURATED	PRESENT
mcpS	PP_4658	Q88E10	Methyl-accepting chemotaxis protein McpS	known_named_mcp_receptor_panel	Known or named MCP receptor panel	chemotaxis_receptor_panel_boundary	NEW_SUBMODULE	Reviewed or named methyl-accepting chemotaxis receptors; ligand specificity should be checked gene-by-gene.	PRESENT	CURATED	PRESENT
mcpQ	PP_5020	Q88D09	Methyl-accepting chemotaxis protein McpQ	known_named_mcp_receptor_panel	Known or named MCP receptor panel	chemotaxis_receptor_panel_boundary	NEW_SUBMODULE	Reviewed or named methyl-accepting chemotaxis receptors; ligand specificity should be checked gene-by-gene.	PRESENT	CURATED	PRESENT
PP_5021	PP_5021	Q88D08	Methyl-accepting chemotaxis transducer	orphan_mcp_aerotaxis_receptors	Orphan MCP/aerotaxis receptors	orphan_mcp_aerotaxis_receptors_boundary	NEW_SUBMODULE	Predicted MCP, sensory-box, or aerotaxis receptors curated as a first-pass boundary module while ligand specificity remains unresolved.	PRESENT	CURATED	PRESENT
dppA-IV	PP_5283	Q88C98	Periplasmic dipeptide transport protein	periplasmic_binding_transport_spillovers	Periplasmic binding/transport spillovers	dipeptide_ribose_binding_transport_boundary	EXISTING_OR_REUSE	Dipeptide, ribose, and sugar-binding proteins that enter the chemotaxis map through ligand-binding/transport context.	PRESENT	CURATED	PRESENT
