citation	species	family_stem	n_members	members
PMID:33234069	human	FBXL	12	FBXL12;FBXL13;FBXL14;FBXL16;FBXL17;FBXL18;FBXL20;FBXL22;FBXL3;FBXL6;FBXL7;FBXL8
Reactome:R-HSA-8952618	human	FBXL	12	FBXL12;FBXL13;FBXL14;FBXL15;FBXL16;FBXL18;FBXL20;FBXL22;FBXL3;FBXL5;FBXL7;FBXL8
Reactome:R-HSA-8952618	human	FBXO	12	FBXO10;FBXO15;FBXO17;FBXO2;FBXO21;FBXO22;FBXO27;FBXO30;FBXO40;FBXO41;FBXO6;FBXO7
Reactome:R-HSA-8952620	human	FBXL	12	FBXL12;FBXL13;FBXL14;FBXL15;FBXL16;FBXL18;FBXL20;FBXL22;FBXL3;FBXL5;FBXL7;FBXL8
Reactome:R-HSA-8952620	human	FBXO	12	FBXO10;FBXO15;FBXO17;FBXO2;FBXO21;FBXO22;FBXO27;FBXO30;FBXO40;FBXO41;FBXO6;FBXO7
Reactome:R-HSA-8956200	human	FBXL	12	FBXL12;FBXL13;FBXL14;FBXL15;FBXL16;FBXL18;FBXL20;FBXL22;FBXL3;FBXL5;FBXL7;FBXL8
Reactome:R-HSA-8956200	human	FBXO	12	FBXO10;FBXO15;FBXO17;FBXO2;FBXO21;FBXO22;FBXO27;FBXO30;FBXO40;FBXO41;FBXO6;FBXO7
Reactome:R-HSA-983140	human	FBXL	12	FBXL12;FBXL13;FBXL14;FBXL15;FBXL16;FBXL18;FBXL20;FBXL22;FBXL3;FBXL5;FBXL7;FBXL8
Reactome:R-HSA-983140	human	FBXO	12	FBXO10;FBXO15;FBXO17;FBXO2;FBXO21;FBXO22;FBXO27;FBXO30;FBXO40;FBXO41;FBXO6;FBXO7
Reactome:R-HSA-983147	human	FBXL	12	FBXL12;FBXL13;FBXL14;FBXL15;FBXL16;FBXL18;FBXL20;FBXL22;FBXL3;FBXL5;FBXL7;FBXL8
Reactome:R-HSA-983147	human	FBXO	12	FBXO10;FBXO15;FBXO17;FBXO2;FBXO21;FBXO22;FBXO27;FBXO30;FBXO40;FBXO41;FBXO6;FBXO7
Reactome:R-HSA-983156	human	FBXL	12	FBXL12;FBXL13;FBXL14;FBXL15;FBXL16;FBXL18;FBXL20;FBXL22;FBXL3;FBXL5;FBXL7;FBXL8
Reactome:R-HSA-983156	human	FBXO	12	FBXO10;FBXO15;FBXO17;FBXO2;FBXO21;FBXO22;FBXO27;FBXO30;FBXO40;FBXO41;FBXO6;FBXO7
Reactome:R-HSA-983157	human	FBXL	12	FBXL12;FBXL13;FBXL14;FBXL15;FBXL16;FBXL18;FBXL20;FBXL22;FBXL3;FBXL5;FBXL7;FBXL8
Reactome:R-HSA-983157	human	FBXO	12	FBXO10;FBXO15;FBXO17;FBXO2;FBXO21;FBXO22;FBXO27;FBXO30;FBXO40;FBXO41;FBXO6;FBXO7
GO_REF:0000002	human	CHMP	11	CHMP1A;CHMP1B;CHMP2A;CHMP2B;CHMP3;CHMP4A;CHMP4B;CHMP4C;CHMP5;CHMP6;CHMP7
GO_REF:0000002	human	PEX	11	PEX1;PEX10;PEX11A;PEX11B;PEX11G;PEX12;PEX13;PEX2;PEX26;PEX6;PEX7
GO_REF:0000002	human	ALG	11	ALG1;ALG10;ALG11;ALG12;ALG13;ALG14;ALG2;ALG3;ALG6;ALG8;ALG9
GO_REF:0000120	human	ALG	11	ALG1;ALG10;ALG11;ALG12;ALG13;ALG2;ALG3;ALG5;ALG6;ALG8;ALG9
GO_REF:0000117	human	CHMP	11	CHMP1A;CHMP1B;CHMP2A;CHMP2B;CHMP3;CHMP4A;CHMP4B;CHMP4C;CHMP5;CHMP6;CHMP7
GO_REF:0000044	human	CHMP	11	CHMP1A;CHMP1B;CHMP2A;CHMP2B;CHMP3;CHMP4A;CHMP4B;CHMP4C;CHMP5;CHMP6;CHMP7
GO_REF:0000033	human	CHMP	11	CHMP1A;CHMP1B;CHMP2A;CHMP2B;CHMP3;CHMP4A;CHMP4B;CHMP4C;CHMP5;CHMP6;CHMP7
GO_REF:0000033	human	NDUFA	11	NDUFA1;NDUFA10;NDUFA11;NDUFA12;NDUFA13;NDUFA2;NDUFA4;NDUFA5;NDUFA6;NDUFA8;NDUFA9
GO_REF:0000033	human	COX	11	COX10;COX11;COX14;COX15;COX16;COX18;COX20;COX5A;COX5B;COX7B;COX8A
GO_REF:0000033	human	ALG	11	ALG1;ALG10;ALG11;ALG12;ALG14;ALG2;ALG3;ALG5;ALG6;ALG8;ALG9
GO_REF:0000107	human	DNAJC	11	DNAJC1;DNAJC10;DNAJC14;DNAJC15;DNAJC19;DNAJC24;DNAJC27;DNAJC3;DNAJC30;DNAJC5;DNAJC6
PMID:34800366	human	COX	11	COX10;COX11;COX14;COX15;COX16;COX18;COX20;COX5A;COX5B;COX7B;COX8A
PMID:34800366	human	NDUFA	11	NDUFA1;NDUFA10;NDUFA11;NDUFA12;NDUFA13;NDUFA2;NDUFA4;NDUFA5;NDUFA6;NDUFA8;NDUFA9
PMID:16505166	human	CHMP	11	CHMP1A;CHMP1B;CHMP2A;CHMP2B;CHMP3;CHMP4A;CHMP4B;CHMP4C;CHMP5;CHMP6;CHMP7
PMID:16554368	human	CHMP	11	CHMP1A;CHMP1B;CHMP2A;CHMP2B;CHMP3;CHMP4A;CHMP4B;CHMP4C;CHMP5;CHMP6;CHMP7
PMID:17984323	human	CHMP	11	CHMP1A;CHMP1B;CHMP2A;CHMP2B;CHMP3;CHMP4A;CHMP4B;CHMP4C;CHMP5;CHMP6;CHMP7
PMID:19234443	human	CHMP	11	CHMP1A;CHMP1B;CHMP2A;CHMP2B;CHMP3;CHMP4A;CHMP4B;CHMP4C;CHMP5;CHMP6;CHMP7
PMID:20588296	human	CHMP	11	CHMP1A;CHMP1B;CHMP2A;CHMP2B;CHMP3;CHMP4A;CHMP4B;CHMP4C;CHMP5;CHMP6;CHMP7
PMID:20616062	human	CHMP	11	CHMP1A;CHMP1B;CHMP2A;CHMP2B;CHMP3;CHMP4A;CHMP4B;CHMP4C;CHMP5;CHMP6;CHMP7
PMID:24482116	human	CHMP	11	CHMP1A;CHMP1B;CHMP2A;CHMP2B;CHMP3;CHMP4A;CHMP4B;CHMP4C;CHMP5;CHMP6;CHMP7
PMID:24878737	human	CHMP	11	CHMP1A;CHMP1B;CHMP2A;CHMP2B;CHMP3;CHMP4A;CHMP4B;CHMP4C;CHMP5;CHMP6;CHMP7
PMID:26040712	human	CHMP	11	CHMP1A;CHMP1B;CHMP2A;CHMP2B;CHMP3;CHMP4A;CHMP4B;CHMP4C;CHMP5;CHMP6;CHMP7
PMID:26040713	human	CHMP	11	CHMP1A;CHMP1B;CHMP2A;CHMP2B;CHMP3;CHMP4A;CHMP4B;CHMP4C;CHMP5;CHMP6;CHMP7
GO_REF:0000002	human	COX	10	COX10;COX11;COX15;COX16;COX18;COX20;COX5A;COX5B;COX7B;COX8A
GO_REF:0000002	RAMVA	RVY_	10	RvY_00650;RvY_00651;RvY_01767;RvY_03754;RvY_03757;RvY_09480;RvY_10893;RvY_13070;RvY_15948;RvY_17310
PMID:32296183	human	FBXO	10	FBXO16;FBXO17;FBXO2;FBXO22;FBXO27;FBXO34;FBXO39;FBXO43;FBXO5;FBXO6
Reactome:R-HSA-6799179	human	NDUFA	10	NDUFA1;NDUFA10;NDUFA11;NDUFA12;NDUFA13;NDUFA2;NDUFA5;NDUFA6;NDUFA8;NDUFA9
Reactome:R-HSA-6799196	human	NDUFA	10	NDUFA1;NDUFA10;NDUFA11;NDUFA12;NDUFA13;NDUFA2;NDUFA5;NDUFA6;NDUFA8;NDUFA9
PMID:28844695	human	NDUFA	10	NDUFA1;NDUFA10;NDUFA11;NDUFA12;NDUFA13;NDUFA2;NDUFA5;NDUFA6;NDUFA8;NDUFA9
PMID:12611891	human	NDUFA	10	NDUFA1;NDUFA10;NDUFA11;NDUFA12;NDUFA13;NDUFA2;NDUFA5;NDUFA6;NDUFA8;NDUFA9
PMID:27626371	human	NDUFA	10	NDUFA1;NDUFA10;NDUFA11;NDUFA12;NDUFA13;NDUFA2;NDUFA5;NDUFA6;NDUFA8;NDUFA9
PMID:30030361	human	NDUFA	10	NDUFA1;NDUFA10;NDUFA11;NDUFA12;NDUFA13;NDUFA2;NDUFA5;NDUFA6;NDUFA8;NDUFA9
Reactome:R-HSA-163217	human	NDUFA	10	NDUFA1;NDUFA10;NDUFA11;NDUFA12;NDUFA13;NDUFA2;NDUFA5;NDUFA6;NDUFA8;NDUFA9
Reactome:R-HSA-9033499	human	PEX	10	PEX1;PEX10;PEX12;PEX13;PEX14;PEX2;PEX26;PEX5;PEX6;PEX7
Reactome:R-HSA-9033516	human	PEX	10	PEX1;PEX10;PEX12;PEX13;PEX14;PEX2;PEX26;PEX5;PEX6;PEX7
GO_REF:0000002	human	KCTD	9	KCTD10;KCTD11;KCTD12;KCTD14;KCTD16;KCTD18;KCTD4;KCTD7;KCTD8
GO_REF:0000002	POPTR	RPS	9	rps11;rps14;rps15;rps18;rps2;rps3;rps4;rps7;rps8
GO_REF:0000120	human	NDUFA	9	NDUFA1;NDUFA11;NDUFA12;NDUFA13;NDUFA2;NDUFA4;NDUFA5;NDUFA6;NDUFA8
GO_REF:0000120	POPTR	RPS	9	rps11;rps14;rps15;rps18;rps2;rps3;rps4;rps7;rps8
GO_REF:0000120	human	DNAJC	9	DNAJC10;DNAJC11;DNAJC15;DNAJC19;DNAJC24;DNAJC27;DNAJC3;DNAJC4;DNAJC6
GO_REF:0000120	RAMVA	RVY_	9	RvY_00650;RvY_00651;RvY_01767;RvY_03754;RvY_03757;RvY_09480;RvY_10893;RvY_13070;RvY_17310
GO_REF:0000117	human	LRP	9	LRP1;LRP10;LRP12;LRP1B;LRP2;LRP4;LRP5;LRP6;LRP8
GO_REF:0000024	human	DNAJC	9	DNAJC1;DNAJC10;DNAJC17;DNAJC19;DNAJC27;DNAJC3;DNAJC30;DNAJC5;DNAJC6
GO_REF:0000044	human	EMC	9	EMC1;EMC10;EMC2;EMC3;EMC4;EMC6;EMC7;EMC8;EMC9
GO_REF:0000033	human	LRP	9	LRP1;LRP10;LRP12;LRP1B;LRP2;LRP4;LRP5;LRP6;LRP8
GO_REF:0000033	human	HSPA	9	HSPA13;HSPA14;HSPA1A;HSPA1B;HSPA1L;HSPA2;HSPA6;HSPA8;HSPA9
GO_REF:0000033	human	EMC	9	EMC1;EMC10;EMC2;EMC3;EMC4;EMC6;EMC7;EMC8;EMC9
GO_REF:0000108	human	NDUFA	9	NDUFA1;NDUFA10;NDUFA12;NDUFA2;NDUFA4;NDUFA5;NDUFA6;NDUFA8;NDUFA9
PMID:37358501	RAMVA	RVY_	9	RvY_00650;RvY_00651;RvY_03754;RvY_03757;RvY_09480;RvY_10893;RvY_13070;RvY_15948;RvY_17310
PMID:33961781	human	FBXO	9	FBXO17;FBXO2;FBXO21;FBXO22;FBXO30;FBXO33;FBXO5;FBXO6;FBXO7
Reactome:R-HSA-9603775	human	PEX	9	PEX11B;PEX12;PEX13;PEX14;PEX16;PEX19;PEX2;PEX26;PEX3
Reactome:R-HSA-9603784	human	PEX	9	PEX11B;PEX12;PEX13;PEX14;PEX16;PEX19;PEX2;PEX26;PEX3
Reactome:R-HSA-6799197	human	NDUFA	9	NDUFA1;NDUFA10;NDUFA11;NDUFA13;NDUFA2;NDUFA5;NDUFA6;NDUFA8;NDUFA9
Reactome:R-HSA-6799202	human	NDUFA	9	NDUFA1;NDUFA10;NDUFA11;NDUFA13;NDUFA2;NDUFA5;NDUFA6;NDUFA8;NDUFA9
PMID:21525035	human	PEX	9	PEX1;PEX12;PEX13;PEX14;PEX16;PEX19;PEX2;PEX3;PEX5
PMID:22119785	human	EMC	9	EMC1;EMC10;EMC2;EMC3;EMC4;EMC6;EMC7;EMC8;EMC9
Reactome:R-HSA-3159232	human	CHMP	9	CHMP2A;CHMP2B;CHMP3;CHMP4A;CHMP4B;CHMP4C;CHMP5;CHMP6;CHMP7
Reactome:R-HSA-917693	human	CHMP	9	CHMP2A;CHMP2B;CHMP3;CHMP4A;CHMP4B;CHMP4C;CHMP5;CHMP6;CHMP7
PMID:32459176	human	EMC	9	EMC1;EMC10;EMC2;EMC3;EMC4;EMC6;EMC7;EMC8;EMC9
PMID:29242231	human	EMC	9	EMC1;EMC10;EMC2;EMC3;EMC4;EMC6;EMC7;EMC8;EMC9
PMID:29809151	human	EMC	9	EMC1;EMC10;EMC2;EMC3;EMC4;EMC6;EMC7;EMC8;EMC9
PMID:30415835	human	EMC	9	EMC1;EMC10;EMC2;EMC3;EMC4;EMC6;EMC7;EMC8;EMC9
PMID:32439656	human	EMC	9	EMC1;EMC10;EMC2;EMC3;EMC4;EMC6;EMC7;EMC8;EMC9
Reactome:R-HSA-6799178	human	NDUFA	9	NDUFA1;NDUFA10;NDUFA11;NDUFA13;NDUFA2;NDUFA5;NDUFA6;NDUFA8;NDUFA9
Reactome:R-HSA-6799191	human	NDUFA	9	NDUFA1;NDUFA10;NDUFA11;NDUFA13;NDUFA2;NDUFA5;NDUFA6;NDUFA8;NDUFA9
Reactome:R-HSA-9033533	human	PEX	9	PEX1;PEX10;PEX12;PEX13;PEX14;PEX2;PEX26;PEX5;PEX6
GO_REF:0000002	human	DNAJB	8	DNAJB1;DNAJB11;DNAJB13;DNAJB2;DNAJB4;DNAJB5;DNAJB6;DNAJB8
GO_REF:0000041	human	FBXO	8	FBXO10;FBXO25;FBXO30;FBXO33;FBXO43;FBXO5;FBXO6;FBXO7
GO_REF:0000117	human	KCTD	8	KCTD10;KCTD11;KCTD12;KCTD16;KCTD18;KCTD4;KCTD7;KCTD8
GO_REF:0000044	human	COX	8	COX11;COX14;COX15;COX16;COX18;COX5B;COX7B;COX8A
GO_REF:0000044	human	LRP	8	LRP1;LRP11;LRP12;LRP1B;LRP2;LRP5;LRP6;LRP8
GO_REF:0000044	human	FBXL	8	FBXL13;FBXL14;FBXL15;FBXL17;FBXL20;FBXL22;FBXL3;FBXL5
GO_REF:0000044	human	BBS	8	BBS1;BBS10;BBS12;BBS2;BBS4;BBS5;BBS7;BBS9
GO_REF:0000044	human	HSPA	8	HSPA12A;HSPA13;HSPA14;HSPA1A;HSPA1B;HSPA2;HSPA8;HSPA9
GO_REF:0000033	human	IL	8	IL10;IL13;IL15;IL21;IL22;IL23R;IL4;IL7R
GO_REF:0000033	human	NDUFAF	8	NDUFAF1;NDUFAF2;NDUFAF3;NDUFAF4;NDUFAF5;NDUFAF6;NDUFAF7;NDUFAF8
GO_REF:0000033	human	COQ	8	COQ2;COQ4;COQ5;COQ6;COQ7;COQ8A;COQ8B;COQ9
GO_REF:0000033	human	BBS	8	BBS1;BBS10;BBS12;BBS2;BBS4;BBS5;BBS7;BBS9
GO_REF:0000033	human	DNAJB	8	DNAJB1;DNAJB11;DNAJB13;DNAJB2;DNAJB4;DNAJB5;DNAJB6;DNAJB8
GO_REF:0000033	human	ATG	8	ATG12;ATG14;ATG2A;ATG2B;ATG4D;ATG5;ATG7;ATG9A
GO_REF:0000033	SCHPO	CDC	8	cdc12;cdc13;cdc15;cdc18;cdc2;cdc25;cdc42;cdc7
GO_REF:0000108	RAMVA	RVY_	8	RvY_00650;RvY_00651;RvY_01767;RvY_03754;RvY_03757;RvY_09480;RvY_10893;RvY_17310
GO_REF:0000107	human	LRP	8	LRP10;LRP11;LRP12;LRP2;LRP4;LRP5;LRP6;LRP8
GO_REF:0000107	human	FBXO	8	FBXO2;FBXO40;FBXO41;FBXO43;FBXO5;FBXO6;FBXO7;FBXO8
file:RAMVA/RvY_13070/RvY_13070-bioinformatics/RESULTS.md	RAMVA	RVY_	8	RvY_00650;RvY_00651;RvY_03754;RvY_03757;RvY_09480;RvY_10893;RvY_15948;RvY_17310
PMID:19056867	human	CHMP	8	CHMP1A;CHMP1B;CHMP2A;CHMP2B;CHMP3;CHMP4B;CHMP5;CHMP6
PMID:32296183	human	FBXL	8	FBXL12;FBXL14;FBXL20;FBXL22;FBXL3;FBXL5;FBXL7;FBXL8
PMID:34800366	human	COQ	8	COQ2;COQ4;COQ5;COQ6;COQ7;COQ8A;COQ8B;COQ9
PMID:34800366	human	NDUFAF	8	NDUFAF1;NDUFAF2;NDUFAF3;NDUFAF4;NDUFAF5;NDUFAF6;NDUFAF7;NDUFAF8
PMID:33961781	human	DNAJC	8	DNAJC1;DNAJC11;DNAJC12;DNAJC13;DNAJC14;DNAJC15;DNAJC5;DNAJC7
PMID:33961781	human	FBXL	8	FBXL12;FBXL14;FBXL17;FBXL20;FBXL22;FBXL5;FBXL6;FBXL8
PMID:33961781	human	BBS	8	BBS1;BBS10;BBS12;BBS2;BBS4;BBS5;BBS7;BBS9
PMID:40205054	human	FBXO	8	FBXO17;FBXO2;FBXO21;FBXO22;FBXO33;FBXO5;FBXO6;FBXO7
Reactome:R-HSA-9603804	human	PEX	8	PEX11B;PEX12;PEX13;PEX14;PEX16;PEX19;PEX2;PEX26
PMID:27705803	human	FBXO	8	FBXO17;FBXO2;FBXO21;FBXO22;FBXO33;FBXO5;FBXO6;FBXO7
PMID:22500027	human	BBS	8	BBS1;BBS10;BBS12;BBS2;BBS4;BBS5;BBS7;BBS9
PMID:20080638	human	BBS	8	BBS1;BBS10;BBS12;BBS2;BBS4;BBS5;BBS7;BBS9
Reactome:R-HSA-8955241	human	FBXW	8	FBXW10;FBXW12;FBXW2;FBXW4;FBXW5;FBXW7;FBXW8;FBXW9
Reactome:R-HSA-8955289	human	FBXW	8	FBXW10;FBXW12;FBXW2;FBXW4;FBXW5;FBXW7;FBXW8;FBXW9
PMID:14505570	human	CHMP	8	CHMP1A;CHMP1B;CHMP2A;CHMP3;CHMP4A;CHMP4B;CHMP4C;CHMP6
PMID:14519844	human	CHMP	8	CHMP1A;CHMP1B;CHMP2A;CHMP3;CHMP4A;CHMP4B;CHMP4C;CHMP6
PMID:16730941	human	CHMP	8	CHMP1A;CHMP1B;CHMP2A;CHMP2B;CHMP4A;CHMP4B;CHMP5;CHMP6
Reactome:R-HSA-917700	human	CHMP	8	CHMP2A;CHMP2B;CHMP3;CHMP4A;CHMP4B;CHMP4C;CHMP6;CHMP7
Reactome:R-HSA-9668389	human	CHMP	8	CHMP2A;CHMP2B;CHMP3;CHMP4A;CHMP4B;CHMP4C;CHMP6;CHMP7
Reactome:R-HSA-9668395	human	CHMP	8	CHMP2A;CHMP2B;CHMP3;CHMP4A;CHMP4B;CHMP4C;CHMP6;CHMP7
Reactome:R-HSA-9668398	human	CHMP	8	CHMP2A;CHMP2B;CHMP3;CHMP4A;CHMP4B;CHMP4C;CHMP6;CHMP7
Reactome:R-HSA-9668405	human	CHMP	8	CHMP2A;CHMP2B;CHMP3;CHMP4A;CHMP4B;CHMP4C;CHMP6;CHMP7
Reactome:R-HSA-9668415	human	CHMP	8	CHMP2A;CHMP2B;CHMP3;CHMP4A;CHMP4B;CHMP4C;CHMP6;CHMP7
Reactome:R-HSA-9668419	human	CHMP	8	CHMP2A;CHMP2B;CHMP3;CHMP4A;CHMP4B;CHMP4C;CHMP6;CHMP7
Reactome:R-HSA-8956040	human	FBXW	8	FBXW10;FBXW12;FBXW2;FBXW4;FBXW5;FBXW7;FBXW8;FBXW9
Reactome:R-HSA-8952618	human	FBXW	8	FBXW10;FBXW12;FBXW2;FBXW4;FBXW5;FBXW7;FBXW8;FBXW9
Reactome:R-HSA-8952620	human	FBXW	8	FBXW10;FBXW12;FBXW2;FBXW4;FBXW5;FBXW7;FBXW8;FBXW9
Reactome:R-HSA-8956200	human	FBXW	8	FBXW10;FBXW12;FBXW2;FBXW4;FBXW5;FBXW7;FBXW8;FBXW9
Reactome:R-HSA-983140	human	FBXW	8	FBXW10;FBXW12;FBXW2;FBXW4;FBXW5;FBXW7;FBXW8;FBXW9
Reactome:R-HSA-983147	human	FBXW	8	FBXW10;FBXW12;FBXW2;FBXW4;FBXW5;FBXW7;FBXW8;FBXW9
Reactome:R-HSA-983156	human	FBXW	8	FBXW10;FBXW12;FBXW2;FBXW4;FBXW5;FBXW7;FBXW8;FBXW9
Reactome:R-HSA-983157	human	FBXW	8	FBXW10;FBXW12;FBXW2;FBXW4;FBXW5;FBXW7;FBXW8;FBXW9
PMID:9878551	human	NDUFA	8	NDUFA1;NDUFA10;NDUFA2;NDUFA4;NDUFA5;NDUFA6;NDUFA8;NDUFA9
PMID:27066478	human	TRAPPC	8	TRAPPC1;TRAPPC11;TRAPPC12;TRAPPC13;TRAPPC3;TRAPPC4;TRAPPC5;TRAPPC8
Reactome:R-HSA-8877475	human	TRAPPC	8	TRAPPC1;TRAPPC11;TRAPPC12;TRAPPC13;TRAPPC3;TRAPPC4;TRAPPC5;TRAPPC8
GO_REF:0000002	yeast	CCT	7	CCT2;CCT3;CCT4;CCT5;CCT6;CCT7;CCT8
GO_REF:0000002	human	NDUFS	7	NDUFS1;NDUFS2;NDUFS3;NDUFS4;NDUFS6;NDUFS7;NDUFS8
GO_REF:0000002	human	HSPA	7	HSPA13;HSPA14;HSPA1L;HSPA2;HSPA6;HSPA8;HSPA9
GO_REF:0000002	human	ELOVL	7	ELOVL1;ELOVL2;ELOVL3;ELOVL4;ELOVL5;ELOVL6;ELOVL7
GO_REF:0000002	human	RAB	7	RAB15;RAB1B;RAB24;RAB7A;RAB7B;RAB9A;RAB9B
GO_REF:0000002	SCHPO	CDC	7	cdc12;cdc13;cdc18;cdc2;cdc25;cdc42;cdc7
GO_REF:0000120	human	IL	7	IL10;IL13;IL15;IL21;IL22;IL23R;IL4
GO_REF:0000120	human	LRP	7	LRP1;LRP10;LRP2;LRP4;LRP5;LRP6;LRP8
GO_REF:0000120	yeast	CCT	7	CCT2;CCT3;CCT4;CCT5;CCT6;CCT7;CCT8
GO_REF:0000120	human	HSPA	7	HSPA1A;HSPA1B;HSPA1L;HSPA2;HSPA6;HSPA8;HSPA9
GO_REF:0000120	human	ELOVL	7	ELOVL1;ELOVL2;ELOVL3;ELOVL4;ELOVL5;ELOVL6;ELOVL7
GO_REF:0000120	human	RAB	7	RAB15;RAB1B;RAB24;RAB7A;RAB7B;RAB9A;RAB9B
GO_REF:0000043	human	HSPA	7	HSPA1A;HSPA1B;HSPA1L;HSPA2;HSPA6;HSPA8;HSPA9
GO_REF:0000043	yeast	CCT	7	CCT2;CCT3;CCT4;CCT5;CCT6;CCT7;CCT8
GO_REF:0000117	human	ELOVL	7	ELOVL1;ELOVL2;ELOVL3;ELOVL4;ELOVL5;ELOVL6;ELOVL7
