species	gene	citation	correctness	source	relevance	cited_title	review_notes
human	A3GALT2	PMID:23378701	DISPUTED	review-only	HIGH	Lack of iGb3 and Isoglobo-Series Glycosphingolipids in Pig Organs Used for Xenotransplantation: Implications for Natural Killer T-Cell Biology.	Key contrary full-text report of weak human activity. The assay used CHO overexpression and mass spectrometry, and the tested ORF was assembled from thymic cDNA fragments with exon 1 and the start of exon 2 supplied by a PCR primer, so it does not establish endogenous protein or physiological flux.
human	AADAC	Reactome:R-HSA-5689000	DISPUTED	GOA	MEDIUM	AADAC deacetylates PHEN	The event supports phenacetin deacetylation. Its model places the small-molecule participants in cytosol while the AADAC catalytic bulk is lumen-facing at the ER, so the reaction geometry is internally inconsistent even though the activity is correct.
human	AAK1	PMID:18657069	DISPUTED	GOA	HIGH	AAK1 regulates Numb function at an early step in clathrin-mediated endocytosis.	The cached abstract supports the reported Numb localization and cargo-selective phenotypes, but the central Numb-T102 substrate claim is contradicted by PMID:42082516: purified AAK1/BMP2K did not phosphorylate the site, RPE phosphoproteomics did not detect it, and its sequence lacks the refined recognition motif. Preserve the localization phenotype; do not treat T102 phosphorylation as established.
human	ABCD4	PMID:9302272	DISPUTED	GOA	MEDIUM	Identification of a fourth half ABC transporter in the human peroxisomal membrane.	Original identification of ABCD4 (P70R) as a peroxisomal half ABC transporter; the peroxisomal-membrane localization was overturned by later work.
human	ABI3BP	PMID:18559958	DISPUTED	review-only	HIGH	Re-expression of ABI3-binding protein suppresses thyroid tumor growth by promoting senescence and inhibiting invasion.	Cached title matches and the paper is correctly cited; the growth-suppression result is used here and is consistent with PMID:40092729 and PMID:31174563 in other human tissues. Marked DISPUTED for the senescence claim specifically: this paper reports that gaining ABI3BP causes senescence while PMID:19338757 reports that losing it causes senescence, and three further papers report that losing it reduces senescence. The conflict is acknowledged in the field itself.
human	ABI3BP	PMID:19338757	DISPUTED	review-only	MEDIUM	Implication of p53-dependent cellular senescence related gene, TARSH in tumor suppression.	Cached title matches; abstract-only; mouse embryonic fibroblasts. Correctly cited, but marked DISPUTED because its proliferation result contradicts the mouse mesenchymal stem cell knockout and knockdown data in PMID:23666637 and PMID:25296984, and its senescence direction contradicts three later knockdown studies. Used only to document the conflict; no annotation rests on it.
human	ABI3BP	PMID:38812032	DISPUTED	review-only	LOW	ABI3BP promotes renal aging through Klotho-mediated ferroptosis.	Cached title matches and full text is available; mouse knockout plus human HK2 cells. Correctly cited, but marked DISPUTED because its senescence direction is opposite to PMID:19338757 and PMID:18559958. Cited to document the conflict; no annotation rests on it, and neither ferroptosis nor ageing terms are proposed.
human	ABI3BP	PMID:40889718	DISPUTED	review-only	LOW	ABI3BP deficiency alleviates Ang II-induced VSMC senescence through the Nrf2 signalling pathway.	Cached title matches; abstract-only; mouse knockout. Correctly cited, but marked DISPUTED because the senescence direction opposes PMID:19338757 and PMID:18559958. Documents the conflict only.
human	ACTA2	PMID:17994018	DISPUTED	review-only	HIGH	Mutations in smooth muscle alpha-actin (ACTA2) lead to thoracic aortic aneurysms and dissections.	"The founding ACTA2-TAAD paper, and the source of the framing sentence used here for smooth muscle contraction. Marked DISPUTED only because it carries an unresolved 2008 corrigendum. The cached record shows ""Erratum in Nat Genet. 2008 Feb;40(2):255."", PubMed's CommentsCorrections entry has a NULL pmid because the corrigendum was never indexed as its own record, and Crossref resolves it as 10.1038/ng0208-255c with update-to 10.1038/ng.2007.6, type erratum. Its content could not be retrieved from any open source queried. The scientific claims used here are independent of it - seven of the nine variants reported by this paper are also reported by PMID:19409525, and no GO term in this review rests on this reference alone."
human	ACTR5	PMID:36563143	DISPUTED	GOA	HIGH	ACTR5 controls CDKN2A and tumor progression in an INO80-independent manner.	The only study to assay ACTR5 itself at a promoter, and the basis for the proposed GO:0000122 row. Two caveats recorded rather than hidden. It carries a 2025 erratum (PMID:41071901) correcting Fig. 2D - the CDKN2A western - because the ACTR5 and U87 panels duplicated those of Fig. 3A; the publisher states the conclusions are unaffected, and the RNA-seq, ChIP-qPCR and H3K9me2 data are independent of that panel. And the title's INO80-independence claim rests on the absence of a HepG2-selective essential domain in other subunits, while the requirement it maps runs through IES6, an INO80 subunit - so that claim is recorded in knowledge_gaps rather than annotated. Marked DISPUTED for the INO80-independence claim specifically; the CDKN2A silencing result is used.
human	ADAMTSL1	PMID:30714143	DISPUTED	review-only	LOW	ADAMTSL1 and mandibular prognathism.	The genetic association is reported without functional validation, and the proposed mechanism attributes proteolysis to a protein that has no metalloprotease domain, no catalytic activity comment and no EC number. Cited here as an example of the family-name-to-activity conflation, not as evidence for any annotation.
human	ADCK1	PMID:33824271	DISPUTED	review-only	LOW	ADCK1 activates the β-catenin/TCF signaling pathway to promote the growth and migration of colon cancer cells.	PubMed-verified, no retraction or erratum, and the co-immunoprecipitation itself is reported at endogenous levels. Marked DISPUTED rather than MISCITED because the citation is accurate and the experiment real, but the conclusion is in tension with every localisation measurement made on this protein and has not been reproduced. Raised as a question rather than acted on.
human	ADCK2	PMID:38425362	DISPUTED	review-only	MEDIUM	In vitro construction of the COQ metabolon unveils the molecular determinants of coenzyme Q biosynthesis.	"Correctly cited and methodologically substantial, but its central claim about protein kinase activity stands in direct contradiction to PMID:27499294 and UniProt records it only as ""may act as a protein kinase"". Included here specifically so that this review does not assert an unqualified family-level negative that the literature no longer supports."
human	ADIPOQ	PMID:24531262	DISPUTED	GOA	HIGH	Adiponectin reduces thermogenesis by inhibiting brown adipose tissue activation in mice.	Correctly cited for GO:0120163 (adiponectin suppresses thermogenesis) and incorrectly cited for the opposite term GO:0120162. The scientific claim is also genuinely disputed: PMID:26166748 reports the opposite direction in the same knockout model. Both papers are attached to both terms in GOA and in MGI.
human	ADIPOQ	PMID:26166748	DISPUTED	GOA	HIGH	Adiponectin Enhances Cold-Induced Browning of Subcutaneous Adipose Tissue via Promoting M2 Macrophage Proliferation.	Mirror image of PMID:24531262: correctly cited for GO:0120162 (adiponectin promotes cold-induced browning) and incorrectly cited for GO:0120163. Also the second independent report of the adiponectin-T-cadherin interaction, which GO records nowhere.
human	ADNP	PMID:27903678	DISPUTED	review-only	MEDIUM	ADNP Is a Therapeutically Inducible Repressor of WNT Signaling in Colorectal Cancer.	Reports ADNP as a repressor of WNT signalling in colorectal cancer. Correctly cited, but its direction is opposite to PMID:32533114; recorded as an unresolved disagreement rather than adjudicated.
human	ADNP	PMID:32533114	DISPUTED	review-only	MEDIUM	ADNP promotes neural differentiation by modulating Wnt/β-catenin signaling.	The source of mouse Adnp's beta-catenin IPI and the Wnt/neural-differentiation IMPs that reach human by Compara. Well executed and cached in full text, but a single laboratory, and its direction is contested by PMID:27903678.
human	ADPRS	PMID:17015823	DISPUTED	review-only	HIGH	The structure of human ADP-ribosylhydrolase 3 (ARH3) provides insights into the reversibility of protein ADP-ribosylation.	The 1.6 A ARH3 structure, and the source of the micromolar ADP-ribose binding measurement. Its statement that ARH3 'efficiently de-ADP-ribosylates poly- but not monoADP-ribosylated proteins' was superseded in 2017: ARH3 is the serine mono-ADP-ribosylhydrolase. The 2006 assay used arginine-linked mono-ADP-ribose, on which ARH3 is genuinely inactive, so the two results are compatible once the substrate is specified. Marked DISPUTED so the older negative is not re-imported.
human	AEBP2	PMID:15225548	DISPUTED	review-only	MEDIUM	SUZ12 is required for both the histone methyltransferase activity and the silencing function of the EED-EZH2 complex.	Source of the long-standing view that AEBP2 stimulates PRC2, reported here as a minimal complex of EZH2, EED and SUZ12 with AEBP2 required for optimal activity. PMID:41168462 reports that prior in vitro stimulation was obtained with the short isoform or with N-terminally truncated constructs, and that the broadly expressed long isoform inhibits instead. Marked DISPUTED for the direction of the effect, not for the citation: the disagreement is genuine and in the literature, and the cached record is abstract-only so the construct used cannot be determined from it.
human	AEBP2	PMID:29681498	DISPUTED	review-only	MEDIUM	Distinct Stimulatory Mechanisms Regulate the Catalytic Activity of Polycomb Repressive Complex 2.	Reports that AEBP2 stimulates both PRC2-EZH1 and PRC2-EZH2 by a mechanism independent of and additive to allosteric activation. Like PMID:15225548 this is disputed in direction by PMID:41168462, which attributes prior stimulation results to use of the short isoform or of N-terminally truncated protein. Cited here for the mechanism it describes, not as support for a stimulatory annotation.
human	AFF1	PMID:17135274	DISPUTED	review-only	MEDIUM	The mixed-lineage leukemia fusion partner AF4 stimulates RNA polymerase II transcriptional elongation and mediates coordinated chromatin remodeling.	PubMed-verified, and cited here ONLY for what it actually shows: a mouse Af4 result. It carries an unflagged 2023 Erratum (PMID:37777189), and its DOT1L-recruitment claim rests on an ENL co-immunoprecipitate that PMID:20159561 reports was misinterpreted. Nothing in this review asserts DOT1L recruitment by AFF1.
human	AFF1	PMID:28955517	DISPUTED	GOA	HIGH	AFF1 and AFF4 differentially regulate the osteogenic differentiation of human MSCs.	"PubMed-verified. Carries an unflagged 2020 Correction (PMID:32257529) whose content is not stated in its abstract or its PMC record, and one sentence in the overexpression section says ""AFF1-depleted"" where the figure describes overexpressing cells; both are recorded in the notes and the claims used avoid that sentence. LOW_QUALITY is not the right flag - the experiments are sound and bidirectional - but the correction is unresolved."
human	AGFG1	PMID:18819912	DISPUTED	GOA	HIGH	Role of HRB in clathrin-dependent endocytosis.	Supports the clathrin-dependent-endocytosis role by knockdown, and is one of only two papers the affinage record returned. Marked DISPUTED because its generality is contested rather than because the paper is unsound: it reports transferrin uptake strongly reduced on HRB knockdown, while PMID:18775314 reports no effect of HRB depletion on EGF internalisation or degradation and reads AGFG1 as a SNARE-specific adaptor. Both results are recorded; this review does not adjudicate between them. The cache's Full Text section holds only page boilerplate, so only the abstract is used.
human	BBS2	PMID:22302990	DISPUTED	GOA	LOW	Direct role of Bardet-Biedl syndrome proteins in transcriptional regulation.	Primarily BBS7-centric; shows BBS7 interaction with PcG member RNF2 (Q99496) and proposes a nuclear/transcriptional role for BBS proteins generally. The transcriptional role for BBS2 specifically is indirect and contested versus the well-established cytoplasmic/ciliary trafficking function.
human	BBS4	PMID:22302990	DISPUTED	GOA	LOW	Direct role of Bardet-Biedl syndrome proteins in transcriptional regulation.	Primarily a BBS7 study (nuclear role, RNF2/PcG interaction); BBS4-specific transcription-factor-binding is a weak generalization and is treated as an over-annotation here.
human	DNER	PMID:15965470	DISPUTED	GOA	HIGH	DNER acts as a neuron-specific Notch ligand during Bergmann glial development.	The cached abstract directly supports the Bergmann-glial phenotype and proposed Deltex-dependent/RBP-J-independent signaling, but its claim that DNER binds and activates NOTCH1 was not reproduced in PMID:27622512.
human	GET1	PMID:9544840	DISPUTED	GOA	LOW	Identification and characterization of a new human cDNA from chromosome 21q22.3 encoding a basic nuclear protein.	Source of the nucleus annotation; the nuclear localization was not reproduced and is contradicted by later work establishing ER membrane residence.
human	GPATCH11	PMID:20813266	DISPUTED	GOA	LOW	The protein composition of mitotic chromosomes determined using multiclassifier combinatorial proteomics.	Source of the disputed kinetochore IDA. Genuine proteomics paper but the per-protein localization assignment for GPATCH11 is based on a low-resolution image, and a dedicated 2024 study (PMID:39572588) contradicts the kinetochore call. Upstream GO curators have flagged the derived annotations in geneontology/go-annotation#6450.
human	IL23R	file:human/IL23R/IL23R-hypotheses/function-hypothesis-go-0004925/openscientist.md	DISPUTED	review-only	HIGH	OpenScientist hypothesis report for IL23R prolactin receptor activity	The focused GO:0004925 verdict is consistent with the GOA source trace and primary IL23R literature, but the report's separate suggestion that peptide hormone binding is acceptable is not adopted here.
human	LOXL2	PMID:24239292	DISPUTED	GOA	MEDIUM	Regulation of heterochromatin transcription by Snail1/LOXL2 during epithelial-to-mesenchymal transition.	Abstract-only mouse mechanistic study whose H3K4-deaminase premise overlaps the subsequently retracted PMID:22483618 claim; do not use as secure evidence of chromosome-associated LOXL2 catalysis.
human	LOXL2	PMID:27735137	DISPUTED	GOA	HIGH	Lysyl oxidase-like 2 (LOXL2) oxidizes trimethylated lysine 4 in histone H3.	Later abstract-only paper from substantially the same author group reasserting the H3K4me3 chemistry after PMID:22483618 was retracted. It does not erase the retraction or provide independently verified support suitable for confident GO curation.
human	LOXL2	PMID:22483618	DISPUTED	review-only	HIGH	Lysyl oxidase-like 2 deaminates lysine 4 in histone H3.	PubMed classifies this record as a Retracted Publication and explicitly links retraction notice PMID:27392148. Exclude its H3K4me3 oxidation and chromosome-catalysis claims from accepted evidence.
human	LOXL2	file:human/LOXL2/LOXL2-uniprot.txt	DISPUTED	review-only	HIGH	UniProtKB record for human LOXL2 (Q9Y4K0)	The sequence, precursor status, extracellular localization, catalytic reaction, and cofactors are authoritative. However, the chromosome/chromatin statements depend on disputed PMID:27735137, and the record still mentions retracted PMID:22483618 in its intracellular-location note; those nuclear catalytic claims must be separated from the reliable extracellular enzyme record.
human	LPA	file:human/LPA/LPA-uniprot.txt	DISPUTED	review-only	HIGH	UniProtKB entry P08519 (APOA_HUMAN), cached in the gene folder	The sequence, domain, polymorphism, and particle-subunit statements are authoritative for the cached reference allele. Its catalytic FUNCTION wording cites only PMID:2531657 and conflicts with PMID:3472206 and PMID:7495809, so that specific claim is disputed rather than treated as established core activity.
human	LPA	PMID:2531657	DISPUTED	GOA	HIGH	Lipoprotein(a) binds to fibronectin and has serine proteinase activity capable of cleaving it.	Correct source for the curator-read fibronectin-binding and experimental protease annotations, but only the abstract is cached. Its catalytic interpretation conflicts with PMID:3472206 and the recombinant apo(a) tests in PMID:7495809. Binding to a heparin-binding region of fibronectin is not direct evidence that apo(a) binds heparin.
human	LPCAT4	Reactome:R-HSA-1482635	DISPUTED	GOA	MEDIUM	2-acyl LPG is acylated to PG by LPGAT	This 2-acyl LPG reaction requires acylation at free sn-1, but PMID:41740885 directly found no LPCAT4 activity toward sn-2-dominant LPG. The older non-position-resolved LPG result does not establish this positional reaction.
human	LPCAT4	Reactome:R-HSA-1482925	DISPUTED	GOA	MEDIUM	Acyl chain remodelling of PG	The pathway combines a plausible 1-acyl LPG-to-PG reaction with a contradicted 2-acyl LPG reaction. LPCAT4's PG remodeling is therefore position dependent rather than uniformly supported.
human	LPGAT1	PMID:15485873	DISPUTED	GOA	HIGH	Identification and characterization of a gene encoding human LPGAT1, an endoplasmic reticulum-associated lysophosphatidylglycerol acyltransferase.	Direct human enzyme and ER-localization study, verified from the PubMed abstract. Its LPG substrate interpretation is now disputed by position-resolved studies, especially PMID:42173283, which proposes LPG acyl migration as the source of the historical assignment and finds no significant PG remodeling in vivo. The ER localization remains strong.
human	LPGAT1	Reactome:R-HSA-1482539	DISPUTED	GOA	MEDIUM	1-acyl LPG is acylated to PG by LPGAT	The human ER reaction is traceable to the original LPGAT1 report, but the PG-remodeling assignment is challenged by position-resolved and in-vivo lipidomic evidence in PMID:35131264 and PMID:42173283.
human	LPGAT1	Reactome:R-HSA-1482635	DISPUTED	GOA	MEDIUM	2-acyl LPG is acylated to PG by LPGAT	The human ER reaction is traceable to the original LPGAT1 report, but the acceptor-position interpretation is especially vulnerable to LPG acyl migration and is not supported by the newer in-vivo lipidomics in PMID:42173283.
human	LPGAT1	Reactome:R-HSA-1482925	DISPUTED	GOA	MEDIUM	Acyl chain remodelling of PG	Reactome provides pathway provenance for PG Lands-cycle remodeling. LPGAT1 participation is contested by newer position-resolved biochemistry and Huh-7/mouse lipidomics, so the pathway record should not outweigh the direct evidence.
human	LPGAT1	PMID:20018982	DISPUTED	review-only	MEDIUM	Novel acyl-coenzyme A:monoacylglycerol acyltransferase plays an important role in hepatic triacylglycerol secretion.	PubMed identity and abstract were verified. The evidence is a mouse diabetic-liver shRNA study, and later biochemical work defines lysophospholipid reacylation as the robust activity; reviewed UniProt describes MGAT activity as weak and a direct triglyceride-synthesis role as unlikely.
human	LPGAT1	PMID:30831319	DISPUTED	review-only	MEDIUM	Defective Phosphatidylglycerol Remodeling Causes Hepatopathy, Linking Mitochondrial Dysfunction to Hepatosteatosis.	The knockout phenotypes are direct mouse evidence, but the attribution to defective PG remodeling is challenged by PMID:42173283, which reports unchanged PG composition and proposes a broader phospholipid-regeneration defect instead.
human	LPGAT1	PMID:37917582	DISPUTED	review-only	HIGH	LPGAT1 controls MEGDEL syndrome by coupling phosphatidylglycerol remodeling with mitochondrial transport.	Full-text mouse and cell-based mechanistic study. Its PG-specific transport model is directly challenged by PMID:42173283, which found no significant PG remodeling role and instead linked mitochondrial effects to general PC/PE/PS regeneration; the interaction and phenotype observations remain relevant but context-bounded.
human	LRP5L	file:human/LRP5L/LRP5L-uniprot.txt	DISPUTED	review-only	HIGH	UniProtKB/Swiss-Prot A4QPB2 (LRP5L_HUMAN) record	The local flat file and accession were manually checked. It accurately records UniProtKB's current reviewed PE2 assertion, sequence, repeats, splice variants, and external proteomics database links, but the protein-coding interpretation is disputed by current NCBI and HGNC pseudogene classifications. The PE2 assignment shows that UniProtKB has not accepted the linked resources as protein-level existence evidence. The record contains no FUNCTION or SUBCELLULAR LOCATION comment and no SIGNAL or TRANSMEM feature; these absences must not be converted into a positive localization or topology claim.
human	LRP5L	PMID:32789677	DISPUTED	review-only	HIGH	The novel mutation P36R in LRP5L contributes to congenital membranous cataract via inhibition of laminin γ1 and c-MAF.	PubMed identifier/title and the complete cached abstract were manually checked. This is the only located primary experimental study directly about human LRP5L, but its causal protein interpretation is now materially contested by current NCBI Gene/RefSeq annotation, and the unavailable full text prevents independent assessment of construct identity, segregation, and assay controls. The reported expression effects do not justify an LRP5/ LRP6-like receptor or Wnt-signaling annotation.
human	MAGT1	PMID:18455129	DISPUTED	GOA	MEDIUM	Oligosaccharyltransferase-subunit mutations in nonsyndromic mental retardation.	PubMed-verified. Reports the MAGT1/IAP V311G variant in X-linked NSMR and links OTase activity to cognition. UniProt CAUTION notes the pathological role is questionable (PubMed:23871722); underpins the contested cognition (GO:0050890) annotation.
human	MAGT1	PMID:19717468	DISPUTED	GOA	MEDIUM	Mammalian MagT1 and TUSC3 are required for cellular magnesium uptake and vertebrate embryonic development.	PubMed-verified. Key study for the Mg2+-uptake phenotype and the plasma-membrane transporter model. The direct-transporter interpretation is now contested; the Mg2+ effect is widely regarded as indirect/downstream of the OST-B glycosylation role.
human	MAGT1	Reactome:R-HSA-5339538	DISPUTED	GOA	LOW	MAGT1 transports Mg2+ from extracellular region to cytosol	Reactome reaction encoding the historical direct Mg2+-transporter model; the direct transporter activity is contested. Title left exactly as fetched.
human	NT5C2	PMID:36159777	DISPUTED	GOA	MEDIUM	TRIM22 orchestrates the proliferation of GBMs and the benefits of TMZ by coordinating the modification and degradation of RIG-I.	Full text available. Sole source of the ubiquitin-ligase (GO:0061630), K48-linked ubiquitination (GO:0070936) and antiviral (GO:0050689) annotations. This is a moonlighting claim well outside the enzyme's HAD-fold metabolic role (no recognizable E3 domain; interaction with RIG-I is indirect via TRIM22) and is not independently corroborated; treated as a likely over-annotation.
human	PMVK	PMID:17180682	DISPUTED	GOA	MEDIUM	Localization of the pre-squalene segment of the isoprenoid biosynthetic pathway in mammalian peroxisomes.	PubMed-verified citation, but its conclusion of peroxisomal localization of presqualene enzymes (including PMVK) is contradicted by PMID:14729858 and PMID:27052676 and by the UniProt CAUTION note; the field consensus is cytosolic.
human	RELN	PMID:11689558	DISPUTED	review-only	MEDIUM	Reelin is a serine protease of the extracellular matrix.	Correctly cited primary report, but its protease conclusion was directly challenged by PMID:20522975.
human	RFT1	PMID:11807558	DISPUTED	review-only	HIGH	Translocation of lipid-linked oligosaccharides across the ER membrane requires Rft1 protein.	"PubMed-verified. The founding genetic paper for the flippase model. Correctly cited, but its conclusion is the contested one - the authors show Rft1 is ""required for"" translocation in vivo, which later biochemistry (PMID:18668045, PMID:19494107) and genetics (PMID:23720757) showed does not entail that Rft1 catalyses the step. A formal Brief Communication Arising was published against it."
human	RFT1	Reactome:R-HSA-4570573	DISPUTED	GOA	MEDIUM	Defective RFT1 does not flip the N-glycan precursor	The reaction name asserts the canonical flippase model as settled. That model is contested in the primary literature (PMID:19494107, PMID:23720757, PMID:42417535), so the two GOA rows sourced from it should not be read as independent confirmation of the mechanism.
human	SEPHS1	PMID:20471958	DISPUTED	GOA	HIGH	Human selenophosphate synthetase 1 has five splice variants with unique interactions, subcellular localizations and expression patterns.	"PubMed-verified; full text available, and correctly cited. Key source for the in-vitro catalytic deficiency, isoform localizations, homodimerization, and cell-cycle/growth links. Marked DISPUTED for one specific statement rather than for the paper as a whole: its ""SPS1 has an arginine at the position corresponding to Sec in SPS2"" is asserted generically for SPS1 and does not hold for the human protein. Human SEPHS1 reads KGTGCKVPQ with threonine at T29, where SEPHS2 reads KGUGCKVPQ (U60); the arginine belongs to Drosophila Sps1 (R49). The in-vitro activity statements are unaffected and are what this reference now supports in the GO:0004756 and GO:0016260 rows."
human	SLC25A19	PMID:11226231	DISPUTED	GOA	MEDIUM	The human mitochondrial deoxynucleotide carrier and its role in the toxicity of nucleoside antivirals.	PubMed-verified. Foundational paper but its central claim (SLC25A19 is the mitochondrial deoxynucleotide carrier) was overturned by later knockout and transport studies; the physiological substrate is thiamine pyrophosphate, not deoxynucleotides.
human	SLC52A2	PMID:17197387	DISPUTED	GOA	MEDIUM	Cloning and functional characterization of a gamma-hydroxybutyrate receptor identified in the human brain.	"Cloned GPR172A/GHBh1 (= SLC52A2) as a putative GHB receptor. The GHB-receptor function is now superseded by the protein's identity as riboflavin transporter RFVT2; UniProt retains it only as ""Probable"". Basis of the GO:0062124 IDA (marked over-annotated) and one plasma-membrane IDA (accepted; localization is sound)."
human	TTC19	PMID:20208530	DISPUTED	GOA	LOW	PtdIns(3)P controls cytokinesis through KIF13A-mediated recruitment of FYVE-CENT to the midbody.	Reports TTC19 as a ZFYVE26/CHMP4B partner with centrosome/midbody localization and a cytokinesis role. UniProt records a CAUTION that the midbody localization could not be confirmed by others (PMID:21278747); not the core mitochondrial function of TTC19.
human	TUSC3	PMID:19717468	DISPUTED	GOA	MEDIUM	Mammalian MagT1 and TUSC3 are required for cellular magnesium uptake and vertebrate embryonic development.	PubMed-verified citation. Experimental basis for the magnesium-transport annotations, but the interpretation as a direct plasma-membrane Mg2+ transporter is disputed by later work (PMID:25135935, PMID:26864433) that localizes TUSC3/MAGT1 to the ER as OST oxidoreductase subunits; any Mg2+ role is likely indirect.
worm	clk-1	PMID:25961505	DISPUTED	GOA	HIGH	A nuclear role for the respiratory enzyme CLK-1 in regulating mitochondrial stress responses and longevity.	Full-text primary paper reporting a distinct nuclear CLK-1/COQ7 pool that regulates ROS metabolism, the UPRmt, transcription, and longevity independently of ubiquinone. The data are genuine but the nuclear/non-mitochondrial model is debated (worm N-terminus lacks the COQ7 NTS; limited independent confirmation). Underlies the nucleus, ROS-regulation, and transcription-regulation annotations, which are retained as non-core.
yeast	SSA1	file:yeast/SSA1/SSA1-hypotheses/existing-go-0005886-keep-as-non-core/openscientist.md	DISPUTED	review-only	HIGH	OpenScientist hypothesis review of the SSA1 plasma-membrane annotations	The report's evidence-weight conclusion supports non-core treatment of the stripped-plasma-membrane HDA, but its live QuickGO claim that P10591 has no plasma-membrane IBA conflicts with the pinned SSA1 GOA snapshot, which contains GO:0005886 IBA from GO_Central dated 2025-09-03. The live-query absence claim and recommendation to correct the evidence code are not used.
