Sample Name	Protocol REF	Parameter Value[Post Extraction]	Parameter Value[Derivatization]	Extract Name	Protocol REF	Parameter Value[Chromatography Instrument]	Term Source REF	Term Accession Number	Parameter Value[Autosampler model]	Parameter Value[Column model]	Parameter Value[Column type]	Parameter Value[Guard column]	Labeled Extract Name	Label	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[Scan polarity]	Parameter Value[Scan m/z range]	Parameter Value[Instrument]	Term Source REF	Term Accession Number	Parameter Value[Ion source]	Term Source REF	Term Accession Number	Parameter Value[Mass analyzer]	Term Source REF	Term Accession Number	MS Assay Name	Raw Spectral Data File	Protocol REF	Normalization Name	Derived Spectral Data File	Protocol REF	Data Transformation Name	Metabolite Assignment File
FeLim_T2_B3	Extraction	methanol:acetonitrile:water = 2:2:1 (v/v/v)		FeLim_T2_B3	Chromatography	Thermo Scientific Dionex Ultimate 3000 UHPLC system	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000914		ACQUITY UPLC BEH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)	reverse phase						Mass spectrometry	negative	70-900	Thermo Scientific Q Exactive	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000658	electrospray ionization	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000688	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484	FeLim_T2_B3		Data transformation	FeLim_T2_B3	FILES/FeLim_T2_B3.mzXML	Metabolite identification	FeLim_T2_B3	m_MTBLS1715_LC-MS_negative_reverse-phase_metabolite_profiling-1_v2_maf.tsv
FeLim_T2_B4	Extraction	methanol:acetonitrile:water = 2:2:1 (v/v/v)		FeLim_T2_B4	Chromatography	Thermo Scientific Dionex Ultimate 3000 UHPLC system	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000914		ACQUITY UPLC BEH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)	reverse phase						Mass spectrometry	negative	70-900	Thermo Scientific Q Exactive	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000658	electrospray ionization	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000688	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484	FeLim_T2_B4		Data transformation	FeLim_T2_B4	FILES/FeLim_T2_B4.mzXML	Metabolite identification	FeLim_T2_B4	m_MTBLS1715_LC-MS_negative_reverse-phase_metabolite_profiling-1_v2_maf.tsv
FeLim_T3_B1	Extraction	methanol:acetonitrile:water = 2:2:1 (v/v/v)		FeLim_T3_B1	Chromatography	Thermo Scientific Dionex Ultimate 3000 UHPLC system	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000914		ACQUITY UPLC BEH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)	reverse phase						Mass spectrometry	negative	70-900	Thermo Scientific Q Exactive	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000658	electrospray ionization	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000688	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484	FeLim_T3_B1		Data transformation	FeLim_T3_B1	FILES/FeLim_T3_B1.mzXML	Metabolite identification	FeLim_T3_B1	m_MTBLS1715_LC-MS_negative_reverse-phase_metabolite_profiling-1_v2_maf.tsv
FeLim_T3_B2	Extraction	methanol:acetonitrile:water = 2:2:1 (v/v/v)		FeLim_T3_B2	Chromatography	Thermo Scientific Dionex Ultimate 3000 UHPLC system	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000914		ACQUITY UPLC BEH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)	reverse phase						Mass spectrometry	negative	70-900	Thermo Scientific Q Exactive	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000658	electrospray ionization	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000688	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484	FeLim_T3_B2		Data transformation	FeLim_T3_B2	FILES/FeLim_T3_B2.mzXML	Metabolite identification	FeLim_T3_B2	m_MTBLS1715_LC-MS_negative_reverse-phase_metabolite_profiling-1_v2_maf.tsv
FeLim_T3_B3	Extraction	methanol:acetonitrile:water = 2:2:1 (v/v/v)		FeLim_T3_B3	Chromatography	Thermo Scientific Dionex Ultimate 3000 UHPLC system	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000914		ACQUITY UPLC BEH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)	reverse phase						Mass spectrometry	negative	70-900	Thermo Scientific Q Exactive	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000658	electrospray ionization	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000688	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484	FeLim_T3_B3		Data transformation	FeLim_T3_B3	FILES/FeLim_T3_B3.mzXML	Metabolite identification	FeLim_T3_B3	m_MTBLS1715_LC-MS_negative_reverse-phase_metabolite_profiling-1_v2_maf.tsv
FeLim_T3_B4	Extraction	methanol:acetonitrile:water = 2:2:1 (v/v/v)		FeLim_T3_B4	Chromatography	Thermo Scientific Dionex Ultimate 3000 UHPLC system	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000914		ACQUITY UPLC BEH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)	reverse phase						Mass spectrometry	negative	70-900	Thermo Scientific Q Exactive	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000658	electrospray ionization	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000688	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484	FeLim_T3_B4		Data transformation	FeLim_T3_B4	FILES/FeLim_T3_B4.mzXML	Metabolite identification	FeLim_T3_B4	m_MTBLS1715_LC-MS_negative_reverse-phase_metabolite_profiling-1_v2_maf.tsv
Blank_1	Extraction	methanol:acetonitrile:water = 2:2:1 (v/v/v)		Blank_1	Chromatography	Thermo Scientific Dionex Ultimate 3000 UHPLC system	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000914		ACQUITY UPLC BEH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)	reverse phase						Mass spectrometry	negative	70-900	Thermo Scientific Q Exactive	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000658	electrospray ionization	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000688	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484	Blank_1		Data transformation	Blank_1	FILES/Blank_1.mzXML	Metabolite identification	Blank_1	m_MTBLS1715_LC-MS_negative_reverse-phase_metabolite_profiling-1_v2_maf.tsv
Blank_2	Extraction	methanol:acetonitrile:water = 2:2:1 (v/v/v)		Blank_2	Chromatography	Thermo Scientific Dionex Ultimate 3000 UHPLC system	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000914		ACQUITY UPLC BEH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)	reverse phase						Mass spectrometry	negative	70-900	Thermo Scientific Q Exactive	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000658	electrospray ionization	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000688	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484	Blank_2		Data transformation	Blank_2	FILES/Blank_2.mzXML	Metabolite identification	Blank_2	m_MTBLS1715_LC-MS_negative_reverse-phase_metabolite_profiling-1_v2_maf.tsv
Blank_3	Extraction	methanol:acetonitrile:water = 2:2:1 (v/v/v)		Blank_3	Chromatography	Thermo Scientific Dionex Ultimate 3000 UHPLC system	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000914		ACQUITY UPLC BEH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)	reverse phase						Mass spectrometry	negative	70-900	Thermo Scientific Q Exactive	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000658	electrospray ionization	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000688	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484	Blank_3		Data transformation	Blank_3	FILES/Blank_3.mzXML	Metabolite identification	Blank_3	m_MTBLS1715_LC-MS_negative_reverse-phase_metabolite_profiling-1_v2_maf.tsv
Blank_4	Extraction	methanol:acetonitrile:water = 2:2:1 (v/v/v)		Blank_4	Chromatography	Thermo Scientific Dionex Ultimate 3000 UHPLC system	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000914		ACQUITY UPLC BEH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)	reverse phase						Mass spectrometry	negative	70-900	Thermo Scientific Q Exactive	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000658	electrospray ionization	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000688	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484	Blank_4		Data transformation	Blank_4	FILES/Blank_4.mzXML	Metabolite identification	Blank_4	m_MTBLS1715_LC-MS_negative_reverse-phase_metabolite_profiling-1_v2_maf.tsv
Stnd-100nMb	Extraction	methanol:acetonitrile:water = 2:2:1 (v/v/v)		Stnd-100nMb	Chromatography	Thermo Scientific Dionex Ultimate 3000 UHPLC system	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000914		ACQUITY UPLC BEH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)	reverse phase						Mass spectrometry	negative	70-900	Thermo Scientific Q Exactive	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000658	electrospray ionization	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000688	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484	Stnd-100nMb		Data transformation	Stnd-100nMb	FILES/Stnd-100nMb.mzXML	Metabolite identification	Stnd-100nMb	m_MTBLS1715_LC-MS_negative_reverse-phase_metabolite_profiling-1_v2_maf.tsv
Stnd-250nMb	Extraction	methanol:acetonitrile:water = 2:2:1 (v/v/v)		Stnd-250nMb	Chromatography	Thermo Scientific Dionex Ultimate 3000 UHPLC system	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000914		ACQUITY UPLC BEH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)	reverse phase						Mass spectrometry	negative	70-900	Thermo Scientific Q Exactive	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000658	electrospray ionization	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000688	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484	Stnd-250nMb		Data transformation	Stnd-250nMb	FILES/Stnd-250nMb.mzXML	Metabolite identification	Stnd-250nMb	m_MTBLS1715_LC-MS_negative_reverse-phase_metabolite_profiling-1_v2_maf.tsv
Stnd-500nMb	Extraction	methanol:acetonitrile:water = 2:2:1 (v/v/v)		Stnd-500nMb	Chromatography	Thermo Scientific Dionex Ultimate 3000 UHPLC system	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000914		ACQUITY UPLC BEH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)	reverse phase						Mass spectrometry	negative	70-900	Thermo Scientific Q Exactive	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000658	electrospray ionization	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000688	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484	Stnd-500nMb		Data transformation	Stnd-500nMb	FILES/Stnd-500nMb.mzXML	Metabolite identification	Stnd-500nMb	m_MTBLS1715_LC-MS_negative_reverse-phase_metabolite_profiling-1_v2_maf.tsv
Stnd-1000nMb	Extraction	methanol:acetonitrile:water = 2:2:1 (v/v/v)		Stnd-1000nMb	Chromatography	Thermo Scientific Dionex Ultimate 3000 UHPLC system	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000914		ACQUITY UPLC BEH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)	reverse phase						Mass spectrometry	negative	70-900	Thermo Scientific Q Exactive	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000658	electrospray ionization	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000688	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484	Stnd-1000nMb		Data transformation	Stnd-1000nMb	FILES/Stnd-1000nMb.mzXML	Metabolite identification	Stnd-1000nMb	m_MTBLS1715_LC-MS_negative_reverse-phase_metabolite_profiling-1_v2_maf.tsv
Stnd-2500nMb	Extraction	methanol:acetonitrile:water = 2:2:1 (v/v/v)		Stnd-2500nMb	Chromatography	Thermo Scientific Dionex Ultimate 3000 UHPLC system	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000914		ACQUITY UPLC BEH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)	reverse phase						Mass spectrometry	negative	70-900	Thermo Scientific Q Exactive	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000658	electrospray ionization	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000688	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484	Stnd-2500nMb		Data transformation	Stnd-2500nMb	FILES/Stnd-2500nMb.mzXML	Metabolite identification	Stnd-2500nMb	m_MTBLS1715_LC-MS_negative_reverse-phase_metabolite_profiling-1_v2_maf.tsv
Stnd-5000nMb	Extraction	methanol:acetonitrile:water = 2:2:1 (v/v/v)		Stnd-5000nMb	Chromatography	Thermo Scientific Dionex Ultimate 3000 UHPLC system	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000914		ACQUITY UPLC BEH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)	reverse phase						Mass spectrometry	negative	70-900	Thermo Scientific Q Exactive	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000658	electrospray ionization	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000688	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484	Stnd-5000nMb		Data transformation	Stnd-5000nMb	FILES/Stnd-5000nMb.mzXML	Metabolite identification	Stnd-5000nMb	m_MTBLS1715_LC-MS_negative_reverse-phase_metabolite_profiling-1_v2_maf.tsv
Stnd-7500nMb	Extraction	methanol:acetonitrile:water = 2:2:1 (v/v/v)		Stnd-7500nMb	Chromatography	Thermo Scientific Dionex Ultimate 3000 UHPLC system	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000914		ACQUITY UPLC BEH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)	reverse phase						Mass spectrometry	negative	70-900	Thermo Scientific Q Exactive	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000658	electrospray ionization	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000688	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484	Stnd-7500nMb		Data transformation	Stnd-7500nMb	FILES/Stnd-7500nMb.mzXML	Metabolite identification	Stnd-7500nMb	m_MTBLS1715_LC-MS_negative_reverse-phase_metabolite_profiling-1_v2_maf.tsv
Stnd-10uMb	Extraction	methanol:acetonitrile:water = 2:2:1 (v/v/v)		Stnd-10uMb	Chromatography	Thermo Scientific Dionex Ultimate 3000 UHPLC system	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000914		ACQUITY UPLC BEH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)	reverse phase						Mass spectrometry	negative	70-900	Thermo Scientific Q Exactive	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000658	electrospray ionization	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000688	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484	Stnd-10uMb		Data transformation	Stnd-10uMb	FILES/Stnd-10uMb.mzXML	Metabolite identification	Stnd-10uMb	m_MTBLS1715_LC-MS_negative_reverse-phase_metabolite_profiling-1_v2_maf.tsv
