# UniProt allergen registry (keyword KW-0020, reviewed); release 2026_02; query: keyword:KW-0020 AND reviewed:true
who_iuis_name	allergen_molecule	accession	species_code	gene	organism	taxon_id	fetch_command
Aed al 14	Aed al 14	Q5MIU2	AEDAL		Aedes albopictus (Asian tiger mosquito) (Stegomyia albopicta)	7160	uv run ai-gene-review fetch-gene AEDAL Q5MIU2 -u Q5MIU2
Aed al 3	Aed al 3	Q5MIT9	AEDAL		Aedes albopictus (Asian tiger mosquito) (Stegomyia albopicta)	7160	uv run ai-gene-review fetch-gene AEDAL Q5MIT9 -u Q5MIT9
Aln g 1	Aln g 1	P38948	ALNGL		Alnus glutinosa (European alder) (Betula alnus var. glutinosa)	3517	uv run ai-gene-review fetch-gene ALNGL P38948 -u P38948
Aln g 4	Aln g 4	O81701	ALNGL		Alnus glutinosa (European alder) (Betula alnus var. glutinosa)	3517	uv run ai-gene-review fetch-gene ALNGL O81701 -u O81701
Alt a 1	Alt a 1	P79085	ALTAL	ALTA1	Alternaria alternata (Alternaria rot fungus) (Torula alternata)	5599	uv run ai-gene-review fetch-gene ALTAL ALTA1 -u P79085
Alt a 10	Alt a 10	P42041	ALTAL	ALTA10	Alternaria alternata (Alternaria rot fungus) (Torula alternata)	5599	uv run ai-gene-review fetch-gene ALTAL ALTA10 -u P42041
Alt a 12	Alt a 12	P49148	ALTAL	ALTA12	Alternaria alternata (Alternaria rot fungus) (Torula alternata)	5599	uv run ai-gene-review fetch-gene ALTAL ALTA12 -u P49148
Alt a 13	Alt a 13	Q6R4B4	ALTAL		Alternaria alternata (Alternaria rot fungus) (Torula alternata)	5599	uv run ai-gene-review fetch-gene ALTAL Q6R4B4 -u Q6R4B4
Alt a 2	Alt a 2	O94095	ALTAL	ALTA2	Alternaria alternata (Alternaria rot fungus) (Torula alternata)	5599	uv run ai-gene-review fetch-gene ALTAL ALTA2 -u O94095
Alt a 3	Alt a 3	P78983	ALTAL	HSP70	Alternaria alternata (Alternaria rot fungus) (Torula alternata)	5599	uv run ai-gene-review fetch-gene ALTAL HSP70 -u P78983
Alt a 4	Alt a 4	Q00002	ALTAL		Alternaria alternata (Alternaria rot fungus) (Torula alternata)	5599	uv run ai-gene-review fetch-gene ALTAL Q00002 -u Q00002
Alt a 5	Alt a 5	P42037	ALTAL	ALTA5	Alternaria alternata (Alternaria rot fungus) (Torula alternata)	5599	uv run ai-gene-review fetch-gene ALTAL ALTA5 -u P42037
Alt a 6	Alt a 6	Q9HDT3	ALTAL	ENO	Alternaria alternata (Alternaria rot fungus) (Torula alternata)	5599	uv run ai-gene-review fetch-gene ALTAL ENO -u Q9HDT3
Alt a 7	Alt a 7	P42058	ALTAL	ALTA7	Alternaria alternata (Alternaria rot fungus) (Torula alternata)	5599	uv run ai-gene-review fetch-gene ALTAL ALTA7 -u P42058
Alt a 8	Alt a 8	P0C0Y4	ALTAL		Alternaria alternata (Alternaria rot fungus) (Torula alternata)	5599	uv run ai-gene-review fetch-gene ALTAL P0C0Y4 -u P0C0Y4
Alt a MnSOD	Alt a MnSOD	P86254	ALTAL		Alternaria alternata (Alternaria rot fungus) (Torula alternata)	5599	uv run ai-gene-review fetch-gene ALTAL P86254 -u P86254
Alt a TCTP	Alt a TCTP	D0MQ50	ALTAL		Alternaria alternata (Alternaria rot fungus) (Torula alternata)	5599	uv run ai-gene-review fetch-gene ALTAL D0MQ50 -u D0MQ50
Ulo b 1	Ulo b 1	Q5EZ82	ALTBO	alta1	Alternaria botrytis (Ulocladium botrytis)	119956	uv run ai-gene-review fetch-gene ALTBO alta1 -u Q5EZ82
Amb a 1.1	Amb a 1	P27759	AMBAR		Ambrosia artemisiifolia (Common ragweed)	4212	uv run ai-gene-review fetch-gene AMBAR P27759 -u P27759
Amb a 1.2	Amb a 1	P27760	AMBAR		Ambrosia artemisiifolia (Common ragweed)	4212	uv run ai-gene-review fetch-gene AMBAR P27760 -u P27760
Amb a 1.3	Amb a 1	P27761	AMBAR		Ambrosia artemisiifolia (Common ragweed)	4212	uv run ai-gene-review fetch-gene AMBAR P27761 -u P27761
Amb a 1.4	Amb a 1	P28744	AMBAR		Ambrosia artemisiifolia (Common ragweed)	4212	uv run ai-gene-review fetch-gene AMBAR P28744 -u P28744
Amb a 11.0101	Amb a 11	V5LU01	AMBAR		Ambrosia artemisiifolia (Common ragweed)	4212	uv run ai-gene-review fetch-gene AMBAR V5LU01 -u V5LU01
Amb a 2	Amb a 2	P27762	AMBAR		Ambrosia artemisiifolia (Common ragweed)	4212	uv run ai-gene-review fetch-gene AMBAR P27762 -u P27762
Amb a 6	Amb a 6	O04004	AMBAR		Ambrosia artemisiifolia (Common ragweed)	4212	uv run ai-gene-review fetch-gene AMBAR O04004 -u O04004
Amb a 8	Amb a 8	Q64LH2	AMBAR		Ambrosia artemisiifolia (Common ragweed)	4212	uv run ai-gene-review fetch-gene AMBAR Q64LH2 -u Q64LH2
Amb a 8	Amb a 8	Q64LH1	AMBAR		Ambrosia artemisiifolia (Common ragweed)	4212	uv run ai-gene-review fetch-gene AMBAR Q64LH1 -u Q64LH1
Amb a 8	Amb a 8	Q64LH0	AMBAR		Ambrosia artemisiifolia (Common ragweed)	4212	uv run ai-gene-review fetch-gene AMBAR Q64LH0 -u Q64LH0
Amb a 3	Amb a 3	P00304	AMBEL		Ambrosia artemisiifolia var. elatior (Short ragweed) (Ambrosia elatior)	4215	uv run ai-gene-review fetch-gene AMBEL P00304 -u P00304
Amb a 5	Amb a 5	P02878	AMBEL		Ambrosia artemisiifolia var. elatior (Short ragweed) (Ambrosia elatior)	4215	uv run ai-gene-review fetch-gene AMBEL P02878 -u P02878
Amb p 5a	Amb p 5a	P43174	AMBPS		Ambrosia psilostachya (Western ragweed) (Ambrosia coronopifolia)	29715	uv run ai-gene-review fetch-gene AMBPS P43174 -u P43174
Amb p 5b	Amb p 5b	P43175	AMBPS		Ambrosia psilostachya (Western ragweed) (Ambrosia coronopifolia)	29715	uv run ai-gene-review fetch-gene AMBPS P43175 -u P43175
Amb t 5	Amb t 5	P10414	AMBTR		Ambrosia trifida (Giant ragweed)	4214	uv run ai-gene-review fetch-gene AMBTR P10414 -u P10414
Oct f 2	Oct f 2	G1ESZ9	AMPFA		Amphioctopus fangsiao (Ocellated octopus) (Octopus ocellatus)	515817	uv run ai-gene-review fetch-gene AMPFA G1ESZ9 -u G1ESZ9
Ana o 2.0101	Ana o 2	Q8GZP6	ANAOC		Anacardium occidentale (Cashew)	171929	uv run ai-gene-review fetch-gene ANAOC Q8GZP6 -u Q8GZP6
Ana c 1	Ana c 1	Q94JN2	ANACO		Ananas comosus (Pineapple) (Ananas ananas)	4615	uv run ai-gene-review fetch-gene ANACO Q94JN2 -u Q94JN2
Ana c 2	Ana c 2	O23791	ANACO		Ananas comosus (Pineapple) (Ananas ananas)	4615	uv run ai-gene-review fetch-gene ANACO O23791 -u O23791
Ani s 1	Ani s 1	Q7Z1K3	ANISI		Anisakis simplex (Herring worm)	6269	uv run ai-gene-review fetch-gene ANISI Q7Z1K3 -u Q7Z1K3
Ani s 10	Ani s 10	D2K835	ANISI		Anisakis simplex (Herring worm)	6269	uv run ai-gene-review fetch-gene ANISI D2K835 -u D2K835
Ani s 2	Ani s 2	Q9NJA9	ANISI	PARA	Anisakis simplex (Herring worm)	6269	uv run ai-gene-review fetch-gene ANISI PARA -u Q9NJA9
Ani s 3	Ani s 3	Q9NAS5	ANISI		Anisakis simplex (Herring worm)	6269	uv run ai-gene-review fetch-gene ANISI Q9NAS5 -u Q9NAS5
Ani s 4	Ani s 4	P83885	ANISI		Anisakis simplex (Herring worm)	6269	uv run ai-gene-review fetch-gene ANISI P83885 -u P83885
Ani s 5	Ani s 5	A1IKL2	ANISI		Anisakis simplex (Herring worm)	6269	uv run ai-gene-review fetch-gene ANISI A1IKL2 -u A1IKL2
Ani s 6	Ani s 6	A1IKL3	ANISI		Anisakis simplex (Herring worm)	6269	uv run ai-gene-review fetch-gene ANISI A1IKL3 -u A1IKL3
		P0DPR9	APICE	MELT	Apis cerana (Indian honeybee)	7461	uv run ai-gene-review fetch-gene APICE MELT -u P0DPR9
		Q8LW54	APICE	MELT	Apis cerana (Indian honeybee)	7461	uv run ai-gene-review fetch-gene APICE MELT -u Q8LW54
Api c 1	Api c 1	Q9BMK4	APICC		Apis cerana cerana (Oriental honeybee)	94128	uv run ai-gene-review fetch-gene APICC Q9BMK4 -u Q9BMK4
		P68407	APICC	MELT	Apis cerana cerana (Oriental honeybee)	94128	uv run ai-gene-review fetch-gene APICC MELT -u P68407
		Q95PD7	APICC		Apis cerana cerana (Oriental honeybee)	94128	uv run ai-gene-review fetch-gene APICC Q95PD7 -u Q95PD7
Api d 1	Api d 1	Q7M4I5	APIDO		Apis dorsata (Giant honeybee)	7462	uv run ai-gene-review fetch-gene APIDO Q7M4I5 -u Q7M4I5
Api m 1	Api m 1	P00630	APIME		Apis mellifera (Honeybee)	7460	uv run ai-gene-review fetch-gene APIME P00630 -u P00630
Api m 2	Api m 2	Q08169	APIME		Apis mellifera (Honeybee)	7460	uv run ai-gene-review fetch-gene APIME Q08169 -u Q08169
Api m 3	Api m 3	Q5BLY5	APIME		Apis mellifera (Honeybee)	7460	uv run ai-gene-review fetch-gene APIME Q5BLY5 -u Q5BLY5
Api m 4	Api m 4	P01501	APIME	MELT	Apis mellifera (Honeybee)	7460	uv run ai-gene-review fetch-gene APIME MELT -u P01501
Api m 5	Api m 5	B2D0J4	APIME		Apis mellifera (Honeybee)	7460	uv run ai-gene-review fetch-gene APIME B2D0J4 -u B2D0J4
Api m 6	Api m 6	P83563	APIME		Apis mellifera (Honeybee)	7460	uv run ai-gene-review fetch-gene APIME P83563 -u P83563
Api m 7	Api m 7	Q8MQS8	APIME		Apis mellifera (Honeybee)	7460	uv run ai-gene-review fetch-gene APIME Q8MQS8 -u Q8MQS8
Api m 8	Api m 8	B2D0J5	APIME		Apis mellifera (Honeybee)	7460	uv run ai-gene-review fetch-gene APIME B2D0J5 -u B2D0J5
Api m 9	Api m 9	C9WMM5	APIME		Apis mellifera (Honeybee)	7460	uv run ai-gene-review fetch-gene APIME C9WMM5 -u C9WMM5
		Q5BLY4	APIME		Apis mellifera (Honeybee)	7460	uv run ai-gene-review fetch-gene APIME Q5BLY4 -u Q5BLY4
Api m 10	Api m 10	Q5EF78	APICA		Apis mellifera carnica (Carniolan honeybee)	88217	uv run ai-gene-review fetch-gene APICA Q5EF78 -u Q5EF78
Api g 1	Api g 1	P49372	APIGR		Apium graveolens (Celery)	4045	uv run ai-gene-review fetch-gene APIGR P49372 -u P49372
Api g 1	Api g 1	P92918	APIGR		Apium graveolens (Celery)	4045	uv run ai-gene-review fetch-gene APIGR P92918 -u P92918
Api g 2	Api g 2	E6Y8S8	APIGR		Apium graveolens (Celery)	4045	uv run ai-gene-review fetch-gene APIGR E6Y8S8 -u E6Y8S8
Api g 3	Api g 3	P92919	APIGR	LHC0	Apium graveolens (Celery)	4045	uv run ai-gene-review fetch-gene APIGR LHC0 -u P92919
Api g 4	Api g 4	Q9XF37	APIGR		Apium graveolens (Celery)	4045	uv run ai-gene-review fetch-gene APIGR Q9XF37 -u Q9XF37
Api g 5	Api g 5	P81943	APIGR		Apium graveolens (Celery)	4045	uv run ai-gene-review fetch-gene APIGR P81943 -u P81943
Api g 6	Api g 6	P86809	APIGA		Apium graveolens var. rapaceum (Celeriac)	278110	uv run ai-gene-review fetch-gene APIGA P86809 -u P86809
Apo p 1	Apo p 1	C0HMC9	APOPL		Apoica pallens (Central American paper wasp)	256668	uv run ai-gene-review fetch-gene APOPL C0HMC9 -u C0HMC9
Apo p 5	Apo p 5	C0HMD0	APOPL		Apoica pallens (Central American paper wasp)	256668	uv run ai-gene-review fetch-gene APOPL C0HMD0 -u C0HMD0
Ara t 8	Ara t 8	Q42449	ARATH	PRF1	Arabidopsis thaliana (Mouse-ear cress)	3702	uv run ai-gene-review fetch-gene ARATH PRF1 -u Q42449
Ara h 1	Ara h 1	P43238	ARAHY		Arachis hypogaea (Peanut)	3818	uv run ai-gene-review fetch-gene ARAHY P43238 -u P43238
Ara h 1	Ara h 1	P43237	ARAHY		Arachis hypogaea (Peanut)	3818	uv run ai-gene-review fetch-gene ARAHY P43237 -u P43237
Ara h 10.0101	Ara h 10	Q647G5	ARAHY		Arachis hypogaea (Peanut)	3818	uv run ai-gene-review fetch-gene ARAHY Q647G5 -u Q647G5
Ara h 10.0102	Ara h 10	Q647G4	ARAHY		Arachis hypogaea (Peanut)	3818	uv run ai-gene-review fetch-gene ARAHY Q647G4 -u Q647G4
Ara h 11.0101	Ara h 11	Q45W87	ARAHY		Arachis hypogaea (Peanut)	3818	uv run ai-gene-review fetch-gene ARAHY Q45W87 -u Q45W87
Ara h 11.0102	Ara h 11	Q45W86	ARAHY		Arachis hypogaea (Peanut)	3818	uv run ai-gene-review fetch-gene ARAHY Q45W86 -u Q45W86
Ara h 12	Ara h 12	B3EWP3	ARAHY		Arachis hypogaea (Peanut)	3818	uv run ai-gene-review fetch-gene ARAHY B3EWP3 -u B3EWP3
Ara h 13.0101	Ara h 13	B3EWP4	ARAHY		Arachis hypogaea (Peanut)	3818	uv run ai-gene-review fetch-gene ARAHY B3EWP4 -u B3EWP4
Ara h 13.0102	Ara h 13	C0HJZ1	ARAHY		Arachis hypogaea (Peanut)	3818	uv run ai-gene-review fetch-gene ARAHY C0HJZ1 -u C0HJZ1
Ara h 14.0101	Ara h 14	Q9AXI1	ARAHY		Arachis hypogaea (Peanut)	3818	uv run ai-gene-review fetch-gene ARAHY Q9AXI1 -u Q9AXI1
Ara h 14.0102	Ara h 14	Q9AXI0	ARAHY		Arachis hypogaea (Peanut)	3818	uv run ai-gene-review fetch-gene ARAHY Q9AXI0 -u Q9AXI0
Ara h 14.0103	Ara h 14	Q6J1J8	ARAHY		Arachis hypogaea (Peanut)	3818	uv run ai-gene-review fetch-gene ARAHY Q6J1J8 -u Q6J1J8
Ara h 15.0101	Ara h 15	Q647G3	ARAHY		Arachis hypogaea (Peanut)	3818	uv run ai-gene-review fetch-gene ARAHY Q647G3 -u Q647G3
Ara h 2	Ara h 2	Q6PSU2	ARAHY		Arachis hypogaea (Peanut)	3818	uv run ai-gene-review fetch-gene ARAHY Q6PSU2 -u Q6PSU2
Ara h 5	Ara h 5	Q9SQI9	ARAHY		Arachis hypogaea (Peanut)	3818	uv run ai-gene-review fetch-gene ARAHY Q9SQI9 -u Q9SQI9
Ara h 6	Ara h 6	Q647G9	ARAHY		Arachis hypogaea (Peanut)	3818	uv run ai-gene-review fetch-gene ARAHY Q647G9 -u Q647G9
Arg r 1	Arg r 1	Q5GQ85	ARGRF		Argas reflexus (European pigeon tick)	34604	uv run ai-gene-review fetch-gene ARGRF Q5GQ85 -u Q5GQ85
Art an 7.0101	Art an 7	A0A2H4HHY6	ARTAN		Artemisia annua (Sweet wormwood)	35608	uv run ai-gene-review fetch-gene ARTAN A0A2H4HHY6 -u A0A2H4HHY6
Art v 1	Art v 1	Q84ZX5	ARTVU		Artemisia vulgaris (Mugwort)	4220	uv run ai-gene-review fetch-gene ARTVU Q84ZX5 -u Q84ZX5
Art v 2	Art v 2	Q7M1G9	ARTVU		Artemisia vulgaris (Mugwort)	4220	uv run ai-gene-review fetch-gene ARTVU Q7M1G9 -u Q7M1G9
Art v 3	Art v 3	P0C088	ARTVU		Artemisia vulgaris (Mugwort)	4220	uv run ai-gene-review fetch-gene ARTVU P0C088 -u P0C088
Art v 4.01	Art v 4	Q8H2C9	ARTVU		Artemisia vulgaris (Mugwort)	4220	uv run ai-gene-review fetch-gene ARTVU Q8H2C9 -u Q8H2C9
Art v 4.02	Art v 4	Q8H2C8	ARTVU		Artemisia vulgaris (Mugwort)	4220	uv run ai-gene-review fetch-gene ARTVU Q8H2C8 -u Q8H2C8
Tri m 4	Tri m 4	Q8J1M3	ARTBE	DPPV	Arthroderma benhamiae (Trichophyton mentagrophytes)	63400	uv run ai-gene-review fetch-gene ARTBE DPPV -u Q8J1M3
		D4ALV6	ARTBC		Arthroderma benhamiae (strain ATCC MYA-4681 / CBS 112371) (Trichophyton mentagrophytes)	663331	uv run ai-gene-review fetch-gene ARTBC D4ALV6 -u D4ALV6
		D4AN50	ARTBC		Arthroderma benhamiae (strain ATCC MYA-4681 / CBS 112371) (Trichophyton mentagrophytes)	663331	uv run ai-gene-review fetch-gene ARTBC D4AN50 -u D4AN50
		D4ANW6	ARTBC		Arthroderma benhamiae (strain ATCC MYA-4681 / CBS 112371) (Trichophyton mentagrophytes)	663331	uv run ai-gene-review fetch-gene ARTBC D4ANW6 -u D4ANW6
		D4AQ83	ARTBC		Arthroderma benhamiae (strain ATCC MYA-4681 / CBS 112371) (Trichophyton mentagrophytes)	663331	uv run ai-gene-review fetch-gene ARTBC D4AQ83 -u D4AQ83
		D4AS55	ARTBC		Arthroderma benhamiae (strain ATCC MYA-4681 / CBS 112371) (Trichophyton mentagrophytes)	663331	uv run ai-gene-review fetch-gene ARTBC D4AS55 -u D4AS55
		D4AV66	ARTBC	phiA	Arthroderma benhamiae (strain ATCC MYA-4681 / CBS 112371) (Trichophyton mentagrophytes)	663331	uv run ai-gene-review fetch-gene ARTBC phiA -u D4AV66
		D4AVD4	ARTBC		Arthroderma benhamiae (strain ATCC MYA-4681 / CBS 112371) (Trichophyton mentagrophytes)	663331	uv run ai-gene-review fetch-gene ARTBC D4AVD4 -u D4AVD4
		D4AYT4	ARTBC		Arthroderma benhamiae (strain ATCC MYA-4681 / CBS 112371) (Trichophyton mentagrophytes)	663331	uv run ai-gene-review fetch-gene ARTBC D4AYT4 -u D4AYT4
		D4B2H3	ARTBC		Arthroderma benhamiae (strain ATCC MYA-4681 / CBS 112371) (Trichophyton mentagrophytes)	663331	uv run ai-gene-review fetch-gene ARTBC D4B2H3 -u D4B2H3
		D4B2L8	ARTBC		Arthroderma benhamiae (strain ATCC MYA-4681 / CBS 112371) (Trichophyton mentagrophytes)	663331	uv run ai-gene-review fetch-gene ARTBC D4B2L8 -u D4B2L8
		D4B2W4	ARTBC		Arthroderma benhamiae (strain ATCC MYA-4681 / CBS 112371) (Trichophyton mentagrophytes)	663331	uv run ai-gene-review fetch-gene ARTBC D4B2W4 -u D4B2W4
		D4B327	ARTBC		Arthroderma benhamiae (strain ATCC MYA-4681 / CBS 112371) (Trichophyton mentagrophytes)	663331	uv run ai-gene-review fetch-gene ARTBC D4B327 -u D4B327
		D4B4J2	ARTBC		Arthroderma benhamiae (strain ATCC MYA-4681 / CBS 112371) (Trichophyton mentagrophytes)	663331	uv run ai-gene-review fetch-gene ARTBC D4B4J2 -u D4B4J2
		P0DN29	ARTBC		Arthroderma benhamiae (strain ATCC MYA-4681 / CBS 112371) (Trichophyton mentagrophytes)	663331	uv run ai-gene-review fetch-gene ARTBC P0DN29 -u P0DN29
Asc s 1	Asc s 1	Q06811	ASCSU	ABA-1	Ascaris suum (Pig roundworm) (Ascaris lumbricoides)	6253	uv run ai-gene-review fetch-gene ASCSU ABA-1 -u Q06811
Asp fl 1	Asp fl 1	P82257	ASPFL		Aspergillus flavus	5059	uv run ai-gene-review fetch-gene ASPFL P82257 -u P82257
Asp fl 2	Asp fl 2	P82258	ASPFL		Aspergillus flavus	5059	uv run ai-gene-review fetch-gene ASPFL P82258 -u P82258
Asp fl 3	Asp fl 3	P82259	ASPFL		Aspergillus flavus	5059	uv run ai-gene-review fetch-gene ASPFL P82259 -u P82259
Asp fl 1	Asp fl 1	B8N106	ASPFN	alp1	Aspergillus flavus (strain ATCC 200026 / FGSC A1120 / IAM 13836 / NRRL 3357 / JCM 12722 / SRRC 167)	332952	uv run ai-gene-review fetch-gene ASPFN alp1 -u B8N106
Asp f 28.0101	Asp f 28	Q1RQJ1	ASPFM		Aspergillus fumigatus (Neosartorya fumigata)	746128	uv run ai-gene-review fetch-gene ASPFM Q1RQJ1 -u Q1RQJ1
Asp f 29	Asp f 29	Q1RQJ0	ASPFM		Aspergillus fumigatus (Neosartorya fumigata)	746128	uv run ai-gene-review fetch-gene ASPFM Q1RQJ0 -u Q1RQJ0
Asp f 34	Asp f 34	A4FSH5	ASPFM	phiA	Aspergillus fumigatus (Neosartorya fumigata)	746128	uv run ai-gene-review fetch-gene ASPFM phiA -u A4FSH5
		Q875I9	ASPFM	csn	Aspergillus fumigatus (Neosartorya fumigata)	746128	uv run ai-gene-review fetch-gene ASPFM csn -u Q875I9
Asp f 1	Asp f 1	P67875	ASPFU	mitF	Aspergillus fumigatus (strain ATCC MYA-4609 / CBS 101355 / FGSC A1100 / Af293) (Neosartorya fumigata)	330879	uv run ai-gene-review fetch-gene ASPFU mitF -u P67875
Asp f 12	Asp f 12	P40292	ASPFU	hsp90	Aspergillus fumigatus (strain ATCC MYA-4609 / CBS 101355 / FGSC A1100 / Af293) (Neosartorya fumigata)	330879	uv run ai-gene-review fetch-gene ASPFU hsp90 -u P40292
Asp f 13	Asp f 13	P28296	ASPFU	alp1	Aspergillus fumigatus (strain ATCC MYA-4609 / CBS 101355 / FGSC A1100 / Af293) (Neosartorya fumigata)	330879	uv run ai-gene-review fetch-gene ASPFU alp1 -u P28296
Asp f 15	Asp f 15	O60022	ASPFU		Aspergillus fumigatus (strain ATCC MYA-4609 / CBS 101355 / FGSC A1100 / Af293) (Neosartorya fumigata)	330879	uv run ai-gene-review fetch-gene ASPFU O60022 -u O60022
Asp f 18	Asp f 18	P87184	ASPFU	alp2	Aspergillus fumigatus (strain ATCC MYA-4609 / CBS 101355 / FGSC A1100 / Af293) (Neosartorya fumigata)	330879	uv run ai-gene-review fetch-gene ASPFU alp2 -u P87184
Asp f 2	Asp f 2	P79017	ASPFU		Aspergillus fumigatus (strain ATCC MYA-4609 / CBS 101355 / FGSC A1100 / Af293) (Neosartorya fumigata)	330879	uv run ai-gene-review fetch-gene ASPFU P79017 -u P79017
Asp f 22	Asp f 22	Q96X30	ASPFU	enoA	Aspergillus fumigatus (strain ATCC MYA-4609 / CBS 101355 / FGSC A1100 / Af293) (Neosartorya fumigata)	330879	uv run ai-gene-review fetch-gene ASPFU enoA -u Q96X30
Asp f 23	Asp f 23	Q8NKF4	ASPFU	rpl3	Aspergillus fumigatus (strain ATCC MYA-4609 / CBS 101355 / FGSC A1100 / Af293) (Neosartorya fumigata)	330879	uv run ai-gene-review fetch-gene ASPFU rpl3 -u Q8NKF4
Asp f 3	Asp f 3	O43099	ASPFU	aspf3	Aspergillus fumigatus (strain ATCC MYA-4609 / CBS 101355 / FGSC A1100 / Af293) (Neosartorya fumigata)	330879	uv run ai-gene-review fetch-gene ASPFU aspf3 -u O43099
Asp f 4	Asp f 4	O60024	ASPFU		Aspergillus fumigatus (strain ATCC MYA-4609 / CBS 101355 / FGSC A1100 / Af293) (Neosartorya fumigata)	330879	uv run ai-gene-review fetch-gene ASPFU O60024 -u O60024
Asp f 5.0101	Asp f 5	P46075	ASPFU	mep	Aspergillus fumigatus (strain ATCC MYA-4609 / CBS 101355 / FGSC A1100 / Af293) (Neosartorya fumigata)	330879	uv run ai-gene-review fetch-gene ASPFU mep -u P46075
Asp f 6	Asp f 6	Q92450	ASPFU	sodB	Aspergillus fumigatus (strain ATCC MYA-4609 / CBS 101355 / FGSC A1100 / Af293) (Neosartorya fumigata)	330879	uv run ai-gene-review fetch-gene ASPFU sodB -u Q92450
