# UniProt allergen registry (keyword KW-0020, reviewed); release 2026_02; query: keyword:KW-0020 AND reviewed:true
accession	entry_name	species_code	gene	organism	taxon_id	who_iuis_name	allergen_molecule	allergome_id
D2K835	ANS10_ANISI	ANISI		Anisakis simplex (Herring worm)	6269	Ani s 10	Ani s 10	8428
Q9NJA9	MYSP_ANISI	ANISI	PARA	Anisakis simplex (Herring worm)	6269	Ani s 2	Ani s 2	3080
Q9NAS5	TPM_ANISI	ANISI		Anisakis simplex (Herring worm)	6269	Ani s 3	Ani s 3	3081
P83885	ANIS4_ANISI	ANISI		Anisakis simplex (Herring worm)	6269	Ani s 4	Ani s 4	1420
A1IKL2	ANIS5_ANISI	ANISI		Anisakis simplex (Herring worm)	6269	Ani s 5	Ani s 5	3765
A1IKL3	TIL6_ANISI	ANISI		Anisakis simplex (Herring worm)	6269	Ani s 6	Ani s 6	3767
P0DPR9	MELN_APICE	APICE	MELT	Apis cerana (Indian honeybee)	7461			
Q8LW54	MELS_APICE	APICE	MELT	Apis cerana (Indian honeybee)	7461			
Q9BMK4	PA2_APICC	APICC		Apis cerana cerana (Oriental honeybee)	94128	Api c 1	Api c 1	1280
P68407	MEL_APICC	APICC	MELT	Apis cerana cerana (Oriental honeybee)	94128			
Q95PD7	HYAL_APICC	APICC		Apis cerana cerana (Oriental honeybee)	94128			
Q7M4I5	PA2_APIDO	APIDO		Apis dorsata (Giant honeybee)	7462	Api d 1	Api d 1	1282
P00630	PA2_APIME	APIME		Apis mellifera (Honeybee)	7460	Api m 1	Api m 1	2493
Q08169	HYAL_APIME	APIME		Apis mellifera (Honeybee)	7460	Api m 2	Api m 2	2493
Q5BLY5	ACPH1_APIME	APIME		Apis mellifera (Honeybee)	7460	Api m 3	Api m 3	2778
P01501	MEL_APIME	APIME	MELT	Apis mellifera (Honeybee)	7460	Api m 4	Api m 4	3091
B2D0J4	VDPP4_APIME	APIME		Apis mellifera (Honeybee)	7460	Api m 5	Api m 5	5754
P83563	TIL6_APIME	APIME		Apis mellifera (Honeybee)	7460	Api m 6	Api m 6	3092
Q8MQS8	SP34_APIME	APIME		Apis mellifera (Honeybee)	7460	Api m 7	Api m 7	3093
B2D0J5	EST6_APIME	APIME		Apis mellifera (Honeybee)	7460	Api m 8	Api m 8	5756
C9WMM5	VCP_APIME	APIME		Apis mellifera (Honeybee)	7460	Api m 9	Api m 9	6189
Q5BLY4	ICA_APIME	APIME		Apis mellifera (Honeybee)	7460			8204
Q5EF78	ICA_APICA	APICA		Apis mellifera carnica (Carniolan honeybee)	88217	Api m 10	Api m 10	
P49372	ALL1_APIGR	APIGR		Apium graveolens (Celery)	4045	Api g 1	Api g 1	40
P92918	ALL2_APIGR	APIGR		Apium graveolens (Celery)	4045	Api g 1	Api g 1	40
E6Y8S8	NLTP1_APIGR	APIGR		Apium graveolens (Celery)	4045	Api g 2	Api g 2	5890
P92919	CB23_APIGR	APIGR	LHC0	Apium graveolens (Celery)	4045	Api g 3	Api g 3	3086
Q9XF37	PROF_APIGR	APIGR		Apium graveolens (Celery)	4045	Api g 4	Api g 4	43
P81943	ALL5_APIGR	APIGR		Apium graveolens (Celery)	4045	Api g 5	Api g 5	3087
P86809	NLTP2_APIGA	APIGA		Apium graveolens var. rapaceum (Celeriac)	278110	Api g 6	Api g 6	9512
C0HMC9	PA11_APOPL	APOPL		Apoica pallens (Central American paper wasp)	256668	Apo p 1	Apo p 1	
C0HMD0	VA5_APOPL	APOPL		Apoica pallens (Central American paper wasp)	256668	Apo p 5	Apo p 5	
Q42449	PRF1_ARATH	ARATH	PRF1	Arabidopsis thaliana (Mouse-ear cress)	3702	Ara t 8	Ara t 8	
P43238	ALL12_ARAHY	ARAHY		Arachis hypogaea (Peanut)	3818	Ara h 1	Ara h 1	3094
P43237	ALL11_ARAHY	ARAHY		Arachis hypogaea (Peanut)	3818	Ara h 1	Ara h 1	50
Q647G5	OL101_ARAHY	ARAHY		Arachis hypogaea (Peanut)	3818	Ara h 10.0101	Ara h 10	5758
Q647G4	OL102_ARAHY	ARAHY		Arachis hypogaea (Peanut)	3818	Ara h 10.0102	Ara h 10	5758
Q45W87	OL111_ARAHY	ARAHY		Arachis hypogaea (Peanut)	3818	Ara h 11.0101	Ara h 11	5760
Q45W86	OL112_ARAHY	ARAHY		Arachis hypogaea (Peanut)	3818	Ara h 11.0102	Ara h 11	11752
B3EWP3	DEF1_ARAHY	ARAHY		Arachis hypogaea (Peanut)	3818	Ara h 12	Ara h 12	10187
B3EWP4	DEF2_ARAHY	ARAHY		Arachis hypogaea (Peanut)	3818	Ara h 13.0101	Ara h 13	10189
C0HJZ1	DEF3_ARAHY	ARAHY		Arachis hypogaea (Peanut)	3818	Ara h 13.0102	Ara h 13	10189
Q9AXI1	OL141_ARAHY	ARAHY		Arachis hypogaea (Peanut)	3818	Ara h 14.0101	Ara h 14	11753
Q9AXI0	OL142_ARAHY	ARAHY		Arachis hypogaea (Peanut)	3818	Ara h 14.0102	Ara h 14	11753
Q6J1J8	OL143_ARAHY	ARAHY		Arachis hypogaea (Peanut)	3818	Ara h 14.0103	Ara h 14	11753
Q647G3	OLE15_ARAHY	ARAHY		Arachis hypogaea (Peanut)	3818	Ara h 15.0101	Ara h 15	11757
Q6PSU2	CONG7_ARAHY	ARAHY		Arachis hypogaea (Peanut)	3818	Ara h 2	Ara h 2	1081
Q9SQI9	PROF_ARAHY	ARAHY		Arachis hypogaea (Peanut)	3818	Ara h 5	Ara h 5	3097
Q647G9	CONG_ARAHY	ARAHY		Arachis hypogaea (Peanut)	3818	Ara h 6	Ara h 6	3098
Q5GQ85	ARGR1_ARGRF	ARGRF		Argas reflexus (European pigeon tick)	34604	Arg r 1	Arg r 1	1150
A0A2H4HHY6	GLOX_ARTAN	ARTAN		Artemisia annua (Sweet wormwood)	35608	Art an 7.0101	Art an 7	12010
Q84ZX5	ALL1_ARTVU	ARTVU		Artemisia vulgaris (Mugwort)	4220	Art v 1	Art v 1	3102
Q7M1G9	ALL2_ARTVU	ARTVU		Artemisia vulgaris (Mugwort)	4220	Art v 2	Art v 2	3103
P0C088	NLTP_ARTVU	ARTVU		Artemisia vulgaris (Mugwort)	4220	Art v 3	Art v 3	3104
Q8H2C9	PROF1_ARTVU	ARTVU		Artemisia vulgaris (Mugwort)	4220	Art v 4.01	Art v 4	1652
Q8H2C8	PROF2_ARTVU	ARTVU		Artemisia vulgaris (Mugwort)	4220	Art v 4.02	Art v 4	1653
Q8J1M3	DPP5_ARTBE	ARTBE	DPPV	Arthroderma benhamiae (Trichophyton mentagrophytes)	63400	Tri m 4	Tri m 4	
D4ALV6	AL15_ARTBC	ARTBC		Arthroderma benhamiae (strain ATCC MYA-4681 / CBS 112371) (Trichophyton mentagrophytes)	663331			
D4AN50	BGLA_ARTBC	ARTBC		Arthroderma benhamiae (strain ATCC MYA-4681 / CBS 112371) (Trichophyton mentagrophytes)	663331			
D4ANW6	PHYA_ARTBC	ARTBC		Arthroderma benhamiae (strain ATCC MYA-4681 / CBS 112371) (Trichophyton mentagrophytes)	663331			
D4AQ83	PGA52_ARTBC	ARTBC		Arthroderma benhamiae (strain ATCC MYA-4681 / CBS 112371) (Trichophyton mentagrophytes)	663331			
D4AS55	RNAS_ARTBC	ARTBC		Arthroderma benhamiae (strain ATCC MYA-4681 / CBS 112371) (Trichophyton mentagrophytes)	663331			
D4AV66	PHIA_ARTBC	ARTBC	phiA	Arthroderma benhamiae (strain ATCC MYA-4681 / CBS 112371) (Trichophyton mentagrophytes)	663331			
D4AVD4	CALX_ARTBC	ARTBC		Arthroderma benhamiae (strain ATCC MYA-4681 / CBS 112371) (Trichophyton mentagrophytes)	663331			
D4AYT4	HEX2_ARTBC	ARTBC		Arthroderma benhamiae (strain ATCC MYA-4681 / CBS 112371) (Trichophyton mentagrophytes)	663331			
D4B2H3	ALL7_ARTBC	ARTBC		Arthroderma benhamiae (strain ATCC MYA-4681 / CBS 112371) (Trichophyton mentagrophytes)	663331			
D4B2L8	PDI_ARTBC	ARTBC		Arthroderma benhamiae (strain ATCC MYA-4681 / CBS 112371) (Trichophyton mentagrophytes)	663331			
D4B2W4	BGL2_ARTBC	ARTBC		Arthroderma benhamiae (strain ATCC MYA-4681 / CBS 112371) (Trichophyton mentagrophytes)	663331			
D4B327	PRY1_ARTBC	ARTBC		Arthroderma benhamiae (strain ATCC MYA-4681 / CBS 112371) (Trichophyton mentagrophytes)	663331			
D4B4J2	CRH12_ARTBC	ARTBC		Arthroderma benhamiae (strain ATCC MYA-4681 / CBS 112371) (Trichophyton mentagrophytes)	663331			
P0DN29	AMYG_ARTBC	ARTBC		Arthroderma benhamiae (strain ATCC MYA-4681 / CBS 112371) (Trichophyton mentagrophytes)	663331			
Q06811	ABA1_ASCSU	ASCSU	ABA-1	Ascaris suum (Pig roundworm) (Ascaris lumbricoides)	6253	Asc s 1	Asc s 1	3541
P82257	ALL1_ASPFL	ASPFL		Aspergillus flavus	5059	Asp fl 1	Asp fl 1	
P82258	ALL2_ASPFL	ASPFL		Aspergillus flavus	5059	Asp fl 2	Asp fl 2	
P82259	ALL3_ASPFL	ASPFL		Aspergillus flavus	5059	Asp fl 3	Asp fl 3	
B8N106	ORYZ_ASPFN	ASPFN	alp1	Aspergillus flavus (strain ATCC 200026 / FGSC A1120 / IAM 13836 / NRRL 3357 / JCM 12722 / SRRC 167)	332952	Asp fl 1	Asp fl 1	81
Q1RQJ1	THX28_ASPFM	ASPFM		Aspergillus fumigatus (Neosartorya fumigata)	746128	Asp f 28.0101	Asp f 28	2678
Q1RQJ0	THX29_ASPFM	ASPFM		Aspergillus fumigatus (Neosartorya fumigata)	746128	Asp f 29	Asp f 29	2679
A4FSH5	PHIA_ASPFM	ASPFM	phiA	Aspergillus fumigatus (Neosartorya fumigata)	746128	Asp f 34	Asp f 34	3672
Q875I9	CSN_ASPFM	ASPFM	csn	Aspergillus fumigatus (Neosartorya fumigata)	746128			8985
P67875	RNMG_ASPFU	ASPFU	mitF	Aspergillus fumigatus (strain ATCC MYA-4609 / CBS 101355 / FGSC A1100 / Af293) (Neosartorya fumigata)	330879	Asp f 1	Asp f 1	3107
P40292	HSP90_ASPFU	ASPFU	hsp90	Aspergillus fumigatus (strain ATCC MYA-4609 / CBS 101355 / FGSC A1100 / Af293) (Neosartorya fumigata)	330879	Asp f 12	Asp f 12	3110
P28296	ORYZ_ASPFU	ASPFU	alp1	Aspergillus fumigatus (strain ATCC MYA-4609 / CBS 101355 / FGSC A1100 / Af293) (Neosartorya fumigata)	330879	Asp f 13	Asp f 13	3111
O60022	AL15_ASPFU	ASPFU		Aspergillus fumigatus (strain ATCC MYA-4609 / CBS 101355 / FGSC A1100 / Af293) (Neosartorya fumigata)	330879	Asp f 15	Asp f 15	3112
P87184	ALP2_ASPFU	ASPFU	alp2	Aspergillus fumigatus (strain ATCC MYA-4609 / CBS 101355 / FGSC A1100 / Af293) (Neosartorya fumigata)	330879	Asp f 18	Asp f 18	3114
P79017	ALL2_ASPFU	ASPFU		Aspergillus fumigatus (strain ATCC MYA-4609 / CBS 101355 / FGSC A1100 / Af293) (Neosartorya fumigata)	330879	Asp f 2	Asp f 2	3115
Q96X30	ENO_ASPFU	ASPFU	enoA	Aspergillus fumigatus (strain ATCC MYA-4609 / CBS 101355 / FGSC A1100 / Af293) (Neosartorya fumigata)	330879	Asp f 22	Asp f 22	3116
Q8NKF4	RL3_ASPFU	ASPFU	rpl3	Aspergillus fumigatus (strain ATCC MYA-4609 / CBS 101355 / FGSC A1100 / Af293) (Neosartorya fumigata)	330879	Asp f 23	Asp f 23	1183
O43099	PRX5_ASPFU	ASPFU	aspf3	Aspergillus fumigatus (strain ATCC MYA-4609 / CBS 101355 / FGSC A1100 / Af293) (Neosartorya fumigata)	330879	Asp f 3	Asp f 3	3121
O60024	ALL4_ASPFU	ASPFU		Aspergillus fumigatus (strain ATCC MYA-4609 / CBS 101355 / FGSC A1100 / Af293) (Neosartorya fumigata)	330879	Asp f 4	Asp f 4	3122
P46075	ELM_ASPFU	ASPFU	mep	Aspergillus fumigatus (strain ATCC MYA-4609 / CBS 101355 / FGSC A1100 / Af293) (Neosartorya fumigata)	330879	Asp f 5.0101	Asp f 5	3123
Q92450	SODM_ASPFU	ASPFU	sodB	Aspergillus fumigatus (strain ATCC MYA-4609 / CBS 101355 / FGSC A1100 / Af293) (Neosartorya fumigata)	330879	Asp f 6	Asp f 6	3124
O42799	ALL7_ASPFU	ASPFU		Aspergillus fumigatus (strain ATCC MYA-4609 / CBS 101355 / FGSC A1100 / Af293) (Neosartorya fumigata)	330879	Asp f 7	Asp f 7	3125
Q9UUZ6	RLA2_ASPFU	ASPFU		Aspergillus fumigatus (strain ATCC MYA-4609 / CBS 101355 / FGSC A1100 / Af293) (Neosartorya fumigata)	330879	Asp f 8	Asp f 8	3126
Q8J0P4	CRH5_ASPFU	ASPFU	crh5	Aspergillus fumigatus (strain ATCC MYA-4609 / CBS 101355 / FGSC A1100 / Af293) (Neosartorya fumigata)	330879	Asp f 9	Asp f 9	3113
Q4WB37	CSN_ASPFU	ASPFU	csn	Aspergillus fumigatus (strain ATCC MYA-4609 / CBS 101355 / FGSC A1100 / Af293) (Neosartorya fumigata)	330879			
B0Y473	ALP2_ASPFC	ASPFC	alp2	Aspergillus fumigatus (strain CBS 144.89 / FGSC A1163 / CEA10) (Neosartorya fumigata)	451804	Asp f 18	Asp f 18	70
B0Y004	PHIA_ASPFC	ASPFC	phiA	Aspergillus fumigatus (strain CBS 144.89 / FGSC A1163 / CEA10) (Neosartorya fumigata)	451804	Asp f 34	Asp f 34	3672
Q09095	AVEA_AVESA	AVESA		Avena sativa (Oat)	4498			
Q09097	AVEF_AVESA	AVESA		Avena sativa (Oat)	4498			
Q09114	AVEE_AVESA	AVESA		Avena sativa (Oat)	4498			
P04403	2SS1_BEREX	BEREX	BE2S1	Bertholletia excelsa (Brazil nut tree)	3645	Ber e 1	Ber e 1	3134
P85983	BETA1_BETVU	BETVU		Beta vulgaris (Sugar beet)	161934	Beta v 1	Beta v 1	5798
P85984	PROF_BETVU	BETVU		Beta vulgaris (Sugar beet)	161934	Beta v 2	Beta v 2	5799
P15494	BEV1A_BETPN	BETPN	BETVIA	Betula pendula (European white birch) (Betula verrucosa)	3505	Bet v 1-A	Bet v 1	123
P45431	BEV1B_BETPN	BETPN	BETV1B	Betula pendula (European white birch) (Betula verrucosa)	3505	Bet v 1-B	Bet v 1	89
P43176	BEV1C_BETPN	BETPN	BETV1C	Betula pendula (European white birch) (Betula verrucosa)	3505	Bet v 1-C	Bet v 1	89
P43177	BEV1D_BETPN	BETPN	BETV1D; BETV1H	Betula pendula (European white birch) (Betula verrucosa)	3505	Bet v 1-D/H	Bet v 1-D/H	89
P43178	BEV1E_BETPN	BETPN	BETV1E	Betula pendula (European white birch) (Betula verrucosa)	3505	Bet v 1-E	Bet v 1	89
P43179	BEV1F_BETPN	BETPN	BETV1F; BETV1I	Betula pendula (European white birch) (Betula verrucosa)	3505	Bet v 1-F/I	Bet v 1-F/I	89
P43180	BEV1G_BETPN	BETPN	BETV1G	Betula pendula (European white birch) (Betula verrucosa)	3505	Bet v 1-G	Bet v 1	100
P43183	BEV1J_BETPN	BETPN	BETV1J	Betula pendula (European white birch) (Betula verrucosa)	3505	Bet v 1-J	Bet v 1	101
P43184	BEV1K_BETPN	BETPN	BETV1K	Betula pendula (European white birch) (Betula verrucosa)	3505	Bet v 1-K	Bet v 1	102
P43185	BEV1L_BETPN	BETPN	BETV1L	Betula pendula (European white birch) (Betula verrucosa)	3505	Bet v 1-L	Bet v 1	103
P43186	BEV1M_BETPN	BETPN	BETV1M; BETV1N	Betula pendula (European white birch) (Betula verrucosa)	3505	Bet v 1-M/N	Bet v 1-M/N	107
A4K9Z8	PROF2_BETPN	BETPN		Betula pendula (European white birch) (Betula verrucosa)	3505	Bet v 2	Bet v 2	127
P25816	PROF1_BETPN	BETPN	BETVII	Betula pendula (European white birch) (Betula verrucosa)	3505	Bet v 2	Bet v 2	127
P43187	ALLB3_BETPN	BETPN	BETVIII	Betula pendula (European white birch) (Betula verrucosa)	3505	Bet v 3	Bet v 3	128
Q39419	POLC4_BETPN	BETPN	BETV4	Betula pendula (European white birch) (Betula verrucosa)	3505	Bet v 4	Bet v 4	129
Q9FUW6	BETV6_BETPN	BETPN	BETV6	Betula pendula (European white birch) (Betula verrucosa)	3505	Bet v 6	Bet v 6	131
P81531	CYPH_BETPN	BETPN		Betula pendula (European white birch) (Betula verrucosa)	3505	Bet v 7	Bet v 7	134
P54958	ASP2_BLAGE	BLAGE		Blattella germanica (German cockroach) (Blatta germanica)	6973	Bla g 2	Bla g 2	141
P54962	BLG4_BLAGE	BLAGE		Blattella germanica (German cockroach) (Blatta germanica)	6973	Bla g 4	Bla g 4	143
O18598	GST1_BLAGE	BLAGE		Blattella germanica (German cockroach) (Blatta germanica)	6973	Bla g 5	Bla g 5	144
Q1A7B3	TNNC1_BLAGE	BLAGE		Blattella germanica (German cockroach) (Blatta germanica)	6973	Bla g 6.0101	Bla g 6	145
Q1A7B2	TNNC2_BLAGE	BLAGE		Blattella germanica (German cockroach) (Blatta germanica)	6973	Bla g 6.0201	Bla g 6	145
Q1A7B1	TNNC3_BLAGE	BLAGE		Blattella germanica (German cockroach) (Blatta germanica)	6973	Bla g 6.0301	Bla g 6	145
A1KXI0	CYSP_BLOTA	BLOTA		Blomia tropicalis (Mite)	40697	Blo t 1	Blo t 1	146
Q8MUF6	MYSP_BLOTA	BLOTA		Blomia tropicalis (Mite)	40697	Blo t 11	Blo t 11	148
Q17282	ALL12_BLOTA	BLOTA		Blomia tropicalis (Mite)	40697	Blo t 12	Blo t 12	149
Q17284	FABP_BLOTA	BLOTA		Blomia tropicalis (Mite)	40697	Blo t 13	Blo t 13	150
A7IZE9	ALL21_BLOTA	BLOTA		Blomia tropicalis (Mite)	40697	Blo t 21	Blo t 21	3568
A1KXI1	BLOT3_BLOTA	BLOTA		Blomia tropicalis (Mite)	40697	Blo t 3	Blo t 3	687
O96870	ALL5_BLOTA	BLOTA	BLOT5	Blomia tropicalis (Mite)	40697	Blo t 5	Blo t 5	152
A0A8B0RBM2	ACES_BOMIG	BOMIG	vCaE	Bombus ignitus (Fiery-tailed bumble bee)	130704			
Q7M4I6	PA2_BOMPE	BOMPE		Bombus pensylvanicus (American bumblebee) (Apis pensylvanica)	28643	Bom p 1	Bom p 1	153
Q7M4I3	SP4_BOMPE	BOMPE		Bombus pensylvanicus (American bumblebee) (Apis pensylvanica)	28643	Bom p 4	Bom p 4	154
P82971	PA2_BOMTE	BOMTE		Bombus terrestris (Buff-tailed bumblebee) (Apis terrestris)	30195	Bom t 1	Bom t 1	155
P0CH88	SP4_BOMTE	BOMTE		Bombus terrestris (Buff-tailed bumblebee) (Apis terrestris)	30195	Bom t 4	Bom t 4	156
