token	kind	accession	entry_name	gene	protein	organism	reviewed	length	n_hits	resolved_by
PomBase:SPAC11E3.11c	mod-id	O13690	YDYB_SCHPO		PH and SEC7 domain-containing protein C11E3.11c	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Swiss-Prot	942	1	xref:pombase-SPAC11E3.11c
PomBase:SPBC211.03c	mod-id	Q9P7R8	YHV3_SCHPO		Uncharacterized protein C211.03	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Swiss-Prot	1462	1	xref:pombase-SPBC211.03c
RGD:1560793	mod-id	D4A631	BIG1_RAT	Arfgef1	Brefeldin A-inhibited guanine nucleotide-exchange protein 1	Rattus norvegicus	Swiss-Prot	1846	3	xref:rgd-1560793
RGD:631430	mod-id	Q7TSU1	BIG2_RAT	Arfgef2	Brefeldin A-inhibited guanine nucleotide-exchange protein 2	Rattus norvegicus	Swiss-Prot	1791	2	xref:rgd-631430
SGD:S000000748	mod-id	P39993	GEA2_YEAST	GEA2	ARF guanine-nucleotide exchange factor 2	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Swiss-Prot	1459	1	xref:sgd-S000000748
SGD:S000002577	mod-id	P11075	SEC7_YEAST	SEC7	ADP-ribosylation factor guanine nucleotide-exchange factor SEC7	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Swiss-Prot	2009	1	xref:sgd-S000002577
SGD:S000003792	mod-id	P47102	GEA1_YEAST	GEA1	ARF guanine-nucleotide exchange factor 1	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Swiss-Prot	1408	1	xref:sgd-S000003792
SGD:S000005241	mod-id	P48563	MON2_YEAST	MON2	Protein MON2	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Swiss-Prot	1636	1	xref:sgd-S000005241
SGD:S000006299	mod-id	Q06836	SYT1_YEAST	SYT1	Arf guanine nucleotide exchange factor SYT1	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Swiss-Prot	1226	1	xref:sgd-S000006299
UniProtKB-SubCell:SL-0086	uniprotkb-subcell									n/a
UniProtKB-SubCell:SL-0132	uniprotkb-subcell									n/a
UniProtKB-SubCell:SL-0181	uniprotkb-subcell									n/a
UniProtKB-SubCell:SL-0188	uniprotkb-subcell									n/a
UniProtKB-SubCell:SL-0191	uniprotkb-subcell									n/a
UniProtKB-SubCell:SL-0198	uniprotkb-subcell									n/a
UniProtKB:A5PKW4	protein	A5PKW4	PSD1_HUMAN	PSD	PH and SEC7 domain-containing protein 1	Homo sapiens	Swiss-Prot	1024	1	direct accession
UniProtKB:B2RTY4	protein	B2RTY4	MYO9A_HUMAN	MYO9A	Unconventional myosin-IXa	Homo sapiens	Swiss-Prot	2548	1	direct accession
UniProtKB:D4A631	protein	D4A631	BIG1_RAT	Arfgef1	Brefeldin A-inhibited guanine nucleotide-exchange protein 1	Rattus norvegicus	Swiss-Prot	1846	1	direct accession
UniProtKB:O43739	protein	O43739	CYH3_HUMAN	CYTH3	Cytohesin-3	Homo sapiens	Swiss-Prot	400	1	direct accession
UniProtKB:P19338	protein	P19338	NUCL_HUMAN	NCL	Nucleolin	Homo sapiens	Swiss-Prot	710	1	direct accession
UniProtKB:P55160	protein	P55160	NCKPL_HUMAN	NCKAP1L	Nck-associated protein 1-like	Homo sapiens	Swiss-Prot	1127	1	direct accession
UniProtKB:Q13459	protein	Q13459	MYO9B_HUMAN	MYO9B	Unconventional myosin-IXb	Homo sapiens	Swiss-Prot	2157	1	direct accession
UniProtKB:Q13459-2	protein	Q13459	MYO9B_HUMAN	MYO9B	Unconventional myosin-IXb	Homo sapiens	Swiss-Prot	2157	1	direct accession
UniProtKB:Q14432	protein	Q14432	PDE3A_HUMAN	PDE3A	cGMP-inhibited 3',5'-cyclic phosphodiesterase 3A	Homo sapiens	Swiss-Prot	1141	1	direct accession
UniProtKB:Q14678	protein	Q14678	KANK1_HUMAN	KANK1	KN motif and ankyrin repeat domain-containing protein 1	Homo sapiens	Swiss-Prot	1352	1	direct accession
UniProtKB:Q15438	protein	Q15438	CYH1_HUMAN	CYTH1	Cytohesin-1	Homo sapiens	Swiss-Prot	398	1	direct accession
UniProtKB:Q5JU85	protein	Q5JU85	IQEC2_HUMAN	IQSEC2	IQ motif and SEC7 domain-containing protein 2	Homo sapiens	Swiss-Prot	1488	1	direct accession
UniProtKB:Q7Z4S6	protein	Q7Z4S6	KI21A_HUMAN	KIF21A	Kinesin-like protein KIF21A	Homo sapiens	Swiss-Prot	1674	1	direct accession
UniProtKB:Q7Z4S6-2	protein	Q7Z4S6	KI21A_HUMAN	KIF21A	Kinesin-like protein KIF21A	Homo sapiens	Swiss-Prot	1674	1	direct accession
UniProtKB:Q8K3E7	protein	Q8K3E7	DPY30_RAT	Dpy30	Protein dpy-30 homolog	Rattus norvegicus	Swiss-Prot	99	1	direct accession
UniProtKB:Q8WUA7	protein	Q8WUA7	TB22A_HUMAN	TBC1D22A	TBC1 domain family member 22A	Homo sapiens	Swiss-Prot	517	1	direct accession
UniProtKB:Q92538	protein	Q92538	GBF1_HUMAN	GBF1	Golgi-specific brefeldin A-resistance guanine nucleotide exchange factor 1	Homo sapiens	Swiss-Prot	1860	1	direct accession
UniProtKB:Q99417	protein	Q99417	MYCBP_HUMAN	MYCBP	c-Myc-binding protein	Homo sapiens	Swiss-Prot	103	1	direct accession
UniProtKB:Q9NU19	protein	Q9NU19	TB22B_HUMAN	TBC1D22B	TBC1 domain family member 22B	Homo sapiens	Swiss-Prot	505	1	direct accession
UniProtKB:Q9UIA0	protein	Q9UIA0	CYH4_HUMAN	CYTH4	Cytohesin-4	Homo sapiens	Swiss-Prot	394	1	direct accession
UniProtKB:Q9Y6D5	protein	Q9Y6D5	BIG2_HUMAN	ARFGEF2	Brefeldin A-inhibited guanine nucleotide-exchange protein 2	Homo sapiens	Swiss-Prot	1785	1	direct accession
UniProtKB:Q9Y6D6	protein	Q9Y6D6	BIG1_HUMAN	ARFGEF1	Brefeldin A-inhibited guanine nucleotide-exchange protein 1	Homo sapiens	Swiss-Prot	1849	1	direct accession
WB:WBGene00007703	mod-id	G5EGS5	GBF1_CAEEL	gbf-1	Golgi-specific brefeldin A-resistance guanine nucleotide exchange factor 1 homolog	Caenorhabditis elegans	Swiss-Prot	1975	1	free-text (WB gene ids are not in xref:wormbase)
dictyBase:DDB_G0272486	mod-id	Q86KG9	Q86KG9_DICDI		Pleckstrin domain-containing protein	Dictyostelium discoideum	TrEMBL	931	1	xref:dictybase-DDB_G0272486
ensembl:ENSRNOP00000007766	ensembl									n/a
