AI suggested action	AI note	COMMENT (FIXED /OK) - by Contributor	Contributor note	Git handle of respondent	assigned_by	bioentity	bioentity_label	reference	qualifier	annotation_class	annotation_class_label	evidence_type	evidence_with	bioentity_isoform	panther_family	date	annotation_extension_class	taxon
TRANSFER_TO_MF_GO:0140474 + ADD_BP: GO:0000423 (mitophagy)	PMID:35831024 shows by IMP in Drosophila that reducing pdzd8-mediated MERC contacts promotes mitophagy (GO:0000423) in aging neurons, extends lifespan, and protects against mitochondrial toxins; the paper provides direct experimental evidence that pdzd8-mediated tethering regulates mitophagy as a downstream BP beyond the tethering step itself.				FlyBase	FB:FBgn0030358	Pdzd8	PMID:35831024		GO:1990456	mitochondrion-endoplasmic reticulum membrane tethering	IMP		FB:FBgn0030358	PANTHER:PTHR21519	20220810		NCBITaxon:7227
TRANSFER_TO_MF_GO:0140474 + ADD_BP: GO:0097553 (calcium ion transmembrane transport from endoplasmic reticulum) + ADD_BP: GO:0006119 (oxidative phosphorylation)	PMID:32661288 shows by IMP in Selenon KO mice that Selenon (SEPN1) is enriched at MAMs and is required for both ER-mitochondria contact integrity and Ca2+ transients between ER and mitochondria; its absence impairs mitochondrial bioenergetics (OXPHOS), directly supporting BP annotations for ER-to-mitochondria Ca2+ transfer and oxidative phosphorylation beyond the tethering activity.				MGI	MGI:MGI:2151208	Selenon	PMID:32661288		GO:1990456	mitochondrion-endoplasmic reticulum membrane tethering	IMP		MGI:MGI:2151208	PANTHER:PTHR16213	20240508		NCBITaxon:10090
TRANSFER_TO_MF_GO:0140474 + ADD_BP: GO:0000002 (maintenance of mitochondrial genome) + ADD_BP: GO:0006654 (phosphatidic acid biosynthetic process, or more specifically phospholipid transfer between ER and mitochondria)	PMID:19556461 is the founding ERMES paper demonstrating by IMP that Mdm34 is an ERMES subunit required for ER-mitochondria tethering; the paper directly shows impaired phospholipid exchange (PS-to-PC conversion rate 2-5 fold reduced) and reduced cardiolipin in ERMES mutants, supporting a BP annotation for interorganelle phospholipid transport beyond just tethering.				SGD	SGD:S000003187	MDM34	PMID:19556461		GO:1990456	mitochondrion-endoplasmic reticulum membrane tethering	IMP		SGD:S000003187	PANTHER:PTHR28185	20140825		NCBITaxon:559292
TRANSFER_TO_MF_GO:0140474 + ADD_BP: GO:0006654 (phosphatidic acid biosynthetic process, or phospholipid transfer)	PMID:19556461 demonstrates by IMP that Mdm10 is an ERMES subunit required for ER-mitochondria tethering, and that ERMES mutants (including mdm10 deletions) show impaired phospholipid exchange between ER and mitochondria (reduced PS-to-PC conversion and cardiolipin levels), supporting a BP annotation for phospholipid transport.				SGD	SGD:S000000008	MDM10	PMID:19556461		GO:1990456	mitochondrion-endoplasmic reticulum membrane tethering	IMP		SGD:S000000008	PANTHER:PTHR28035	20140825		NCBITaxon:559292
TRANSFER_TO_MF_GO:0140474 + ADD_BP: GO:0006654 (phosphatidic acid biosynthetic process, or phospholipid transfer)	PMID:19556461 demonstrates by IMP that Mmm1 is the ER-resident ERMES subunit required for ER-mitochondria tethering; ERMES mutants show 2-5 fold reduction in PS-to-PC conversion rate demonstrating impaired phospholipid exchange, supporting a BP annotation for interorganelle phospholipid transport.				SGD	SGD:S000003929	MMM1	PMID:19556461		GO:1990456	mitochondrion-endoplasmic reticulum membrane tethering	IMP		SGD:S000003929	PANTHER:PTHR13466	20140825		NCBITaxon:559292
TRANSFER_TO_MF_GO:0140474 + ADD_BP: GO:0006654 (phosphatidic acid biosynthetic process, or phospholipid transfer)	PMID:19556461 demonstrates by IMP that Mdm12 is a peripheral OMM ERMES subunit required for ER-mitochondria tethering; ChiMERA expression rescues mdm12 deletion phenotypes and ERMES mutants show impaired phospholipid biosynthesis/exchange, supporting a BP annotation for interorganelle phospholipid transport.				SGD	SGD:S000005369	MDM12	PMID:19556461		GO:1990456	mitochondrion-endoplasmic reticulum membrane tethering	IMP		SGD:S000005369	PANTHER:PTHR28204	20140825		NCBITaxon:559292
TRANSFER_TO_MF_GO:0140474 + ADD_BP: GO:0006654 (phospholipid transfer between ER and mitochondria)	PMID:21825164 shows by IMP that Gem1 is a regulatory ERMES subunit that controls ERMES number and size; gem1 deletion phenotypes resemble ERMES mutants including impaired phospholipid homeostasis (synthetic lethality with CRD1, reduced cardiolipin pathway), and the second GTPase domain of Gem1 is required for ERMES function in phospholipid exchange, directly supporting a BP for phospholipid transfer.				SGD	SGD:S000000046	GEM1	PMID:21825164		GO:1990456	mitochondrion-endoplasmic reticulum membrane tethering	IMP		SGD:S000000046	PANTHER:PTHR24072	20140825		NCBITaxon:559292
TRANSFER_TO_MF_GO:0140474 + ADD_BP: GO:0048313 (mitochondrion distribution)	PMID:23682313 shows by IMP that Gem1 is spatially and functionally linked to ER-associated mitochondrial division (ERMD); gem1 deletion causes stable ER-mitochondria constrictions that fail to resolve, impairing distribution of mitochondria and mitochondrial nucleoids into daughter cells, directly supporting a BP annotation for mitochondrion distribution (GO:0048313).				SGD	SGD:S000000046	GEM1	PMID:23682313		GO:1990456	mitochondrion-endoplasmic reticulum membrane tethering	IMP		SGD:S000000046	PANTHER:PTHR24072	20160218		NCBITaxon:559292
TRANSFER_TO_MF_GO:0140474 + ADD_BP: GO:0097553 (calcium ion transmembrane transport from endoplasmic reticulum)	PMID:21285369 demonstrates by IMP that PSEN2 overexpression or knockdown modulates the physical interaction between ER and mitochondria and directly alters the efficiency of Ca2+ transfer from ER to mitochondria, with FAD mutants strongly favoring Ca2+ shuttling; this supports a BP annotation for ER-to-mitochondria Ca2+ transfer beyond the tethering activity.				UniProt	UniProtKB:P49810	PSEN2	PMID:21285369		GO:1990456	mitochondrion-endoplasmic reticulum membrane tethering	IMP		UniProtKB:P49810	PANTHER:PTHR10202	20181206		NCBITaxon:9606
TRANSFER_TO_MF_GO:0140474 + ADD_BP: GO:0006915 (apoptotic process)	PMID:27995898 demonstrates by IMP that IRBIT (AHCYL1) promotes ER-mitochondria contact and thereby facilitates massive Ca2+ transfer to mitochondria that promotes apoptosis; the paper directly shows IRBIT promotes apoptosis by both inhibiting Bcl2l10 and by increasing ER-mitochondria contact, supporting a BP annotation for apoptotic process in addition to the MF transfer.				UniProt	UniProtKB:O43865	AHCYL1	PMID:27995898		GO:1990456	mitochondrion-endoplasmic reticulum membrane tethering	IMP		UniProtKB:O43865	PANTHER:PTHR23420	20200615		NCBITaxon:9606
TRANSFER_TO_MF_GO:0140474	PMID:28890335 shows that VMP1/EPG-3 controls ER contacts with isolation membranes, mitochondria, lipid droplets, and endosomes by promoting SERCA activity; ATP2A2 (SERCA2) is identified as the target of VMP1 regulation — ATP2A2 is the enzyme whose activity is modulated to control contact site dynamics rather than being itself a tethering protein, and the paper does not provide direct evidence for ATP2A2 mediating ER-mitochondria contacts independently.				UniProt	UniProtKB:P16615	ATP2A2	PMID:28890335		GO:1990456	mitochondrion-endoplasmic reticulum membrane tethering	IDA		UniProtKB:P16615	PANTHER:PTHR42861	20201216		NCBITaxon:9606
TRANSFER_TO_MF_GO:0140474	PMID:28890335 identifies calmodulin (CALM1) as a sensor/effector that modulates VMP1/SERCA-mediated ER contact sites including ER-mitochondria contacts; calmodulin itself is not demonstrated to be a primary tethering protein but rather acts downstream of SERCA activity to modulate contact dynamics, so no additional BP beyond the MF transfer is clearly supported by the primary evidence in this paper for CALM1.				UniProt	UniProtKB:P0DP23	CALM1	PMID:28890335		GO:1990456	mitochondrion-endoplasmic reticulum membrane tethering	IDA		UniProtKB:P0DP23	PANTHER:PTHR23050	20201216		NCBITaxon:9606
TRANSFER_TO_MF_GO:0140474 + ADD_BP: GO:0006914 (autophagy)	PMID:28890335 shows by IDA that VMP1 controls ER-isolation membrane contacts for autophagosome formation (GO:0006914 autophagy) and also modulates ER-mitochondria contacts through SERCA activity regulation; the paper directly demonstrates VMP1's primary function is in autophagosome formation, making autophagy a well-supported BP annotation alongside the MF transfer.				UniProt	UniProtKB:Q96GC9	VMP1	PMID:28890335		GO:1990456	mitochondrion-endoplasmic reticulum membrane tethering	IDA		UniProtKB:Q96GC9	PANTHER:PTHR10281	20201216		NCBITaxon:9606
TRANSFER_TO_MF_GO:0140474 + ADD_BP: GO:0097553 (calcium ion transmembrane transport from endoplasmic reticulum)	PMID:29097544 demonstrates by IDA in mouse neurons that Pdzd8 is required for ER-mitochondria contact formation and that PDZD8-mediated tethering is specifically required for Ca2+ uptake by mitochondria after synaptic ER Ca2+ release; reduced Pdzd8 significantly impairs mitochondrial Ca2+ import without altering ER Ca2+ release, directly supporting a BP annotation for ER-to-mitochondria Ca2+ transfer.				UniProt	MGI:MGI:2677270	Pdzd8	PMID:29097544		GO:1990456	mitochondrion-endoplasmic reticulum membrane tethering	IDA		MGI:MGI:2677270	PANTHER:PTHR21519	20171114		NCBITaxon:10090
TRANSFER_TO_MF_GO:0140474 + ADD_BP: GO:0097553 (calcium ion transmembrane transport from endoplasmic reticulum)	PMID:29097544 demonstrates by IDA that human PDZD8 is an ER-resident protein at ER-mitochondria contacts (80% reduction of contacts in PDZD8 KO cells) and that PDZD8-mediated tethering is required for efficient Ca2+ transfer from ER to mitochondria in mammalian cells, directly supporting a BP annotation for ER-to-mitochondria Ca2+ transfer.				UniProt	UniProtKB:Q8NEN9	PDZD8	PMID:29097544		GO:1990456	mitochondrion-endoplasmic reticulum membrane tethering	IDA		UniProtKB:Q8NEN9	PANTHER:PTHR21519	20171114		NCBITaxon:9606
TRANSFER_TO_MF_GO:0140474	PMID:26852331 is a bioinformatics study identifying ERMES subunit homologs (including Mmm1, Mdm10, Mdm12, Mdm34, Gem1) in Amoebozoa genomes by sequence similarity; no functional experiments were performed in Dictyostelium, and the TAS annotation reflects inferred homology only, without direct evidence for a specific BP beyond tethering.				dictyBase	dictyBase:DDB_G0278805	DDB_G0278805	PMID:26852331		GO:1990456	mitochondrion-endoplasmic reticulum membrane tethering	TAS		dictyBase:DDB_G0278805		20161107		NCBITaxon:44689
TRANSFER_TO_MF_GO:0140474	PMID:26852331 is a bioinformatics study identifying Gem1 (gemA) homologs in Amoebozoa by sequence similarity analysis of genomes and transcriptomes; the TAS annotation is based on sequence homology with no functional experiments in Dictyostelium, so no additional BP is supported.				dictyBase	dictyBase:DDB_G0267830	gemA	PMID:26852331		GO:1990456	mitochondrion-endoplasmic reticulum membrane tethering	TAS		dictyBase:DDB_G0267830	PANTHER:PTHR24072	20161107		NCBITaxon:44689
TRANSFER_TO_MF_GO:0140474	PMID:26852331 is a bioinformatics study identifying Mdm34 homologs in Amoebozoa by sequence similarity; the TAS annotation is based on sequence homology with no functional experiments in Dictyostelium, so no additional BP is supported beyond the MF transfer.				dictyBase	dictyBase:DDB_G0274475	DDB_G0274475	PMID:26852331		GO:1990456	mitochondrion-endoplasmic reticulum membrane tethering	TAS		dictyBase:DDB_G0274475	PANTHER:PTHR28185	20161107		NCBITaxon:44669
TRANSFER_TO_MF_GO:0140474	PMID:26852331 is a bioinformatics study identifying Mmm1 homologs in Amoebozoa by sequence similarity; the TAS annotation is based on sequence homology with no functional experiments in Dictyostelium, so no additional BP is supported beyond the MF transfer.				dictyBase	dictyBase:DDB_G0285921	DDB_G0285921	PMID:26852331		GO:1990456	mitochondrion-endoplasmic reticulum membrane tethering	TAS		dictyBase:DDB_G0285921	PANTHER:PTHR13466	20161107		NCBITaxon:44689
TRANSFER_TO_MF_GO:0140474	PMID:26852331 is a bioinformatics study identifying Mdm12 homologs in Amoebozoa by sequence similarity; the TAS annotation is based on sequence homology with no functional experiments in Dictyostelium, so no additional BP is supported beyond the MF transfer.				dictyBase	dictyBase:DDB_G0278277	DDB_G0278277	PMID:26852331		GO:1990456	mitochondrion-endoplasmic reticulum membrane tethering	TAS		dictyBase:DDB_G0278277	PANTHER:PTHR28204	20161107		NCBITaxon:44689
