accession,organism,protein_name,pred_id,pred_label,match_category,assessment,confidence,phmmer_hit_relevant,reasoning
A0A8B6GS20,Mytilus galloprovincialis (Mediterranean mussel),Myotubularin-related protein 9 (MTMR9),GO:0004438,phosphatidylinositol-3-phosphate phosphatase activity,NO_OVERLAP,MULTIDOMAIN_FALSE_POSITIVE,HIGH,False,"The phmmer hit A6QLT2 is bovine MTMR2, a catalytically active myotubularin phosphatase (EC 3.1.3.95), while the target protein A0A8B6GS20 is annotated as MTMR9, a catalytically DEAD (inactive) pseudophosphatase. MTMR9 lacks the critical Cys residue in the PTP catalytic loop (replaced by Gly), rendering it unable to catalyze phosphatidylinositol dephosphorylation. Both share the myotubularin phosphatase domain fold (IPR030564, IPR010569) which explains the phmmer hit (score 167.2), but MTMR9 functions as a regulatory subunit that heterodimerizes with active MTMRs (MTMR6/7/8) to modulate their activity rather than possessing intrinsic phosphatase activity itself. This is a classic paralog misannotation where an active enzyme's catalytic function is incorrectly transferred to a catalytically dead family member that shares the same domain architecture. The existing GOA annotations correctly annotate A0A8B6GS20 with GO:0019903 (protein phosphatase binding) and GO:0046856 (phosphatidylinositol dephosphorylation) but notably do NOT include any catalytic phosphatase activity term."
A0A8C2TBA7,Coturnix japonica (Japanese quail),Peptidylglycine alpha-amidating monooxygenase (PAM),GO:0031418,L-ascorbic acid binding,NO_OVERLAP,PHMMER_TRANSFER_PLAUSIBLE,HIGH,True,"The phmmer hit P10731 is bovine PAM, a clear 1:1 ortholog (score 1485.9, identical domain architecture: copper type II ascorbate-dependent monooxygenase + NHL repeats + PAL domain). P10731 is annotated with GO:0031418 in UniProt/GOA. L-ascorbic acid binding is biologically correct for PAM - the PHM domain requires L-ascorbate as an electron donor for its copper-dependent monooxygenase reaction. The quail protein already has monooxygenase activity (GO:0004497) annotated but lacks this specific cofactor-binding term. While the prediction is accurate, it is a straightforward ortholog transfer from the well-characterized bovine enzyme - exactly equivalent to what an ISO/ISS annotation would provide. No taxonomic issues (both are vertebrates). This adds genuine information about cofactor specificity not captured by existing generic monooxygenase annotations, but it is not a novel ML insight beyond standard sequence similarity transfer."
A0A8C5FPT8,Gadus morhua (Atlantic cod),Rab-GAP TBC domain-containing protein (TBC1D14),GO:0005776,autophagosome,MORE_SPECIFIC,PHMMER_TRANSFER_PLAUSIBLE,HIGH,True,"The phmmer hit A6H7I8 is bovine TBC1D14 (score 791.8), a clear 1:1 ortholog sharing the same Rab-GAP TBC domain architecture. Both are vertebrate TBC1D14 proteins. The bovine ortholog has a curated autophagosome (GO:0005776) CC annotation based on its well-characterized role in regulating starvation-induced autophagosome formation via TRAPPIII complex and ATG9 cycling. Autophagosome is_a vacuole in the GO hierarchy, so this prediction refines the existing vacuole annotation (GO:0005773) to a more specific child term. Autophagy is highly conserved across eukaryotes including teleost fish, so the prediction is biologically plausible. However, this is essentially standard ortholog-based annotation transfer (equivalent to ISS/ISO evidence) rather than a genuinely novel ML insight - a curator performing sequence similarity-based annotation would arrive at the same conclusion. The prediction adds specificity over the existing vacuole annotation but does not reveal new biology beyond what ortholog transfer provides."
A0A8C9H4D2,Piliocolobus tephrosceles (Ugandan red colobus),Olfactomedin-like protein 2A (OLFML2A),GO:0031012,extracellular matrix,NO_OVERLAP,TRIVIALLY_DERIVABLE,HIGH,True,"A0A8C9H4D2 already has GO:0005576 (extracellular region) annotated via IEA, and GO:0031012 (extracellular matrix) is a direct descendant of extracellular region in the GO hierarchy. The phmmer hit Q68BL7 is the human ortholog of the same gene (OLFML2A, phmmer score 975.8, both primates, identical domain architecture with olfactomedin-like domain), and Q68BL7 itself has GO:0031012 annotated via IEA from Ensembl. While the prediction is biologically correct -- OLFML2A is a secreted glycoprotein that binds ECM components like heparin and chondroitin sulfate E -- the prediction is trivially derivable as a more specific child of the existing extracellular region annotation and is already present on the human ortholog as an IEA annotation."
A0A8C9H4D2,Piliocolobus tephrosceles (Ugandan red colobus),Olfactomedin-like protein 2A (OLFML2A),GO:0030198,extracellular matrix organization,NO_OVERLAP,PHMMER_TRANSFER_PLAUSIBLE,MEDIUM,True,"The phmmer hit Q68BL7 is the human OLFML2A ortholog (score 975.8, both primates, same olfactomedin-like domain architecture), making this a highly reliable ortholog. OLFML2A is a secreted glycoprotein with documented ECM binding activity (binds heparin and chondroitin sulfate E) and is annotated to extracellular matrix binding (GO:0050840) in the human ortholog. ECM organization is biologically plausible for a protein that binds ECM components and localizes to the ECM. However, Q68BL7 does not appear to have GO:0030198 explicitly annotated in QuickGO (though some databases like RGD report it). The prediction is reasonable but represents a functional inference from ECM binding and localization rather than direct experimental evidence. This is essentially what an ISS/ISO transfer would provide -- plausible but not definitively supported by experimental data on the specific biological process."
A0A8J0SCI2,Xenopus tropicalis,Gastrula zinc finger protein XlCGF17.1-like,GO:0001228,"DNA-binding transcription activator activity, RNA polymerase II-specific",MORE_SPECIFIC,PHMMER_TRANSFER_DUBIOUS,MEDIUM,False,"GO:0001228 is a direct child of GO:0000981, which is already annotated on this protein, so the prediction is more specific than existing knowledge. However, there are significant concerns: (1) The phmmer hit A8MQ14 (human ZNF850) has very different domain architecture - 32 C2H2 zinc fingers plus a KRAB domain at 1090 aa, versus the target's 8 C2H2 zinc fingers and no KRAB domain at 265 aa, making it unlikely to be a true ortholog. (2) The phmmer hit itself does NOT carry GO:0001228, so the prediction is not a straightforward transfer. (3) KRAB-ZNF proteins are canonically transcriptional repressors (the KRAB domain recruits KAP1/TRIM28 repressive complexes), so predicting activator activity from a KRAB-ZNF hit is biologically dubious. (4) The target protein ('may be involved in transcriptional regulation') has no experimental evidence for activator vs repressor function. The prediction adds specificity (activator) beyond what is currently supported, and the basis for choosing activator over repressor is unclear and potentially incorrect given the KRAB-ZNF phmmer hit."
A0A8M9QG43,Danio rerio (zebrafish),"Auxilin (DnaJ homolog subfamily C member 6, dnajc6)",GO:0016311,dephosphorylation,NO_OVERLAP,TRIVIALLY_DERIVABLE,HIGH,True,"A0A8M9QG43 is the zebrafish ortholog of bovine Auxilin (Q27974, DNAJC6), confirmed by a very high phmmer score of 1163.8 and identical three-domain architecture (Phosphatase tensin-type, C2 tensin-type, J domain). The phmmer hit is a true ortholog. However, the predicted term GO:0016311 'dephosphorylation' (a biological process) is the direct cross-aspect counterpart of GO:0004721 'phosphoprotein phosphatase activity' (a molecular function), which is already annotated on A0A8M9QG43 via IEA. If a protein has phosphatase activity (MF), it logically participates in dephosphorylation (BP) -- this is a standard MF-to-BP cross-aspect inference that adds no genuinely new biological insight. Furthermore, the primary function of Auxilin/DNAJC6 is as a co-chaperone in clathrin coat disassembly; the phosphatase domain (PTEN-like) has only 'Probable' phosphatase activity per UniProt, making this a secondary and somewhat uncertain function rather than a novel discovery."
A0BFB4,Paramecium tetraurelia,Protein kinase domain-containing protein (uncharacterized),GO:0006468,protein phosphorylation,NO_OVERLAP,TRIVIALLY_DERIVABLE,HIGH,True,"A0BFB4 is a protein kinase domain-containing protein (Pfam PF00069, Pkinase) already annotated with GO:0004674 'protein serine/threonine kinase activity' (IBA). GO:0006468 'protein phosphorylation' is the direct biological process counterpart of kinase activity -- any protein with serine/threonine kinase activity is by definition involved in protein phosphorylation. This is a standard cross-aspect (MF->BP) inference that GO pipelines routinely derive. Furthermore, the evidence string references GO:0018105 'peptidyl-serine phosphorylation', which is a MORE specific child of GO:0006468, making the predicted term actually less informative than the evidence source. The prediction is biologically correct for this organism (protein phosphorylation is universal) but adds no information beyond what is trivially derivable from the existing kinase activity annotation. The protein is also annotated to autophagy-related BP terms (autophagosome assembly, regulation of autophagy) via IBA, and its PANTHER family (PTHR44167) suggests it is an autophagy-related kinase, likely an ATG1/ULK1 ortholog. The prediction of generic 'protein phosphorylation' is both less specific than the existing BP annotations and trivially implied by the MF annotation."
C6T1A2,Glycine max (soybean),C2H2-Zn transcription factor (Glyma17g18110.1),GO:0009788,negative regulation of abscisic acid-activated signaling pathway,NO_OVERLAP,PHMMER_TRANSFER_PLAUSIBLE,MEDIUM,True,"The phmmer hit Q39266 (ZFP7, Arabidopsis) shares the same domain architecture as C6T1A2: both are ~210 aa single C2H2 zinc finger proteins classified in the same InterPro family IPR053266 (Zinc_finger_protein_7). Both are angiosperms, making cross-species transfer phylogenetically reasonable. ZFP7 has been experimentally shown to negatively regulate ABA signaling during germination (PMID:24808098), and ABA signaling is well-conserved across angiosperms including soybean. Soybean C2H2 zinc fingers (e.g., GsZFP1) have been shown to modulate ABA sensitivity. However, the phmmer score of 81.5 is moderate, and the C2H2 zinc finger family is extremely large and functionally diverse - membership in the same IPR053266 family supports but does not guarantee orthology. The specific role in ABA signaling could be a derived function of a particular ZFP subclade rather than shared across all family members. This prediction is essentially what an ISS/ISO annotation would provide - plausible but requiring experimental validation in soybean."
C6T1A2,Glycine max (soybean),C2H2-Zn transcription factor (Glyma17g18110.1),GO:0005634,nucleus,NO_OVERLAP,TRIVIALLY_DERIVABLE,HIGH,True,"Nuclear localization is trivially expected for any C2H2-type zinc finger transcription factor. C6T1A2 is already annotated with zinc ion binding (GO:0008270), and its InterPro classification places it in the zinc finger protein 7 family, which are transcription factors. Transcription factors by definition function in the nucleus. Multiple soybean C2H2 ZFPs have been experimentally confirmed as nuclear-localized. While this prediction is almost certainly correct, it adds minimal new biological insight - it is essentially derivable from the protein's classification as a transcription factor. The high model confidence (0.97) reflects how straightforward this inference is."
D3VIU4,Xenorhabdus nematophila,Cystine transport protein FliY,GO:0015276,ligand-gated monoatomic ion channel activity,NO_OVERLAP,MULTIDOMAIN_FALSE_POSITIVE,HIGH,True,"D3VIU4 is a periplasmic cystine-binding protein (FliY) of an ABC transporter in Xenorhabdus nematophila. The phmmer hit P0AEM9 (E. coli TcyJ/FliY, score 183.1) is a true ortholog -- both are bacterial solute-binding protein family 3 members (PF00497/SBP_bac_3) involved in cystine/cysteine import. However, the GO:0015276 (ligand-gated ion channel activity) prediction is completely wrong. This arises because P0AEM9 carries a spurious InterPro domain assignment IPR001320 (ionotropic glutamate receptor C-terminal), reflecting the known ancient structural homology between bacterial periplasmic binding protein folds and eukaryotic ionotropic glutamate receptor ligand-binding domains. These are structurally related but functionally unrelated: SBPs deliver substrates to ABC transporters, while ionotropic receptors are ligand-gated ion channels in animal neurons. The protein has no ion channel activity, no transmembrane channel domain, and bacteria like Xenorhabdus do not have ligand-gated ion channels of this type. This is a false positive from structural fold similarity leading to incorrect domain-to-GO transfer."
F4JLB7,Arabidopsis thaliana,ROP-interactive CRIB motif-containing protein 7 (RIC7),GO:0016310,phosphorylation,NO_OVERLAP,MULTIDOMAIN_FALSE_POSITIVE,HIGH,False,"The phmmer hit Q5S006 is mouse LRRK2 (2,527 aa), a massive multidomain kinase containing LRR repeats + Roc GTPase + COR + protein kinase + WD40 domains. F4JLB7/RIC7 (450 aa) contains only LRR domains and a CRIB motif -- no kinase domain whatsoever. The phmmer score of 33.0 is extremely low, reflecting only weak LRR domain similarity. The phosphorylation annotation in LRRK2 derives from its kinase domain, which is entirely absent in RIC7. RIC7 is a ROP GTPase effector protein involved in signaling and pollen tube growth, with no evidence of catalytic kinase activity. This is a textbook multidomain false positive: LRR domain similarity is used to transfer a kinase-domain-derived annotation."
F4JLB7,Arabidopsis thaliana,ROP-interactive CRIB motif-containing protein 7 (RIC7),GO:0016301,kinase activity,NO_OVERLAP,MULTIDOMAIN_FALSE_POSITIVE,HIGH,False,"The PANTHER family PTHR48057:SF13 evidence and the implicit connection to LRRK2-like proteins does not support kinase activity for F4JLB7/RIC7. RIC7 is a 450 aa LRR-containing signaling effector with a CRIB motif for ROP GTPase interaction. It completely lacks any kinase domain (no Pfam PF00069 protein kinase domain, no ATP-binding site, no catalytic residues). Its existing GO annotations include signaling receptor activity (GO:0038023) and signal transduction (GO:0007165), consistent with its role as an effector/adaptor rather than a catalytic kinase. The model confidence of 0.23 is very low. The prediction likely arises from superficial LRR domain similarity to receptor-like kinases (RLKs), but RIC7 is an LRR receptor-like protein (RLP) that lacks the intracellular kinase domain characteristic of RLKs."
F6LAX4,Triticum aestivum (wheat),"Protein phosphatase 2A structural subunit (PP2A regulatory subunit A, HEAT repeat protein)",GO:0046982,protein heterodimerization activity,NO_OVERLAP,PHMMER_TRANSFER_PLAUSIBLE,MEDIUM,True,"P30153 (human PPP2R1A) is a true ortholog of this wheat PP2A structural subunit, sharing identical HEAT repeat domain architecture and high phmmer score (735.4). PP2A regulatory subunit A does form heterodimeric and heterotrimeric complexes with catalytic and regulatory B subunits, so heterodimerization activity is biologically plausible. However, the model score is very low (0.14), and a more informative annotation would be the specific PP2A-related binding function rather than the generic 'protein heterodimerization activity'. The existing GO:0000159 (PP2A complex) already implies this interaction. This is plausible but low-confidence and borderline uninformative."
F6LAX4,Triticum aestivum (wheat),"Protein phosphatase 2A structural subunit (PP2A regulatory subunit A, HEAT repeat protein)",GO:0043025,neuronal cell body,NO_OVERLAP,CROSS_KINGDOM_ERROR,HIGH,True,"P30153 (human PPP2R1A) is a true ortholog, but the GO term 'neuronal cell body' is a metazoan-specific cellular component. Triticum aestivum (wheat) is a plant and does not have neurons. This annotation was transferred from the human ortholog without considering taxonomic constraints. While PP2A functions are conserved, the subcellular localization in neuronal structures is animal-specific."
F6LAX4,Triticum aestivum (wheat),"Protein phosphatase 2A structural subunit (PP2A regulatory subunit A, HEAT repeat protein)",GO:0007059,chromosome segregation,NO_OVERLAP,PHMMER_TRANSFER_PLAUSIBLE,MEDIUM,True,"Q32PI5 (bovine PPP2R1A) is a true ortholog with the same HEAT repeat domain architecture and high phmmer score (736.6). PP2A plays a well-established role in chromosome segregation across eukaryotes, including plants -- in Arabidopsis, PP2A-Shugoshin interaction protects centromeric cohesion during meiosis. This function is likely conserved in wheat. The model score (0.21) is low, but the biology is sound. Not yet annotated on F6LAX4 (which only has IBA annotations for basic localization and PP2A complex), so this would add genuine biological information if confirmed."
F6LAX4,Triticum aestivum (wheat),"Protein phosphatase 2A structural subunit (PP2A regulatory subunit A, HEAT repeat protein)",GO:0043005,neuron projection,NO_OVERLAP,CROSS_KINGDOM_ERROR,HIGH,True,"P30153 (human PPP2R1A) is a true ortholog, but 'neuron projection' is an animal-specific cellular component term. Wheat is a plant and lacks neurons entirely. The human PPP2R1A is localized to dendritic projections, but transferring this localization to a plant protein is a taxonomic constraint violation. This is a clear cross-kingdom annotation error."
F6LAX4,Triticum aestivum (wheat),"Protein phosphatase 2A structural subunit (PP2A regulatory subunit A, HEAT repeat protein)",GO:0000775,"chromosome, centromeric region",NO_OVERLAP,PHMMER_TRANSFER_PLAUSIBLE,MEDIUM,True,"Q32PI5 (bovine PPP2R1A) is a true ortholog with identical HEAT repeat domain architecture and high phmmer score (736.6). PP2A localizes to centromeres to protect centromeric cohesion via Shugoshin in eukaryotes, including plants (Arabidopsis SHUGOSHINs recruit PP2A to centromeres). This is the highest model score prediction (0.48) and is biologically plausible for a plant PP2A subunit. Not yet in F6LAX4's existing annotations. This represents a potentially useful annotation transfer."
F6LAX4,Triticum aestivum (wheat),"Protein phosphatase 2A structural subunit (PP2A regulatory subunit A, HEAT repeat protein)",GO:1990405,protein antigen binding,NO_OVERLAP,PHMMER_TRANSFER_DUBIOUS,HIGH,True,"P30153 (human PPP2R1A) is a true ortholog, but 'protein antigen binding' (GO:1990405) is not a known function of PP2A subunits. This GO term describes antibody-antigen interactions relevant to adaptive immunity, which plants lack entirely. The model score is extremely low (0.14). This appears to be a spurious prediction -- PP2A subunits do not bind protein antigens. Even in the human ortholog P30153, this is not an annotated function. This is likely a model artifact."
Q6YYC5,Oryza sativa subsp. japonica,E3 ubiquitin-protein ligase Os08g0135400 (RGLG family),GO:0070534,protein K63-linked ubiquitination,MORE_SPECIFIC,PHMMER_TRANSFER_PLAUSIBLE,MEDIUM,True,"Q9LY87 (Arabidopsis RGLG2) is a strong ortholog (phmmer score 501.3) sharing VWF_A + RING domain architecture with Q6YYC5, and both are plant RGLG family E3 ligases. RGLG2 has been experimentally shown to form K63-linked ubiquitin chains (PMID:17586653). GO:0070534 is a grandchild of the existing GOA term GO:0016567 (protein ubiquitination) via GO:0000209 (protein polyubiquitination). While the prediction is biologically plausible given the conserved domain architecture and the experimentally validated K63 specificity of the Arabidopsis ortholog, it is essentially an ISS/ISO-style transfer from a well-characterized ortholog rather than a genuinely novel ML insight. K63 linkage specificity depends on the E2 conjugating enzyme partner (e.g., UBC35/UBC36 in Arabidopsis), so the E3 alone does not determine chain type -- this makes the transfer somewhat uncertain without confirming the rice E2 partners. Rated MEDIUM confidence because the K63 specificity claim requires validation of the E2 interaction context in rice."
Q6YYC5,Oryza sativa subsp. japonica,E3 ubiquitin-protein ligase Os08g0135400 (RGLG family),GO:0061630,ubiquitin protein ligase activity,MORE_SPECIFIC,TRIVIALLY_DERIVABLE,HIGH,True,"GO:0061630 (ubiquitin protein ligase activity) is a direct child of GO:0004842 (ubiquitin-protein transferase activity), which is the existing GOA annotation. Since Q6YYC5 is explicitly described as an E3 ubiquitin-protein ligase with a RING domain, the distinction between the general 'ubiquitin-protein transferase activity' (which covers both E2 and E3 enzymes) and the more specific 'ubiquitin protein ligase activity' (E3 specifically) is trivially derivable from the protein's own functional description and RING domain architecture. Any RING-domain E3 ligase annotated with GO:0004842 should logically also carry GO:0061630. The phmmer hit Q9LY87 (RGLG2) confirms the same domain architecture and function, but the refinement from transferase to ligase activity is a straightforward ontological specialization that does not require ortholog transfer -- it follows directly from the protein being an E3 ligase."
Q9KZ33,Streptomyces coelicolor,Uncharacterized protein SCO7099 (ECF RNA polymerase sigma factor),GO:0006352,DNA-templated transcription initiation,NO_OVERLAP,TRIVIALLY_DERIVABLE,HIGH,True,"Q9KZ33 is an ECF sigma factor (PANTHER: PTHR30173, Sigma-70 domain architecture) from Streptomyces coelicolor. The phmmer hit L0TCG5 (SigJ from Mycobacterium tuberculosis, score 73.9) is a genuine ortholog -- both are ECF sigma factors from actinobacteria sharing Sigma-70 r2/r4 domain architecture. However, this prediction is trivially derivable from Q9KZ33's existing annotations: it already has GO:0016987 'sigma factor activity' (IBA) and GO:2000142 'regulation of DNA-templated transcription initiation' (IEA). Sigma factor activity is defined as promoting RNA polymerase attachment to specific transcription initiation sites, which directly implies involvement in GO:0006352. Furthermore, GO:2000142 (regulation of DNA-templated transcription initiation) has a 'regulates' relationship to GO:0006352, logically presupposing the existence of the process being regulated. Any GO annotation pipeline applying standard cross-aspect inference rules (MF sigma factor activity -> BP transcription initiation) or regulation-to-process inference would derive this term. The prediction is biologically correct but adds no novel information beyond what is already computable from existing annotations."
