accession,species_dir,symbol,uniprot_section,in_protrek_text_index_by_construction
H2KZD5,worm,csr-1,TrEMBL,False
O16850,worm,daf-16,SwissProt,True
Q968Y9,worm,daf-2,SwissProt,True
Q8WQC9,worm,drp-1,SwissProt,True
H2KZZ2,worm,hlh-30,SwissProt,True
G5EFT5,worm,hsf-1,SwissProt,True
Q18688,worm,hsp-90,SwissProt,True
Q09499,worm,ire-1,SwissProt,True
Q09490,worm,lgg-1,SwissProt,True
Q9TZQ3,worm,pgl-1,SwissProt,True
Q09298,worm,pink-1,SwissProt,True
Q17446,worm,pmk-1,SwissProt,True
P34707,worm,skn-1,SwissProt,True
P32796,yeast,CAT2,SwissProt,True
P06101,yeast,CDC37,SwissProt,True
P31539,yeast,HSP104,SwissProt,True
P19882,yeast,HSP60,SwissProt,True
P32361,yeast,IRE1,SwissProt,True
P16474,yeast,KAR2,SwissProt,True
P17967,yeast,PDI1,SwissProt,True
P01120,yeast,RAS2,SwissProt,True
P06700,yeast,SIR2,SwissProt,True
P10591,yeast,SSA1,SwissProt,True
P35169,yeast,TOR1,SwissProt,True
