accession,aspect,reference_terms,best_exact,best_descendant,best_ancestor
P49333,P,GO:0000160|GO:0009723|GO:0009727|GO:0009873|GO:0010105,3:GO:0009727,3:GO:0009727,5:GO:0010104
P49333,C,GO:0005789,,,
P50503,F,GO:0030544,1:GO:0030544,,
P50503,P,GO:0006457|GO:1903334,,,
P50503,C,GO:0005829,,18:GO:0072380,
P51587,F,GO:0003697,,,
P51587,P,GO:0000724|GO:0000730|GO:0031297|GO:0042148|GO:1990426,,,
P51587,C,GO:0005634|GO:0005654|GO:1990391,,23:GO:0098654,
P53790,F,GO:0005372|GO:0005412|GO:0015371,3:GO:0005412,1:GO:0005362,22:GO:0055056
P53790,P,GO:0001951|GO:0015757|GO:0035377|GO:0035623,9:GO:0035623,,13:GO:1904659
P53790,C,GO:0016324|GO:0031526,,,
P55213,F,GO:0004197,,,
P55213,P,GO:0006508|GO:0006915|GO:0097194|GO:1902512,4:GO:0097194,3:GO:0070227,
P55213,C,GO:0005737|GO:0005829,,,
P60484,F,GO:0004722|GO:0016314|GO:0051800,2:GO:0016314,,3:GO:0034593
P60484,P,GO:0006470|GO:0046856|GO:0051898,,,
P60484,C,GO:0005634|GO:0005829|GO:0005886,,,
P63018,F,GO:0030674|GO:0044183|GO:1990833,,,
P63018,P,GO:0006457|GO:0042026|GO:0061684|GO:0061740|GO:0072318,8:GO:0061684,12:GO:0061740,8:GO:0061684
P63018,C,GO:0005765|GO:0005829,,,
P63086,F,GO:0004707|GO:0005524,22:GO:0004707,,
P63086,P,GO:0000165|GO:0070371,,6:GO:0070375,
P63086,C,GO:0005634|GO:0005829,,,
P71021,F,GO:0042802|GO:0140090,,,
P71021,P,GO:0000918,,,
P71021,C,GO:0000935|GO:0060187,16:GO:0060187,,
P77395,F,GO:0140597,2:GO:0140597,,
P77395,P,GO:0034599|GO:0036506,,21:GO:0052164,
P77395,C,GO:0005829,,,
P77754,F,GO:0044183,,,
P77754,P,GO:0006457,,,
P77754,C,GO:0030288,,,
P99999,F,GO:0009055,,,
P99999,P,GO:0006122|GO:0006123|GO:0045333|GO:0097193,,24:GO:0036481,
P99999,C,GO:0005743|GO:0005758|GO:0005829|GO:0043293,2:GO:0043293,2:GO:0043293,
Q01279,F,GO:0004714|GO:0005006,1:GO:0005006,1:GO:0005006,
Q01279,P,GO:0007173|GO:0018108|GO:0046777,16:GO:0018108,4:GO:0038134,
Q01279,C,GO:0005768|GO:0005886|GO:0043235,,3:GO:0038143,
Q01705,F,GO:0003713|GO:0004888|GO:0005509,,,
Q01705,P,GO:0007219|GO:0007221|GO:0030154|GO:0045893,,1:GO:0060843,
Q01705,C,GO:0002193|GO:0005634|GO:0005886|GO:0009986,,,
Q02248,F,GO:0003713|GO:0045296,,,
Q02248,P,GO:0044331|GO:0045944|GO:0060070|GO:0098609,,10:GO:0044338,
Q02248,C,GO:0005634|GO:0005654|GO:0005886|GO:0005911|GO:0005912|GO:0016342|GO:1990907,,6:GO:0071664,
Q03336,F,GO:0004341|GO:0004857|GO:0005509|GO:0060590,1:GO:0004341,23:GO:0008427,
Q03336,P,GO:0006874|GO:0017148|GO:0019853|GO:0043066|GO:0050680|GO:0050848|GO:1902679|GO:1903625|GO:2000279,,5:GO:0106057,
Q03336,C,GO:0005634|GO:0005737|GO:0005739,,,
Q08694,F,GO:0003796,2:GO:0003796,,
Q08694,P,GO:0007586,1:GO:0007586,18:GO:0044245,
Q08694,C,GO:0005576,,21:GO:0098595,
Q09137,F,GO:0004679|GO:0047322|GO:0140823,2:GO:0047322,,
Q09137,P,GO:0006338|GO:0008203|GO:0032007|GO:0042149|GO:0045821|GO:0055089|GO:0097009,16:GO:0032007,,13:GO:0031669
Q09137,C,GO:0005634|GO:0005737,,,
Q09298,F,GO:0004674,,,
Q09298,P,GO:0000423|GO:0031398|GO:0034599,,,11:GO:0000422
Q09298,C,GO:0005739,,23:GO:0032473,
Q09490,F,GO:0008429,,,
Q09490,P,GO:0000045|GO:0016236,4:GO:0016236,11:GO:0035973,4:GO:0016236
Q09490,C,GO:0000421|GO:0005776,1:GO:0005776,3:GO:0000421,1:GO:0005776
Q09499,F,GO:0004521|GO:0004674|GO:0051082,,8:GO:0004694,
Q09499,P,GO:0006986|GO:0036498,2:GO:0036498,2:GO:0036498,4:GO:0030968
Q09499,C,GO:0005783|GO:0005789,,1:GO:1990332,
Q0E9H9,F,GO:0008046|GO:0042802|GO:0098631,2:GO:0098631,1:GO:0098632,
Q0E9H9,P,GO:0007411|GO:0016319|GO:0048814|GO:0070593,3:GO:0070593,10:GO:0016199,18:GO:0008038
Q0E9H9,C,GO:0005886|GO:0030424|GO:0030425|GO:0043005|GO:0043025,,,
Q13148,F,GO:0003723|GO:0003730|GO:0140693,,4:GO:0034046,
Q14145,F,GO:0140416|GO:1990756,,,
Q16236,F,GO:0000978|GO:0000981,,,
Q16595,F,GO:0008047|GO:0008198|GO:0034986,10:GO:0034986,,
Q16595,P,GO:0044571,,,
Q16595,C,GO:0005759|GO:0099128,,,3:GO:1990221
Q17446,F,GO:0004707,17:GO:0004707,22:GO:0004705,
Q17446,P,GO:0006979|GO:0061760|GO:0140367,,,
Q17446,C,GO:0005634|GO:0005829,,,
Q18688,F,GO:0044183|GO:0072542|GO:0140662,,,
Q23272,F,GO:0001228|GO:0034246,25:GO:0034246,,
Q23272,P,GO:0006390|GO:0034514|GO:0050829,2:GO:0034514,,
Q23272,C,GO:0005654|GO:0005759,,,
Q5S007,F,GO:0003924|GO:0004674|GO:0005525,,,
Q88CR9,F,GO:0003924|GO:0005047,3:GO:0005047,5:GO:0061791,
Q88CR9,P,GO:0006614,1:GO:0006614,2:GO:0006617,
Q88CR9,C,GO:0005886,,21:GO:0005834,
Q88CU6,F,GO:0008658|GO:0008955|GO:0009002,2:GO:0008658,,
Q88CU6,P,GO:0009252|GO:0046677,4:GO:0046677,7:GO:0018104,9:GO:0009273
Q88CU6,C,GO:0030288,,,
Q88D23,F,GO:0016747,,,
Q88D23,P,GO:0042621,3:GO:0042621,,
Q88D23,C,GO:0070088,9:GO:0070088,,
Q88GC8,F,GO:0031172,6:GO:0031172,,
Q88GC8,P,GO:0002049,,,10:GO:0019290
Q88GC8,C,GO:0005737,,,
Q88GK8,F,GO:0018576,1:GO:0018576,,
Q88GK8,P,GO:0019614|GO:0042952,7:GO:0019614,4:GO:0019615,5:GO:0009712
Q88I42,F,GO:0043565|GO:0141097,16:GO:0043565,,24:GO:0003700
Q88I42,P,GO:0043639|GO:0043640,5:GO:0043639,8:GO:0043640,5:GO:0043639
Q88I42,C,GO:0005737,,,
Q88JH0,F,GO:0046872|GO:0052934|GO:0070968,2:GO:0052934,,20:GO:0016614
Q88JH0,P,GO:0006066|GO:0010468|GO:0042537|GO:0071248,,23:GO:0042184,
Q88ME8,F,GO:0016987,,,
Q88ME8,P,GO:0006352|GO:0006950|GO:0042594|GO:0042710|GO:2000142,1:GO:2000142,9:GO:1901530,
Q88ME8,C,GO:0005737,,,
Q8INB9,F,GO:0004674,,,
Q8INB9,P,GO:0008286,,,
Q8T8Y5,F,GO:0015267,,,
Q8T8Y5,P,GO:0043066,,14:GO:1904746,
Q8T8Y5,C,GO:0005783|GO:0097136,2:GO:0097136,3:GO:0097141,
Q8WQC9,F,GO:0003924,,,
Q8WQC9,P,GO:0000266,7:GO:0000266,18:GO:0090149,
Q8WQC9,C,GO:0005741|GO:0005829,,,
Q92340,F,GO:0020037|GO:0140488,18:GO:0140488,,
Q92340,P,GO:0006879|GO:0006898|GO:0015886|GO:0140420,2:GO:0015886,1:GO:0140357,2:GO:0015886
Q92340,C,GO:0005774|GO:0005886|GO:0009897,23:GO:0005774,6:GO:0000329,
Q95RG8,F,GO:0005096|GO:0035591|GO:0060090,8:GO:0005096,,
Q95RG8,P,GO:0007525|GO:0032012|GO:0035332|GO:0036465|GO:0046621|GO:0110020|GO:1905383,3:GO:0032012,1:GO:0032014,19:GO:0051056
Q95RG8,C,GO:0005737|GO:0005925|GO:0031252|GO:0048786|GO:0048788,,,
Q968Y9,F,GO:0004714,1:GO:0004714,2:GO:0005010,
Q968Y9,P,GO:0008286|GO:0008340|GO:0040024|GO:1900181|GO:1905910,4:GO:1905910,18:GO:0043054,8:GO:0061067
Q968Y9,C,GO:0005886,,,
Q96EB6,F,GO:0003714|GO:0034979|GO:0046969|GO:0046970,8:GO:0046970,2:GO:0097372,5:GO:0033558
Q99497,F,GO:0003713|GO:0016532|GO:1990422,16:GO:1990422,,
Q99497,P,GO:0006979|GO:0009438|GO:0010273|GO:0034599|GO:0050821|GO:0140041|GO:1903189,24:GO:1903189,2:GO:0036529,
Q99497,C,GO:0005634|GO:0005737|GO:0005829,,,
Q9C105,F,GO:0030246,,,
Q9HDX8,F,GO:0003885,3:GO:0003885,,5:GO:0016899
Q9HDX8,P,GO:0070485,6:GO:0070485,,
Q9HDX8,C,GO:0005741,18:GO:0005741,19:GO:0098799,
Q9JLA3,F,GO:0003980|GO:0051082,1:GO:0003980,,
Q9JLA3,P,GO:0006457,,,
Q9JLA3,C,GO:0005788,12:GO:0005788,,
Q9TZQ3,F,GO:0003723|GO:0042802|GO:0046589|GO:0140311,,4:GO:0035613,
Q9TZQ3,P,GO:0006401|GO:0007276|GO:0007281|GO:0030719|GO:0043066|GO:0048477|GO:1903863,,,13:GO:0016070
Q9TZQ3,C,GO:0043186,3:GO:0043186,,21:GO:0060293
Q9US48,F,GO:0003923,7:GO:0003923,,
Q9US48,P,GO:0016255,4:GO:0016255,,
Q9US48,C,GO:0005789|GO:0042765,2:GO:0042765,2:GO:0042765,
Q9UT41,F,GO:0050185,2:GO:0050185,,
Q9UT41,P,GO:0000281|GO:0000920|GO:0006506|GO:0006888|GO:0015031|GO:0097466,7:GO:0006888,,1:GO:0006505
Q9UT41,C,GO:0005789|GO:0005801,,,21:GO:0005783
Q9UTE9,F,GO:0140309,,,
Q9UTE9,P,GO:0045039,2:GO:0045039,21:GO:0032979,7:GO:0051204
Q9UTE9,C,GO:0005758|GO:0042719,6:GO:0005758,,6:GO:0005758
Q9VC03,F,GO:0000309|GO:0004515|GO:0051787,1:GO:0000309,,4:GO:0070566
Q9VC03,P,GO:0009435|GO:0034355|GO:1990535,,,
Q9VC03,C,GO:0005737,,,
Q9Y6Z9,F,GO:0032115,1:GO:0032115,,
Q9Y6Z9,P,GO:0006059|GO:0006060|GO:0042850,4:GO:0042850,,
Q9Y6Z9,C,GO:0005829,,,
