accession,aspect,reference_terms,best_exact,best_descendant,best_ancestor
A0A8C9H4D2,C,GO:0005615,,,
A0A8I3PI07,F,GO:0015095,,,
A0A8I3PI07,P,GO:0010960|GO:1903830,1:GO:0010960,3:GO:0010961,7:GO:0015693
A0A8I3PI07,C,GO:0016323,,,
A0A8J0SCI2,F,GO:0000981,8:GO:0000981,,
A0A8J0SCI2,P,GO:0006357,,,9:GO:0006355
A0A8J0SCI2,C,GO:0005634,3:GO:0005634,6:GO:0005730,
A0A8J1IYX6,F,GO:0004674,,1:GO:0004691,
A0A8J1IYX6,C,GO:0005737,,,
A0A8M9QG43,F,GO:0030544,,,
A0A8M9QG43,P,GO:0072318|GO:0072583,25:GO:0072583,2:GO:0061883,
A0A8M9QG43,C,GO:0005829|GO:0030136,,,
A0BFB4,F,GO:0004674,7:GO:0004674,2:GO:0009931,15:GO:0004672
A0BFB4,C,GO:0005737,,1:GO:1990604,
A2FPI7,F,GO:0003677,,,
A2FPI7,C,GO:0005634,,20:GO:1905754,
B4MAQ2,F,GO:0003723|GO:0031267,,5:GO:0070883,
B4MAQ2,P,GO:0006405,,2:GO:0071528,
B4MAQ2,C,GO:0005634|GO:0005737|GO:0042565,4:GO:0042565,6:GO:0042272,
B7FXQ8,F,GO:0044183,,,
B7FXQ8,P,GO:0009408|GO:0034620|GO:0051259,5:GO:0009408,9:GO:0010286,14:GO:0006950
B7FXQ8,C,GO:0005737,,,
B8BAB0,F,GO:0030234,,5:GO:0090353,
B8BAB0,P,GO:0071555,,16:GO:0009664,
B8BAB0,C,GO:0009505|GO:0048046,,,
C6T1A2,F,GO:0003700,,,
C6T1A2,C,GO:0005634,,,
D3VIU4,F,GO:0015184|GO:0016597,20:GO:0015184,,
D3VIU4,P,GO:0015811,2:GO:0015811,,4:GO:0006865
D3VIU4,C,GO:0030288|GO:0043190,15:GO:0030288,6:GO:0035796,
E1BL04,F,GO:0051015|GO:0051393,,,16:GO:0003779
E1BL04,P,GO:0007015,,4:GO:0030038,22:GO:0016043
E1BL04,C,GO:0030018,,,
F4JLB7,F,GO:0031267,,,
F4JLB7,P,GO:0010119|GO:1902457,,,
F4JLB7,C,GO:0005634|GO:0005886,,,
F6LAX4,F,GO:0019888,3:GO:0019888,6:GO:0072542,10:GO:0019208
F6LAX4,C,GO:0005634|GO:0005829,,13:GO:0033596,
F6WPT1,F,GO:0003924,21:GO:0003924,,
F6WPT1,P,GO:0006886|GO:0016192,2:GO:0006886,1:GO:0048199,17:GO:0046907
F6WPT1,C,GO:0005802,,,
G1TUN6,F,GO:0042296,1:GO:0042296,,
G1TUN6,P,GO:0032020,4:GO:0032020,,
Q2U1U6,F,GO:0016837,,4:GO:0052762,18:GO:0003824
Q2U1U6,P,GO:0000272,,,
Q2U1U6,C,GO:0005576,,12:GO:0043592,
Q6YYC5,F,GO:0061630,,,
Q6YYC5,P,GO:0016567,,,
Q6YYC5,C,GO:0005634|GO:0005737,,,
Q7NUH2,F,GO:0003700,22:GO:0003700,,
Q7NUH2,P,GO:0006355,,,
Q7VZI5,F,GO:0050100,1:GO:0050100,,
Q7VZI5,P,GO:0019543,,,
Q7VZI5,C,GO:0005737,,,
Q8P365,F,GO:0004602,2:GO:0004602,,13:GO:0004601
Q8P365,P,GO:0098869,,,
Q9KZ33,F,GO:0016987,2:GO:0016987,,
Q9KZ33,P,GO:2000142,21:GO:2000142,,17:GO:2001141
Q9KZ33,C,GO:0005737,,,
Q9L243,F,GO:0008253,2:GO:0008253,,11:GO:0016791
Q9L243,P,GO:0006796,,21:GO:0009158,
Q9L243,C,GO:0005576,,,
Q9RSY6,F,GO:0003729,,,
Q9RSY6,P,GO:0006412,,5:GO:0002192,
Q9RSY6,C,GO:0022627,,,
S0EDH7,F,GO:0004672,,3:GO:0004694,
S0EDH7,P,GO:0006468,,,
