accession	subsection	rank	protrek_score	cosine	text
P00441	Function	2	13.9583	0.260696	Destroys radicals which are normally produced within the cells and which are toxic to biological systems
P00441	Function	3	13.7973	0.257690	Destroys cytoplasmic radicals produced in low copper environments; a condition which inactivates the cytoplasmic copper-dependent superoxide dismutase SOD1
P00441	Function	4	13.1755	0.246075	Destroys radicals which are normally produced within the cells and which are toxic to biological systems. Required for normal brood size. May be involved in regulating mpk-1 phosphorylation downstream of phosphatase ptp-2 during oocyte maturation
P00441	Function	5	13.0409	0.243562	Protects the extracellular space from the toxic effects of reactive oxygen intermediates by converting superoxide radicals into hydrogen peroxide and oxygen
P36969	Function	1	19.4549	0.363355	Glutathione peroxidase which may protect the cell from oxidative damage
P36969	Function	2	19.1899	0.358404	May constitute a glutathione peroxidase-like protective system against oxidative stresses
P36969	Function	3	16.8022	0.313811	Protects cells and enzymes from oxidative damage, by catalyzing the reduction of hydrogen peroxide, lipid peroxides and organic hydroperoxide, by glutathione. May constitute a glutathione peroxidase-like protective system against peroxide damage in sperm membrane lipids
P36969	Function	4	16.7317	0.312495	May constitute a glutathione peroxidase-like protective system against peroxide damage in sperm membrane lipids. Since the purified porcine enzyme has very little activity towards hydrogen peroxide or organic hydroperoxides the protective effect is not likely to be exerted by its enzymatic activity. Instead, may protect sperm from premature acrosome reaction in the epididymis by binding to lipid peroxides, which might otherwise interact with phospholipase A2 and induce the acrosome reaction
P36969	Function	5	16.4657	0.307525	Glutathione peroxidase-like protein that protects cells during oxidative stress. Has peroxidase activity reducing hydrogen peroxide, alkyl and phospholipid hydroperoxides using preferentially thioredoxin as a reducing power. May act as a scavenger of H(2)O(2)
P04637	Function	1	17.4095	0.325153	Acts as a tumor suppressor in many tumor types; induces growth arrest or apoptosis depending on the physiological circumstances and cell type (PubMed:11025664, PubMed:12524540, PubMed:12810724, PubMed:15186775, PubMed:15340061, PubMed:17317671, PubMed:17349958, PubMed:19556538, PubMed:20673990, PubMed:20959462, PubMed:22726440, PubMed:24051492, PubMed:9840937, PubMed:24652652). Involved in cell cycle regulation as a trans-activator that acts to negatively regulate cell division by controlling a set of genes required for this process (PubMed:11025664, PubMed:12524540, PubMed:12810724, PubMed:15186775, PubMed:15340061, PubMed:17317671, PubMed:17349958, PubMed:19556538, PubMed:20673990, PubMed:20959462, PubMed:22726440, PubMed:24051492, PubMed:9840937, PubMed:24652652). One of the activated genes is an inhibitor of cyclin-dependent kinases. Apoptosis induction seems to be mediated either by stimulation of BAX and FAS antigen expression, or by repression of Bcl-2 expression. Its pro-apoptotic activity is activated via its interaction with PPP1R13B/ASPP1 or TP53BP2/ASPP2 (PubMed:12524540). However, this activity is inhibited when the interaction with PPP1R13B/ASPP1 or TP53BP2/ASPP2 is displaced by PPP1R13L/iASPP (PubMed:12524540). In cooperation with mitochondrial PPIF is involved in activating oxidative stress-induced necrosis; the function is largely independent of transcription. Induces the transcription of long intergenic non-coding RNA p21 (lincRNA-p21) and lincRNA-Mkln1. LincRNA-p21 participates in TP53-dependent transcriptional repression leading to apoptosis and seems to have an effect on cell-cycle regulation. Implicated in Notch signaling cross-over. Prevents CDK7 kinase activity when associated to CAK complex in response to DNA damage, thus stopping cell cycle progression. Isoform 2 enhances the transactivation activity of isoform 1 from some but not all TP53-inducible promoters. Isoform 4 suppresses transactivation activity and impairs growth suppression mediated by isoform 1. Isoform 7 inhibits isoform 1-mediated apoptosis. Regulates the circadian clock by repressing CLOCK-BMAL1-mediated transcriptional activation of PER2 (PubMed:24051492)
P04637	Function	2	16.5858	0.309769	Acts as a tumor suppressor in many tumor types; induces growth arrest or apoptosis depending on the physiological circumstances and cell type. Involved in cell cycle regulation as a trans-activator that acts to negatively regulate cell division by controlling a set of genes required for this process. One of the activated genes is an inhibitor of cyclin-dependent kinases. Apoptosis induction seems to be mediated either by stimulation of BAX and FAS antigen expression, or by repression of Bcl-2 expression. Its pro-apoptotic activity is activated via its interaction with PPP1R13B/ASPP1 or TP53BP2/ASPP2 (By similarity). However, this activity is inhibited when the interaction with PPP1R13B/ASPP1 or TP53BP2/ASPP2 is displaced by PPP1R13L/iASPP (By similarity). In cooperation with mitochondrial PPIF is involved in activating oxidative stress-induced necrosis; the function is largely independent of transcription. Prevents CDK7 kinase activity when associated to CAK complex in response to DNA damage, thus stopping cell cycle progression. Induces the transcription of long intergenic non-coding RNA p21 (lincRNA-p21) and lincRNA-Mkln1. LincRNA-p21 participates in TP53-dependent transcriptional repression leading to apoptosis and seems to have an effect on cell-cycle regulation. Regulates the circadian clock by repressing CLOCK-ARNTL/BMAL1-mediated transcriptional activation of PER2
P04637	Function	3	16.5239	0.308613	Acts as a tumor suppressor in many tumor types; induces growth arrest or apoptosis depending on the physiological circumstances and cell type. Involved in cell cycle regulation as a trans-activator that acts to negatively regulate cell division by controlling a set of genes required for this process. One of the activated genes is an inhibitor of cyclin-dependent kinases. Apoptosis induction seems to be mediated either by stimulation of BAX and FAS antigen expression, or by repression of Bcl-2 expression. Its pro-apoptotic activity is activated via its interaction with PPP1R13B/ASPP1 or TP53BP2/ASPP2 (By similarity). However, this activity is inhibited when the interaction with PPP1R13B/ASPP1 or TP53BP2/ASPP2 is displaced by PPP1R13L/iASPP (By similarity). In cooperation with mitochondrial PPIF is involved in activating oxidative stress-induced necrosis; the function is largely independent of transcription. Prevents CDK7 kinase activity when associated to CAK complex in response to DNA damage, thus stopping cell cycle progression. Induces the transcription of long intergenic non-coding RNA p21 (lincRNA-p21) and lincRNA-Mkln1. LincRNA-p21 participates in TP53-dependent transcriptional repression leading to apoptosis and seems to have an effect on cell-cycle regulation. Regulates the circadian clock by repressing CLOCK-BMAL1-mediated transcriptional activation of PER2
P04637	Function	4	16.2184	0.302908	Acts as a tumor suppressor in many tumor types; induces growth arrest or apoptosis depending on the physiological circumstances and cell type. Involved in cell cycle regulation as a trans-activator that acts to negatively regulate cell division by controlling a set of genes required for this process. One of the activated genes is an inhibitor of cyclin-dependent kinases. Apoptosis induction seems to be mediated either by stimulation of BAX and FAS antigen expression, or by repression of Bcl-2 expression. Its pro-apoptotic activity is activated via its interaction with PPP1R13B/ASPP1 or TP53BP2/ASPP2 (By similarity). However, this activity is inhibited when the interaction with PPP1R13B/ASPP1 or TP53BP2/ASPP2 is displaced by PPP1R13L/iASPP (By similarity). In cooperation with mitochondrial PPIF is involved in activating oxidative stress-induced necrosis; the function is largely independent of transcription. Prevents CDK7 kinase activity when associated to CAK complex in response to DNA damage, thus stopping cell cycle progression (By similarity). Induces the transcription of long intergenic non-coding RNA p21 (lincRNA-p21) and lincRNA-Mkln1. LincRNA-p21 participates in TP53-dependent transcriptional repression leading to apoptosis, but seems to have to effect on cell-cycle regulation. Regulates the circadian clock by repressing CLOCK-BMAL1-mediated transcriptional activation of PER2 (PubMed:24051492)
P04637	Function	5	16.0816	0.300352	Acts as a tumor suppressor in many tumor types; induces growth arrest or apoptosis depending on the physiological circumstances and cell type. Involved in cell cycle regulation as a trans-activator that acts to negatively regulate cell division by controlling a set of genes required for this process. One of the activated genes is an inhibitor of cyclin-dependent kinases. Apoptosis induction seems to be mediated either by stimulation of bax and fas antigen expression, or by repression of Bcl-2 expression
P0A6Y8	Function	1	13.9416	0.260383	Plays an essential role in the initiation of phage lambda DNA replication, where it acts in an ATP-dependent fashion with the DnaJ protein to release lambda O and P proteins from the preprimosomal complex. DnaK is also involved in chromosomal DNA replication, possibly through an analogous interaction with the DnaA protein. Also participates actively in the response to hyperosmotic shock
P0A6Y8	Function	2	13.6499	0.254937	Acts as a chaperone
P0A6Y8	Function	3	13.6462	0.254867	Acts as a chaperone (By similarity). Might have a role in the infectious process
P0A6Y8	Function	4	13.3495	0.249325	May act as a chaperone
P0A6Y8	Function	5	12.6694	0.236624	Chaperone that functions as a gatekeeper on the periplasmic side of the SecYEG translocon (PubMed:18439025, PubMed:20920237, PubMed:29097228). Facilitates the translocation of precursor proteins across SecYEG by interacting with the translocating substrate (PubMed:29097228). Also plays a role in the release of newly synthesized secreted proteins at the periplasmic exit site of the Sec translocon (PubMed:18439025, PubMed:20920237, PubMed:29097228). May be involved in the early periplasmic folding of many newly translocated proteins (PubMed:18439025, PubMed:20920237). Acts as a transient subunit of the Sec translocon that binds to the lateral gate of SecY and is detached by nascent membrane proteins but not by SecA (PubMed:24951590)
P0A6F5	Function	1	16.0628	0.300002	Together with its co-chaperonin GroES, plays an essential role in assisting protein folding (PubMed:2897629, PubMed:2573517, PubMed:10532860, PubMed:1676490, PubMed:8104102, PubMed:9285593, PubMed:16751100, PubMed:18418386, PubMed:18987317, PubMed:20603018, PubMed:24816391). The GroEL-GroES system forms a nano-cage that allows encapsulation of the non-native substrate proteins and provides a physical environment optimized to promote and accelerate protein folding, probably by preventing aggregation and by entropically destabilizing folding intermediates (PubMed:16751100, PubMed:18418386, PubMed:18987317, PubMed:20603018, PubMed:24816391). Rapid binding of ATP, followed by slower binding of the non-native substrate protein and GroES to the cis open ring of GroEL initiates productive folding of the non-native protein inside a highly stable GroEL-ATP-GroES complex (PubMed:9285593, PubMed:9285585, PubMed:19915138, PubMed:22445172). Binding of ATP and GroES induces conformational changes that result in the release of the substrate protein into a nano-cage compartment, within the GroEL central cavity, for folding in isolation (PubMed:8861908, PubMed:9285585, PubMed:16684774, PubMed:22445172). To discharge GroES and substrate protein, ATP hydrolysis in the cis ring is required to form a GroEL-ADP-GroES complex with decreased stability (PubMed:9285593). Finally, binding of ATP to the opposite trans ring of GroEL results in disassembly of the cis-ternary complex, which opens the cage and allows release of the folded protein (PubMed:9285593, PubMed:9285585). Proteins released in non-native form may be rapidly rebound by another GroEL complex until all of the initially bound polypeptide reaches native form (PubMed:7915201, PubMed:7867798). Can rescue kinetically trapped intermediates (PubMed:20603018). GroEL shows ATPase activity (PubMed:379350, PubMed:1676490, PubMed:9285593). ATP hydrolysis moves the reaction cycle forward but is not required for substrate folding (PubMed:9285593)
P0A6F5	Function	2	15.8896	0.296765	Together with its co-chaperonin GroES, plays an essential role in assisting protein folding. The GroEL-GroES system forms a nano-cage that allows encapsulation of the non-native substrate proteins and provides a physical environment optimized to promote and accelerate protein folding (By similarity). Prevents aggregation of substrate proteins and promotes their refolding (PubMed:15327959, PubMed:18227175, PubMed:22834700). In vitro, activity may be independent of the presence or absence of the GroES co-chaperonin or ATP (PubMed:15327959). Shows weak ATPase activity (PubMed:15327959, PubMed:21802426)
P0A6F5	Function	3	14.9567	0.279342	Together with the chaperonin GroEL, plays an essential role in assisting protein folding (PubMed:2897629, PubMed:2573517, PubMed:10532860, PubMed:1676490, PubMed:16751100, PubMed:18418386, PubMed:18987317, PubMed:20603018, PubMed:24816391). The GroEL-GroES system forms a nano-cage that allows encapsulation of the non-native substrate proteins and provides a physical environment optimized to promote and accelerate protein folding, probably by preventing aggregation and by entropically destabilizing folding intermediates (PubMed:16751100, PubMed:18418386, PubMed:18987317, PubMed:20603018, PubMed:24816391). GroES binds to the apical surface of the GroEL ring, thereby capping the opening of the GroEL channel (PubMed:9285585). Regulates the ATPase activity of GroEL (PubMed:1676490, PubMed:1361169)
P0A6F5	Function	4	14.9516	0.279248	Together with its co-chaperonin GroES, plays an essential role in assisting protein folding. The GroEL-GroES system forms a nano-cage that allows encapsulation of the non-native substrate proteins and provides a physical environment optimized to promote and accelerate protein folding
P0A6F5	Function	5	14.1945	0.265106	Prevents aggregation of substrate proteins and promotes their refolding (PubMed:15327959, PubMed:19717599, PubMed:21094166). In vitro, activity may be independent of the presence or absence of the GroES co-chaperonin or ATP (PubMed:15327959). Shows weak ATPase activity (PubMed:15327959, PubMed:32812602)
