pmid	severity	flags	publication_types	comments_corrections	notice_pmids	title	journal	year	n_citing_genes	citing_genes	citation_sites	used_as_annotation_evidence	already_flagged_is_invalid	annotation_details
PMID:29794473	EXPRESSION_OF_CONCERN	EXPRESSION_OF_CONCERN	Journal Article	ExpressionOfConcernIn:37125420	37125420	MiR-27b Impairs Adipocyte Differentiation of Human Adipose Tissue-Derived Mesenchymal Stem Cells by Targeting LPL.	Cell Physiol Biochem	2018	1	human/LPL	annotation;reference	True	False	human/LPL GO:0045600 positive regulation of fat cell differentiation [IMP] action=KEEP_AS_NON_CORE
PMID:29961672	EXPRESSION_OF_CONCERN	EXPRESSION_OF_CONCERN	Journal Article	ExpressionOfConcernIn:33835140	33835140	miR-15b reduces amyloid-β accumulation in SH-SY5Y cell line through targetting NF-κB signaling and BACE1.	Biosci Rep	2018	1	human/APP	annotation;reference;supporting_text	True	False	human/APP GO:0050729 positive regulation of inflammatory response [IMP] action=KEEP_AS_NON_CORE;human/APP GO:1901224 positive regulation of non-canonical NF-kappaB signal transduction [IMP] action=KEEP_AS_NON_CORE
PMID:10365962	ERRATUM	ERRATUM	Journal Article;Research Support, Non-U.S. Gov't	CommentIn:10365950;ErratumIn:		Bcl-2 family proteins regulate the release of apoptogenic cytochrome c by the mitochondrial channel VDAC.	Nature	1999	1	human/BCL2L1	annotation;reference;supporting_text	True	False	human/BCL2L1 GO:0005739 mitochondrion [TAS] action=ACCEPT
PMID:10366589	ERRATUM	ERRATUM	Journal Article;Research Support, Non-U.S. Gov't	ErratumIn:		Chs7p, a new protein involved in the control of protein export from the endoplasmic reticulum that is specifically engaged in the regulation of chitin synthesis in Saccharomyces cerevisiae.	J Cell Biol	1999	1	yeast/CHS7	annotation;reference	True	False	yeast/CHS7 GO:0005789 endoplasmic reticulum membrane [IDA] action=ACCEPT;yeast/CHS7 GO:0006031 chitin biosynthetic process [IMP] action=ACCEPT;yeast/CHS7 GO:0006888 endoplasmic reticulum to Golgi vesicle-mediated transport [IDA] action=ACCEPT
PMID:10376602	ERRATUM	ERRATUM	Journal Article;Research Support, Non-U.S. Gov't;Research Support, U.S. Gov't, P.H.S.	ErratumIn:		Regulation of endothelium-derived nitric oxide production by the protein kinase Akt.	Nature	1999	1	human/AKT1	annotation;reference	True	False	human/AKT1 GO:0006809 nitric oxide biosynthetic process [TAS] action=MARK_AS_OVER_ANNOTATED
PMID:10484776	ERRATUM	ERRATUM	Comparative Study;Journal Article;Research Support, Non-U.S. Gov't;Research Support, U.S. Gov't, P.H.S.	ErratumIn:		The gene encoding hydroxypyruvate reductase (GRHPR) is mutated in patients with primary hyperoxaluria type II.	Hum Mol Genet	1999	1	human/GRHPR	annotation;reference;supporting_text	True	False	human/GRHPR GO:0008465 hydroxypyruvate reductase (NADH) activity [IDA] action=ACCEPT;human/GRHPR GO:0016618 hydroxypyruvate reductase [NAD(P)H] activity [IDA] action=ACCEPT;human/GRHPR GO:0030267 glyoxylate reductase (NADPH) activity [IDA] action=ACCEPT;human/GRHPR GO:0046487 glyoxylate metabolic process [IDA] action=ACCEPT;human/GRHPR GO:0120509 hydroxypyruvate reductase (NADPH) activity [EXP] action=ACCEPT
PMID:10519552	ERRATUM	ERRATUM	Journal Article;Research Support, Non-U.S. Gov't	ErratumIn:		Tom22 is a multifunctional organizer of the mitochondrial preprotein translocase.	Nature	1999	1	yeast/TOM22	annotation;reference;supporting_text	True	False	yeast/TOM22 GO:0008320 protein transmembrane transporter activity [IMP] action=ACCEPT;yeast/TOM22 GO:0030150 protein import into mitochondrial matrix [IMP] action=ACCEPT
PMID:10551815	ERRATUM	ERRATUM	Journal Article;Research Support, Non-U.S. Gov't;Research Support, U.S. Gov't, P.H.S.	ErratumIn:		Functional characterization of human methylenetetrahydrofolate reductase in Saccharomyces cerevisiae.	J Biol Chem	1999	1	human/MTHFR	annotation;reference;supporting_text	True	False	human/MTHFR GO:0004489 methylenetetrahydrofolate reductase [NAD(P)H] activity [IGI] action=ACCEPT;human/MTHFR GO:0035999 tetrahydrofolate interconversion [IGI] action=ACCEPT;human/MTHFR GO:0071265 L-methionine biosynthetic process [IGI] action=ACCEPT
PMID:10625637	ERRATUM	ERRATUM	Journal Article;Research Support, Non-U.S. Gov't	ErratumIn:		Distinct classes of phosphatidylinositol 3'-kinases are involved in signaling pathways that control macroautophagy in HT-29 cells.	J Biol Chem	2000	4	human/ATG14;human/BECN1;human/PIK3C3;human/PIK3R4	annotation;reference;supporting_text	True	False	human/ATG14 GO:0016241 regulation of macroautophagy [IDA] action=ACCEPT;human/ATG14 GO:0097352 autophagosome maturation [IDA] action=ACCEPT;human/BECN1 GO:0016241 regulation of macroautophagy [IDA] action=ACCEPT;human/BECN1 GO:0097352 autophagosome maturation [IDA] action=ACCEPT;human/PIK3C3 GO:0016241 regulation of macroautophagy [IDA] action=MODIFY;human/PIK3C3 GO:0097352 autophagosome maturation [IDA] action=ACCEPT;human/PIK3R4 GO:0016241 regulation of macroautophagy [IDA] action=MODIFY;human/PIK3R4 GO:0097352 autophagosome maturation [IDA] action=ACCEPT
PMID:10742096	ERRATUM	ERRATUM	Journal Article;Research Support, Non-U.S. Gov't	ErratumIn:		NPHS2, encoding the glomerular protein podocin, is mutated in autosomal recessive steroid-resistant nephrotic syndrome.	Nat Genet	2000	1	human/NPHS2	annotation;reference;supporting_text	True	False	human/NPHS2 GO:0003094 glomerular filtration [TAS] action=ACCEPT;human/NPHS2 GO:0005198 structural molecule activity [TAS] action=NEW;human/NPHS2 GO:0005886 plasma membrane [TAS] action=ACCEPT
PMID:10786622	ERRATUM	ERRATUM	Comparative Study;Journal Article;Research Support, Non-U.S. Gov't	ErratumIn:		cDNA cloning of the mammalian sterol C5-desaturase and the expression in yeast mutant.	Biochim Biophys Acta	2000	1	human/SC5D	annotation;reference;supporting_text	True	False	human/SC5D GO:0005789 endoplasmic reticulum membrane [IDA] action=ACCEPT;human/SC5D GO:0006695 cholesterol biosynthetic process [IDA] action=ACCEPT;human/SC5D GO:0033490 cholesterol biosynthetic process via lathosterol [IDA] action=NEW;human/SC5D GO:0050046 delta7-sterol 5(6)-desaturase activity [IDA] action=ACCEPT
PMID:10805756	ERRATUM	ERRATUM	Journal Article;Research Support, Non-U.S. Gov't;Research Support, U.S. Gov't, P.H.S.	ErratumIn:		Phosphorylation of SOX9 by cyclic AMP-dependent protein kinase A enhances SOX9's ability to transactivate a Col2a1 chondrocyte-specific enhancer.	Mol Cell Biol	2000	1	human/SOX9	annotation;reference;supporting_text	True	False	human/SOX9 GO:0000987 cis-regulatory region sequence-specific DNA binding [IDA] action=ACCEPT;human/SOX9 GO:0003700 DNA-binding transcription factor activity [IDA] action=ACCEPT;human/SOX9 GO:0005634 nucleus [IDA] action=ACCEPT;human/SOX9 GO:0034236 protein kinase A catalytic subunit binding [IPI] action=ACCEPT;human/SOX9 GO:0045893 positive regulation of DNA-templated transcription [IDA] action=ACCEPT
PMID:10828023	ERRATUM	ERRATUM	Journal Article;Research Support, Non-U.S. Gov't	ErratumIn:		Distinct localization and function of (1,4,5)IP(3) receptor subtypes and the (1,3,4,5)IP(4) receptor GAP1(IP4BP) in highly purified human platelet membranes.	Blood	2000	1	human/RASA3	annotation;reference;supporting_text	True	False	human/RASA3 GO:0005246 calcium channel regulator activity [IDA] action=MODIFY;human/RASA3 GO:0009898 cytoplasmic side of plasma membrane [IDA] action=ACCEPT;human/RASA3 GO:0030168 platelet activation [IDA] action=ACCEPT
PMID:10848592	ERRATUM	ERRATUM	Journal Article;Research Support, Non-U.S. Gov't	ErratumIn:		Involvement of Ras and Ral in chemotactic migration of skeletal myoblasts.	Mol Cell Biol	2000	1	human/HRAS	annotation;reference;supporting_text	True	False	human/HRAS GO:0006935 chemotaxis [TAS] action=KEEP_AS_NON_CORE;human/HRAS GO:0009887 animal organ morphogenesis [TAS] action=MARK_AS_OVER_ANNOTATED
PMID:10848602	ERRATUM	ERRATUM	Journal Article;Research Support, Non-U.S. Gov't;Research Support, U.S. Gov't, P.H.S.	ErratumIn:		HuD RNA recognition motifs play distinct roles in the formation of a stable complex with AU-rich RNA.	Mol Cell Biol	2000	1	human/ELAVL4	annotation;reference;supporting_text	True	False	human/ELAVL4 GO:0003730 mRNA 3'-UTR binding [TAS] action=ACCEPT
PMID:10973257	ERRATUM	ERRATUM	Journal Article;Research Support, Non-U.S. Gov't;Research Support, U.S. Gov't, P.H.S.	ErratumIn:		Autosomal recessive lissencephaly with cerebellar hypoplasia is associated with human RELN mutations.	Nat Genet	2000	1	human/RELN	reference	False	False	
PMID:11163757	ERRATUM	ERRATUM	Journal Article;Research Support, Non-U.S. Gov't	ErratumIn:		The C-terminus of human glutaminase L mediates association with PDZ domain-containing proteins.	FEBS Lett	2001	1	human/GLS2	annotation;reference;supporting_text	True	False	human/GLS2 GO:0005515 protein binding [IPI] action=MARK_AS_OVER_ANNOTATED
PMID:11242052	ERRATUM	ERRATUM	Journal Article;Research Support, Non-U.S. Gov't;Research Support, U.S. Gov't, P.H.S.	CommentIn:11242030,12449950,12449965;ErratumIn:		A conserved XIAP-interaction motif in caspase-9 and Smac/DIABLO regulates caspase activity and apoptosis.	Nature	2001	1	human/CASP9	annotation;reference;supporting_text	True	False	human/CASP9 GO:0005515 protein binding [IPI] action=KEEP_AS_NON_CORE
PMID:11248244	ERRATUM	ERRATUM	Journal Article;Research Support, Non-U.S. Gov't	ErratumIn:		Characterization of recombinant human nicotinamide mononucleotide adenylyl transferase (NMNAT), a nuclear enzyme essential for NAD synthesis.	FEBS Lett	2001	1	human/NMNAT1	annotation;reference;supporting_text	True	False	human/NMNAT1 GO:0005515 protein binding [IPI] action=KEEP_AS_NON_CORE;human/NMNAT1 GO:0005634 nucleus [IDA] action=ACCEPT
PMID:11273703	ERRATUM	ERRATUM	Journal Article;Research Support, Non-U.S. Gov't	ErratumIn:		The mitochondrial proteins Ssq1 and Jac1 are required for the assembly of iron sulfur clusters in mitochondria.	J Mol Biol	2001	1	yeast/SSQ1	annotation;reference	True	False	yeast/SSQ1 GO:0005739 mitochondrion [IMP] action=KEEP_AS_NON_CORE;yeast/SSQ1 GO:0044571 [2Fe-2S] cluster assembly [IMP] action=ACCEPT
PMID:11278759	ERRATUM	ERRATUM	Journal Article;Research Support, Non-U.S. Gov't;Research Support, U.S. Gov't, P.H.S.	ErratumIn:		The sonic hedgehog receptor patched associates with caveolin-1 in cholesterol-rich microdomains of the plasma membrane.	J Biol Chem	2001	1	human/SMO	annotation;reference;supporting_text	True	False	human/SMO GO:0005794 Golgi apparatus [IDA] action=KEEP_AS_NON_CORE;human/SMO GO:0005901 caveola [IDA] action=KEEP_AS_NON_CORE
PMID:11279502	ERRATUM	ERRATUM	Journal Article;Research Support, Non-U.S. Gov't	ErratumIn:		Crystal structure of the B7-1/CTLA-4 complex that inhibits human immune responses.	Nature	2001	1	human/CTLA4	annotation;reference;supporting_text	True	False	human/CTLA4 GO:0005515 protein binding [IPI] action=MARK_AS_OVER_ANNOTATED;human/CTLA4 GO:0050860 negative regulation of T cell receptor signaling pathway [IDA] action=ACCEPT;human/CTLA4 GO:0050868 negative regulation of T cell activation [IDA] action=ACCEPT;human/CTLA4 GO:0140319 receptor decoy activity [IDA] action=ACCEPT
PMID:11336669	ERRATUM	ERRATUM	Journal Article;Research Support, U.S. Gov't, P.H.S.	ErratumIn:		The human peroxisomal targeting signal receptor, Pex5p, is translocated into the peroxisomal matrix and recycled to the cytosol.	Cell	2001	1	human/PEX5	annotation;reference;supporting_text	True	False	human/PEX5 GO:0016562 protein import into peroxisome matrix, receptor recycling [IDA] action=ACCEPT
PMID:11336701	ERRATUM	ERRATUM	Journal Article;Research Support, Non-U.S. Gov't	ErratumIn:		Tyrosine phosphorylation-independent nuclear translocation of a dictyostelium STAT in response to DIF signaling.	Mol Cell	2001	1	DICDI/statC	annotation;reference;supporting_text	True	False	DICDI/statC GO:0005634 nucleus [IDA] action=ACCEPT;DICDI/statC GO:0005829 cytosol [IDA] action=ACCEPT;DICDI/statC GO:0031288 sorocarp morphogenesis [IMP] action=KEEP_AS_NON_CORE;DICDI/statC GO:0042802 identical protein binding [IPI] action=KEEP_AS_NON_CORE;DICDI/statC GO:0045892 negative regulation of DNA-templated transcription [IMP] action=ACCEPT
PMID:11356864	ERRATUM	ERRATUM	Journal Article;Research Support, Non-U.S. Gov't	ErratumIn:28148807	28148807	Bipartite interaction between neurofibromatosis type I protein (neurofibromin) and syndecan transmembrane heparan sulfate proteoglycans.	J Neurosci	2001	1	human/NF1	annotation;reference;supporting_text	True	False	human/NF1 GO:0005515 protein binding [IPI] action=MODIFY
PMID:11489943	ERRATUM	ERRATUM	Journal Article;Research Support, Non-U.S. Gov't	ErratumIn:		NTB-A [correction of GNTB-A], a novel SH2D1A-associated surface molecule contributing to the inability of natural killer cells to kill Epstein-Barr virus-infected B cells in X-linked lymphoproliferative disease.	J Exp Med	2001	1	human/PTPN6	annotation;reference	True	False	human/PTPN6 GO:0005515 protein binding [IPI] action=MARK_AS_OVER_ANNOTATED
PMID:11532178	ERRATUM	ERRATUM	Journal Article;Research Support, Non-U.S. Gov't	ErratumIn:		Regulation of drought tolerance by gene manipulation of 9-cis-epoxycarotenoid dioxygenase, a key enzyme in abscisic acid biosynthesis in Arabidopsis.	Plant J	2001	1	ARATH/NCED3	annotation;reference;supporting_text	True	False	ARATH/NCED3 GO:0009414 response to water deprivation [IMP] action=KEEP_AS_NON_CORE;ARATH/NCED3 GO:0045549 9-cis-epoxycarotenoid dioxygenase activity [IDA] action=ACCEPT
PMID:11533444	ERRATUM	ERRATUM	Journal Article;Research Support, Non-U.S. Gov't;Research Support, U.S. Gov't, Non-P.H.S.;Research Support, U.S. Gov't, P.H.S.	CommentIn:11588240;ErratumIn:38635720	38635720	Phosphorylation-dependent ubiquitination of cyclin E by the SCFFbw7 ubiquitin ligase.	Science	2001	1	human/CCNE1	annotation;reference;supporting_text	True	False	human/CCNE1 GO:0005515 protein binding [IPI] action=MARK_AS_OVER_ANNOTATED
PMID:11546872	ERRATUM	ERRATUM	Journal Article;Research Support, Non-U.S. Gov't;Research Support, U.S. Gov't, P.H.S.	CommentIn:11546862;ErratumIn:		Bmf: a proapoptotic BH3-only protein regulated by interaction with the myosin V actin motor complex, activated by anoikis.	Science	2001	1	mouse/Bcl2	annotation;reference	True	False	mouse/Bcl2 GO:0005515 protein binding [IPI] action=KEEP_AS_NON_CORE;mouse/Bcl2 GO:2001234 negative regulation of apoptotic signaling pathway [IDA] action=ACCEPT
PMID:11583147	ERRATUM	ERRATUM	Journal Article;Research Support, Non-U.S. Gov't;Research Support, U.S. Gov't, P.H.S.	ErratumIn:		The structural basis for substrate specificity and inhibition of human S-adenosylmethionine decarboxylase.	Biochemistry	2001	1	human/AMD1	annotation;reference;supporting_text	True	False	human/AMD1 GO:0004014 adenosylmethionine decarboxylase activity [IDA] action=ACCEPT
PMID:11585831	ERRATUM	ERRATUM	Journal Article;Research Support, Non-U.S. Gov't	ErratumIn:		The 2-5A/RNase L/RNase L inhibitor (RLI) [correction of (RNI)] pathway regulates mitochondrial mRNAs stability in interferon alpha-treated H9 cells.	J Biol Chem	2001	1	human/ABCE1	annotation;reference;supporting_text	True	False	human/ABCE1 GO:0005737 cytoplasm [IDA] action=ACCEPT;human/ABCE1 GO:0005739 mitochondrion [IDA] action=KEEP_AS_NON_CORE
PMID:11687631	ERRATUM	ERRATUM	Journal Article;Research Support, Non-U.S. Gov't;Research Support, U.S. Gov't, P.H.S.	ErratumIn:		COMPASS: a complex of proteins associated with a trithorax-related SET domain protein.	Proc Natl Acad Sci U S A	2001	1	yeast/SET1	annotation;reference;supporting_text	True	False	yeast/SET1 GO:0048188 Set1C/COMPASS complex [IPI] action=ACCEPT
PMID:11689558	ERRATUM	ERRATUM	Journal Article;Research Support, Non-U.S. Gov't	ErratumIn:		Reelin is a serine protease of the extracellular matrix.	J Biol Chem	2002	1	human/RELN	reference	False	False	
PMID:11704759	ERRATUM	ERRATUM	Journal Article;Research Support, Non-U.S. Gov't;Research Support, U.S. Gov't, P.H.S.	ErratumIn:		Mutations in PTPN11, encoding the protein tyrosine phosphatase SHP-2, cause Noonan syndrome.	Nat Genet	2001	1	human/PTPN11	annotation;reference	True	False	human/PTPN11 GO:0007420 brain development [IMP] action=KEEP_AS_NON_CORE;human/PTPN11 GO:0060325 face morphogenesis [IMP] action=KEEP_AS_NON_CORE
PMID:11706030	ERRATUM	ERRATUM	Journal Article;Research Support, Non-U.S. Gov't	ErratumIn:		Differential effect of ik3-1/cables on p53- and p73-induced cell death.	J Biol Chem	2002	1	human/TP53	annotation;reference;supporting_text	True	False	human/TP53 GO:0005515 protein binding [IPI] action=REMOVE
PMID:11719511	ERRATUM	ERRATUM	Comparative Study;Journal Article;Research Support, Non-U.S. Gov't;Research Support, U.S. Gov't, Non-P.H.S.	ErratumIn:		Proteome map of the chloroplast lumen of Arabidopsis thaliana.	J Biol Chem	2002	2	ARATH/AAU94417;ARATH/AT1G06680	annotation;reference;supporting_text	True	False	ARATH/AAU94417 GO:0019898 extrinsic component of membrane [TAS] action=ACCEPT;ARATH/AAU94417 GO:0031977 thylakoid lumen [HDA] action=ACCEPT;ARATH/AT1G06680 GO:0019898 extrinsic component of membrane [TAS] action=KEEP_AS_NON_CORE;ARATH/AT1G06680 GO:0031977 thylakoid lumen [HDA] action=ACCEPT
PMID:11733564	ERRATUM	ERRATUM	Journal Article;Research Support, Non-U.S. Gov't	CommentIn:11733552;ErratumIn:		MPDU1 mutations underlie a novel human congenital disorder of glycosylation, designated type If.	J Clin Invest	2001	1	human/MPDU1	annotation;reference;supporting_text	True	False	human/MPDU1 GO:0006488 dolichol-linked oligosaccharide biosynthetic process [TAS] action=ACCEPT;human/MPDU1 GO:0009312 oligosaccharide biosynthetic process [IGI] action=MODIFY
