AC	Gene name	PTHR 	Family name	Notes	Action annotation reviewer	GO term added 	PAINT 	Pascale/Li/Marc comments	Lost in Panther 19
Q9UJA9	ENPP5	PTHR10151	ectonucleotide pyrophosphatase/phosphodiesterase pthr10151		Already had a valid annotation		DONE		#N/A
A0A087WWA1	P3R3URF	PTHR10155	phosphatidylinositol 3-kinase regulatory subunit pthr10155	Uniprot has 1-phosphatidylinositol-3-kinase regulator activity	Already has an IBA				#N/A
Q8WXH5	SOCS4	PTHR10155	phosphatidylinositol 3-kinase regulatory subunit pthr10155	fly Socs36E has cytokine receptor binding IDA	Only binding annotation				#N/A
O75159	SOCS5	PTHR10155	phosphatidylinositol 3-kinase regulatory subunit pthr10155	receptor tyrosine kinase binding IPI	Only binding annotation				#N/A
Q05084	ICA1	PTHR10164	islet cell autoantigen 1 pthr10164	membrane curvature sensor activity. IDA	Already had a valid annotation		DONE		#N/A
Q8NDH6	ICA1L	PTHR10164	islet cell autoantigen 1 pthr10164		Already had a valid annotation		DONE		#N/A
P11388	TOP2A	PTHR10169	dna topoisomerase/gyrase pthr10169	huamn/mouse/rat have DNA topoisomerase type II (double strand cut, ATP-hydrolyzing) activity IDA	Already had a valid annotation		DONE		#N/A
Q02880	TOP2B	PTHR10169	dna topoisomerase/gyrase pthr10169	DNA topoisomerase type II (double strand cut, ATP-hydrolyzing) activity IDA	Already had a valid annotation		DONE		#N/A
P42858	HTT	PTHR10170	huntington disease protein pthr10170		in Swiss-Prot 300 protein list		Will be done by Marc		#N/A
Q8N7P1	PLD5	PTHR10185	phospholipase d - related pthr10185		Evidence too weak 		Evidence too weak	Catalytically WRT phospholipase inactive according to UniProt. PMID:38562702 The catalytic activity of each of these enzymes is not completely understood, with for instance PLD3 reported as a phospholipase D (Nackenoff et al., 2021; Nibbeling et al., 2017) and an exonuclease (Gavin et al., 2021; Gavin et al., 2018).	#N/A
Q96BZ4	PLD4	PTHR10185	phospholipase d - related pthr10185		Evidence too weak 		Evidence too weak		#N/A
Q8IV08	PLD3	PTHR10185	phospholipase d - related pthr10185	single-stranded DNA 5'-3' DNA exonuclease activity. IDA	Evidence too weak 		Evidence too weak		#N/A
Q14644	RASA3	PTHR10194	ras gtpase-activating proteins pthr10194	PMID:24967784, could add some mouse annotation	Already had a valid annotation		DONE		#N/A
Q96PV0	SYNGAP1	PTHR10194	ras gtpase-activating proteins pthr10194		Already had a valid annotation		DONE		#N/A
Q9UJF2	RASAL2	PTHR10194	ras gtpase-activating proteins pthr10194	yeast BUD2 alreay have "GTPase activator activity" IDA	Already had a valid annotation		DONE		#N/A
O43374	RASA4	PTHR10194	ras gtpase-activating proteins pthr10194	already have GTPase activator activity. IDA	Already had a valid annotation		DONE		#N/A
Q86YV0	RASAL3	PTHR10194	ras gtpase-activating proteins pthr10194		Already had a valid annotation		DONE		#N/A
P21359	NF1	PTHR10194	ras gtpase-activating proteins pthr10194		Already had a valid annotation		DONE		#N/A
O95294	RASAL1	PTHR10194	ras gtpase-activating proteins pthr10194		Already had a valid annotation		DONE		#N/A
P20936	RASA1	PTHR10194	ras gtpase-activating proteins pthr10194		Already had a valid annotation		DONE		#N/A
C9J798	RASA4B	PTHR10194	ras gtpase-activating proteins pthr10194		Already had a valid annotation		DONE		#N/A
Q15283	RASA2	PTHR10194	ras gtpase-activating proteins pthr10194		Already had a valid annotation		DONE		#N/A
Q5VWQ8	DAB2IP	PTHR10194	ras gtpase-activating proteins pthr10194		Already had a valid annotation		DONE		#N/A
Q6ZS86	GK5	PTHR10196	sugar kinase pthr10196		Already had a valid annotation		DONE		#N/A
P35443	THBS4	PTHR10199	thrombospondin pthr10199		Evidence too weak 		Evidence too weak		#N/A
P35442	THBS2	PTHR10199	thrombospondin pthr10199		Evidence too weak 		Evidence too weak		#N/A
P49747	COMP	PTHR10199	thrombospondin pthr10199	rat has "extracellular matrix structural constituent" IDA	Evidence too weak 		Evidence too weak	HTP data	#N/A
P49746	THBS3	PTHR10199	thrombospondin pthr10199		Evidence too weak 		Evidence too weak		#N/A
P07996	THBS1	PTHR10199	thrombospondin pthr10199		Evidence too weak 		Evidence too weak		#N/A
P02790	HPX	PTHR10201	matrix metalloproteinase pthr10201		Only binding annotation		Evidence too weak		#N/A
P0DPI2	GATD3	PTHR10224	es1 protein homolog, mitochondrial pthr10224		No data found		No relevant data		#N/A
A0A0B4J2D5	GATD3B	PTHR10224	es1 protein homolog, mitochondrial pthr10224		No data found		No relevant data		#N/A
Q9UI10	EIF2B4	PTHR10233	translation initiation factor eif-2b pthr10233		Already had a valid annotation		DONE		#N/A
Q6H9L7	ISM2	PTHR10239	isthmin-2 pthr10239		No data found		No relevant data		#N/A
B1AKI9	ISM1	PTHR10239	isthmin-2 pthr10239		No data found		No relevant data		#N/A
P47710	CSN1S1	PTHR10240	alpha-s1-casein pthr10240						#N/A
O60869	EDF1	PTHR10245	endothelial differentiation-related factor 1  multiprotein bridging factor 1 pthr10245						#N/A
Q9NR33	POLE4	PTHR10252	histone-like transcription factor ccaat-related pthr10252		Data not relevant for PAINT		No relevant data		#N/A
Q9NRG0	CHRAC1	PTHR10252	histone-like transcription factor ccaat-related pthr10252	yeast has DNA polymerase processivity factor activity IDA	Data not relevant for PAINT		No relevant data		#N/A
Q9Y678	COPG1	PTHR10261	coatomer subunit gamma pthr10261		No data found				#N/A
Q9UBF2	COPG2	PTHR10261	coatomer subunit gamma pthr10261		No data found				#N/A
P27449	ATP6V0C	PTHR10263	v-type proton atpase proteolipid subunit pthr10263	TAS exists; we should be able to find an EXP 					#N/A
Q99437	ATP6V0B	PTHR10263	v-type proton atpase proteolipid subunit pthr10263						#N/A
P27105	STOM	PTHR10264	band 7 protein-related pthr10264	mouse has ion channel inhibitor activity IDA	Already had a valid annotation		DONE		#N/A
Q8TAV4	STOML3	PTHR10264	band 7 protein-related pthr10264		Already had a valid annotation		DONE		#N/A
Q9UBI4	STOML1	PTHR10264	band 7 protein-related pthr10264	mouse has ion channel inhibitor activity IDA	Already had a valid annotation		DONE		#N/A
Q9NP85	NPHS2	PTHR10264	band 7 protein-related pthr10264		Data not relevant for PAINT		Evidence too weak		#N/A
P49918	CDKN1C	PTHR10265	cyclin-dependent kinase inhibitor 1 pthr10265						#N/A
P08574	CYC1	PTHR10266	cytochrome c1 pthr10266						#N/A
P09913	IFIT2	PTHR10271	interferon-induced protein with tetratricopeptide repeats pthr10271		IGNORE - Lost in Panther19		Will be done by Marc		PTHR10271
O14879	IFIT3	PTHR10271	interferon-induced protein with tetratricopeptide repeats pthr10271		IGNORE - Lost in Panther19		Will be done by Marc		PTHR10271
O15173	PGRMC2	PTHR10281	membrane-associated progesterone receptor component-related pthr10281	mouse heme transmembrane transporter activity. IDA	skip				#N/A
O00264	PGRMC1	PTHR10281	membrane-associated progesterone receptor component-related pthr10281	heme binding. IDA	skip				#N/A
Q96GC9	VMP1	PTHR10281	membrane-associated progesterone receptor component-related pthr10281	phospholipid scramblase activity. IDA	skip				#N/A
Q9UMX5	NENF	PTHR10281	membrane-associated progesterone receptor component-related pthr10281	mouse growth factor activity. IDA	skip				#N/A
Q8WUJ1	CYB5D2	PTHR10281	membrane-associated progesterone receptor component-related pthr10281	mouse heme binding. IDA	skip				#N/A
Q9NWZ5	UCKL1	PTHR10285	uridine kinase pthr10285	Yeast UCK1 already annotated to uridine kinase activity	Already had a valid annotation		DONE		#N/A
Q9HA47	UCK1	PTHR10285	uridine kinase pthr10285	Yeast UCK1 already annotated to uridine kinase activity	Already had a valid annotation		DONE		#N/A
Q9BZX2	UCK2	PTHR10285	uridine kinase pthr10285	Yeast UCK1 already annotated to uridine kinase activity	Already had a valid annotation		DONE		#N/A
Q8NHS4	CLHC1	PTHR10292	clathrin heavy chain related pthr10292						#N/A
O76003	GLRX3	PTHR10293	glutaredoxin family member pthr10293						#N/A
Q86SX6	GLRX5	PTHR10293	glutaredoxin family member pthr10293						#N/A
P08247	SYP	PTHR10306	synaptophysin pthr10306		Only binding annotation				#N/A
Q5VXT5	SYPL2	PTHR10306	synaptophysin pthr10306						#N/A
Q8TBG9	SYNPR	PTHR10306	synaptophysin pthr10306						#N/A
Q16563	SYPL1	PTHR10306	synaptophysin pthr10306						#N/A
Q96QZ7	MAGI1	PTHR10316	membrane associated guanylate kinase-related pthr10316						#N/A
Q5TCQ9	MAGI3	PTHR10316	membrane associated guanylate kinase-related pthr10316						#N/A
P60228	EIF3E	PTHR10317	eukaryotic translation initiation factor 3 subunit e pthr10317						#N/A
Q6UWM5	GLIPR1L1	PTHR10334	cysteine-rich secretory protein-related pthr10334	mouse molecular adaptor activity IDA	Already had a valid annotation		Evidence too weak		#N/A
Q9H3Y0	R3HDML	PTHR10334	cysteine-rich secretory protein-related pthr10334		No data found				#N/A
Q9H336	CRISPLD1	PTHR10334	cysteine-rich secretory protein-related pthr10334		No data found				#N/A
Q6UXB8	PI16	PTHR10334	cysteine-rich secretory protein-related pthr10334		No data found				#N/A
P16562	CRISP2	PTHR10334	cysteine-rich secretory protein-related pthr10334		No data found				#N/A
Q4G1C9	GLIPR1L2	PTHR10334	cysteine-rich secretory protein-related pthr10334		No data found				#N/A
P54108	CRISP3	PTHR10334	cysteine-rich secretory protein-related pthr10334		No data found				#N/A
P48060	GLIPR1	PTHR10334	cysteine-rich secretory protein-related pthr10334		No data found				#N/A
Q9H4G4	GLIPR2	PTHR10334	cysteine-rich secretory protein-related pthr10334	yeast has binding annotation	Only binding annotation				#N/A
P54107	CRISP1	PTHR10334	cysteine-rich secretory protein-related pthr10334	mouse has calcium channel regulator activity. IMP					#N/A
O43692	PI15	PTHR10334	cysteine-rich secretory protein-related pthr10334						#N/A
O94986	CEP152	PTHR10337	shc transforming protein pthr10337						#N/A
P19827	ITIH1	PTHR10338	inter-alpha-trypsin inhibitor heavy chain family member pthr10338						#N/A
Q14624	ITIH4	PTHR10338	inter-alpha-trypsin inhibitor heavy chain family member pthr10338						#N/A
Q6UXX5	ITIH6	PTHR10338	inter-alpha-trypsin inhibitor heavy chain family member pthr10338						#N/A
Q86UX2	ITIH5	PTHR10338	inter-alpha-trypsin inhibitor heavy chain family member pthr10338						#N/A
Q06033	ITIH3	PTHR10338	inter-alpha-trypsin inhibitor heavy chain family member pthr10338						#N/A
P19823	ITIH2	PTHR10338	inter-alpha-trypsin inhibitor heavy chain family member pthr10338						#N/A
P15848	ARSB	PTHR10342	arylsulfatase pthr10342	N-acetylgalactosamine-4-sulfatase activity. IDA	Already had a valid annotation		DONE		#N/A
Q5FYB1	ARSI	PTHR10342	arylsulfatase pthr10342		Already had a valid annotation		DONE		#N/A
Q5FYB0	ARSJ	PTHR10342	arylsulfatase pthr10342		Already had a valid annotation		DONE		#N/A
P21815	IBSP	PTHR10345	bone sialoprotein 2 pthr10345						#N/A
Q96K17	BTF3L4	PTHR10351	transcription factor btf3 family member pthr10351		Only binding annotation		No relevant data		#N/A
P20290	BTF3	PTHR10351	transcription factor btf3 family member pthr10351		Only binding annotation		No relevant data		#N/A
Q14576	ELAVL3	PTHR10352	eukaryotic translation initiation factor 3 subunit g pthr10352		Already had a valid annotation		DONE	??	#N/A
Q01085	TIAL1	PTHR10352	eukaryotic translation initiation factor 3 subunit g pthr10352		Already had a valid annotation		DONE		#N/A
P31483	TIA1	PTHR10352	eukaryotic translation initiation factor 3 subunit g pthr10352	mRNA 3'-UTR binding IDA	Already had a valid annotation		DONE		#N/A
O75821	EIF3G	PTHR10352	eukaryotic translation initiation factor 3 subunit g pthr10352	human/mouse "translation initiation factor activity" IDA	Already had a valid annotation		DONE		#N/A
Q15717	ELAVL1	PTHR10352	eukaryotic translation initiation factor 3 subunit g pthr10352	mRNA 3'-UTR binding IDA	Already had a valid annotation		DONE		#N/A
P26378	ELAVL4	PTHR10352	eukaryotic translation initiation factor 3 subunit g pthr10352		Already had a valid annotation		DONE		#N/A
Q12926	ELAVL2	PTHR10352	eukaryotic translation initiation factor 3 subunit g pthr10352		Already had a valid annotation		DONE		#N/A
Q86Z14	KLB	PTHR10353	glycosyl hydrolase pthr10353	PMID: 18829467 co-receptors 	skip				#N/A
Q07837	SLC3A1	PTHR10357	alpha-amylase family member pthr10357						#N/A
P83881	RPL36A	PTHR10369	60s ribosomal protein l36a/l44 pthr10369	structural constituent of ribosome IDA	Already had a valid annotation		DONE		#N/A
Q969Q0	RPL36AL	PTHR10369	60s ribosomal protein l36a/l44 pthr10369		Already had a valid annotation		DONE		#N/A
Q04760	GLO1	PTHR10374	lactoylglutathione lyase  glyoxalase i pthr10374						#N/A
Q13530	SERINC3	PTHR10383	serine incorporator pthr10383						#N/A
Q96SA4	SERINC2	PTHR10383	serine incorporator pthr10383						#N/A
Q86VE9	SERINC5	PTHR10383	serine incorporator pthr10383						#N/A
Q9NRX5	SERINC1	PTHR10383	serine incorporator pthr10383						#N/A
A6NH21	SERINC4	PTHR10383	serine incorporator pthr10383						#N/A
Q9UP52	TFR2	PTHR10404	n-acetylated-alpha-linked acidic dipeptidase pthr10404						#N/A
P02786	TFRC	PTHR10404	n-acetylated-alpha-linked acidic dipeptidase pthr10404						#N/A
Q58DX5	NAALADL2	PTHR10404	n-acetylated-alpha-linked acidic dipeptidase pthr10404						#N/A
O75293	GADD45B	PTHR10411	growth arrest and dna damage-inducible protein gadd45 pthr10411						#N/A
O95257	GADD45G	PTHR10411	growth arrest and dna damage-inducible protein gadd45 pthr10411						#N/A
P24522	GADD45A	PTHR10411	growth arrest and dna damage-inducible protein gadd45 pthr10411						#N/A
P49005	POLD2	PTHR10416	dna polymerase delta subunit 2 pthr10416						#N/A
O95997	PTTG1	PTHR10418	securin-3 pthr10418	check mouse reference PMID:14561405	IGNORE - Lost in Panther19		Will be done by Marc		PTHR10418
Q9NZH5	PTTG2	PTHR10418	securin-3 pthr10418		IGNORE - Lost in Panther19		Will be done by Marc		PTHR10418
Q9NZH4	PTTG3P	PTHR10418	securin-3 pthr10418		IGNORE - Lost in Panther19		Will be done by Marc		PTHR10418
Q14264	ERV3-1	PTHR10424	viral envelope protein pthr10424		No data found				#N/A
Q9UQF0	ERVW-1	PTHR10424	viral envelope protein pthr10424		No data found				#N/A
B6SEH9	ERVV-2	PTHR10424	viral envelope protein pthr10424		No data found				#N/A
P61550	ERVS71-1	PTHR10424	viral envelope protein pthr10424		No data found				#N/A
Q9H9K5	ERVMER34-1	PTHR10424	viral envelope protein pthr10424		No data found				#N/A
Q9N2K0	Q9N2K0	PTHR10424	viral envelope protein pthr10424		No data found				#N/A
Q9N2J8	Q9N2J8	PTHR10424	viral envelope protein pthr10424		No data found				#N/A
P60608	ERVFC1-1	PTHR10424	viral envelope protein pthr10424		No data found				#N/A
B6SEH8	ERVV-1	PTHR10424	viral envelope protein pthr10424		No data found				#N/A
P60509	ERVPABLB-1	PTHR10424	viral envelope protein pthr10424		No data found				#N/A
P60508	ERVFRD-1	PTHR10424	viral envelope protein pthr10424		No data found				#N/A
P60507	ERVFC1	PTHR10424	viral envelope protein pthr10424		No data found				#N/A
Q86VQ3	TXNDC2	PTHR10438	thioredoxin pthr10438						#N/A
P10599	TXN	PTHR10438	thioredoxin pthr10438						#N/A
Q6A555	TXNDC8	PTHR10438	thioredoxin pthr10438						#N/A
P01732	CD8A	PTHR10441	cd8 alpha chain pthr10441						#N/A
Q9H4A9	DPEP2	PTHR10443	microsomal dipeptidase pthr10443	dipeptidase activity IDA PMID:32325220	Already had a valid annotation		DONE		#N/A
P16444	DPEP1	PTHR10443	microsomal dipeptidase pthr10443	dipeptidase activity IDA PMID:32325220	Already had a valid annotation		DONE		#N/A
Q9H4B8	DPEP3	PTHR10443	microsomal dipeptidase pthr10443		Already had a valid annotation		DONE	catalytically inactive	#N/A
P13984	GTF2F2	PTHR10445	general transcription factor iif subunit 2 pthr10445						#N/A
P31944	CASP14	PTHR10454	caspase pthr10454						#N/A
Q15849	SLC14A2	PTHR10464	urea transporter pthr10464						#N/A
Q13336	SLC14A1	PTHR10464	urea transporter pthr10464						#N/A
Q7LBR1	CHMP1B	PTHR10476	charged multivesicular body protein pthr10476		Only binding annotation		No relevant data		#N/A
Q9UQN3	CHMP2B	PTHR10476	charged multivesicular body protein pthr10476		Only binding annotation		No relevant data		#N/A
Q9HD42	CHMP1A	PTHR10476	charged multivesicular body protein pthr10476		Only binding annotation		No relevant data		#N/A
Q9Y3E7	CHMP3	PTHR10476	charged multivesicular body protein pthr10476		Only binding annotation		No relevant data		#N/A
O43633	CHMP2A	PTHR10476	charged multivesicular body protein pthr10476		Only binding annotation		No relevant data		#N/A
Q13253	NOG	PTHR10494	bone morphogenetic protein inhibitor, noggin pthr10494						#N/A
P62847	RPS24	PTHR10496	40s ribosomal protein s24 pthr10496	structural constituent of ribosome IDA	Already had a valid annotation		DONE	MF done; missing BP annotation	#N/A
O75781	PALM	PTHR10498	paralemmin-related pthr10498						#N/A
P08118	MSMB	PTHR10500	beta-microseminoprotein pthr10500		No data found		No relevant data		#N/A
Q1L6U9	MSMP	PTHR10500	beta-microseminoprotein pthr10500	CCR2 chemokine receptor binding IDA	Only binding annotation		No relevant data		#N/A
Q8NFQ6	BPIFC	PTHR10504	bactericidal permeability-increasing  bpi  protein-related pthr10504						#N/A
P10997	IAPP	PTHR10505	calcitonin-related pthr10505						#N/A
P14406	COX7A2	PTHR10510	cytochrome c oxidase polypeptide 7a pthr10510	no data found	Already had a valid annotation		DONE		#N/A
P24310	COX7A1	PTHR10510	cytochrome c oxidase polypeptide 7a pthr10510	mouse cytochrome-c oxidase activity. IDA	Already had a valid annotation		DONE		#N/A
O14548	COX7A2L	PTHR10510	cytochrome c oxidase polypeptide 7a pthr10510		Already had a valid annotation		DONE		#N/A
O60397	COX7A2P2	PTHR10510	cytochrome c oxidase polypeptide 7a pthr10510		Data not relevant for PAINT		No relevant data	potential pseudogene	#N/A
O95299	NDUFA10	PTHR10513	deoxynucleoside kinase pthr10513	mouse NADH dehydrogenase (ubiquinone) activity. IDA	Already had a valid annotation		DONE		#N/A
P19971	TYMP	PTHR10515	thymidine phosphorylase pthr10515	thymidine phosphorylase activity. IDA	Already had a valid annotation		DONE		#N/A
P51826	AFF3	PTHR10528	af4/fmr2 family member pthr10528	mouse DNA-binding transcription factor activity IDA/IMP	No data found		Evidence too weak	Pascale will check with Colin. This is not in the dbTF paper : https://www.ebi.ac.uk/QuickGO/targetset/dbTF // Checked 2025-06-20: Has already been disputed, https://github.com/geneontology/go-annotation/issues/2727	#N/A
P51825	AFF1	PTHR10528	af4/fmr2 family member pthr10528		No data found		Evidence too weak	Pascale will check with Colin. This is not in the dbTF paper : https://www.ebi.ac.uk/QuickGO/targetset/dbTF // Checked 2025-06-20: Has already been disputed, https://github.com/geneontology/go-annotation/issues/2727	#N/A
Q9UHB7	AFF4	PTHR10528	af4/fmr2 family member pthr10528		No data found		Evidence too weak	Pascale will check with Colin. This is not in the dbTF paper : https://www.ebi.ac.uk/QuickGO/targetset/dbTF // Checked 2025-06-20: Has already been disputed, https://github.com/geneontology/go-annotation/issues/2727	#N/A
O00189	AP4M1	PTHR10529	ap complex subunit mu pthr10529		IGNORE - Lost in Panther19		Will be done by Marc		PTHR10529
Q9Y2T2	AP3M1	PTHR10529	ap complex subunit mu pthr10529		IGNORE - Lost in Panther19		Will be done by Marc		PTHR10529
P53677	AP3M2	PTHR10529	ap complex subunit mu pthr10529		IGNORE - Lost in Panther19		Will be done by Marc		PTHR10529
P49643	PRIM2	PTHR10537	dna primase large subunit pthr10537						#N/A
Q7L5N1	COPS6	PTHR10540	eukaryotic translation initiation factor 3 subunit f-related pthr10540						#N/A
P51665	PSMD7	PTHR10540	eukaryotic translation initiation factor 3 subunit f-related pthr10540						#N/A
P46779	RPL28	PTHR10544	60s ribosomal protein l28 pthr10544						#N/A
P04279	SEMG1	PTHR10547	semenogelin/seminal vesicle secretory protein pthr10547						#N/A
Q02383	SEMG2	PTHR10547	semenogelin/seminal vesicle secretory protein pthr10547						#N/A
Q13424	SNTA1	PTHR10554	syntrophin pthr10554	has IBA already	Already has an IBA				#N/A
Q9NY99	SNTG2	PTHR10554	syntrophin pthr10554						#N/A
Q9NSN8	SNTG1	PTHR10554	syntrophin pthr10554						#N/A
Q13884	SNTB1	PTHR10554	syntrophin pthr10554						#N/A
Q13425	SNTB2	PTHR10554	syntrophin pthr10554						#N/A
P61278	SST	PTHR10558	somatostatin pthr10558						#N/A
Q9HB63	NTN4	PTHR10574	netrin/laminin-related pthr10574						#N/A
P05060	CHGB	PTHR10583	chromogranin pthr10583						#N/A
P10645	CHGA	PTHR10583	chromogranin pthr10583						#N/A
Q9H477	RBKS	PTHR10584	sugar kinase pthr10584	mouse Rbks has ribokinase activity IMP	Already had a valid annotation		DONE		#N/A
P43251	BTD	PTHR10609	biotinidase-related pthr10609						#N/A
Q6UWN5	LYPD5	PTHR10624	urokinase plasminogen activator surface receptor-related pthr10624		No data found		No relevant data		#N/A
O95274	LYPD3	PTHR10624	urokinase plasminogen activator surface receptor-related pthr10624	rat has binding annotation	Only binding annotation		No relevant data		#N/A
Q03405	PLAUR	PTHR10624	urokinase plasminogen activator surface receptor-related pthr10624		Only binding annotation		No relevant data		#N/A
Q9H694	BICC1	PTHR10627	scp160 pthr10627						#N/A
Q68DC2	ANKS6	PTHR10627	scp160 pthr10627						#N/A
Q9NXH9	TRMT1	PTHR10631	n 2 ,n 2 -dimethylguanosine trna methyltransferase pthr10631	tRNA (guanine(26)-N2)-dimethyltransferase activity EXP	Already had a valid annotation		DONE		#N/A
Q7Z2T5	TRMT1L	PTHR10631	n 2 ,n 2 -dimethylguanosine trna methyltransferase pthr10631	Divergent; not enough data to propate MF	No data found				#N/A
O76080	ZFAND5	PTHR10634	an1-type zinc finger protein pthr10634						#N/A
Q9H8U3	ZFAND3	PTHR10634	an1-type zinc finger protein pthr10634						#N/A
P53618	COPB1	PTHR10635	coatomer subunit beta pthr10635						#N/A
O14777	NDC80	PTHR10643	kinetochore protein ndc80 pthr10643						#N/A
Q16531	DDB1	PTHR10644	dna repair/rna processing cpsf family pthr10644						#N/A
Q10570	CPSF1	PTHR10644	dna repair/rna processing cpsf family pthr10644						#N/A
O43281	EFS	PTHR10654	cas scaffolding protein pthr10654	protein domain specific binding	Only binding annotation				#N/A
Q9NQ75	CASS4	PTHR10654	cas scaffolding protein pthr10654	protein tyrosine kinase binding. IPI	Only binding annotation				#N/A
P56945	BCAR1	PTHR10654	cas scaffolding protein pthr10654	protein kinase binding. IPI	Only binding annotation				#N/A
Q14511	NEDD9	PTHR10654	cas scaffolding protein pthr10654	protein tyrosine kinase binding. IPI	Only binding annotation				#N/A
Q3MIP1	ITPRIPL2	PTHR10656	cell fate determining protein mab21-related pthr10656		No data found				#N/A
Q13394	MAB21L1	PTHR10656	cell fate determining protein mab21-related pthr10656		No data found				#N/A
Q9Y586	MAB21L2	PTHR10656	cell fate determining protein mab21-related pthr10656		No data found				#N/A
Q8N9M5	TMEM102	PTHR10656	cell fate determining protein mab21-related pthr10656		No data found				#N/A
Q8N8X9	MAB21L3	PTHR10656	cell fate determining protein mab21-related pthr10656		No data found				#N/A
Q8IYB1	MB21D2	PTHR10656	cell fate determining protein mab21-related pthr10656		Only binding annotation				#N/A
Q6GPH6	ITPRIPL1	PTHR10656	cell fate determining protein mab21-related pthr10656	receptor ligand activity IDA	skip				#N/A
Q7Z3U7	MON2	PTHR10663	guanyl-nucleotide exchange factor pthr10663		Already had a valid annotation		DONE	Added MF. Need to add BP. MAF: added Cc and BP when possible	#N/A
