domain	accession_1	coordinates_1	accession_2	coordinates_2	identical_residues	aligned_residue_pairs	percent_identity	alignment_score
RING_type_zinc_finger	Q17RB8	123-159	P78317	131-177	18	37	48.65	12.50
RING_type_zinc_finger	Q17RB8	478-517	D3YY23	118-154	20	37	54.05	17.00
RING_type_zinc_finger	Q17RB8	478-517	D3YY23	467-506	40	40	100.00	40.00
RING_type_zinc_finger	Q17RB8	478-517	Q1L5Z9	143-193	17	39	43.59	13.00
RING_type_zinc_finger	Q17RB8	478-517	Q1L5Z9	448-487	34	40	85.00	34.00
RING_type_zinc_finger	Q17RB8	478-517	Q496Y0	158-195	17	38	44.74	15.00
RING_type_zinc_finger	Q17RB8	478-517	Q496Y0	466-505	32	40	80.00	32.00
RING_type_zinc_finger	Q17RB8	478-517	P78317	131-177	18	40	45.00	16.40
RING_type_zinc_finger	D3YY23	118-154	D3YY23	467-506	20	37	54.05	17.00
RING_type_zinc_finger	D3YY23	118-154	Q1L5Z9	143-193	17	37	45.95	12.90
RING_type_zinc_finger	D3YY23	118-154	Q1L5Z9	448-487	20	37	54.05	17.00
RING_type_zinc_finger	D3YY23	118-154	Q496Y0	158-195	20	36	55.56	17.90
RING_type_zinc_finger	D3YY23	118-154	Q496Y0	466-505	19	37	51.35	16.90
RING_type_zinc_finger	D3YY23	118-154	P78317	131-177	18	37	48.65	12.50
RING_type_zinc_finger	D3YY23	467-506	Q1L5Z9	143-193	17	39	43.59	13.00
RING_type_zinc_finger	D3YY23	467-506	Q1L5Z9	448-487	34	40	85.00	34.00
RING_type_zinc_finger	D3YY23	467-506	Q496Y0	158-195	17	38	44.74	15.00
RING_type_zinc_finger	D3YY23	467-506	Q496Y0	466-505	32	40	80.00	32.00
RING_type_zinc_finger	D3YY23	467-506	P78317	131-177	18	40	45.00	16.40
RING_type_zinc_finger	Q1L5Z9	143-193	Q1L5Z9	448-487	18	39	46.15	14.00
RING_type_zinc_finger	Q1L5Z9	143-193	Q496Y0	158-195	18	38	47.37	14.90
RING_type_zinc_finger	Q1L5Z9	143-193	Q496Y0	466-505	17	39	43.59	13.00
RING_type_zinc_finger	Q1L5Z9	143-193	P78317	131-177	10	46	21.74	5.80
RING_type_zinc_finger	Q1L5Z9	448-487	Q496Y0	158-195	18	38	47.37	16.00
RING_type_zinc_finger	Q1L5Z9	448-487	Q496Y0	466-505	35	40	87.50	35.00
RING_type_zinc_finger	Q1L5Z9	448-487	P78317	131-177	18	40	45.00	16.40
RING_type_zinc_finger	Q496Y0	158-195	Q496Y0	466-505	17	38	44.74	15.00
RING_type_zinc_finger	Q496Y0	158-195	P78317	131-177	14	38	36.84	10.40
RING_type_zinc_finger	Q496Y0	466-505	P78317	131-177	17	40	42.50	15.40
