level	id	name	n_annotations	n_genes	n_downgraded	downgrade_pct	n_accept	top_downgraded_terms	example_genes
subfamily	PTHR11556:SF1	FRUCTOSE-BISPHOSPHATASE	6	1	6	100	0	GO:0005986 sucrose biosynthetic process (1); GO:0006000 fructose metabolic process (1); GO:0006002 fructose 6-phosphate metabolic process (1)	NCGR_LOCUS1270
subfamily	PTHR44169:SF3	SHORT-CHAIN DEHYDROGENASE SRDE	6	1	6	100	0	GO:0000140 acylglycerone-phosphate reductase (NADP+) activity (1); GO:0004806 triacylglycerol lipase activity (1); GO:0005783 endoplasmic reticulum (1)	fogD
subfamily	PTHR48078:SF11	THREONINE DEHYDRATASE, MITOCHONDRIAL	6	2	6	100	0	GO:0003941 L-serine ammonia-lyase activity (2); GO:0006565 L-serine catabolic process (2); GO:0006567 L-threonine catabolic process (2)	ilvA-I, ilvA-II
family	PTHR11558	SPERMIDINE/SPERMINE SYNTHASE	9	3	6	67	0	GO:0004766 spermidine synthase activity (3); GO:0008295 spermidine biosynthetic process (3)	NaPMT3, PMT1, PMT2
subfamily	PTHR11558:SF53	PUTRESCINE N-METHYLTRANSFERASE 1	9	3	6	67	0	GO:0004766 spermidine synthase activity (3); GO:0008295 spermidine biosynthetic process (3)	NaPMT3, PMT1, PMT2
family	PTHR21047	DTDP-6-DEOXY-D-GLUCOSE-3,5 EPIMERASE	10	3	6	60	4	GO:0000271 polysaccharide biosynthetic process (3); GO:0016854 racemase and epimerase activity (2); GO:0019305 dTDP-rhamnose biosynthetic process (1)	eryBVII, rfbC, rmlC
subfamily	PTHR21047:SF2	THYMIDINE DIPHOSPHO-4-KETO-RHAMNOSE 3,5-EPIMERASE	10	3	6	60	4	GO:0000271 polysaccharide biosynthetic process (3); GO:0016854 racemase and epimerase activity (2); GO:0019305 dTDP-rhamnose biosynthetic process (1)	eryBVII, rfbC, rmlC
family	PTHR11632	SUCCINATE DEHYDROGENASE 2 FLAVOPROTEIN SUBUNIT	7	2	5	71	2	GO:0009061 anaerobic respiration (2); GO:0000104 succinate dehydrogenase activity (1); GO:0005886 plasma membrane (1)	aprA, sdhA
subfamily	PTHR11632:SF51	SUCCINATE DEHYDROGENASE [UBIQUINONE] FLAVOPROTEIN SUBUNIT, MITOCHONDRIAL	7	2	5	71	2	GO:0009061 anaerobic respiration (2); GO:0000104 succinate dehydrogenase activity (1); GO:0005886 plasma membrane (1)	aprA, sdhA
family	PTHR43434	PHOSPHOGLYCOLATE PHOSPHATASE	13	5	5	38	2	GO:0006281 DNA repair (2); GO:0008967 phosphoglycolate phosphatase activity (2); GO:0004713 protein tyrosine kinase activity (1)	PP_0094, mupP, phnX
family	PTHR11485	TRANSFERRIN	4	1	4	100	0	GO:0005769 early endosome (1); GO:0005886 plasma membrane (1); GO:0019731 antibacterial humoral response (1)	K9IMD0
family	PTHR21272	CATABOLIC 3-DEHYDROQUINASE	4	4	4	100	0	GO:0019631 quinate catabolic process (4)	aroQ, aroQ-III, aroQ1, aroQ2
family	PTHR42995	ACETYL-COENZYME A CARBOXYLASE CARBOXYL TRANSFERASE SUBUNIT BETA, CHLOROPLASTIC	4	2	4	100	0	GO:0003989 acetyl-CoA carboxylase activity (1); GO:0006633 fatty acid biosynthetic process (1); GO:2001295 malonyl-CoA biosynthetic process (1)	accD, mdcD
family	PTHR43128	L-2-HYDROXYCARBOXYLATE DEHYDROGENASE (NAD(P)(+))	4	1	4	100	0	GO:0004459 L-lactate dehydrogenase (NAD+) activity (2); GO:0006089 lactate metabolic process (2)	mdh
family	PTHR43775	FATTY ACID SYNTHASE	4	4	4	100	0	GO:0004312 fatty acid synthase activity (4)	Pks1, eryAI, eryAII, eryAIII
graft_node	PTN000159979		4	1	4	100	0	GO:0005769 early endosome (1); GO:0005886 plasma membrane (1); GO:0019731 antibacterial humoral response (1)	K9IMD0
graft_node	PTN002019544		4	2	4	100	0	GO:0009244 lipopolysaccharide core region biosynthetic process (2); GO:0016776 phosphotransferase activity, phosphate group as acceptor (2)	mcr-1, mcr2
subfamily	PTHR11485:SF55	LACTOTRANSFERRIN	4	1	4	100	0	GO:0005769 early endosome (1); GO:0005886 plasma membrane (1); GO:0019731 antibacterial humoral response (1)	K9IMD0
subfamily	PTHR21272:SF3	CATABOLIC 3-DEHYDROQUINASE	4	4	4	100	0	GO:0019631 quinate catabolic process (4)	aroQ, aroQ-III, aroQ1, aroQ2
subfamily	PTHR43128:SF16	L-LACTATE DEHYDROGENASE	4	1	4	100	0	GO:0004459 L-lactate dehydrogenase (NAD+) activity (2); GO:0006089 lactate metabolic process (2)	mdh
family	PTHR10953	UBIQUITIN-ACTIVATING ENZYME E1	5	1	4	80	0	GO:0004792 thiosulfate-cyanide sulfurtransferase activity (1); GO:0005737 cytoplasm (1); GO:0008146 sulfotransferase activity (1)	moeB
family	PTHR21256	HISTIDINOL DEHYDROGENASE HDH	5	2	4	80	0	GO:0005829 cytosol (2); GO:0005737 cytoplasm (1); GO:0009570 chloroplast stroma (1)	NCGR_LOCUS10166, hisD
family	PTHR43808	ACETYLORNITHINE DEACETYLASE	5	3	4	80	0	GO:0006526 L-arginine biosynthetic process (2); GO:0008777 acetylornithine deacetylase activity (2)	dapE, pepV
family	PTHR45527	NONRIBOSOMAL PEPTIDE SYNTHETASE	5	1	4	80	1	GO:0005737 cytoplasm (1); GO:0009239 enterobactin biosynthetic process (1); GO:0009366 enterobactin synthetase complex (1)	pvdD
graft_node	PTN000908678		5	1	4	80	1	GO:0000104 succinate dehydrogenase activity (1); GO:0005886 plasma membrane (1); GO:0009055 electron transfer activity (1)	aprA
graft_node	PTN002250299		5	1	4	80	0	GO:0004792 thiosulfate-cyanide sulfurtransferase activity (1); GO:0005737 cytoplasm (1); GO:0008146 sulfotransferase activity (1)	moeB
graft_node	PTN005148629		5	1	4	80	1	GO:0005737 cytoplasm (1); GO:0009239 enterobactin biosynthetic process (1); GO:0009366 enterobactin synthetase complex (1)	pvdD
subfamily	PTHR10953:SF194	MOLYBDOPTERIN-SYNTHASE ADENYLYLTRANSFERASE	5	1	4	80	0	GO:0004792 thiosulfate-cyanide sulfurtransferase activity (1); GO:0005737 cytoplasm (1); GO:0008146 sulfotransferase activity (1)	moeB
subfamily	PTHR21256:SF2	HISTIDINE BIOSYNTHESIS TRIFUNCTIONAL PROTEIN	5	2	4	80	0	GO:0005829 cytosol (2); GO:0005737 cytoplasm (1); GO:0009570 chloroplast stroma (1)	NCGR_LOCUS10166, hisD
subfamily	PTHR43808:SF31	N-ACETYL-L-CITRULLINE DEACETYLASE	5	3	4	80	0	GO:0006526 L-arginine biosynthetic process (2); GO:0008777 acetylornithine deacetylase activity (2)	dapE, pepV
subfamily	PTHR45527:SF1	FATTY ACID SYNTHASE	5	1	4	80	1	GO:0005737 cytoplasm (1); GO:0009239 enterobactin biosynthetic process (1); GO:0009366 enterobactin synthetase complex (1)	pvdD
family	PTHR24241	NEUROPEPTIDE RECEPTOR-RELATED G-PROTEIN COUPLED RECEPTOR	6	3	4	67	0	GO:0042277 peptide binding (3); GO:0032870 cellular response to hormone stimulus (1)	CTR1, CTR2, OPR
graft_node	PTN001202415		6	3	4	67	0	GO:0042277 peptide binding (3); GO:0032870 cellular response to hormone stimulus (1)	CTR1, CTR2, OPR
graft_node	PTN004269893		6	2	4	67	0	GO:0004766 spermidine synthase activity (2); GO:0008295 spermidine biosynthetic process (2)	NaPMT3, PMT1
graft_node	PTN004530085		6	2	4	67	2	GO:0000271 polysaccharide biosynthetic process (2); GO:0016854 racemase and epimerase activity (2)	rfbC, rmlC
subfamily	PTHR24241:SF161	G-PROTEIN COUPLED RECEPTORS FAMILY 1 PROFILE DOMAIN-CONTAINING PROTEIN	6	3	4	67	0	GO:0042277 peptide binding (3); GO:0032870 cellular response to hormone stimulus (1)	CTR1, CTR2, OPR
family	PTHR10681	THIOREDOXIN PEROXIDASE	10	2	4	40	2	GO:0033554 cellular response to stress (1); GO:0005829 cytosol (1); GO:0008379 thioredoxin peroxidase activity (1)	ahpC, tsaA
family	PTHR11748	D-LACTATE DEHYDROGENASE	3	1	3	100	0	GO:0004458 D-lactate dehydrogenase (cytochrome) activity (1); GO:0008720 D-lactate dehydrogenase (NAD+) activity (1); GO:1903457 lactate catabolic process (1)	ydiJ
family	PTHR11986	AMINOTRANSFERASE CLASS III	3	3	3	100	0	GO:0042802 identical protein binding (3)	argD, aruC, davT
family	PTHR12128	DIHYDRODIPICOLINATE SYNTHASE	3	3	3	100	0	GO:0008840 4-hydroxy-tetrahydrodipicolinate synthase activity (2); GO:0005829 cytosol (1)	PP_1257, PP_3599, dapA
family	PTHR13954	IRE1-RELATED	3	1	3	100	0	GO:0051082 unfolded protein binding (1); GO:0070059 intrinsic apoptotic signaling pathway in response to endoplasmic reticulum stress (1); GO:1990604 IRE1-TRAF2-ASK1 complex (1)	IRE1
family	PTHR22913	HYALURONAN SYNTHASE	3	1	3	100	0	GO:0030213 hyaluronan biosynthetic process (1); GO:0050501 hyaluronan synthase activity (1); GO:0085029 extracellular matrix assembly (1)	alg8
family	PTHR43104	L-2-HYDROXYGLUTARATE DEHYDROGENASE, MITOCHONDRIAL	3	3	3	100	0	GO:0047545 (S)-2-hydroxyglutarate dehydrogenase activity (3)	mqo1, mqo2, mqo3
family	PTHR43394	ATP-DEPENDENT PERMEASE MDL1, MITOCHONDRIAL	3	1	3	100	0	GO:0005743 mitochondrial inner membrane (1); GO:0015421 ABC-type oligopeptide transporter activity (1); GO:0090374 oligopeptide export from mitochondrion (1)	mdr
graft_node	PTN000918870		3	3	3	100	0	GO:0004312 fatty acid synthase activity (3)	eryAI, eryAII, eryAIII
graft_node	PTN001015070		3	3	3	100	0	GO:0047545 (S)-2-hydroxyglutarate dehydrogenase activity (3)	mqo1, mqo2, mqo3
graft_node	PTN001017826		3	1	3	100	0	GO:0051082 unfolded protein binding (1); GO:0070059 intrinsic apoptotic signaling pathway in response to endoplasmic reticulum stress (1); GO:1990604 IRE1-TRAF2-ASK1 complex (1)	IRE1
graft_node	PTN001714929		3	1	3	100	0	GO:0004458 D-lactate dehydrogenase (cytochrome) activity (1); GO:0008720 D-lactate dehydrogenase (NAD+) activity (1); GO:1903457 lactate catabolic process (1)	ydiJ
graft_node	PTN002463974		3	1	3	100	0	GO:0003941 L-serine ammonia-lyase activity (1); GO:0006565 L-serine catabolic process (1); GO:0006567 L-threonine catabolic process (1)	ilvA-I
graft_node	PTN002463976		3	1	3	100	0	GO:0003941 L-serine ammonia-lyase activity (1); GO:0006565 L-serine catabolic process (1); GO:0006567 L-threonine catabolic process (1)	ilvA-II
graft_node	PTN002740694		3	1	3	100	0	GO:0030213 hyaluronan biosynthetic process (1); GO:0050501 hyaluronan synthase activity (1); GO:0085029 extracellular matrix assembly (1)	alg8
graft_node	PTN002873918		3	1	3	100	0	GO:0003989 acetyl-CoA carboxylase activity (1); GO:0006633 fatty acid biosynthetic process (1); GO:2001295 malonyl-CoA biosynthetic process (1)	mdcD
graft_node	PTN008681462		3	1	3	100	0	GO:0005743 mitochondrial inner membrane (1); GO:0015421 ABC-type oligopeptide transporter activity (1); GO:0090374 oligopeptide export from mitochondrion (1)	mdr
subfamily	PTHR11748:SF119	D-2-HYDROXYGLUTARATE DEHYDROGENASE	3	1	3	100	0	GO:0004458 D-lactate dehydrogenase (cytochrome) activity (1); GO:0008720 D-lactate dehydrogenase (NAD+) activity (1); GO:1903457 lactate catabolic process (1)	ydiJ
subfamily	PTHR13954:SF6	NON-SPECIFIC SERINE_THREONINE PROTEIN KINASE	3	1	3	100	0	GO:0051082 unfolded protein binding (1); GO:0070059 intrinsic apoptotic signaling pathway in response to endoplasmic reticulum stress (1); GO:1990604 IRE1-TRAF2-ASK1 complex (1)	IRE1
subfamily	PTHR22913:SF12	MANNURONAN SYNTHASE	3	1	3	100	0	GO:0030213 hyaluronan biosynthetic process (1); GO:0050501 hyaluronan synthase activity (1); GO:0085029 extracellular matrix assembly (1)	alg8
subfamily	PTHR42995:SF1	MALONATE DECARBOXYLASE BETA SUBUNIT	3	1	3	100	0	GO:0003989 acetyl-CoA carboxylase activity (1); GO:0006633 fatty acid biosynthetic process (1); GO:2001295 malonyl-CoA biosynthetic process (1)	mdcD
subfamily	PTHR43104:SF2	L-2-HYDROXYGLUTARATE DEHYDROGENASE, MITOCHONDRIAL	3	3	3	100	0	GO:0047545 (S)-2-hydroxyglutarate dehydrogenase activity (3)	mqo1, mqo2, mqo3
subfamily	PTHR43394:SF11	ATP-BINDING CASSETTE TRANSPORTER	3	1	3	100	0	GO:0005743 mitochondrial inner membrane (1); GO:0015421 ABC-type oligopeptide transporter activity (1); GO:0090374 oligopeptide export from mitochondrion (1)	mdr
subfamily	PTHR43775:SF51	INACTIVE PHENOLPHTHIOCEROL SYNTHESIS POLYKETIDE SYNTHASE TYPE I PKS1-RELATED	3	3	3	100	0	GO:0004312 fatty acid synthase activity (3)	eryAI, eryAII, eryAIII
family	PTHR10520	TRIFUNCTIONAL PURINE BIOSYNTHETIC PROTEIN ADENOSINE-3-RELATED	4	1	3	75	0	GO:0004637 phosphoribosylamine-glycine ligase activity (1); GO:0006164 purine nucleotide biosynthetic process (1); GO:0046084 adenine biosynthetic process (1)	purM
graft_node	PTN002237315		4	1	3	75	0	GO:0004637 phosphoribosylamine-glycine ligase activity (1); GO:0006164 purine nucleotide biosynthetic process (1); GO:0046084 adenine biosynthetic process (1)	purM
subfamily	PTHR10520:SF12	TRIFUNCTIONAL PURINE BIOSYNTHETIC PROTEIN ADENOSINE-3	4	1	3	75	0	GO:0004637 phosphoribosylamine-glycine ligase activity (1); GO:0006164 purine nucleotide biosynthetic process (1); GO:0046084 adenine biosynthetic process (1)	purM
family	PTHR21388	BETA-DEFENSIN-RELATED	5	1	3	60	1	GO:0002227 innate immune response in mucosa (1); GO:0050829 defense response to Gram-negative bacterium (1); GO:0050830 defense response to Gram-positive bacterium (1)	K9IFT7
family	PTHR22960	MOLYBDOPTERIN COFACTOR SYNTHESIS PROTEIN A	5	3	3	60	0	GO:0061799 cyclic pyranopterin monophosphate synthase activity (3)	PP_1969, PP_2482, moaA
graft_node	PTN000074135		5	1	3	60	0	GO:0005829 cytosol (1); GO:0008379 thioredoxin peroxidase activity (1); GO:0042744 hydrogen peroxide catabolic process (1)	ahpC
graft_node	PTN000483423		5	1	3	60	1	GO:0002227 innate immune response in mucosa (1); GO:0050829 defense response to Gram-negative bacterium (1); GO:0050830 defense response to Gram-positive bacterium (1)	K9IFT7
subfamily	PTHR10681:SF121	ALKYL HYDROPEROXIDE REDUCTASE C	5	1	3	60	0	GO:0005829 cytosol (1); GO:0008379 thioredoxin peroxidase activity (1); GO:0042744 hydrogen peroxide catabolic process (1)	ahpC
subfamily	PTHR21388:SF9	BETA-DEFENSIN 1	5	1	3	60	1	GO:0002227 innate immune response in mucosa (1); GO:0050829 defense response to Gram-negative bacterium (1); GO:0050830 defense response to Gram-positive bacterium (1)	K9IFT7
subfamily	PTHR22960:SF0	MOLYBDENUM COFACTOR BIOSYNTHESIS PROTEIN 1	5	3	3	60	0	GO:0061799 cyclic pyranopterin monophosphate synthase activity (3)	PP_1969, PP_2482, moaA
family	PTHR11471	TUMOR NECROSIS FACTOR FAMILY MEMBER	2	1	2	100	0	GO:0043123 positive regulation of canonical NF-kappaB signal transduction (1); GO:2001238 positive regulation of extrinsic apoptotic signaling pathway (1)	K9IWR0
family	PTHR11482	ARGININE/DIAMINOPIMELATE/ORNITHINE DECARBOXYLASE	2	2	2	100	0	GO:0005737 cytoplasm (2)	NaODC_candidate_DCOR, NaODC_candidate_ODC
family	PTHR11516	PYRUVATE DEHYDROGENASE E1 COMPONENT, ALPHA SUBUNIT BACTERIAL AND ORGANELLAR	2	1	2	100	0	GO:0004739 pyruvate dehydrogenase (acetyl-transferring) activity (1); GO:0006086 pyruvate decarboxylation to acetyl-CoA (1)	acoA
family	PTHR11571	GLUTATHIONE S-TRANSFERASE	2	1	2	100	0	GO:0004364 glutathione transferase activity (1); GO:0006749 glutathione metabolic process (1)	OCTS1
family	PTHR11926	GLUCOSYL/GLUCURONOSYL TRANSFERASES	2	1	2	100	0	GO:0080043 quercetin 3-O-glucosyltransferase activity (1); GO:0080044 quercetin 7-O-glucosyltransferase activity (1)	NaUGT1_candidate_UGT85A2_0
family	PTHR22926	PHOSPHO-N-ACETYLMURAMOYL-PENTAPEPTIDE-TRANSFERASE	2	1	2	100	0	GO:0044038 cell wall macromolecule biosynthetic process (1); GO:0071555 cell wall organization (1)	mraY
family	PTHR23508	CARBOXYLIC ACID TRANSPORTER PROTEIN HOMOLOG	2	1	2	100	0	GO:0046943 carboxylic acid transmembrane transporter activity (1); GO:0046942 carboxylic acid transport (1)	pcaK
family	PTHR24220	IMPORT ATP-BINDING PROTEIN	2	1	2	100	0	GO:0022857 transmembrane transporter activity (1); GO:0055085 transmembrane transport (1)	lolD
family	PTHR30026	OUTER MEMBRANE PROTEIN TOLC	2	1	2	100	0	GO:0015288 porin activity (1); GO:1990281 efflux pump complex (1)	tolC
family	PTHR30081	PROTEIN-EXPORT MEMBRANE PROTEIN SEC	2	2	2	100	0	GO:0015031 protein transport (2)	secD, secF
family	PTHR31689	DIAMINOPIMELATE EPIMERASE, CHLOROPLASTIC	2	1	2	100	0	GO:0005829 cytosol (2)	dapF
family	PTHR34069	3-OXOACYL-[ACYL-CARRIER-PROTEIN] SYNTHASE 3	2	2	2	100	0	GO:0044550 secondary metabolite biosynthetic process (2)	PP_4379, PP_4545
family	PTHR42964	ENOYL-COA HYDRATASE	2	2	2	100	0	GO:0008300 isoprenoid catabolic process (2)	ech, liuC
family	PTHR43201	ACYL-COA SYNTHETASE	2	1	2	100	0	GO:0006631 fatty acid metabolic process (1); GO:0031956 medium-chain fatty acid-CoA ligase activity (1)	fcs
family	PTHR43433	HYDROLASE, ALPHA/BETA FOLD FAMILY PROTEIN	2	1	2	100	0	GO:0004806 triacylglycerol lipase activity (1); GO:0046503 glycerolipid catabolic process (1)	phaZ
graft_node	PTN000158030		2	1	2	100	0	GO:0043123 positive regulation of canonical NF-kappaB signal transduction (1); GO:2001238 positive regulation of extrinsic apoptotic signaling pathway (1)	K9IWR0
graft_node	PTN000479790		2	2	2	100	0	GO:0019631 quinate catabolic process (2)	aroQ, aroQ-III
graft_node	PTN000865753		2	1	2	100	0	GO:0006526 L-arginine biosynthetic process (1); GO:0008777 acetylornithine deacetylase activity (1)	pepV
graft_node	PTN002011548		2	1	2	100	0	GO:0015288 porin activity (1); GO:1990281 efflux pump complex (1)	tolC
graft_node	PTN002019542		2	1	2	100	0	GO:0009244 lipopolysaccharide core region biosynthetic process (1); GO:0016776 phosphotransferase activity, phosphate group as acceptor (1)	mcr-3
graft_node	PTN002019543		2	1	2	100	0	GO:0009244 lipopolysaccharide core region biosynthetic process (1); GO:0016776 phosphotransferase activity, phosphate group as acceptor (1)	mcr-4
graft_node	PTN002021362		2	1	2	100	0	GO:0005829 cytosol (1); GO:0030632 D-alanine biosynthetic process (1)	alr
graft_node	PTN002251178		2	1	2	100	0	GO:0004806 triacylglycerol lipase activity (1); GO:0046503 glycerolipid catabolic process (1)	phaZ
graft_node	PTN002264059		2	1	2	100	0	GO:0004739 pyruvate dehydrogenase (acetyl-transferring) activity (1); GO:0006086 pyruvate decarboxylation to acetyl-CoA (1)	acoA
graft_node	PTN002341405		2	1	2	100	0	GO:0044038 cell wall macromolecule biosynthetic process (1); GO:0071555 cell wall organization (1)	mraY
graft_node	PTN002383677		2	1	2	100	0	GO:0022857 transmembrane transporter activity (1); GO:0055085 transmembrane transport (1)	lolD
graft_node	PTN002454946		2	1	2	100	0	GO:0004459 L-lactate dehydrogenase (NAD+) activity (1); GO:0006089 lactate metabolic process (1)	mdh
graft_node	PTN002460465		2	1	2	100	0	GO:0016616 oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor (1); GO:0030497 fatty acid elongation (1)	benD
graft_node	PTN002781836		2	1	2	100	0	GO:0046943 carboxylic acid transmembrane transporter activity (1); GO:0046942 carboxylic acid transport (1)	pcaK
graft_node	PTN002875914		2	1	2	100	0	GO:0004459 L-lactate dehydrogenase (NAD+) activity (1); GO:0006089 lactate metabolic process (1)	mdh
graft_node	PTN002887524		2	1	2	100	0	GO:0006526 L-arginine biosynthetic process (1); GO:0008777 acetylornithine deacetylase activity (1)	dapE
graft_node	PTN007515140		2	1	2	100	0	GO:0004364 glutathione transferase activity (1); GO:0006749 glutathione metabolic process (1)	OCTS1
graft_node	PTN007550104		2	1	2	100	0	GO:0080043 quercetin 3-O-glucosyltransferase activity (1); GO:0080044 quercetin 7-O-glucosyltransferase activity (1)	NaUGT1_candidate_UGT85A2_0
graft_node	PTN008449823		2	1	2	100	0	GO:0006631 fatty acid metabolic process (1); GO:0031956 medium-chain fatty acid-CoA ligase activity (1)	fcs
subfamily	PTHR11471:SF31	LYMPHOTOXIN-ALPHA	2	1	2	100	0	GO:0043123 positive regulation of canonical NF-kappaB signal transduction (1); GO:2001238 positive regulation of extrinsic apoptotic signaling pathway (1)	K9IWR0
subfamily	PTHR11516:SF60	PYRUVATE DEHYDROGENASE E1 COMPONENT SUBUNIT ALPHA	2	1	2	100	0	GO:0004739 pyruvate dehydrogenase (acetyl-transferring) activity (1); GO:0006086 pyruvate decarboxylation to acetyl-CoA (1)	acoA
subfamily	PTHR11571:SF150	GLUTATHIONE S-TRANSFERASE	2	1	2	100	0	GO:0004364 glutathione transferase activity (1); GO:0006749 glutathione metabolic process (1)	OCTS1
subfamily	PTHR11926:SF1392	GLYCOSYLTRANSFERASE	2	1	2	100	0	GO:0080043 quercetin 3-O-glucosyltransferase activity (1); GO:0080044 quercetin 7-O-glucosyltransferase activity (1)	NaUGT1_candidate_UGT85A2_0
subfamily	PTHR22926:SF5	PHOSPHO-N-ACETYLMURAMOYL-PENTAPEPTIDE-TRANSFERASE HOMOLOG	2	1	2	100	0	GO:0044038 cell wall macromolecule biosynthetic process (1); GO:0071555 cell wall organization (1)	mraY
subfamily	PTHR23508:SF10	CARBOXYLIC ACID TRANSPORTER PROTEIN HOMOLOG	2	1	2	100	0	GO:0046943 carboxylic acid transmembrane transporter activity (1); GO:0046942 carboxylic acid transport (1)	pcaK
subfamily	PTHR24220:SF689	LIPOPROTEIN-RELEASING SYSTEM ATP-BINDING PROTEIN LOLD	2	1	2	100	0	GO:0022857 transmembrane transporter activity (1); GO:0055085 transmembrane transport (1)	lolD
subfamily	PTHR30026:SF22	OUTER MEMBRANE EFFLUX PROTEIN	2	1	2	100	0	GO:0015288 porin activity (1); GO:1990281 efflux pump complex (1)	tolC
subfamily	PTHR31689:SF0	DIAMINOPIMELATE EPIMERASE	2	1	2	100	0	GO:0005829 cytosol (2)	dapF
subfamily	PTHR34069:SF2	BETA-KETOACYL-[ACYL-CARRIER-PROTEIN] SYNTHASE III	2	2	2	100	0	GO:0044550 secondary metabolite biosynthetic process (2)	PP_4379, PP_4545
subfamily	PTHR42760:SF123	OXIDOREDUCTASE	2	1	2	100	0	GO:0016616 oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor (1); GO:0030497 fatty acid elongation (1)	benD
subfamily	PTHR42964:SF1	POLYKETIDE BIOSYNTHESIS ENOYL-COA HYDRATASE PKSH-RELATED	2	2	2	100	0	GO:0008300 isoprenoid catabolic process (2)	ech, liuC
subfamily	PTHR43201:SF32	2-SUCCINYLBENZOATE--COA LIGASE, CHLOROPLASTIC_PEROXISOMAL	2	1	2	100	0	GO:0006631 fatty acid metabolic process (1); GO:0031956 medium-chain fatty acid-CoA ligase activity (1)	fcs
subfamily	PTHR43433:SF5	AB HYDROLASE-1 DOMAIN-CONTAINING PROTEIN	2	1	2	100	0	GO:0004806 triacylglycerol lipase activity (1); GO:0046503 glycerolipid catabolic process (1)	phaZ
family	PTHR10996	2-HYDROXYACID DEHYDROGENASE-RELATED	3	1	2	67	0	GO:0016618 hydroxypyruvate reductase [NAD(P)H] activity (1); GO:0030267 glyoxylate reductase (NADPH) activity (1)	ptxD
family	PTHR11371	DEOXYRIBONUCLEASE	3	1	2	67	1	GO:0003677 DNA binding (1); GO:0005634 nucleus (1)	K9J287
family	PTHR24264	TRYPSIN-RELATED	3	1	2	67	0	GO:0014909 smooth muscle cell migration (1); GO:0048008 platelet-derived growth factor receptor signaling pathway (1)	K9IJK6
family	PTHR30435	FLAGELLAR PROTEIN	3	1	2	67	1	GO:0005829 cytosol (1); GO:0071978 bacterial-type flagellum-dependent swarming motility (1)	flgE
family	PTHR30511	ALANINE RACEMASE	3	2	2	67	1	GO:0005829 cytosol (1); GO:0030632 D-alanine biosynthetic process (1)	alr
family	PTHR42673	MALEYLACETOACETATE ISOMERASE	3	1	2	67	1	GO:0004364 glutathione transferase activity (1); GO:0006749 glutathione metabolic process (1)	hmgC
family	PTHR42760	SHORT-CHAIN DEHYDROGENASES/REDUCTASES FAMILY MEMBER	3	2	2	67	1	GO:0016616 oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor (1); GO:0030497 fatty acid elongation (1)	benD
family	PTHR43105	RESPIRATORY NITRATE REDUCTASE	3	2	2	67	1	GO:0016020 membrane (1); GO:0003954 NADH dehydrogenase activity (1)	PP_1703, nuoG
