species	gene	go_id	line	ontology_status	raw_label	canonical_label	current_assessment	recommended_assessment	recommended_error_type	change_required	recommendation_basis	path
BACSU	sigK	GO:0009295	114	MISMATCH	bacterial nucleoid	nucleoid	LSP	UNC		true	CANONICAL_TERM_NOT_RESOLVED_BY_CURRENT_EVIDENCE	genes/BACSU/sigK/sigK-sft-predictions.yaml
BACSU	spoIIGA	GO:0043621	32	MISMATCH	protein self-association	obsolete protein self-association	COR	NPI	NAMING_INCONSISTENCY	true	CANONICAL_ID_DENOTES_DIFFERENT_FUNCTION	genes/BACSU/spoIIGA/spoIIGA-sft-predictions.yaml
DROME	LysB	GO:0005615	98	MISMATCH	extracellular space	obsolete extracellular space	LSP	CNN		true	ONTOLOGY_STATUS_ONLY_RETAINS_RUBRIC_ASSESSMENT	genes/DROME/LysB/LysB-sft-predictions.yaml
ECOLI	CnoX	GO:0061077	44	MISMATCH	chaperone-mediated protein folding	obsolete chaperone-mediated protein folding	NPI	LSP		true	SUPPORTED_CONCEPT_REQUIRES_CURRENT_OR_MORE_PRECISE_TERM	genes/ECOLI/CnoX/CnoX-sft-predictions.yaml
ECOLI	CpxP	GO:0061077	62	MISMATCH	chaperone-mediated protein folding	obsolete chaperone-mediated protein folding	NPI	UNC		true	CANONICAL_TERM_NOT_RESOLVED_BY_CURRENT_EVIDENCE	genes/ECOLI/CpxP/CpxP-sft-predictions.yaml
ECOLI	CpxP	GO:0014070	79	MISMATCH	response to organic cyclic compound	obsolete response to organic cyclic compound	NPI	UNC		true	CANONICAL_TERM_NOT_RESOLVED_BY_CURRENT_EVIDENCE	genes/ECOLI/CpxP/CpxP-sft-predictions.yaml
ECOLI	DnaJ	GO:0051085	172	MISMATCH	chaperone cofactor-dependent protein refolding	obsolete chaperone cofactor-dependent protein refolding	LSP	CNN		true	ONTOLOGY_STATUS_ONLY_RETAINS_RUBRIC_ASSESSMENT	genes/ECOLI/DnaJ/DnaJ-sft-predictions.yaml
ECOLI	DnaJ	GO:0006267	189	MISMATCH	DNA replication initiation	pre-replicative complex assembly involved in nuclear cell cycle DNA replication	CNN	NPI	TAXON_CONSTRAINT_VIOLATION	true	CANONICAL_TAXON_VIOLATION	genes/ECOLI/DnaJ/DnaJ-sft-predictions.yaml
ECOLI	DnaK	GO:0051085	155	MISMATCH	chaperone cofactor-dependent protein refolding	obsolete chaperone cofactor-dependent protein refolding	LSP	CNN		true	ONTOLOGY_STATUS_ONLY_RETAINS_RUBRIC_ASSESSMENT	genes/ECOLI/DnaK/DnaK-sft-predictions.yaml
ECOLI	DnaK	GO:0070828	206	MISMATCH	cellular response to unfolded protein	heterochromatin organization	CNN	NPI	TAXON_CONSTRAINT_VIOLATION	true	CANONICAL_TAXON_VIOLATION	genes/ECOLI/DnaK/DnaK-sft-predictions.yaml
ECOLI	RidA	GO:0051410	64	MISMATCH	response to nitrosative stress	detoxification of nitrogen compound	UNC	COR		true	CANONICAL_TERM_SUPPORTED_AND_ABSENT_FROM_GOA	genes/ECOLI/RidA/RidA-sft-predictions.yaml
ECOLI	Skp	GO:0061077	42	MISMATCH	chaperone-mediated protein folding	obsolete chaperone-mediated protein folding	NPI	CNN		true	ONTOLOGY_STATUS_ONLY_SUPPORTED_AS_NOT_NOVEL	genes/ECOLI/Skp/Skp-sft-predictions.yaml
ECOLI	Skp	GO:0043165	99	MISMATCH	outer membrane assembly	Gram-negative-bacterium-type cell outer membrane assembly	CNN	CNN		false	CANONICAL_TERM_SUPPORTED_AS_NOT_NOVEL	genes/ECOLI/Skp/Skp-sft-predictions.yaml
ECOLI	SlyD	GO:0022417	141	MISMATCH	protein maturation by protein folding	obsolete protein maturation by protein folding	LSP	CNN		true	ONTOLOGY_STATUS_ONLY_SUPPORTED_AS_NOT_NOVEL	genes/ECOLI/SlyD/SlyD-sft-predictions.yaml
ECOLI	Spy	GO:0061077	54	MISMATCH	chaperone-mediated protein folding	obsolete chaperone-mediated protein folding	LSP	CNN		true	ONTOLOGY_STATUS_ONLY_SUPPORTED_AS_NOT_NOVEL	genes/ECOLI/Spy/Spy-sft-predictions.yaml
ECOLI	Spy	GO:0014070	79	MISMATCH	response to organic cyclic compound	obsolete response to organic cyclic compound	NPI	COR		true	CANONICAL_TERM_SUPPORTED_AND_ABSENT_FROM_GOA	genes/ECOLI/Spy/Spy-sft-predictions.yaml
ECOLI	ftsI	GO:0009002	17	MISMATCH	peptidoglycan cross-linking enzyme activity	serine-type D-Ala-D-Ala carboxypeptidase activity	CNN	CNN		false	CANONICAL_TERM_SUPPORTED_AS_NOT_NOVEL	genes/ECOLI/ftsI/ftsI-sft-predictions.yaml
ECOLI	mrdA	GO:0008696	17	MISMATCH	serine-type D,D-peptidase activity	4-amino-4-deoxychorismate lyase activity	COR	NPI	NAMING_INCONSISTENCY	true	CANONICAL_ID_DENOTES_DIFFERENT_FUNCTION	genes/ECOLI/mrdA/mrdA-sft-predictions.yaml
ECOLI	surA	GO:0061077	54	MISMATCH	chaperone-mediated protein folding	obsolete chaperone-mediated protein folding	LSP	CNN		true	ONTOLOGY_STATUS_ONLY_SUPPORTED_AS_NOT_NOVEL	genes/ECOLI/surA/surA-sft-predictions.yaml
PSEPK	pedH	GO:0004027	71	MISMATCH	alcohol dehydrogenase (NAD) activity	alcohol sulfotransferase activity	UNC	NPI	NAMING_INCONSISTENCY	true	CANONICAL_ID_DENOTES_DIFFERENT_FUNCTION	genes/PSEPK/pedH/pedH-sft-predictions.yaml
PSEPK	pedH	GO:0031241	114	MISMATCH	periplasmic side of plasma membrane	periplasmic side of cell outer membrane	CNN	NPI	LOCALIZATION_DEFAULT	true	CANONICAL_LOCATION_CONTRADICTED	genes/PSEPK/pedH/pedH-sft-predictions.yaml
SCHPO	Shu1	GO:0016021	81	UNRESOLVED	integral component of membrane		LSP	NPI	LOCALIZATION_DEFAULT	true	CANONICAL_LOCATION_CONTRADICTED	genes/SCHPO/Shu1/Shu1-sft-predictions.yaml
SCHPO	atg38	GO:0005776	89	MISMATCH	vacuole	autophagosome	UNC	UNC		false	CANONICAL_TERM_NOT_RESOLVED_BY_CURRENT_EVIDENCE	genes/SCHPO/atg38/atg38-sft-predictions.yaml
SCHPO	cps1	GO:0051603	34	MISMATCH	proteolysis involved in protein catabolic process	obsolete proteolysis involved in protein catabolic process	UNC	CNN		true	ONTOLOGY_STATUS_ONLY_RETAINS_RUBRIC_ASSESSMENT	genes/SCHPO/cps1/cps1-sft-predictions.yaml
SCHPO	gaa1	GO:0016021	60	UNRESOLVED	integral component of membrane		UNC	LSP		true	SUPPORTED_CONCEPT_REQUIRES_CURRENT_OR_MORE_PRECISE_TERM	genes/SCHPO/gaa1/gaa1-sft-predictions.yaml
SCHPO	tpx1	GO:0070994	74	MISMATCH	detoxification of hydrogen peroxide by NADPH	detection of oxidative stress	UNC	COR		true	CANONICAL_TERM_SUPPORTED_AND_ABSENT_FROM_GOA	genes/SCHPO/tpx1/tpx1-sft-predictions.yaml
SCHPO	ura7	GO:0110142	76	MISMATCH	cytofilament	ubiquinone biosynthesis complex	UNC	NPI	NAMING_INCONSISTENCY	true	CANONICAL_ID_DENOTES_DIFFERENT_FUNCTION	genes/SCHPO/ura7/ura7-sft-predictions.yaml
human	CYCS	GO:0008635	67	MISMATCH	activation of cysteine-type endopeptidase activity involved in apoptotic process	obsolete activation of cysteine-type endopeptidase activity involved in apoptotic process by cytochrome c	COR	CNN		true	CANONICAL_TERM_SUPPORTED_AS_NOT_NOVEL	genes/human/CYCS/CYCS-sft-predictions.yaml
human	CYCS	GO:0043280	89	MISMATCH	positive regulation of cysteine-type endopeptidase activity involved in apoptotic process	obsolete positive regulation of cysteine-type endopeptidase activity involved in apoptotic process	UNC	LSP		true	SUPPORTED_CONCEPT_REQUIRES_CURRENT_OR_MORE_PRECISE_TERM	genes/human/CYCS/CYCS-sft-predictions.yaml
human	GAPDH	GO:0004365	22	MISMATCH	glyceraldehyde-3-phosphate dehydrogenase activity	glyceraldehyde-3-phosphate dehydrogenase (NAD+) (phosphorylating) activity	CNN	CNN		false	CANONICAL_TERM_SUPPORTED_AS_NOT_NOVEL	genes/human/GAPDH/GAPDH-sft-predictions.yaml
human	KEAP1	GO:0043433	71	MISMATCH	negative regulation of DNA-binding transcription factor activity	obsolete negative regulation of DNA-binding transcription factor activity	UNC	CNN		true	ONTOLOGY_STATUS_ONLY_SUPPORTED_AS_NOT_NOVEL	genes/human/KEAP1/KEAP1-sft-predictions.yaml
human	NFE2L2	GO:1903206	161	MISMATCH	negative regulation of hydrogen peroxide-induced cell death	obsolete negative regulation of hydrogen peroxide-induced cell death	UNC	CNN		true	ONTOLOGY_STATUS_ONLY_SUPPORTED_AS_NOT_NOVEL	genes/human/NFE2L2/NFE2L2-sft-predictions.yaml
human	NFE2L2	GO:0036498	212	MISMATCH	PERK-mediated unfolded protein response	IRE1-mediated unfolded protein response	UNC	NPI	NAMING_INCONSISTENCY	true	CANONICAL_ID_DENOTES_DIFFERENT_FUNCTION	genes/human/NFE2L2/NFE2L2-sft-predictions.yaml
human	NFE2L2	GO:1990622	429	MISMATCH	NFE2L2-KEAP1 complex	CHOP-ATF3 complex	UNC	NPI	NAMING_INCONSISTENCY	true	CANONICAL_ID_DENOTES_DIFFERENT_FUNCTION	genes/human/NFE2L2/NFE2L2-sft-predictions.yaml
human	VEGFA	GO:1903589	391	MISMATCH	positive regulation of vascular permeability	positive regulation of blood vessel endothelial cell proliferation involved in sprouting angiogenesis	CNN	CNN		false	CANONICAL_TERM_SUPPORTED_AS_NOT_NOVEL	genes/human/VEGFA/VEGFA-sft-predictions.yaml
human	VEGFA	GO:0061419	409	MISMATCH	positive regulation of transcription from RNA polymerase II promoter in response to hypoxia	obsolete positive regulation of transcription from RNA polymerase II promoter in response to hypoxia	NPI	UNC		true	CANONICAL_TERM_NOT_RESOLVED_BY_CURRENT_EVIDENCE	genes/human/VEGFA/VEGFA-sft-predictions.yaml
human	VEGFA	GO:1904707	431	MISMATCH	positive regulation of adherens junction assembly	positive regulation of vascular associated smooth muscle cell proliferation	UNC	UNC		false	CANONICAL_TERM_NOT_RESOLVED_BY_CURRENT_EVIDENCE	genes/human/VEGFA/VEGFA-sft-predictions.yaml
human	VEGFA	GO:0048010	468	MISMATCH	vascular endothelial growth factor signaling pathway	vascular endothelial growth factor receptor signaling pathway	CNN	CNN		false	CANONICAL_TERM_SUPPORTED_AS_NOT_NOVEL	genes/human/VEGFA/VEGFA-sft-predictions.yaml
human	VEGFA	GO:0014068	500	MISMATCH	positive regulation of phosphatidylinositol 3-kinase signaling	obsolete positive regulation of phosphatidylinositol 3-kinase signaling	LSP	CNN		true	ONTOLOGY_STATUS_ONLY_RETAINS_RUBRIC_ASSESSMENT	genes/human/VEGFA/VEGFA-sft-predictions.yaml
mouse	Pten	GO:0048853	225	MISMATCH	forebrain morph	forebrain morphogenesis	CNN	CNN		false	CANONICAL_TERM_SUPPORTED_AS_NOT_NOVEL	genes/mouse/Pten/Pten-sft-predictions.yaml
rat	Hspa5	GO:0048623	49	MISMATCH	luteolysis	seed germination on parent plant	UNC	NPI	TAXON_CONSTRAINT_VIOLATION	true	CANONICAL_TAXON_VIOLATION	genes/rat/Hspa5/Hspa5-sft-predictions.yaml
rat	Hspa5	GO:0071316	174	MISMATCH	cellular response to cocaine	cellular response to nicotine	UNC	UNC		false	CANONICAL_TERM_NOT_RESOLVED_BY_CURRENT_EVIDENCE	genes/rat/Hspa5/Hspa5-sft-predictions.yaml
rat	Rgn	GO:0004349	16	MISMATCH	gluconolactonase activity	glutamate 5-kinase activity	UNC	NPI	NAMING_INCONSISTENCY	true	CANONICAL_ID_DENOTES_DIFFERENT_FUNCTION	genes/rat/Rgn/Rgn-sft-predictions.yaml
rat	Rgn	GO:0007568	42	MISMATCH	aging	obsolete aging	UNC	UNC		false	CANONICAL_TERM_NOT_RESOLVED_BY_CURRENT_EVIDENCE	genes/rat/Rgn/Rgn-sft-predictions.yaml
rat	Rgn	GO:1901021	144	MISMATCH	positive regulation of calcium ion transmembrane transporter activity	obsolete positive regulation of calcium ion transmembrane transporter activity	UNC	LSP		true	SUPPORTED_CONCEPT_REQUIRES_CURRENT_OR_MORE_PRECISE_TERM	genes/rat/Rgn/Rgn-sft-predictions.yaml
rat	Rgn	GO:0010923	237	MISMATCH	negative regulation of protein phosphatase activity	negative regulation of phosphatase activity	UNC	COR		true	CANONICAL_TERM_SUPPORTED_AND_ABSENT_FROM_GOA	genes/rat/Rgn/Rgn-sft-predictions.yaml
rat	Slc5a1	GO:0001951	27	MISMATCH	intestinal monosaccharide absorption	intestinal D-glucose absorption	CNN	CNN		false	CANONICAL_TERM_SUPPORTED_AS_NOT_NOVEL	genes/rat/Slc5a1/Slc5a1-sft-predictions.yaml
rat	St13	GO:0051085	82	MISMATCH	chaperone cofactor-dependent protein refolding	obsolete chaperone cofactor-dependent protein refolding	NPI	CNN		true	ONTOLOGY_STATUS_ONLY_SUPPORTED_AS_NOT_NOVEL	genes/rat/St13/St13-sft-predictions.yaml
rat	Tp53	GO:0007568	63	MISMATCH	aging	obsolete aging	UNC	LSP		true	SUPPORTED_CONCEPT_REQUIRES_CURRENT_OR_MORE_PRECISE_TERM	genes/rat/Tp53/Tp53-sft-predictions.yaml
worm	cmd-1	GO:0043067	97	MISMATCH	regulation of apoptotic process	regulation of programmed cell death	CNN	LSP		true	SUPPORTED_CONCEPT_REQUIRES_CURRENT_OR_MORE_PRECISE_TERM	genes/worm/cmd-1/cmd-1-sft-predictions.yaml
worm	drp-1	GO:0003924	49	MISMATCH	GTP	GTPase activity	CNN	CNN		false	CANONICAL_TERM_SUPPORTED_AS_NOT_NOVEL	genes/worm/drp-1/drp-1-sft-predictions.yaml
worm	hsf-1	GO:0061067	239	MISMATCH	positive regulation of dauer larval development	negative regulation of dauer larval development	COR	NPI	NAMING_INCONSISTENCY	true	CANONICAL_ID_DENOTES_DIFFERENT_FUNCTION	genes/worm/hsf-1/hsf-1-sft-predictions.yaml
worm	hsp-90	GO:0061077	127	MISMATCH	chaperone-mediated protein folding	obsolete chaperone-mediated protein folding	LSP	CNN		true	ONTOLOGY_STATUS_ONLY_RETAINS_RUBRIC_ASSESSMENT	genes/worm/hsp-90/hsp-90-sft-predictions.yaml
worm	hsp-90	GO:1903615	223	MISMATCH	positive regulation of protein serine/threonine phosphatase activity	obsolete positive regulation of protein tyrosine phosphatase activity	COR	NPI	NAMING_INCONSISTENCY	true	CANONICAL_ID_DENOTES_DIFFERENT_FUNCTION	genes/worm/hsp-90/hsp-90-sft-predictions.yaml
worm	lgg-1	GO:0010940	56	MISMATCH	positive regulation of necrotic cell death	obsolete positive regulation of necrotic cell death	UNC	LSP		true	SUPPORTED_CONCEPT_REQUIRES_CURRENT_OR_MORE_PRECISE_TERM	genes/worm/lgg-1/lgg-1-sft-predictions.yaml
worm	pmk-1	GO:0060548	62	MISMATCH	negative regulation of neuron death	obsolete negative regulation of cell death	UNC	UNC		false	CANONICAL_TERM_NOT_RESOLVED_BY_CURRENT_EVIDENCE	genes/worm/pmk-1/pmk-1-sft-predictions.yaml
worm	skn-1	GO:1901215	135	MISMATCH	negative regulation of neuron death	obsolete negative regulation of neuron death	CNN	LSP		true	SUPPORTED_CONCEPT_REQUIRES_CURRENT_OR_MORE_PRECISE_TERM	genes/worm/skn-1/skn-1-sft-predictions.yaml
worm	skn-1	GO:0036003	224	MISMATCH	positive regulation of transcription from RNA polymerase II promoter in response to endoplasmic reticulum stress	obsolete positive regulation of transcription from RNA polymerase II promoter in response to stress	COR	LSP		true	SUPPORTED_CONCEPT_REQUIRES_CURRENT_OR_MORE_PRECISE_TERM	genes/worm/skn-1/skn-1-sft-predictions.yaml
yeast	HSP104	GO:0051085	114	MISMATCH	chaperone cofactor-dependent protein refolding	obsolete chaperone cofactor-dependent protein refolding	LSP	CNN		true	ONTOLOGY_STATUS_ONLY_RETAINS_RUBRIC_ASSESSMENT	genes/yeast/HSP104/HSP104-sft-predictions.yaml
yeast	HSP104	GO:0043335	162	MISMATCH	protein aggregate disassembly	protein unfolding	CNN	CNN		false	CANONICAL_TERM_SUPPORTED_AS_NOT_NOVEL	genes/yeast/HSP104/HSP104-sft-predictions.yaml
yeast	HSP104	GO:1990565	223	MISMATCH	Hsp70-Hsp40-Hsp104 complex	HSP90-CDC37 chaperone complex	COR	NPI	NAMING_INCONSISTENCY	true	CANONICAL_ID_DENOTES_DIFFERENT_FUNCTION	genes/yeast/HSP104/HSP104-sft-predictions.yaml
yeast	IRE1	GO:0043620	104	MISMATCH	regulation of DNA-templated transcription in response to unfolded protein	obsolete regulation of DNA-templated transcription in response to stress	CNN	LSP		true	SUPPORTED_CONCEPT_REQUIRES_CURRENT_OR_MORE_PRECISE_TERM	genes/yeast/IRE1/IRE1-sft-predictions.yaml
yeast	IRE1	GO:0098787	166	MISMATCH	mRNA cleavage involved in mRNA processing	obsolete mRNA cleavage involved in mRNA processing	LSP	CNN		true	ONTOLOGY_STATUS_ONLY_RETAINS_RUBRIC_ASSESSMENT	genes/yeast/IRE1/IRE1-sft-predictions.yaml
yeast	IRE1	GO:0016021	244	UNRESOLVED	integral component of membrane		CNN	LSP		true	SUPPORTED_CONCEPT_REQUIRES_CURRENT_OR_MORE_PRECISE_TERM	genes/yeast/IRE1/IRE1-sft-predictions.yaml
yeast	KAR2	GO:0034976	59	MISMATCH	response to unfolded protein	response to endoplasmic reticulum stress	CNN	LSP		true	SUPPORTED_CONCEPT_REQUIRES_CURRENT_OR_MORE_PRECISE_TERM	genes/yeast/KAR2/KAR2-sft-predictions.yaml
yeast	KAR2	GO:0030433	77	MISMATCH	ubiquitin-dependent ERAD pathway	obsolete ubiquitin-dependent ERAD pathway	LSP	CNN		true	ONTOLOGY_STATUS_ONLY_RETAINS_RUBRIC_ASSESSMENT	genes/yeast/KAR2/KAR2-sft-predictions.yaml
yeast	PDI1	GO:0006515	107	MISMATCH	ubiquitin-dependent glycoprotein ERAD pathway	protein quality control for misfolded or incompletely synthesized proteins	CNN	LSP		true	SUPPORTED_CONCEPT_REQUIRES_CURRENT_OR_MORE_PRECISE_TERM	genes/yeast/PDI1/PDI1-sft-predictions.yaml
yeast	PDI1	GO:0034663	139	MISMATCH	endoplasmic reticulum quality control complex	endoplasmic reticulum chaperone complex	CNN	UNC		true	CANONICAL_TERM_NOT_RESOLVED_BY_CURRENT_EVIDENCE	genes/yeast/PDI1/PDI1-sft-predictions.yaml
yeast	RAS2	GO:0032258	80	MISMATCH	cytoplasm to vacuole transport by the Cvt pathway	cytoplasm to vacuole targeting by the Cvt pathway	LSP	NPI		true	CANONICAL_FUNCTION_CONTRADICTED	genes/yeast/RAS2/RAS2-sft-predictions.yaml
yeast	RAS2	GO:0045992	154	MISMATCH	carbon catabolite activation of transcription	negative regulation of embryonic development	UNC	NPI	TAXON_CONSTRAINT_VIOLATION	true	CANONICAL_TAXON_VIOLATION	genes/yeast/RAS2/RAS2-sft-predictions.yaml
yeast	SSA1	GO:0006626	100	MISMATCH	protein targeting to mitochondrion	obsolete protein targeting to mitochondrion	LSP	CNN		true	ONTOLOGY_STATUS_ONLY_RETAINS_RUBRIC_ASSESSMENT	genes/yeast/SSA1/SSA1-sft-predictions.yaml
yeast	SSA1	GO:0005844	224	MISMATCH	polysome	obsolete polysome	LSP	CNN		true	ONTOLOGY_STATUS_ONLY_RETAINS_RUBRIC_ASSESSMENT	genes/yeast/SSA1/SSA1-sft-predictions.yaml
