organism	gene	uniprot	length	n_pdb	methods	best_resolution_A	max_coverage_frac	exp_mf	exp_bp	exp_cc	exp_total	any_experimental
yeast	CCT7	P42943	550	20	EM;X-ray	2.99	1.000	1	2	2	5	1
yeast	CCT8	P47079	568	20	EM;X-ray	2.99	1.000	9	2	2	13	1
yeast	TCP1	P12612	559	20	EM;X-ray	2.99	1.000	15	2	2	19	1
ACET2	P51584	P51584	1077	19	X-ray	1.40	0.483	2	0	1	3	1
ECOLI	surA	P0ABZ6	428	19	EM;X-ray	1.30	0.956	7	7	3	17	1
ECOLX	mcr-1	A0A0R6L508	541	19	EM;X-ray	1.32	1.000	0	0	1	1	1
human	DDA1	Q9BW61	102	19	EM;X-ray	1.90	1.000	10	1	4	15	1
human	HDAC4	P56524	1084	19	X-ray	1.57	0.378	101	20	12	133	1
human	PDCD6IP	Q8WUM4	868	19	X-ray	1.87	0.804	58	13	9	80	1
human	RB1	P06400	928	19	X-ray	1.67	0.792	164	18	11	193	1
yeast	CCT5	P40413	562	19	EM;X-ray	2.99	1.000	3	2	2	7	1
yeast	GET3	Q12154	354	19	X-ray	1.99	1.000	47	10	2	59	1
BACSU	secA	P28366	841	18	EM;X-ray	2.18	1.000	0	0	0	0	0
BPT4	5	P16009	575	18	EM;X-ray	1.15	1.000	7	2	2	11	1
human	CBS	P35520	551	18	EM;X-ray	1.71	1.000	63	12	2	77	1
human	ISCU	Q9H1K1	167	18	EM;X-ray	1.57	0.796	41	8	9	58	1
human	LMAN1	P49257	510	18	EM;X-ray	1.60	1.000	16	2	6	24	1
human	MUC1	P15941	1255	18	NMR;X-ray	1.56	0.088	13	6	3	22	1
human	PPP3CA	Q08209	521	18	EM;NMR;X-ray	1.45	1.000	49	15	14	78	1
CHLRE	psaC	Q00914	81	17	EM;X-ray	2.31	1.000	0	0	0	0	0
human	CDC25B	P30305	580	17	X-ray	1.50	0.364	39	4	2	45	1
human	PIK3CD	O00329	1044	17	X-ray	2.21	1.000	13	9	1	23	1
human	TERT	O14746	1132	17	EM;X-ray	1.77	1.000	69	28	23	120	1
human	TNFAIP3	P21580	790	17	NMR;X-ray	1.70	0.468	60	22	1	83	1
mouse	Calm1	P0DP26	149	17	EM;X-ray	1.90	1.000	5	7	10	22	1
DROME	Dscam1	Q0E9H9	2016	16	X-ray	1.90	0.402	3	30	5	38	1
human	FXN	Q16595	210	16	EM;NMR;X-ray	1.15	0.805	29	15	8	52	1
human	STUB1	Q9UNE7	303	16	EM;X-ray	1.30	0.455	151	33	13	197	1
human	TOP2B	Q02880	1626	16	EM;X-ray	1.90	1.000	12	4	10	26	1
mouse	Ctnnb1	Q02248	781	16	X-ray	1.80	0.689	137	243	182	562	1
rat	Aldh1l1	P28037	902	16	EM;X-ray	1.70	1.000	8	4	2	14	1
ARATH	BRI1	O22476	1196	15	X-ray	1.98	0.659	42	12	4	58	1
MYCTU	clpP2	P9WPC3	214	15	EM;X-ray	2.15	1.000	1	0	0	1	1
human	EIF2AK3	Q9NZJ5	1116	15	X-ray	1.80	0.466	21	20	2	43	1
human	RASA1	P20936	1047	15	NMR;X-ray	1.50	0.446	37	9	2	48	1
yeast	ATG7	P38862	630	15	NMR;X-ray	1.60	0.973	20	15	4	39	1
yeast	CHD1	P32657	1468	15	EM;NMR;X-ray	2.00	1.000	45	24	6	75	1
yeast	ESA1	Q08649	445	15	EM;NMR;X-ray	1.90	1.000	67	13	4	84	1
yeast	NMD3	P38861	518	15	EM	2.64	1.000	8	2	1	11	1
yeast	SWI2	P22082	1703	15	EM;X-ray	2.15	1.000	73	23	7	103	1
ARATH	PYR1	O49686	191	14	X-ray	1.52	1.000	45	4	8	57	1
human	BIRC6	Q9NR09	4857	14	EM;X-ray	1.98	1.000	18	3	7	28	1
human	BRCA2	P51587	3418	14	EM;X-ray	1.21	0.019	69	11	18	98	1
human	CAND1	Q86VP6	1230	14	EM;X-ray	2.70	1.000	35	7	9	51	1
human	CD47	Q08722	323	14	X-ray	1.85	1.000	17	10	2	29	1
human	DNAJB1	P25685	340	14	EM;NMR;X-ray	1.85	0.559	34	5	4	43	1
human	P4HB	P07237	508	14	EM;NMR;X-ray	2.05	1.000	74	9	14	97	1
human	PRDX4	Q13162	271	14	EM;X-ray	1.80	1.000	12	0	2	14	1
human	PTPN6	P29350	595	14	NMR;X-ray	1.37	1.000	80	17	8	105	1
human	RARA	P10276	462	14	X-ray	1.58	0.582	100	30	13	143	1
human	SPR	P35270	261	14	X-ray	1.43	1.000	0	1	1	2	1
human	UCHL1	P09936	223	14	NMR;X-ray	1.80	1.000	63	3	4	70	1
human	UFM1	P61960	85	14	EM;NMR;X-ray	1.60	1.000	17	13	4	34	1
human	AIMP2	Q13155	320	13	EM;X-ray	1.40	0.725	86	0	2	88	1
human	ATP7B	P35670	1465	13	EM;NMR;X-ray	1.60	1.000	12	8	8	28	1
human	CYCS	P99999	105	13	NMR;X-ray	1.25	0.990	30	0	7	37	1
human	EMC7	Q9NPA0	242	13	EM;X-ray	2.00	1.000	12	5	5	22	1
human	IL13	P35225	146	13	EM;NMR;X-ray	1.90	0.904	7	11	2	20	1
human	ORMDL3	Q8N138	153	13	EM	2.70	1.000	29	6	4	39	1
human	TRAF6	Q9Y4K3	522	13	NMR;X-ray	1.80	0.310	170	53	12	235	1
ARATH	COP1	P43254	675	12	EM;X-ray	1.11	1.000	56	10	6	72	1
DESVH	P07598	P07598	421	12	NMR;X-ray	1.01	1.000	0	0	0	0	0
ECOLI	sucB	P0AFG6	405	12	EM;NMR;X-ray	2.20	0.575	0	0	0	16	1
human	BAIAP2	Q9UQB8	552	12	X-ray	1.09	0.453	62	1	4	67	1
human	BTF3	P20290	206	12	EM;X-ray	1.90	1.000	5	1	2	8	1
human	CDK1	P06493	297	12	EM;X-ray	2.00	1.000	115	22	12	149	1
human	COPS2	P61201	443	12	EM;X-ray	2.45	1.000	44	2	6	52	1
human	FKBP4	Q02790	459	12	EM;X-ray	1.70	1.000	47	1	2	50	1
human	FZD7	O75084	574	12	EM;X-ray	1.30	0.944	44	18	4	66	1
human	HMGB1	P09429	215	12	EM;NMR;X-ray	3.15	0.772	47	42	10	99	1
human	MAD2L1	Q13257	205	12	EM;NMR;X-ray	1.95	1.000	104	8	13	125	1
human	PTEN	P60484	403	12	NMR;X-ray	1.87	1.000	59	31	18	108	1
human	SMAD3	P84022	425	12	NMR;X-ray	1.70	0.485	190	54	22	266	1
human	TOMM20	Q15388	145	12	EM;X-ray	1.90	1.000	10	1	6	17	1
human	UBA5	Q9GZZ9	404	12	NMR;X-ray	1.85	0.770	43	16	7	66	1
mouse	Notch1	Q01705	2531	12	NMR;X-ray	1.47	0.107	41	200	36	277	1
yeast	HSP104	P31539	908	12	EM;X-ray	2.54	1.000	34	7	4	45	1
yeast	HST2	P53686	357	12	X-ray	1.50	1.000	4	5	2	11	1
METEA	fae	Q9FA38	170	11	EM;X-ray	1.90	0.994	0	0	0	0	0
human	APBB1	O00213	710	11	NMR;X-ray	1.33	0.197	30	5	8	43	1
human	CDK5R1	Q15078	307	11	X-ray	1.95	0.678	36	3	6	45	1
human	CHAF1A	Q13111	956	11	EM;X-ray	3.42	1.000	31	3	6	40	1
human	CHAF1B	Q13112	559	11	EM;X-ray	3.42	1.000	7	3	6	16	1
human	CHMP1B	Q7LBR1	199	11	EM;X-ray	1.00	1.000	42	21	13	76	1
human	COPS8	Q99627	209	11	EM;X-ray	3.80	1.000	61	4	7	72	1
human	FOXO1	Q12778	655	11	NMR;X-ray	1.60	0.195	39	16	15	70	1
human	GCH1	P30793	250	11	EM;X-ray	1.73	0.840	19	21	9	49	1
human	PEX5	P50542	639	11	NMR;X-ray	2.20	0.576	63	26	13	102	1
human	THBS1	P07996	1170	11	X-ray	1.45	0.288	31	67	12	110	1
human	TNFRSF1A	P19438	455	11	EM;NMR;X-ray	1.40	0.400	48	9	5	62	1
human	TOMM22	Q9NS69	142	11	EM	2.53	1.000	11	1	5	17	1
human	TOMM40	O96008	361	11	EM	2.53	1.000	3	2	9	14	1
human	TOMM5	Q8N4H5	51	11	EM	2.53	1.000	0	0	2	2	1
human	TOMM6	Q96B49	74	11	EM	2.53	1.000	11	0	1	12	1
human	TOMM7	Q9P0U1	55	11	EM	2.53	1.000	3	3	2	8	1
human	TOP2A	P11388	1531	11	EM;X-ray	1.15	1.000	35	9	18	62	1
human	UCK2	Q9BZX2	261	11	X-ray	1.80	1.000	5	4	0	9	1
human	UPF1	Q92900	1129	11	EM;X-ray	2.40	0.718	99	13	9	121	1
mouse	Dnmt1	P13864	1620	11	X-ray	2.10	0.821	29	24	13	66	1
yeast	SIR3	P06701	978	11	X-ray	1.85	0.390	14	13	7	34	1
ARATH	EDS1	Q9SU72	623	10	EM;X-ray	2.29	1.000	15	12	14	41	1
human	ARIH1	Q9Y4X5	557	10	EM;NMR;X-ray	3.24	1.000	28	6	12	46	1
human	ATP5MC1	P05496	136	10	EM	2.53	0.551	7	2	2	11	1
human	ATP6AP2	O75787	350	10	EM;X-ray	2.00	1.000	20	12	8	40	1
human	BAG6	P46379	1132	10	EM;NMR;X-ray	1.30	0.114	43	17	16	76	1
human	CALCOCO2	Q13137	446	10	NMR;X-ray	1.35	0.296	212	4	6	222	1
human	CALR	P27797	417	10	EM;X-ray	1.55	1.000	99	19	20	138	1
human	CASP9	P55211	416	10	EM;X-ray	1.50	0.668	56	12	4	72	1
human	CD28	P10747	220	10	NMR;X-ray	0.90	0.618	20	14	6	40	1
human	CDK5	Q00535	292	10	X-ray	1.90	1.000	78	3	8	89	1
human	CLTC	Q00610	1675	10	X-ray	1.40	0.217	34	12	9	55	1
human	CSNK2B	P67870	215	10	X-ray	1.74	1.000	109	8	11	128	1
human	CTBP1	Q13363	440	10	EM;X-ray	1.95	1.000	82	3	4	89	1
human	DDB2	Q92466	427	10	EM;X-ray	2.80	1.000	29	8	12	49	1
human	EMC2	Q15006	297	10	EM;X-ray	2.20	1.000	38	6	7	51	1
human	HINT2	Q9BX68	163	10	X-ray	1.19	1.000	3	0	2	5	1
human	NAA10	P41227	235	10	EM;X-ray	2.69	1.000	93	4	12	109	1
human	NAA15	Q9BXJ9	866	10	EM;X-ray	2.69	1.000	25	2	11	38	1
human	P4HA1	P13674	534	10	X-ray	1.90	0.457	5	0	1	6	1
human	POMC	P01189	267	10	EM;NMR;X-ray	2.10	0.116	23	7	2	32	1
human	SCO1	O75880	301	10	NMR;X-ray	2.40	0.565	11	1	3	15	1
human	TAX1BP1	Q86VP1	789	10	NMR;X-ray	1.50	0.169	100	5	5	110	1
human	TPM1	P09493	284	10	EM;NMR;X-ray	1.50	1.000	34	7	3	44	1
human	TRIP4	Q15650	581	10	EM;NMR;X-ray	1.02	1.000	9	10	12	31	1
yeast	DBP5	P20449	482	10	NMR;X-ray	1.40	0.813	10	7	7	24	1
yeast	RTT109	Q07794	436	10	NMR;Other;X-ray	1.90	1.000	37	16	6	59	1
ACET2	cipA	Q06851	1853	9	X-ray	1.19	0.168	3	0	0	3	1
BACSU	sacB	P05655	473	9	X-ray	1.50	1.000	0	0	0	0	0
BPBPP	brt	Q775D8	328	9	EM	3.05	1.000	0	0	0	0	0
STAAU	apmA	A0A1D0AST6	274	9	X-ray	1.78	1.000	0	0	0	0	0
human	ATG5	Q9H1Y0	275	9	X-ray	1.80	1.000	49	9	3	61	1
human	ATP5F1A	P25705	553	9	EM	2.53	0.922	36	5	7	48	1
human	ATP5F1B	P06576	529	9	EM	2.53	0.911	48	10	11	69	1
human	ATP6AP1	Q15904	470	9	EM	3.00	1.000	8	4	5	17	1
human	ATP6V0D1	P61421	351	9	EM	3.00	1.000	13	4	5	22	1
human	ATP6V0E1	O15342	81	9	EM	3.00	1.000	17	1	0	18	1
human	CCNE1	P24864	410	9	X-ray	1.84	0.690	42	4	3	49	1
human	CLCN7	P51798	805	9	EM	1.80	1.000	20	1	3	24	1
human	CWC27	Q6UX04	472	9	EM;X-ray	1.75	1.000	1	0	5	6	1
human	EMC1	Q8N766	993	9	EM	3.32	1.000	5	5	6	16	1
human	EMC10	Q5UCC4	262	9	EM	3.32	1.000	2	7	7	16	1
human	EMC3	Q9P0I2	261	9	EM	3.32	1.000	7	5	5	17	1
human	EMC6	Q9BV81	110	9	EM	3.32	1.000	25	7	8	40	1
human	HBS1L	Q9Y450	684	9	EM	3.30	1.000	6	5	3	14	1
human	IDH3B	O43837	385	9	X-ray	2.70	0.883	0	1	2	3	1
human	IL10	P22301	178	9	EM;X-ray	1.60	0.899	15	30	4	49	1
human	IL2RA	P01589	272	9	EM;X-ray	1.83	0.801	4	2	0	6	1
human	MMGT1	Q8N4V1	131	9	EM	3.32	1.000	65	6	5	76	1
human	PTPN22	Q9Y2R2	807	9	X-ray	1.90	0.384	7	24	5	36	1
human	SIRT1	Q96EB6	747	9	X-ray	1.64	0.700	175	88	25	288	1
human	SRP19	P09132	144	9	EM;X-ray	1.80	1.000	6	0	6	12	1
human	SRP68	Q9UHB9	627	9	EM;X-ray	1.60	1.000	13	1	5	19	1
human	TMA16	Q96EY4	203	9	EM	2.55	1.000	10	1	2	13	1
human	UFL1	O94874	794	9	EM;X-ray	2.20	1.000	35	40	20	95	1
human	USP8	P40818	1118	9	NMR;X-ray	1.59	0.337	25	10	13	48	1
mouse	App	P12023	770	9	EM;NMR;X-ray	1.60	0.290	52	63	35	150	1
mouse	Cftr	P26361	1476	9	X-ray	2.20	0.193	13	12	4	29	1
ARATH	BAK1	Q94F62	615	8	EM;X-ray	2.20	0.554	67	6	9	82	1
ARATH	GID1A	Q9MAA7	345	8	EM;X-ray	1.80	1.000	33	10	3	46	1
ARATH	TIR1	Q570C0	594	8	X-ray	1.80	1.000	4	7	2	13	1
BPT4	41	P04530	475	8	EM	2.70	1.000	2	1	0	3	1
BPT4	8	P19062	334	8	EM;X-ray	2.00	1.000	0	0	1	1	1
ECOLI	SecB	P0AG86	155	8	NMR;X-ray	2.35	1.000	10	6	2	18	1
ECOLI	Spy	P77754	161	8	X-ray	1.77	0.596	7	1	1	9	1
ECOLX	hph	P00557	341	8	X-ray	1.50	1.000	0	0	0	0	0
PSEPK	pqqB	Q88QV5	303	8	X-ray	1.50	1.000	0	0	0	0	0
human	ATP6V1A	P38606	617	8	EM	2.90	1.000	4	4	9	17	1
human	ATP6V1B2	P21281	511	8	EM	2.90	1.000	8	0	3	11	1
human	ATP6V1D	Q9Y5K8	247	8	EM	2.90	1.000	16	4	8	28	1
human	ATP6V1E1	P36543	226	8	EM	2.90	1.000	6	2	4	12	1
human	ATP6V1F	Q16864	119	8	EM	2.90	1.000	5	0	3	8	1
human	ATP6V1G1	O75348	118	8	EM	2.90	1.000	17	2	3	22	1
human	ATP6V1H	Q9UI12	483	8	EM	3.10	1.000	12	1	2	15	1
human	CD8A	P01732	235	8	NMR;X-ray	1.90	0.511	6	2	5	13	1
human	DDRGK1	Q96HY6	314	8	EM;X-ray	1.60	1.000	19	40	9	68	1
human	EEF2K	O00418	725	8	NMR;X-ray	2.12	0.724	3	2	0	5	1
human	EMC4	Q5J8M3	183	8	EM	3.32	1.000	7	5	5	17	1
human	EMC8	O43402	210	8	EM	3.32	1.000	11	5	5	21	1
human	ERG	P11308	479	8	NMR;X-ray	1.70	0.263	8	4	3	15	1
human	HSPA9	P38646	679	8	EM;X-ray	2.00	0.875	37	4	5	46	1
human	HSPB6	O14558	160	8	X-ray	2.20	0.931	4	2	5	11	1
human	NME2	P22392	152	8	X-ray	1.30	1.000	30	13	7	50	1
human	NPM1	P06748	294	8	EM;NMR;X-ray	1.80	1.000	107	21	23	151	1
human	PPIB	P23284	216	8	EM;X-ray	1.20	1.000	35	9	4	48	1
human	RAB7A	P51149	207	8	X-ray	1.90	1.000	45	19	16	80	1
human	RAD18	Q9NS91	495	8	NMR;X-ray	1.62	0.200	36	5	10	51	1
human	SLC40A1	Q9NP59	571	8	EM	2.50	1.000	7	2	7	16	1
human	SOX2	P48431	317	8	EM;NMR;X-ray	2.30	0.281	20	20	6	46	1
human	TIA1	P31483	386	8	EM;NMR;X-ray	0.95	0.469	8	6	9	23	1
mouse	Egf	P01132	1217	8	NMR		0.044	10	31	7	48	1
mouse	Trp53	P02340	390	8	X-ray	1.50	0.515	47	18	4	69	1
yeast	IRE1	P32361	1115	8	X-ray	2.40	0.426	8	11	2	21	1
yeast	SWI1	P09547	1314	8	EM;NMR	2.89	1.000	41	10	6	57	1
ARATH	AGO1	O04379	1048	7	X-ray	1.35	0.141	15	17	6	38	1
ARATH	RGA	Q9SLH3	587	7	EM	2.66	1.000	74	24	3	101	1
BACSU	ftsZ	P17865	382	7	X-ray	1.70	1.000	15	2	1	18	1
BPT4	9	P10927	288	7	EM;X-ray	2.30	1.000	0	0	1	1	1
BPT4	gp23	P04535	521	7	EM	3.30	1.000	0	0	1	1	1
ECOLX	mphA	Q47396	301	7	X-ray	1.20	1.000	0	0	0	0	0
SCHPO	clr4	O60016	490	7	NMR;X-ray	2.30	0.612	40	8	7	55	1
human	ATG2A	Q2TAZ0	1938	7	EM;X-ray	1.80	1.000	14	4	3	21	1
human	ATP6V0A1	Q93050	837	7	EM	3.00	1.000	4	1	4	9	1
human	COLGALT1	Q8NBJ5	622	7	EM;X-ray	2.70	0.953	1	2	1	4	1
