accession	length	taxid	organism	name	in_eutheria
A0A3Q7MEC3	123	34884	Callorhinus ursinus	Apolipoprotein C-IV	True
A0A3Q7SZH1	121	9627	Vulpes vulpes	Apolipoprotein C-IV	True
A0A452FVT4	128	9925	Capra hircus	Apolipoprotein C-IV	True
A0A452SDN9	123	9643	Ursus americanus	Apolipoprotein C-IV	True
A0A455AY55	144	9755	Physeter macrocephalus	Apolipoprotein C-IV	True
A0A484GKY1	171	103600	Sousa chinensis	Apolipoprotein C-IV	True
A0A485NQX3	123	191816	Lynx pardinus	Apolipoprotein C-IV	True
A0A4W2GG56	127	30522	Bos indicus x Bos taurus	Apolipoprotein C-IV	True
A0A4X2JTF9	144	29139	Vombatus ursinus	Apolipoprotein C-IV	False
A0A5E4BNG2	124	9995	Marmota monax	Apolipoprotein C-IV	True
A0A5F5PQA2	150	9796	Equus caballus	Apolipoprotein C-IV	True
A0A5F8A7J9	127	9544	Macaca mulatta	Apolipoprotein C-IV	True
A0A5J5MMW8	127	9886	Muntiacus reevesi	Apolipoprotein C-IV	True
A0A5N3VAM4	127	9888	Muntiacus muntjak	Apolipoprotein C-IV	True
A0A5N4DQR3	134	9838	Camelus dromedarius	Apolipoprotein C-IV	True
A0A667I8G7	123	61383	Lynx canadensis	Apolipoprotein C-IV	True
A0A671E595	127	59479	Rhinolophus ferrumequinum	Apolipoprotein C-IV	True
A0A673UUJ8	123	37032	Suricata suricatta	Apolipoprotein C-IV	True
A0A673V6I6	138	37032	Suricata suricatta	Apolipoprotein C-IV	True
A0A6G1AB40	102	9678	Crocuta crocuta	Apolipoprotein C-IV	True
A0A6I9MGJ9	124	230844	Peromyscus maniculatus bairdii	Apolipoprotein C-IV	True
A0A6I9ZMB1	157	32536	Acinonyx jubatus	Apolipoprotein C-IV	True
A0A6I9ZS01	111	32536	Acinonyx jubatus	Apolipoprotein C-IV	True
A0A6J1XM04	139	32536	Acinonyx jubatus	Apolipoprotein C-IV	True
A0A6J1XM05	100	32536	Acinonyx jubatus	Apolipoprotein C-IV	True
A0A6J3GKK0	119	9515	Sapajus apella	Apolipoprotein C-IV	True
A0A6J3GL97	139	9515	Sapajus apella	Apolipoprotein C-IV	True
A0A6J3GMD5	125	9515	Sapajus apella	Apolipoprotein C-IV	True
A0A6J3QIE8	127	9739	Tursiops truncatus	Apolipoprotein C-IV	True
A0A6P3FSM2	121	10160	Octodon degus	Apolipoprotein C-IV	True
A0A6P3IG84	127	43346	Bison bison bison	Apolipoprotein C-IV	True
A0A6P5DDN8	127	9915	Bos indicus	Apolipoprotein C-IV	True
A0A6P5LMY2	142	38626	Phascolarctos cinereus	Apolipoprotein C-IV	False
A0A6P5LUG1	146	38626	Phascolarctos cinereus	Apolipoprotein C-IV	False
A0A6P5Q4D6	124	10089	Mus caroli	Apolipoprotein C-IV	True
A0A6P6H5N0	123	9696	Puma concolor	Apolipoprotein C-IV	True
A0A6P9FIN6	123	9704	Zalophus californianus	Apolipoprotein C-IV	True
A0A7E6CPT5	129	89673	Phyllostomus discolor	Apolipoprotein C-IV	True
A0A7E6CPZ5	151	89673	Phyllostomus discolor	Apolipoprotein C-IV	True
A0A7F3R3U2	123	29088	Neomonachus schauinslandi	Apolipoprotein C-IV	True
A0A7J7EZT6	133	77932	Diceros bicornis minor	Apolipoprotein C-IV	True
A0A7J7R8T9	128	59472	Pipistrellus kuhlii	Apolipoprotein C-IV	True
A0A7J7S9V5	130	51298	Myotis myotis	Apolipoprotein C-IV	True
A0A7J8CDN8	54	9407	Rousettus aegyptiacus	Apolipoprotein C-IV	True
A0A811ZVJ0	121	34880	Nyctereutes procyonoides	Apolipoprotein C-IV	True
A0A8B7A1L3	138	1230840	Orycteropus afer afer	Apolipoprotein C-IV	True
A0A8B7G3V4	123	30608	Microcebus murinus	Apolipoprotein C-IV	True
A0A8B7Q010	126	186990	Hipposideros armiger	Apolipoprotein C-IV	True
A0A8B8TIW5	127	419612	Camelus ferus	Apolipoprotein C-IV	True
A0A8B8VYB1	125	9771	Balaenoptera musculus	Apolipoprotein C-IV	True
A0A8B9YNZ8	127	30521	Bos grunniens	Apolipoprotein C-IV	True
A0A8C0KH77	121	286419	Canis lupus dingo	Apolipoprotein C-IV	True
A0A8C2UMN7	96	34839	Chinchilla lanigera	Apolipoprotein C-IV	True
A0A8C3WAJ5	129	51154	Catagonus wagneri	Apolipoprotein C-IV	True
A0A8C4M7P6	127	9793	Equus asinus	Apolipoprotein C-IV	True
A0A8C5KVS0	124	51337	Jaculus jaculus	Apolipoprotein C-IV	True
A0A8C5YKA0	112	9994	Marmota marmota marmota	Apolipoprotein C-IV	True
A0A8C6AZ66	152	40151	Monodon monoceros	Apolipoprotein C-IV	True
A0A8C6FNP0	127	68415	Moschus moschiferus	Apolipoprotein C-IV	True
A0A8C6GL98	124	10103	Mus spicilegus	Apolipoprotein C-IV	True
A0A8C6R6M3	123	1026970	Nannospalax galili	Apolipoprotein C-IV	True
A0A8C7EMT3	122	452646	Neogale vison	Apolipoprotein C-IV	True
A0A8C8WTF1	123	9689	Panthera leo	Apolipoprotein C-IV	True
A0A8C9AQ67	123	1328070	Prolemur simus	Apolipoprotein C-IV	True
A0A8C9BTC7	127	42100	Phocoena sinus	Apolipoprotein C-IV	True
A0A8C9KIM5	123	74533	Panthera tigris altaica	Apolipoprotein C-IV	True
A0A8C9LZE4	127	591936	Piliocolobus tephrosceles	Apolipoprotein C-IV	True
A0A8C9PMI6	124	99837	Spermophilus dauricus	Apolipoprotein C-IV	True
A0A8D2DGU7	123	55149	Sciurus vulgaris	Apolipoprotein C-IV	True
A0A8D2FKN4	127	9565	Theropithecus gelada	Apolipoprotein C-IV	True
A0A8D2IMA4	124	9999	Urocitellus parryii	Apolipoprotein C-IV	True
A0A8I3RTF6	122	9615	Canis lupus familiaris	Apolipoprotein C-IV	True
A0A8I4A2Q8	125	9483	Callithrix jacchus	Apolipoprotein C-IV	True
A0A8I5T6G6	127	9601	Pongo abelii	Apolipoprotein C-IV	True
A0A8J6DPU6	260	202257	Galemys pyrenaicus	Apolipoprotein C-II	True
A0A8Q3T7J9	127	9555	Papio anubis	Apolipoprotein C-IV	True
A0A9B0TW98	124	185453	Chrysochloris asiatica	Apolipoprotein C-IV	True
A0A9J7GQJ1	124	10029	Cricetulus griseus	Apolipoprotein C-IV	True
A0A9L0SV57	127	9796	Equus caballus	Apolipoprotein C-IV	True
A0A9V1EH29	100	9691	Panthera pardus	Apolipoprotein C-IV	True
A0A9V1EH30	123	9691	Panthera pardus	Apolipoprotein C-IV	True
A0A9V1EH89	157	9691	Panthera pardus	Apolipoprotein C-IV	True
A0A9W2VRY8	139	9691	Panthera pardus	Apolipoprotein C-IV	True
A0A9W2VSS8	111	9691	Panthera pardus	Apolipoprotein C-IV	True
A0AA41SZS5	118	30640	Sciurus carolinensis	Apolipoprotein C-IV	True
A0AAV0A9U7	124	109678	Phodopus roborovskii	Apolipoprotein C-IV	True
A0AAW0HFR6	73	447135	Myodes glareolus	Apolipoprotein C-IV	True
A0ABD2D895	101	31869	Daubentonia madagascariensis	Apolipoprotein C-IV	True
A0ABI7Y417	111	9685	Felis catus	Apolipoprotein C-IV	True
A0ABI7Y457	139	9685	Felis catus	Apolipoprotein C-IV	True
A0ABI7Y4C5	123	9685	Felis catus	Apolipoprotein C-IV	True
A0ABI7Y4J6	165	9685	Felis catus	Apolipoprotein C-IV	True
A0ABM0I4M5	127	73337	Ceratotherium simum simum	Apolipoprotein C-IV	True
A0ABM0LPU0	124	79684	Microtus ochrogaster	Apolipoprotein C-IV	True
A0ABM0Q658	99	482537	Galeopterus variegatus	Apolipoprotein C-IV	True
A0ABM2WHU6	140	10036	Mesocricetus auratus	Apolipoprotein C-IV	True
A0ABM2WPZ6	118	10036	Mesocricetus auratus	Apolipoprotein C-IV	True
A0ABM4GU07	155	9874	Odocoileus virginianus	Apolipoprotein C-IV	True
A0ABM4QHV2	127	9798	Equus przewalskii	Apolipoprotein C-IV	True
A0ABM5DNM1	139	30538	Vicugna pacos	Apolipoprotein C-IV	True
A0ABN8YJ19	155	3082113	Rangifer tarandus platyrhynchus	Apolipoprotein C-IV	True
A0ABN9ZFS4	119	59473	Pipistrellus nathusii	Apolipoprotein C-IV	True
A0ABQ0EXC1	42	105296	Apodemus speciosus	Apolipoprotein C-IV	True
A0ABQ9TVM3	52	9490	Saguinus oedipus	Apolipoprotein C-IV	True
A0AC55DAZ6	118	9371	Echinops telfairi	Apolipoprotein C-IV	True
A0AC58L977	122	51338	Castor canadensis	Apolipoprotein C-IV	True
A0AC58QTE1	127	9837	Camelus bactrianus	Apolipoprotein C-IV	True
A0ACF7XIT4	177	2486642	Tetrahymena utriculariae	Uncharacterized protein	False
A0ACF8HKS7	127	88029	Semnopithecus entellus	Apolipoprotein C-IV	True
A0ACF8NYY9	127	43780	Nasalis larvatus	Apolipoprotein C-IV	True
A0ACI6PFM8	132	9940	Ovis aries	Apolipoprotein C-IV	True
A0ACI6QE17	155	9940	Ovis aries	Apolipoprotein C-IV	True
A0ACI6RXR1	135	9940	Ovis aries	Apolipoprotein C-IV	True
A0ACI8QL91	126	9606	Homo sapiens	Apolipoprotein C-IV	True
A0ACI8QL95	125	9606	Homo sapiens	Apolipoprotein C-IV	True
A0ACI8S812	134	9606	Homo sapiens	Apolipoprotein C-IV	True
A0ACI8SBP6	83	9606	Homo sapiens	Apolipoprotein C-IV	True
A0ACJ1LBA4	118	10116	Rattus norvegicus	Apolipoprotein C-IV	True
A5YAK2	127	9606	Homo sapiens	Apolipoprotein C-IV	True
D3Y266	126	9823	Sus scrofa	Apolipoprotein C-IV	True
G1M237	123	9646	Ailuropoda melanoleuca	Apolipoprotein C-IV	True
G1P7A1	129	59463	Myotis lucifugus	Apolipoprotein C-IV	True
G1QME5	127	61853	Nomascus leucogenys	Apolipoprotein C-IV	True
G3RP87	127	9595	Gorilla gorilla gorilla	Apolipoprotein C-IV	True
G3TCR1	39	9785	Loxodonta africana	Apolipoprotein C-IV	True
H0VEB3	123	10141	Cavia porcellus	Apolipoprotein C-IV	True
H2R4L0	127	9598	Pan troglodytes	Apolipoprotein C-IV	True
H9F252	100	9544	Macaca mulatta	Apolipoprotein C-IV	True
K7EMC3	73	9606	Homo sapiens	Apolipoprotein C-IV	True
L5M437	130	225400	Myotis davidii	Apolipoprotein C-IV	True
L9LBH5	124	246437	Tupaia chinensis	Apolipoprotein C-IV	True
M3Y475	121	9669	Mustela putorius furo	Apolipoprotein C-IV	True
P0DKU6	127	33548	Colobus guereza	Apolipoprotein C-IV	True
P0DKW1	126	37293	Aotus nancymaae	Apolipoprotein C-IV	True
P0DKW2	125	9509	Ateles geoffroyi	Apolipoprotein C-IV	True
P0DKW3	125	9523	Plecturocebus moloch	Apolipoprotein C-IV	True
P0DKW4	125	39432	Saimiri boliviensis boliviensis	Apolipoprotein C-IV	True
P0DKY3	127	9557	Papio hamadryas	Apolipoprotein C-IV	True
P0DML4	127	9733	Orcinus orca	Apolipoprotein C-IV	True
P0DML5	127	9755	Physeter macrocephalus	Apolipoprotein C-IV	True
P0DML6	127	9739	Tursiops truncatus	Apolipoprotein C-IV	True
P0DMN8	126	30611	Otolemur garnettii	Apolipoprotein C-IV	True
P0DOC4	127	9838	Camelus dromedarius	Apolipoprotein C-IV	True
P0DP53	123	32536	Acinonyx jubatus	Apolipoprotein C-IV	True
P0DTG9	127	310712	Dicerorhinus sumatrensis sumatrensis	Apolipoprotein C-IV	True
P0DTH0	127	310711	Dicerorhinus sumatrensis harrissoni	Apolipoprotein C-IV	True
P0DTH1	127	77932	Diceros bicornis minor	Apolipoprotein C-IV	True
P0DTH2	127	9805	Diceros bicornis	Apolipoprotein C-IV	True
P0DTH3	127	310713	Ceratotherium simum cottoni	Apolipoprotein C-IV	True
P0DTH4	127	73337	Ceratotherium simum simum	Apolipoprotein C-IV	True
P0DUP5	127	9802	Tapirus indicus	Apolipoprotein C-IV	True
P0DUP6	127	9801	Tapirus terrestris	Apolipoprotein C-IV	True
P55056	127	9606	Homo sapiens	Apolipoprotein C-IV	True
P55057	124	9986	Oryctolagus cuniculus	Apolipoprotein C-IV	True
P55797	124	10116	Rattus norvegicus	Apolipoprotein C-IV	True
Q3SYR5	127	9913	Bos taurus	Apolipoprotein C-IV	True
Q61268	124	10090	Mus musculus	Apolipoprotein C-IV	True
T1SYE0	123	74533	Panthera tigris altaica	Apolipoprotein C-IV	True
