go_id	token	accession	gene	organism	reviewed	n_annotations	evidence_codes	terms_held	has_own_experimental
GO:0005085	SGD:S000000748	P39993	GEA2	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Swiss-Prot	3	IBA;IDA;IEA	GO:0005085	yes
GO:0005085	SGD:S000002577	P11075	SEC7	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Swiss-Prot	4	IBA;IDA;IEA	GO:0005085	yes
GO:0005085	SGD:S000003792	P47102	GEA1	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Swiss-Prot	3	IBA;IDA;IEA	GO:0005085	yes
GO:0005085	SGD:S000005241	P48563	MON2	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Swiss-Prot	4	IBA;IGI;IPI;ISS	GO:0005085	yes
GO:0005085	SGD:S000006299	Q06836	SYT1	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Swiss-Prot	3	IBA;IDA;IEA	GO:0005085	yes
GO:0005085	UniProtKB:A5PKW4	A5PKW4	PSD	Homo sapiens	Swiss-Prot	3	IBA;IDA;IEA	GO:0005085	yes
GO:0005085	UniProtKB:O43739	O43739	CYTH3	Homo sapiens	Swiss-Prot	4	IBA;IDA;IEA	GO:0005085	yes
GO:0005085	UniProtKB:Q15438	Q15438	CYTH1	Homo sapiens	Swiss-Prot	4	IBA;IDA;IEA;TAS	GO:0005085	yes
GO:0005085	UniProtKB:Q5JU85	Q5JU85	IQSEC2	Homo sapiens	Swiss-Prot	4	IBA;IDA;IEA;IMP	GO:0005085	yes
GO:0005085	UniProtKB:Q9UIA0	Q9UIA0	CYTH4	Homo sapiens	Swiss-Prot	3	IBA;IDA;IEA	GO:0005085	yes
GO:0005085	UniProtKB:Q9Y6D5	Q9Y6D5	ARFGEF2	Homo sapiens	Swiss-Prot	5	IBA;IDA;IEA;TAS	GO:0005085	yes
GO:0005085	UniProtKB:Q9Y6D6	Q9Y6D6	ARFGEF1	Homo sapiens	Swiss-Prot	3	IBA;IDA;IEA	GO:0005085	yes
