organism	gene	caution_pmid	n_pos_annotations	caution_text	positive_terms
human	DNAJC13	24643499	6	In human, WASHC2 has undergone evolutionary duplication giving rise to highly homologous family members. A WASHC2C construct with WASHC2A-specific sequence insertions (of 2 aa and 21 aa length resulti	GO:0005515(M,IPI); GO:0005515(M,IPI); GO:0005515(M,IPI); GO:0007032(B,IMP); GO:0010008(C,IDA); GO:0071203(C,IDA)
human	EDEM2	25092655	3	Has similarity to alpha 1,2-mannosidases, but the catalytic activity of this protein is controversial (PubMed:15537790, PubMed:25092655). One study shows that it is important for a specific oligosacch	GO:1904380(B,IMP); GO:0036503(B,IMP); GO:0004571(M,IMP)
human	EIF2D	20566627	2	Was previously erroneously called ligatin, a trafficking receptor for phosphoglycoproteins, while ligatin is actually a distinct 10 kDa filamentous membrane protein encoded by a still unidentified gen	GO:0003743(M,IDA); GO:0005737(C,IDA)
human	ENDOU	2350438	5	Was originally (PubMed:2350438) thought to be a serine protease. However, PubMed:18936097 showed it is not the case. .	GO:0005737(C,TAS); GO:0006508(B,IDA); GO:0007565(B,IEP); GO:0008236(M,IDA); GO:0005615(C,TAS)
human	HDAC6	10220385	1	Was originally thought to be a histone deacetylase (PubMed:10220385). However, subsequent work has shown that it is predominantly cytoplasmic and deacetylates a range of non-histone substrates (PubMed	GO:0004407(M,IDA)
human	HDAC6	12024216	5	Was originally thought to be a histone deacetylase (PubMed:10220385). However, subsequent work has shown that it is predominantly cytoplasmic and deacetylates a range of non-histone substrates (PubMed	GO:0005515(M,IPI); GO:0042903(M,EXP); GO:0010634(B,IMP); GO:0031252(C,IDA); GO:0048471(C,IDA)
human	HDAC6	18606987	3	Was originally thought to be a histone deacetylase (PubMed:10220385). However, subsequent work has shown that it is predominantly cytoplasmic and deacetylates a range of non-histone substrates (PubMed	GO:0010727(B,IMP); GO:0036479(M,IMP); GO:0070301(B,IMP)
human	HDAC6	20308065	3	Was originally thought to be a histone deacetylase (PubMed:10220385). However, subsequent work has shown that it is predominantly cytoplasmic and deacetylates a range of non-histone substrates (PubMed	GO:0005515(M,IPI); GO:0042903(M,IDA); GO:0090042(B,IDA)
human	HDAC6	26246421	4	Was originally thought to be a histone deacetylase (PubMed:10220385). However, subsequent work has shown that it is predominantly cytoplasmic and deacetylates a range of non-histone substrates (PubMed	GO:0005737(C,IDA); GO:0005813(C,IDA); GO:0036064(C,IDA); GO:0061523(B,IDA)
human	HDAC6	31857589	2	Was originally thought to be a histone deacetylase (PubMed:10220385). However, subsequent work has shown that it is predominantly cytoplasmic and deacetylates a range of non-histone substrates (PubMed	GO:0033558(M,IDA); GO:1905336(B,IDA)
human	IL4I1	28891065	2	According to a report, acts as a negative regulator of T-cell activation independently of its enzymatic activity (PubMed:28891065). However, authors of this study only tested enzyme activity via pheny	GO:0001772(C,IDA); GO:0050868(B,IDA)
human	IL4I1	32818467	5	According to a report, acts as a negative regulator of T-cell activation independently of its enzymatic activity (PubMed:28891065). However, authors of this study only tested enzyme activity via pheny	GO:0001716(M,IDA); GO:0002841(B,IDA); GO:0005576(C,IDA); GO:0019440(B,IDA); GO:0045944(B,IDA)
human	IL4I1	32866000	3	According to a report, acts as a negative regulator of T-cell activation independently of its enzymatic activity (PubMed:28891065). However, authors of this study only tested enzyme activity via pheny	GO:0001716(M,IDA); GO:0001716(M,IDA); GO:0019440(B,IDA)
human	ISCU	16517407	1	[Isoform 1]: Previous publications report that ISCU could provide the architecture on which both [2Fe-2S] and [4Fe-4S] clusters could be assembled (PubMed:16517407, PubMed:16527810, PubMed:23940031). 	GO:0006879(B,IDA)
human	ISCU	16527810	4	[Isoform 1]: Previous publications report that ISCU could provide the architecture on which both [2Fe-2S] and [4Fe-4S] clusters could be assembled (PubMed:16517407, PubMed:16527810, PubMed:23940031). 	GO:0005515(M,IPI); GO:0005634(C,TAS); GO:0005829(C,IDA); GO:0060090(M,IDA)
human	ISCU	23940031	5	[Isoform 1]: Previous publications report that ISCU could provide the architecture on which both [2Fe-2S] and [4Fe-4S] clusters could be assembled (PubMed:16517407, PubMed:16527810, PubMed:23940031). 	GO:0044572(B,IDA); GO:0005515(M,IPI); GO:0005515(M,IPI); GO:0005515(M,IPI); GO:0044571(B,IDA)
human	ISCU	34824239	1	[Isoform 1]: Previous publications report that ISCU could provide the architecture on which both [2Fe-2S] and [4Fe-4S] clusters could be assembled (PubMed:16517407, PubMed:16527810, PubMed:23940031). 	GO:0042803(M,IDA)
human	NME2	11121025	1	Originnally, in addition to its DNA binding activity, some reports shown that exhibited an intrinsic nuclease activity (PubMed:11121025, PubMed:11694515). Bound DNA within the nuclease hypersensitive 	GO:0003677(M,IDA)
human	PARK7	22523093	6	Glyoxalase activity has been reported (PubMed:22523093, PubMed:31653696). It may however reflect its deglycase activity (PubMed:25416785). .	GO:1902176(B,IDA); GO:0009438(B,IDA); GO:0019249(B,IDA); GO:1903189(B,IDA); GO:0036471(B,IDA); GO:0046295(B,IDA)
human	PARK7	25416785	3	Glyoxalase activity has been reported (PubMed:22523093, PubMed:31653696). It may however reflect its deglycase activity (PubMed:25416785). .	GO:0036524(M,IDA); GO:0030091(B,IDA); GO:0036524(M,IDA)
human	PARK7	25416785	3	The protein deglycation activity is controversial. It has been ascribed to a TRIS buffer artifact by a publication (PubMed:27903648) and as a result of the removal of methylglyoxal by glyoxalase activ	GO:0036524(M,IDA); GO:0030091(B,IDA); GO:0036524(M,IDA)
human	PARK7	28596309	2	The protein deglycation activity is controversial. It has been ascribed to a TRIS buffer artifact by a publication (PubMed:27903648) and as a result of the removal of methylglyoxal by glyoxalase activ	GO:0036524(M,IDA); GO:0006281(B,IDA)
human	PEX11B	9792670	3	PubMed:9792670 states that both the N- and the C-terminus are located in the cytoplasm. .	GO:0005778(C,IDA); GO:0007031(B,IDA); GO:0016559(B,IDA)
human	RHBDF1	15965977	2	Lacks serine protease activity as it lacks the catalytic Ser residue at position 720. .	GO:0000139(C,EXP); GO:0005789(C,EXP)
human	SLC40A1	29792530	1	Manganese Mn(2+) transport by SLC40A1 remains controversial. Some in vitro studies have suggested that SLC40A1 transports minimal amounts of Mn(2+) (PubMed:22178646, PubMed:30247984). Other groups hav	GO:0016323(C,IDA)
human	SLC40A1	30247984	1	Manganese Mn(2+) transport by SLC40A1 remains controversial. Some in vitro studies have suggested that SLC40A1 transports minimal amounts of Mn(2+) (PubMed:22178646, PubMed:30247984). Other groups hav	GO:0005886(C,IDA)
human	SLC7A11	15151999	4	In the PMID:15151999, a typographical error has been introduced leading to L-cysteine spelling instead of L-cystine. .	GO:0005886(C,IDA); GO:0015327(M,IDA); GO:0015811(B,IDA); GO:0015813(B,IDA)
human	STAT1	27796300	1	Has been shown to be mono-ADP-ribosylated at Glu-657 and Glu- 705 by PARP14 which prevents phosphorylation at Tyr-701 (PubMed:27796300). However, the role of ADP-ribosylation in the prevention of phos	GO:0005737(C,IDA)
human	TCF25	16574069	1	Was reported to have DNA-binding activity (PubMed:16574069). However, this is uncertain as it was shown with the protein fused to the yeast GAL4 DNA-binding domain. .	GO:0005634(C,EXP)
human	TP53	17170702	2	Interaction with BANP was reported to enhance phosphorylation on Ser-15 upon ultraviolet irradiation (PubMed:15701641). However, the publication has been retracted due to image duplication and manipul	GO:0005515(M,IPI); GO:0005515(M,IPI)
human	TP53	17317671	1	Interaction with BANP was reported to enhance phosphorylation on Ser-15 upon ultraviolet irradiation (PubMed:15701641). However, the publication has been retracted due to image duplication and manipul	GO:0005515(M,IPI)
human	TP53	19011621	4	Interaction with BANP was reported to enhance phosphorylation on Ser-15 upon ultraviolet irradiation (PubMed:15701641). However, the publication has been retracted due to image duplication and manipul	GO:0042802(M,IPI); GO:0005515(M,IPI); GO:0005634(C,IDA); GO:0005737(C,IDA)
human	TP53	20959462	4	Interaction with BANP was reported to enhance phosphorylation on Ser-15 upon ultraviolet irradiation (PubMed:15701641). However, the publication has been retracted due to image duplication and manipul	GO:0005515(M,IPI); GO:0005515(M,IPI); GO:0043065(B,IDA); GO:0045944(B,IDA)
human	TP53	21597459	3	Interaction with BANP was reported to enhance phosphorylation on Ser-15 upon ultraviolet irradiation (PubMed:15701641). However, the publication has been retracted due to image duplication and manipul	GO:0005515(M,IPI); GO:0005634(C,IDA); GO:0005737(C,IDA)
human	TP53	22726440	2	Interaction with BANP was reported to enhance phosphorylation on Ser-15 upon ultraviolet irradiation (PubMed:15701641). However, the publication has been retracted due to image duplication and manipul	GO:0005515(M,IPI); GO:0005515(M,IPI)
human	UBA5	18442052	2	Was initially reported to mediate activation of SUMO2 in addition to UFM1 (PubMed:18442052). However, it was later shown that it is specific for UFM1 (By similarity). .	GO:0005634(C,EXP); GO:0005737(C,EXP)
human	UCHL1	12408865	1	The homodimer may have ATP-independent ubiquitin ligase activity (PubMed:12408865). However, in another study, UCHL1 was shown to lack ubiquitin ligase activity (PubMed:23359680). .	GO:0004843(M,EXP)
human	UCHL1	23359680	1	The homodimer may have ATP-independent ubiquitin ligase activity (PubMed:12408865). However, in another study, UCHL1 was shown to lack ubiquitin ligase activity (PubMed:23359680). .	GO:0004843(M,EXP)
human	UCHL1	9774100	1	PubMed:9774100 reports the association of mutation Ile93Met with Parkinson disease. However, according to PubMed:16450370 this association is uncertain and UCHL1 is not a susceptibility gene for Parki	GO:0004843(M,EXP)
human	UFSP1	35525273	4	UFSP1 initiates at a non-canonical GUG codon (PubMed:35525273, PubMed:35926457). Was initially thought to initiate from Met-77 and constitute a inactive isopeptidase that lacks a functional protease d	GO:0071569(B,IDA); GO:0008234(M,IDA); GO:0051604(B,IDA); GO:0071567(M,IDA)
human	UFSP1	35926457	5	UFSP1 initiates at a non-canonical GUG codon (PubMed:35525273, PubMed:35926457). Was initially thought to initiate from Met-77 and constitute a inactive isopeptidase that lacks a functional protease d	GO:0071569(B,IDA); GO:0005829(C,IDA); GO:0008234(M,IDA); GO:0051604(B,IDA); GO:0071567(M,IDA)
human	VCP	22120668	5	It is unclear how it participates in the recruitment of TP53BP1 at DNA damage sites. According to a first report, participates in the recruitment of TP53BP1 by promoting ubiquitination and removal of 	GO:0005515(M,IPI); GO:0006302(B,IDA); GO:0006974(B,IDA); GO:0016567(B,IDA); GO:0035861(C,IDA)
mouse	Dnajb11	11584023	5	PubMed:11584023 reported a cytosolic, as well as nuclear subcellular location. This result was obtained using an N-terminally GFP-tagged construct which most probably affected signal peptide-driven ta	GO:0005634(C,IDA); GO:0005737(C,IDA); GO:0051082(M,IDA); GO:0005515(M,IPI); GO:0016556(B,IDA)
worm	P54811	18854144	1	The role of cdc-48.1 in the regulation of kinase air-2, a component of the chromosomal passenger complex (CPC), is controversial. One study suggests that cdc-48.1 inactivates air-2 at the end of mitos	GO:0016887(M,IDA)
worm	cdc-48	18854144	1	The role of cdc-48.1 in the regulation of kinase air-2, a component of the chromosomal passenger complex (CPC), is controversial. One study suggests that cdc-48.1 inactivates air-2 at the end of mitos	GO:0016887(M,IDA)
