scope	accession	gene	organism	caution_pmid	n_pos	positive_mf_terms
net_new	A9QXE0	?	Aspergillus niger	17061133	1	GO:0030196 cyanide hydratase activi(EXP)
net_new	B0L3A2	FBXW7-AS1	Homo sapiens (Human)	17446437	1	GO:0005515 protein binding(IPI)
net_new	B0YJ81	HACD1	Homo sapiens (Human)	18554506	2	GO:0018812 3-hydroxyacyl-CoA dehydr(EXP); GO:0102158 very-long-chain (3R)-3-h(EXP)
net_new	B1H267	Snx5	Rattus norvegicus (Rat)	19553671	1	GO:0035091 phosphatidylinositol bin(IDA)
net_new	B2GV72	Cbr3	Rattus norvegicus (Rat)	18983987	2	GO:0000253 3-beta-hydroxysteroid 3-(IDA); GO:0004090 carbonyl reductase (NADP(IDA)
net_new	B2RXZ1	Pnldc1	Mus musculus (Mouse)	27515512	1	GO:0004535 poly(A)-specific ribonuc(IDA)
net_new	B3EWR1	?	Mytilus galloprovincialis (M	23093409	1	GO:0005534 galactose binding(IDA)
net_new	B7QK46	Qptc	Ixodes scapularis (Black-leg	24598748	2	GO:0008270 zinc ion binding(IDA); GO:0016603 glutaminyl-peptide cyclo(IDA)
net_new	B7ZK61	?	Cladosporium herbarum (David	19162325	1	GO:0019863 IgE binding(IDA)
net_new	B7ZQJ9	gtf2ird1	Xenopus laevis (African claw	11937490	4	GO:0000976 transcription cis-regula(IDA); GO:0046332 SMAD binding(IPI); GO:0046332 SMAD binding(IPI); GO:0061629 RNA polymerase II-specif(IPI)
net_new	B7ZQJ9	gtf2ird1	Xenopus laevis (African claw	16055724	1	GO:0000976 transcription cis-regula(IDA)
net_new	B8LIX8	IFT25	Chlamydomonas reinhardtii (C	21505417	1	GO:0005515 protein binding(IPI)
net_new	C0LGQ9	GHR1	Arabidopsis thaliana (Mouse-	22730405	7	GO:0004672 protein kinase activity(IDA); GO:0004672 protein kinase activity(IDA); GO:0005515 protein binding(IPI); GO:0005515 protein binding(IPI); GO:0005515 protein binding(IPI); GO:0005515 protein binding(IPI)
net_new	C0LGQ9	GHR1	Arabidopsis thaliana (Mouse-	30361234	1	GO:0005515 protein binding(IPI)
net_new	C5H5C4	notum1a	Danio rerio (Zebrafish) (Bra	22669824	1	GO:0004621 GPI anchor phospholipase(IDA)
net_new	C5I9W9	WTS	Arabidopsis thaliana (Mouse-	37295403	4	GO:0005261 monoatomic cation channe(IDA); GO:0005262 calcium channel activity(IDA); GO:0005272 sodium channel activity(IDA); GO:0042803 protein homodimerization(IDA)
net_new	C6KT66	CS	Plasmodium falciparum (isola	11298276	2	GO:0004107 chorismate synthase acti(IDA); GO:0010181 FMN binding(IDA)
net_new	D3Z6H8	Amd2	Mus musculus (Mouse)	9620866	1	GO:0004014 adenosylmethionine decar(EXP)
net_new	D4N4Z9	?	Trichinella spiralis (Trichi	20967224	2	GO:0005506 iron ion binding(IDA); GO:0008270 zinc ion binding(IDA)
net_new	D5KXJ0	crtB	Enterobacter agglomerans (Er	12641468	1	GO:0016765 transferase activity, tr(IDA)
net_new	E9Q555	Rnf213	Mus musculus (Mouse)	32573437	1	GO:0016887 ATP hydrolysis activity(EXP)
net_new	F1LN46	Cpt1c	Rattus norvegicus (Rat)	18192268	1	GO:0004095 carnitine O-palmitoyltra(IDA)
net_new	F4IEM5	GCR2	Arabidopsis thaliana (Mouse-	17347412	2	GO:0005515 protein binding(IPI); GO:0010427 abscisic acid binding(IDA)
net_new	F4J264	PRFB3	Arabidopsis thaliana (Mouse-	21771930	2	GO:0003730 mRNA 3'-UTR binding(IDA); GO:0043565 sequence-specific DNA bi(IDA)
net_new	F4KI56	IPSP	Arabidopsis thaliana (Mouse-	22337887	1	GO:0036424 L-phosphoserine phosphat(IDA)
net_new	G0YF19	at	Starmerella bombicola (Yeast	26298016	1	GO:0016413 O-acetyltransferase acti(IDA)
net_new	G0YF19	at	Starmerella bombicola (Yeast	39143561	1	GO:0016413 O-acetyltransferase acti(IMP)
net_new	G2XKQ0	SUMO1P1	Homo sapiens (Human)	27211601	9	GO:0005515 protein binding(IPI); GO:0005515 protein binding(IPI); GO:0005515 protein binding(IPI); GO:0005515 protein binding(IPI); GO:0005515 protein binding(IPI); GO:0005515 protein binding(IPI)
net_new	G3UZ78	Adgb	Mus musculus (Mouse)	35700329	1	GO:0005515 protein binding(IPI)
net_new	G4TS85	?	Serendipita indica (strain D	39089400	2	GO:0005315 phosphate transmembrane (IDA); GO:0042301 phosphate ion binding(IDA)
net_new	G4VQX9	ASL	Schistosoma mansoni (Blood f	28347672	2	GO:0004018 N6-(1,2-dicarboxyethyl)A(EXP); GO:0042802 identical protein bindin(IDA)
net_new	G5EEA1	lim-4	Caenorhabditis elegans	10421632	1	GO:0003700 DNA-binding transcriptio(ISS)
net_new	G5EFD2	ksr-1	Caenorhabditis elegans	10409742	1	GO:0031434 mitogen-activated protei(IPI)
net_new	G5EGF4	egl-18	Caenorhabditis elegans	11532911	1	GO:0003700 DNA-binding transcriptio(ISS)
net_new	H9J9M0	CDA1	Bombyx mori (Silk moth)	30755482	3	GO:0004099 chitin deacetylase activ(IDA); GO:0005515 protein binding(IPI); GO:0008270 zinc ion binding(IDA)
net_new	K4C9E2	NSY	Solanum lycopersicum (Tomato	11029576	1	GO:0034020 neoxanthin synthase acti(IDA)
net_new	K7WDL7	?	Catharanthus roseus (Madagas	23172143	2	GO:0016628 oxidoreductase activity,(IDA); GO:0042803 protein homodimerization(IDA)
net_new	M9PBE2	Hakai	Drosophila melanogaster (Fru	19682089	1	GO:0045296 cadherin binding(IPI)
net_new	N1PA11	MAL11	Saccharomyces cerevisiae (st	15128531	1	GO:0005352 alpha-glucoside:proton s(IMP)
net_new	O00571	DDX3X	Homo sapiens (Human)	15507209	1	GO:0016887 ATP hydrolysis activity(EXP)
net_new	O00571	DDX3X	Homo sapiens (Human)	30131165	1	GO:0005515 protein binding(IPI)
net_new	O00571	DDX3X	Homo sapiens (Human)	31575075	3	GO:0003724 RNA helicase activity(IDA); GO:0005515 protein binding(IPI); GO:0016887 ATP hydrolysis activity(EXP)
net_new	O01767	egg-4	Caenorhabditis elegans	19879842	2	GO:0004860 protein kinase inhibitor(IDA); GO:0019901 protein kinase binding(IPI)
net_new	O04314	PBP1	Arabidopsis thaliana (Mouse-	19965874	1	GO:0030234 enzyme regulator activit(IDA)
net_new	O05927	cysH	Pseudomonas aeruginosa (stra	16289027	1	GO:0043866 adenylyl-sulfate reducta(EXP)
net_new	O06350	lipF	Mycobacterium tuberculosis (	15939293	2	GO:0004806 triacylglycerol lipase a(IDA); GO:0106435 carboxylesterase activit(EXP)
net_new	O06350	lipF	Mycobacterium tuberculosis (	18535356	2	GO:0004629 C-type glycerophospholip(IDA); GO:0034480 phosphatidylcholine phos(EXP)
net_new	O06553	?	Mycobacterium tuberculosis (	16239726	3	GO:0010181 FMN binding(IDA); GO:0030170 pyridoxal phosphate bind(IDA); GO:0042803 protein homodimerization(IPI)
net_new	O08966	Slc22a1	Mus musculus (Mouse)	11463829	1	GO:0042910 xenobiotic transmembrane(IDA)
net_new	O08966	Slc22a1	Mus musculus (Mouse)	24961373	3	GO:0005326 neurotransmitter transme(IDA); GO:0008504 monoamine transmembrane (IDA); GO:0015234 thiamine transmembrane t(IDA)
net_new	O08966	Slc22a1	Mus musculus (Mouse)	28942964	1	GO:1901235 (R)-carnitine transmembr(IDA)
net_new	O08966	Slc22a1	Mus musculus (Mouse)	34040533	1	GO:1901235 (R)-carnitine transmembr(IDA)
net_new	O08966	Slc22a1	Mus musculus (Mouse)	35469921	5	GO:0005326 neurotransmitter transme(IDA); GO:0008504 monoamine transmembrane (IDA); GO:0015220 choline transmembrane tr(IDA); GO:0015234 thiamine transmembrane t(IDA); GO:0015651 quaternary ammonium grou(IDA)
net_new	O13795	pof8	Schizosaccharomyces pombe (s	15147268	1	GO:0005515 protein binding(IPI)
net_new	O13833	cid1	Schizosaccharomyces pombe (s	12218190	1	GO:1990817 poly(A) RNA polymerase a(EXP)
net_new	O13833	cid1	Schizosaccharomyces pombe (s	17353264	1	GO:0050265 RNA uridylyltransferase (IDA)
net_new	O13833	cid1	Schizosaccharomyces pombe (s	17449726	1	GO:0050265 RNA uridylyltransferase (EXP)
net_new	O13833	cid1	Schizosaccharomyces pombe (s	19430462	6	GO:0050265 RNA uridylyltransferase (IMP); GO:0050265 RNA uridylyltransferase (IMP); GO:0050265 RNA uridylyltransferase (IMP); GO:0050265 RNA uridylyltransferase (IMP); GO:0050265 RNA uridylyltransferase (IMP); GO:0050265 RNA uridylyltransferase (IMP)
net_new	O14494	PLPP1	Homo sapiens (Human)	9305923	1	GO:0008195 phosphatidate phosphatas(IDA)
net_new	O14678	ABCD4	Homo sapiens (Human)	27456980	2	GO:0005515 protein binding(IPI); GO:0042802 identical protein bindin(IPI)
net_new	O14678	ABCD4	Homo sapiens (Human)	28572511	1	GO:0005515 protein binding(IPI)
net_new	O14678	ABCD4	Homo sapiens (Human)	33845046	5	GO:0005515 protein binding(IPI); GO:0015420 ABC-type vitamin B12 tra(EXP); GO:0015420 ABC-type vitamin B12 tra(IDA); GO:0015420 ABC-type vitamin B12 tra(IDA); GO:0015420 ABC-type vitamin B12 tra(IMP)
net_new	O14678	ABCD4	Homo sapiens (Human)	9266848	2	GO:0005524 ATP binding(NAS); GO:0042626 ATPase-coupled transmemb(NAS)
net_new	O14862	AIM2	Homo sapiens (Human)	26197926	3	GO:0003690 double-stranded DNA bind(IDA); GO:0035591 signaling adaptor activi(IDA); GO:0038187 pattern recognition rece(IDA)
net_new	O15218	ACKR5	Homo sapiens (Human)	9367907	1	GO:0004888 transmembrane signaling (TAS)
net_new	O15244	SLC22A2	Homo sapiens (Human)	9260930	1	GO:0015651 quaternary ammonium grou(IDA)
net_new	O15245	SLC22A1	Homo sapiens (Human)	35469921	2	GO:0005326 neurotransmitter transme(IDA); GO:0008504 monoamine transmembrane (IDA)
net_new	O15427	SLC16A3	Homo sapiens (Human)	11101640	1	GO:0015650 lactate:proton symporter(IDA)
net_new	O15427	SLC16A3	Homo sapiens (Human)	31719150	1	GO:0050833 pyruvate transmembrane t(IDA)
net_new	O15427	SLC16A3	Homo sapiens (Human)	9425115	1	GO:0008028 monocarboxylic acid tran(TAS)
net_new	O22448	GPX5	Chlamydomonas reinhardtii (C	19690965	2	GO:0008379 thioredoxin peroxidase a(IDA); GO:0140824 thioredoxin-dependent pe(EXP)
net_new	O22448	GPX5	Chlamydomonas reinhardtii (C	29124185	3	GO:0004602 glutathione peroxidase a(IDA); GO:0004602 glutathione peroxidase a(IMP); GO:0008430 selenium binding(IDA)
net_new	O23702	AN	Arabidopsis thaliana (Mouse-	11889033	3	GO:0005515 protein binding(IPI); GO:0042802 identical protein bindin(IPI); GO:0042803 protein homodimerization(IDA)
net_new	O32163	sufU	Bacillus subtilis (strain 16	21236255	1	GO:0005515 protein binding(IPI)
net_new	O33194	?	Mycobacterium tuberculosis (	23801751	5	GO:0000121 sn-glycerol 1-phosphatas(IDA); GO:0000287 magnesium ion binding(IDA); GO:0030145 manganese ion binding(IDA); GO:0042803 protein homodimerization(IDA); GO:0050897 cobalt ion binding(IDA)
net_new	O35054	Cldn4	Mus musculus (Mouse)	20921420	1	GO:0005515 protein binding(IPI)
net_new	O35409	Folh1	Mus musculus (Mouse)	11210180	1	GO:0008233 peptidase activity(IDA)
net_new	O35458	Slc32a1	Rattus norvegicus (Rat)	19843525	2	GO:0015185 gamma-aminobutyric acid (IMP); GO:0015187 glycine transmembrane tr(IMP)
net_new	O35633	Slc32a1	Mus musculus (Mouse)	26912364	2	GO:0140799 glycine:proton antiporte(IDA); GO:0140800 gamma-aminobutyric acid:(IDA)
net_new	O35633	Slc32a1	Mus musculus (Mouse)	27601664	1	GO:0140800 gamma-aminobutyric acid:(IDA)
net_new	O35710	Noct	Mus musculus (Mouse)	17400819	1	GO:0004535 poly(A)-specific ribonuc(IDA)
net_new	O35820	Dnph1	Rattus norvegicus (Rat)	17234634	4	GO:0042803 protein homodimerization(IDA); GO:0070694 5-hydroxymethyl-dUMP N-h(IDA); GO:0070694 5-hydroxymethyl-dUMP N-h(IDA); GO:0070694 5-hydroxymethyl-dUMP N-h(IDA)
net_new	O43598	DNPH1	Homo sapiens (Human)	25108359	1	GO:0070694 5-hydroxymethyl-dUMP N-h(IDA)
net_new	O43598	DNPH1	Homo sapiens (Human)	33833118	1	GO:0070694 5-hydroxymethyl-dUMP N-h(IDA)
net_new	O43808	SLC25A17	Homo sapiens (Human)	12445829	1	GO:0005347 ATP transmembrane transp(IGI)
net_new	O43808	SLC25A17	Homo sapiens (Human)	22185573	6	GO:0015217 ADP transmembrane transp(IDA); GO:0015228 coenzyme A transmembrane(IDA); GO:0015230 FAD transmembrane transp(IDA); GO:0044610 FMN transmembrane transp(IDA); GO:0051724 NAD transmembrane transp(IDA); GO:0080122 AMP transmembrane transp(IDA)
net_new	O43948	PK4	Plasmodium falciparum	9371731	1	GO:0106310 protein serine kinase ac(EXP)
net_new	O54902	Slc11a2	Rattus norvegicus (Rat)	9242408	14	GO:0005375 copper ion transmembrane(IDA); GO:0005381 iron ion transmembrane t(IDA); GO:0005384 manganese ion transmembr(IDA); GO:0005506 iron ion binding(IDA); GO:0005507 copper ion binding(IDA); GO:0008270 zinc ion binding(IDA)
net_new	O54909	Rdh16	Mus musculus (Mouse)	16223484	3	GO:0004745 all-trans-retinol dehydr(IDA); GO:0042802 identical protein bindin(IDA); GO:0042802 identical protein bindin(IPI)
net_new	O60264	SMARCA5	Homo sapiens (Human)	12972596	6	GO:0042393 histone binding(IDA); GO:0003677 DNA binding(IDA); GO:0005515 protein binding(IPI); GO:0005515 protein binding(IPI); GO:0005524 ATP binding(IDA); GO:0016887 ATP hydrolysis activity(IDA)
net_new	O60341	KDM1A	Homo sapiens (Human)	20164337	1	GO:0140682 FAD-dependent H3K4me/H3K(EXP)
net_new	O60341	KDM1A	Homo sapiens (Human)	25684206	1	GO:0140683 histone H3K9me/H3K9me2 d(EXP)
net_new	O60346	PHLPP1	Homo sapiens (Human)	24892992	2	GO:0004722 protein serine/threonine(EXP); GO:0004722 protein serine/threonine(EXP)
net_new	O60667	FCMR	Homo sapiens (Human)	19858324	1	GO:0002172 high-affinity IgM recept(IDA)
net_new	O60883	GPR37L1	Homo sapiens (Human)	23690594	3	GO:0008528 G protein-coupled peptid(IDA); GO:0036505 prosaposin receptor acti(IDA); GO:0042277 peptide binding(IPI)
net_new	O62247	bli-5	Caenorhabditis elegans	19716386	2	GO:0004252 serine-type endopeptidas(IDA); GO:0042329 structural constituent o(IDA)
net_new	O75121	MFAP3L	Homo sapiens (Human)	24735981	1	GO:0005515 protein binding(IPI)
net_new	O75131	CPNE3	Homo sapiens (Human)	11041869	2	GO:0004674 protein serine/threonine(IDA); GO:0005544 calcium-dependent phosph(TAS)
net_new	O75151	PHF2	Homo sapiens (Human)	21167174	2	GO:0005506 iron ion binding(IDA); GO:0140002 histone H3K4me3 reader a(IDA)
