organism	gene	interpro_ids	go_term_id	go_term_label	action	is_suspect	proposed_replacement_terms	reason
9POAL	NCGR_LOCUS67308	IPR001209,IPR018271	GO:0006412	translation	KEEP_AS_NON_CORE	yes		Correct for the RPS14 product from alternative splicing of this locus, but not for SDH2. The InterPro match to ribosomal uS14 reflects the genuine RPS14 coding region in the chimeric gene model.
9POAL	NCGR_LOCUS67308	IPR001209,IPR018271	GO:0005840	ribosome	MODIFY	yes	GO:0005763 mitochondrial small ribosomal subunit	"The generic ""ribosome"" term is too broad. The RPS14 product is specifically a component of the mitochondrial small ribosomal subunit. Additionally, this annotation applies to the RPS14 splice product, not to SDH2."
9POAL	psbA	IPR000484,IPR036854	GO:0009772	photosynthetic electron transport in photosystem II	ACCEPT	no		"This is the most appropriate biological process term for psbA/D1. The protein is the core catalytic subunit mediating electron transfer from water to plastoquinone within PSII. This term is at the right level of specificity — more informative than the broad ""photosynthesis"" term while accurately describing the specific process."
9POAL	psbA	IPR000484,IPR036854	GO:0019684	photosynthesis, light reaction	KEEP_AS_NON_CORE	yes		Accurate but partially redundant with the more specific GO:0009772 (photosynthetic electron transport in photosystem II), which is already annotated. This broader term adds little additional information beyond what the PSII-specific electron transport term captures. Not wrong, but not the most informative annotation.
ACEPA	xdhB	IPR016208	GO:0005506	iron ion binding	ACCEPT	no		XdhB contains [2Fe-2S] iron-sulfur clusters essential for electron transfer from the Mo center to FAD/NAD+. This annotation is accurate based on conserved domain analysis.
ACEPA	xdhB	IPR014309	GO:0030151	molybdenum ion binding	ACCEPT	no		XdhB harbors the molybdopterin cofactor essential for catalysis. The Mo center is required for substrate oxidation at the active site.
ACET2	P10477	IPR018087	GO:0005975	carbohydrate metabolic process	KEEP_AS_NON_CORE	yes		While technically correct, this is a very high-level term. The more specific terms (cellulose catabolic process, xylan catabolic process, glucomannan catabolic process) provide much better functional annotation.
ACET2	P10477	IPR001087	GO:0016788	hydrolase activity, acting on ester bonds	ACCEPT	no		This correctly captures the esterase activity of the CE2 domain. The enzyme hydrolyzes acetyl ester bonds in acetylated polysaccharides. More specific terms (acetylxylan esterase activity) provide additional detail.
ACET2	P10477	IPR037461	GO:0052689	carboxylic ester hydrolase activity	ACCEPT	no		This is an accurate parent term for the esterase activity. The CE2 domain catalyzes hydrolysis of acetyl ester bonds, releasing acetate from polysaccharide substrates.
ACET2	P10478	IPR001000,IPR002105,IPR044846	GO:0004553	hydrolase activity, hydrolyzing O-glycosyl compounds	ACCEPT	no		This is a valid parent term annotation based on InterPro domain prediction. While more specific terms exist (GO:0031176), hierarchical IEA annotations to parent terms are acceptable as they correctly capture the enzyme class. The GH10 domain does indeed hydrolyze O-glycosyl compounds (beta-1,4-xylosidic linkages in xylan).
ACET2	P10478	IPR001000,IPR044846	GO:0005975	carbohydrate metabolic process	MARK_AS_OVER_ANNOTATED	yes		While XynZ participates in carbohydrate metabolism, this term is too general. The protein is specifically involved in xylan catabolic process (GO:0045493), which is already annotated. This high-level IEA annotation does not add meaningful functional information and could be misleading about the specificity of the enzyme's role.
ACET2	P10478	IPR005084,IPR006584	GO:0030246	carbohydrate binding	MODIFY	yes	GO:2001062 xylan binding	While the annotation is directionally correct (XynZ does bind carbohydrates), the CBM6 domain in XynZ specifically binds xylan substrates to facilitate enzymatic activity. A more appropriate term would be GO:2001062 (xylan binding), which specifically describes binding to xylan polymers. The CBM6 domain in C. thermocellum xylanases is known to target xylan, enhancing the enzyme's effectiveness on this substrate.
ACET2	P10478		GO:0030600	feruloyl esterase activity	NEW	no	GO:0030600 feruloyl esterase activity	The CE1 domain of XynZ provides feruloyl esterase activity, which is a documented accessory function of this enzyme. UniProt cross-references ESTHER database (clotm-xynz; A85-Feruloyl-Esterase) and BRENDA entry for EC 3.1.1.73 (feruloyl esterase). This is a core function of the protein that should be annotated.
ACET2	P15329	IPR002105	GO:0004553	hydrolase activity, hydrolyzing O-glycosyl compounds	REMOVE	yes		The SGNH hydrolase domain (Pfam: Lipase_GDSL_2, InterPro: IPR013830) present in CelX is characteristic of serine esterases, not glycoside hydrolases. SGNH hydrolases catalyze ester bond cleavage using a Ser-His-Asp catalytic triad, while glycoside hydrolases use different mechanisms (retaining/inverting) and have distinct catalytic residues. The annotation is based on the dockerin domain which only indicates cellulosome association, not enzymatic activity. The original publication (PMID:3066698) does not provide experimental evidence for glycoside hydrolase activity of CelX.
ACET2	P38535	IPR001000,IPR010502,IPR018087,IPR044846	GO:0004553	hydrolase activity, hydrolyzing O-glycosyl compounds	ACCEPT	no		This is a valid parent term for xylanase activity. The GH10 catalytic domain of XynX hydrolyzes O-glycosyl bonds (specifically beta-1,4-xylosidic linkages). While more specific terms exist, this IEA annotation from InterPro domain mapping (GH10, CBM9, CBM22) is technically correct as a general classification. It appropriately captures the broad enzymatic mechanism.
ACET2	P38535	IPR001000,IPR018087,IPR044846	GO:0005975	carbohydrate metabolic process	KEEP_AS_NON_CORE	yes		While technically correct (xylan is a carbohydrate and XynX contributes to its metabolism), this term is extremely broad and provides little specific information about XynX's function. More informative terms like xylan catabolic process (GO:0045493) better describe the enzyme's role. This annotation is retained as a non-core function since it represents an IEA from InterPro domain mapping that accurately but non-specifically captures XynX's involvement in carbohydrate processing.
ACET2	P38535	IPR010502	GO:0016052	carbohydrate catabolic process	KEEP_AS_NON_CORE	yes		This term correctly indicates that XynX is involved in breaking down carbohydrates. However, it is too general - XynX specifically catalyzes xylan catabolism, not general carbohydrate catabolism. The InterPro-based annotation from CBM9 domain (IPR010502) correctly identifies involvement in carbohydrate degradation. The more specific term xylan catabolic process (GO:0045493) would better capture the enzyme's function, but this annotation remains valid as a parent term.
ACET2	P38535	IPR010502	GO:0030246	carbohydrate binding	MODIFY	yes	GO:2001062 xylan binding	"While XynX does bind carbohydrates via its CBM domains, the term ""carbohydrate binding"" is too general. XynX specifically binds xylan through its thermostabilizing domain (TSD, which is a CBM22 xylan-binding domain) and CBM9 domains. The CBM9 domains in XynX have been shown to bind xylan and lichenan. A more informative annotation would be xylan binding (GO:2001062), which accurately reflects the substrate specificity of XynX's binding modules."
ACET2	P51584	IPR001000,IPR002105,IPR044846	GO:0004553	hydrolase activity, hydrolyzing O-glycosyl compounds	ACCEPT	no		This is a correct parent term for endo-1,4-beta-xylanase activity. While not as informative as the more specific term GO:0031176, retaining parent terms in IEA annotations is acceptable as they capture the broader enzymatic class.
ACET2	P51584	IPR001000,IPR044846	GO:0005975	carbohydrate metabolic process	ACCEPT	no		This is a correct but very general parent term. The annotation accurately captures that XynY is involved in carbohydrate metabolism (specifically catabolism of xylan). IEA mappings to broad parent terms are acceptable alongside more specific annotations.
ACET2	P71143	IPR002102	GO:0000272	polysaccharide catabolic process	REMOVE	yes		SdbA contains a type II cohesin domain that binds dockerin, not carbohydrates or polysaccharides. The protein has no enzymatic activity whatsoever. It functions solely as a structural adaptor to tether cellulosomes to the cell surface via SLH-mediated cell envelope binding. The annotation derives from an incorrect InterPro2GO mapping that conflates structural similarity between cohesin and CBM domains with functional similarity.
ACET2	P71143	IPR002102,IPR008965	GO:0030246	carbohydrate binding	MODIFY	yes	GO:1990309 type-II dockerin domain binding	SdbA cohesin domain specifically binds the dockerin domain of CipA scaffoldin - this is a well-characterized protein-protein interaction, not carbohydrate binding. The structural similarity between cohesin domains and CBM domains (both belong to beta-sandwich fold families) has led to erroneous functional annotation. The correct molecular function is type-II dockerin domain binding, which accurately describes SdbA role in capturing CipA for cell surface anchoring.
ACET2	Q01866	IPR002105	GO:0004553	hydrolase activity, hydrolyzing O-glycosyl compounds	REMOVE	yes		CipB is a non-catalytic scaffoldin protein. The IEA annotation from InterPro IPR002105 (Dockerin_1_rpt) incorrectly associates dockerin domains with hydrolase activity. Dockerin domains are protein-protein interaction modules that bind cohesin domains, enabling assembly of the cellulosome complex. CipB contains no glycosyl hydrolase catalytic domains. This is a clear case of over-annotation from automated pipelines that conflate domain presence with catalytic function.
ACET2	Q01866	IPR001956,IPR036966	GO:0005975	carbohydrate metabolic process	MODIFY	yes	GO:0044575 cellulosome assembly	The annotation is too broad and implies direct metabolic activity. CipB's role is structural/organizational - it assembles and organizes catalytic enzymes that perform carbohydrate metabolism. The protein's function is better captured by cellulosome assembly.
ACET2	Q01866	IPR002102,IPR008965	GO:0030246	carbohydrate binding	KEEP_AS_NON_CORE	yes		While technically correct due to the CBM3 domain, this is redundant with the more specific cellulose binding annotation (GO:0030248). The CBM3 domain specifically binds cellulose, not carbohydrates in general. Keeping as non-core since it is not incorrect but is less informative than the specific term.
ACET2	Q01866	IPR001956,IPR036966	GO:0030248	cellulose binding	ACCEPT	no		CipB unambiguously contains a CBM3 domain that confers cellulose binding activity. This is a core molecular function of the scaffoldin protein.
ACET2	Q84C00	IPR002105,IPR016134,IPR036439	GO:0000272	polysaccharide catabolic process	MODIFY	yes	GO:0051275 beta-glucan catabolic process	The term 'polysaccharide catabolic process' is overly broad. LicB is a lichenase that specifically hydrolyzes beta-glucans containing (1->3) and (1->4) linkages. UniProt confirms the catalytic activity with EC 3.2.1.73. A more specific biological process term should be used.
ACET2	Q84C00	IPR000757,IPR002105,IPR008263,IPR008264,IPR044791	GO:0004553	hydrolase activity, hydrolyzing O-glycosyl compounds	ACCEPT	no		While this is a general parent term, it is not incorrect for LicB. The enzyme hydrolyzes O-glycosyl bonds in beta-glucans. Since the more specific 'licheninase activity' (GO:0042972) is also annotated, this broader term provides hierarchical context and is acceptable to retain.
ACET2	Q84C00	IPR000757,IPR008263,IPR008264	GO:0005975	carbohydrate metabolic process	MODIFY	yes	GO:0051275 beta-glucan catabolic process	'Carbohydrate metabolic process' is the grandparent term for nearly all sugar-related processes. For a specific enzyme like lichenase, a more informative term such as 'beta-glucan catabolic process' (GO:0051275) should be used to accurately reflect the enzyme's biological role.
ACET2	ancA	IPR002102,IPR008965	GO:0030246	carbohydrate binding	MODIFY	yes	GO:1990309 type-II dockerin domain binding	The term carbohydrate binding is too general and misleading for ancAs primary function. AncA specifically binds to dockerin domains of scaffoldins (particularly CipAs dockerin) via its Type II cohesin domain. While SLH domains may interact with cell wall carbohydrates, the core molecular function is dockerin binding, not general carbohydrate binding.
ACET2	celA	IPR002037,IPR008928,IPR012341	GO:0005975	carbohydrate metabolic process	ACCEPT	no		This annotation is correct but very broad. It is inferred from InterPro records IPR002037 (Glyco_hydro_8), IPR008928 (6-hairpin_glycosidase_sf), and IPR012341 (6hp_glycosidase-like_sf). While the more specific GO:0030245 (cellulose catabolic process) better captures CelA's function, this broader term is not incorrect and acceptable for an IEA annotation derived from domain membership.
ACET2	celC	IPR001547,IPR018087	GO:0004553	hydrolase activity, hydrolyzing O-glycosyl compounds	ACCEPT	no		As a GH5 family endoglucanase, CelC hydrolyzes O-glycosyl compounds (specifically beta-1,4-glucosidic bonds). The InterPro-based IEA annotation is accurate. This parent term is retained alongside the more specific cellulase activity term.
ACET2	celC	IPR018087	GO:0005975	carbohydrate metabolic process	ACCEPT	no		While very general, this annotation is not incorrect. CelC is involved in carbohydrate metabolism via its cellulolytic activity. More specific child terms (cellulose catabolic process) provide better functional resolution. IEA from InterPro is reasonable for this broad term.
ACET2	celD	IPR001701,IPR004197,IPR008928,IPR012341	GO:0005975	carbohydrate metabolic process	MARK_AS_OVER_ANNOTATED	yes		GO:0005975 'carbohydrate metabolic process' is a very high-level term that encompasses essentially all carbohydrate metabolism. CelD functions specifically in cellulose degradation as evidenced by its UniProt keywords (Cellulose degradation, Glycosidase) and EC classification (3.2.1.4). The GO:0030245 'cellulose catabolic process' annotation already present is far more informative and specific.
ACET2	celK	IPR001701,IPR004197,IPR008928,IPR012341	GO:0005975	carbohydrate metabolic process	ACCEPT	no		This is a very high-level biological process term that is technically accurate but provides minimal information. Since more specific BP annotations exist (GO:0030245 cellulose catabolic process), this broad term is acceptable as hierarchical context but not informative as a standalone annotation. IEA from InterPro is appropriate for this level of granularity.
ACET2	celK	IPR004197	GO:0008810	cellulase activity	MODIFY	yes	GO:0016162 cellulose 1,4-beta-cellobiosidase activity	"GO:0008810 (cellulase activity) is defined as ""catalysis of the endohydrolysis of (1->4)-beta-D-glucosidic linkages in cellulose"". CelK is classified as EC 3.2.1.91 (cellulose 1,4-beta-cellobiosidase), which is an exo-acting enzyme that releases cellobiose from the non-reducing ends. The correct annotation is GO:0016162 (cellulose 1,4-beta-cellobiosidase activity), which is already present in the annotation set."
ACET2	celS	IPR008928,IPR012341	GO:0005975	carbohydrate metabolic process	MARK_AS_OVER_ANNOTATED	yes		This term is too general. More specific biological process terms are already annotated (GO:0030245, cellulose catabolic process). The annotation from InterPro superfamily domains (IPR008928, IPR012341) provides only general functional inference. Retaining this alongside the more specific cellulose catabolic process term is redundant.
ACET2	celS	IPR000556	GO:0008810	cellulase activity	ACCEPT	no		This is a valid parent term for CelS activity. The enzyme is classified as a cellulase, specifically a cellobiohydrolase. The annotation from InterPro (IPR000556, Glycoside hydrolase family 48) is appropriate. While GO:0102252 provides more specificity about the reducing-end preference, cellulase activity is not incorrect and represents a legitimate intermediate term in the hierarchy.
ACET2	cipA	IPR002105	GO:0004553	hydrolase activity, hydrolyzing O-glycosyl compounds	REMOVE	yes		CipA is explicitly described in the literature as a non-catalytic scaffolding glycoprotein (UniProt CC-FUNCTION). The UniProt function annotation states that CipA acts as a scaffolding protein in the cellulosome and promotes binding of cellulose to the catalytic domains of the cellulolytic enzymes - note it promotes binding TO catalytic domains, it does not have catalytic activity itself. The deep research confirms CipA is a non-catalytic structural organizer (cipA-deep-research-falcon.md). The InterPro domain IPR002105 (Dockerin_1_rpt) is present in both scaffoldins and catalytic enzymes; the hydrolase activity annotation was incorrectly transferred because dockerins are commonly found in hydrolases, but the scaffoldin CipA only uses its dockerin (type II) for anchoring to cell-surface proteins, not for catalysis. This is a clear over-annotation error.
ACET2	cipA	IPR001956,IPR036966	GO:0005975	carbohydrate metabolic process	MODIFY	yes	GO:0044575 cellulosome assembly	CipA's CBM3a domain binds cellulose but does not metabolize it. The protein's role is structural - organizing the cellulosome for efficient carbohydrate degradation. A more appropriate annotation would be GO:0044575 (cellulosome assembly) which captures the actual biological process CipA participates in. The annotation to carbohydrate metabolic process incorrectly implies direct metabolic activity.
ACET2	cipA	IPR002102,IPR008965	GO:0030246	carbohydrate binding	ACCEPT	no		CipA contains a well-characterized CBM3a (carbohydrate-binding module family 3a) domain at positions 365-523. The deep research confirms that CBM3a targets crystalline cellulose to increase local enzyme concentration and synergize hydrolysis. CBM3a is the prevalent cellulosomal CBM in C. thermocellum (cipA-deep-research-falcon.md). The crystal structure of this domain has been solved (PDB: 1NBC at 1.75 A resolution). This is a core molecular function.
ACET2	cipA	IPR001956,IPR036966	GO:0030248	cellulose binding	ACCEPT	no		CipA's CBM3a domain (residues 365-523) specifically binds crystalline cellulose, targeting the cellulosome to its substrate. This is experimentally verified through structural studies - the crystal structure of the CBM3a domain was solved at 1.75 A resolution (PDB: 1NBC; Tormo et al., EMBO J 1996). The deep research states that CBM3a function targets crystalline cellulose to increase local enzyme concentration and synergize hydrolysis (cipA-deep-research-falcon.md). This is a core function of CipA - without cellulose binding, the cellulosome cannot target its substrate.
ACIBA	blaOXA-400	IPR001460	GO:0008658	penicillin binding	MODIFY	yes	GO:0008800 beta-lactamase activity	Replace the broad or over-specific electronic term 'penicillin binding' with beta-lactamase activity based on UniProt/CARD determinant identity and the curated ARO->GO mapping.
ACIBA	blaOXA-480	IPR001460	GO:0008658	penicillin binding	MODIFY	yes	GO:0008800 beta-lactamase activity	Replace the broad or over-specific electronic term 'penicillin binding' with beta-lactamase activity based on UniProt/CARD determinant identity and the curated ARO->GO mapping.
ACIBZ	blaOXA-418	IPR001460	GO:0008658	penicillin binding	MODIFY	yes	GO:0008800 beta-lactamase activity	Replace the broad or over-specific electronic term 'penicillin binding' with beta-lactamase activity based on UniProt/CARD determinant identity and the curated ARO->GO mapping.
AEDAE	A0A6I8TLE4		GO:0005096	GTPase activator activity	NEW	no		Strong domain-based evidence from multiple independent sources (InterPro, CDD, PANTHER, PROSITE, Pfam) all converge on RasGAP function. The RasGAP domain is well-characterized with high predictive value for GTPase activator activity.
AEDAE	A0A6I8TLE4		GO:0007265	Ras protein signal transduction	NEW	no		RasGAP domain-containing proteins are by definition participants in Ras protein signal transduction. This is the direct process annotation corresponding to the molecular function.
AEDAE	A0A6I8TLE4		GO:0046580	negative regulation of Ras protein signal transduction	NEW	no		The GAP mechanism is inherently inhibitory toward Ras signaling. All characterized RasGAP domain proteins function as negative regulators.
AEDAE	A0A6I8TLE4		GO:0005829	cytosol	NEW	no		Cytosol is the default localization for soluble RasGAP proteins before membrane recruitment. Supported by domain architecture inference from the deep research report.
AEDAE	A0A6I8TLE4		GO:0005886	plasma membrane	NEW	no		C2 and PH domains are well-established membrane-targeting modules. RasGAP function requires co-localization with membrane-anchored Ras GTPases at the plasma membrane.
AERER	ermA	IPR020596,IPR020598	GO:0000154	rRNA modification	ACCEPT	no		Erm enzymes confer resistance by methylating 23S rRNA; this process annotation is biologically appropriate.
AERME	mcr-3	IPR012549	GO:0016020	membrane	MODIFY	yes	GO:0005886 plasma membrane	Use plasma membrane rather than the generic membrane term where possible.
AERME	mcr-3	IPR040423	GO:0016772	transferase activity, transferring phosphorus-containing groups	MODIFY	yes	GO:0043838 phosphatidylethanolamine:Kdo2-lipid A phosphoethanolamine transferase activity	Replace the broad or over-specific electronic term 'transferase activity, transferring phosphorus-containing groups' with phosphatidylethanolamine:Kdo2-lipid A phosphoethanolamine transferase activity based on UniProt/CARD determinant identity and the curated ARO->GO mapping.
AILME	A0A7N5KEZ3_AILME	IPR002494	GO:0045095	keratin filament	ACCEPT	no		The protein is a high-sulfur (B2) keratin-associated protein (Pfam PF13885, InterPro IPR002494) whose biological role is structural cross-linking of keratin intermediate filaments into the hard-keratin matrix [PMID:29797269]. Keratin filament is the appropriate, conventional cellular-component term for KAPs (cross-checked against human KRTAP4-3, UniProtKB:Q9BYR4, which carries the identical InterPro keratin-filament annotation). This is the most informative existing annotation and reflects the core localization, though no panda-specific experimental data exist.
ANOGA	7DL3	IPR006170,IPR036728	GO:0005549	odorant binding	REMOVE	yes		"D7L3 is a salivary protein that functions as a serotonin kratagonist, not an odorant-binding protein. The PBP/GOBP fold has been evolutionarily repurposed in D7 proteins for binding biogenic amines and eicosanoids in saliva. D7L3 is expressed in adult female salivary glands [UniProt A0A1S4HE90], not olfactory tissues. The actual molecular function is serotonin binding (GO:0051378). Serotonin (5-hydroxytryptamine) is a neurotransmitter/vasoactive amine, not an odorant. PMID:35460690 explicitly shows ""AngaD7L3 binds serotonin"" via isothermal titration calorimetry. This is a clear case where structural family membership does not predict function."
ANOGA	CLIPB4	IPR001254,IPR018114	GO:0004252	serine-type endopeptidase activity	ACCEPT	no		This is the core molecular function of CLIPB4 and is strongly supported. UniProt annotates EC=3.4.21.- based on experimental evidence (PMID:37703846). The protein has the complete catalytic triad (His153, Asp213, Ser311) and experimentally demonstrated protease activity cleaving CLIPB8 and CLIPA8. The term is appropriately specific for the enzymatic activity.
